Trial_ID,Trial_Name,Task,Subject,Repetition,Frames,Duration_Seconds,Self_Proclaimed_Skill,GRS_Total,GRS_Tissue_Respect,GRS_Handling,GRS_Time_Motion,GRS_Flow,GRS_Performance,GRS_Quality,Left_Mean_Speed,Left_Median_Speed,Left_Max_Speed,Left_Speed_Std,Right_Mean_Speed,Right_Median_Speed,Right_Max_Speed,Right_Speed_Std,Left_Idle_Ratio,Left_Idle_Time,Right_Idle_Ratio,Right_Idle_Time,Left_Mean_Acceleration,Left_Median_Acceleration,Left_Max_Acceleration,Left_Acceleration_Std,Right_Mean_Acceleration,Right_Median_Acceleration,Right_Max_Acceleration,Right_Acceleration_Std,Left_Mean_Jerk,Left_Median_Jerk,Left_Max_Jerk,Left_Jerk_Std,Right_Mean_Jerk,Right_Median_Jerk,Right_Max_Jerk,Right_Jerk_Std
1,Knot_Tying_B001,Knot Tying,B,1,,,N,13,2,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Knot_Tying_B002,Knot Tying,B,2,,,N,9,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Knot_Tying_B003,Knot Tying,B,3,,,N,11,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Knot_Tying_B004,Knot Tying,B,4,,,N,8,1,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Knot_Tying_C001,Knot Tying,C,1,,,I,20,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Knot_Tying_C002,Knot Tying,C,2,,,I,22,4,3,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Knot_Tying_C003,Knot Tying,C,3,,,I,18,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Knot_Tying_C004,Knot Tying,C,4,,,I,20,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Knot_Tying_C005,Knot Tying,C,5,,,I,20,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Knot_Tying_D001,Knot Tying,D,1,,,E,14,3,1,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Knot_Tying_D002,Knot Tying,D,2,,,E,16,3,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Knot_Tying_D003,Knot Tying,D,3,,,E,12,1,2,2,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Knot_Tying_D004,Knot Tying,D,4,,,E,19,3,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Knot_Tying_D005,Knot Tying,D,5,,,E,18,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Knot_Tying_E001,Knot Tying,E,1,,,E,18,4,2,2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Knot_Tying_E002,Knot Tying,E,2,,,E,19,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Knot_Tying_E003,Knot Tying,E,3,,,E,22,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Knot_Tying_E004,Knot Tying,E,4,,,E,18,2,3,3,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Knot_Tying_E005,Knot Tying,E,5,,,E,21,3,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Knot_Tying_F001,Knot Tying,F,1,,,I,16,3,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Knot_Tying_F002,Knot Tying,F,2,,,I,20,4,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Knot_Tying_F003,Knot Tying,F,3,,,I,10,2,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Knot_Tying_F004,Knot Tying,F,4,,,I,10,2,1,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Knot_Tying_F005,Knot Tying,F,5,,,I,15,2,3,2,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
