Trial_ID,Trial_Name,Task,Subject,Repetition,Frames,Duration_Seconds,Self_Proclaimed_Skill,GRS_Total,GRS_Tissue_Respect,GRS_Handling,GRS_Time_Motion,GRS_Flow,GRS_Performance,GRS_Quality,Left_Mean_Speed,Left_Median_Speed,Left_Max_Speed,Left_Speed_Std,Right_Mean_Speed,Right_Median_Speed,Right_Max_Speed,Right_Speed_Std,Left_Idle_Ratio,Left_Idle_Time,Right_Idle_Ratio,Right_Idle_Time,Left_Mean_Acceleration,Left_Median_Acceleration,Left_Max_Acceleration,Left_Acceleration_Std,Right_Mean_Acceleration,Right_Median_Acceleration,Right_Max_Acceleration,Right_Acceleration_Std,Left_Mean_Jerk,Left_Median_Jerk,Left_Max_Jerk,Left_Jerk_Std,Right_Mean_Jerk,Right_Median_Jerk,Right_Max_Jerk,Right_Jerk_Std
1,Knot_Tying_B001,Knot Tying,B,1,1735.0,57.833333333333336,N,13,2,2,2,2,2,3,0.014950863155498241,0.013206848677864072,0.08731090201687301,0.015545526282513579,0.020190303589710357,0.0157912575180066,0.11264702742194309,0.015745582290556382,0.22247838616714696,12.866666666666667,0.07031700288184438,4.066666666666666,0.14609586732986315,0.05687871018647562,0.8476399438549873,0.1653396369269798,0.17021298182751943,0.10858805021449194,0.8435411708639042,0.16726614510540116,7.6221361902523865,5.682701102776338,36.873741465675565,7.453798593143631,8.593366912883916,7.073301674865097,40.35339320335191,7.335404702462423
2,Knot_Tying_B002,Knot Tying,B,2,1480.0,49.333333333333336,N,9,1,1,2,2,1,2,0.016084035981980986,0.012020231507779781,0.10200093640256445,0.01928008397768402,0.017183252630224525,0.013839443611993844,0.12091889829551045,0.01670000563720142,0.2608108108108108,12.866666666666667,0.21351351351351353,10.533333333333333,0.12839603907151326,0.04226665443893329,0.9345748252667107,0.157011822782285,0.14460145353100703,0.06516816308876829,0.9733200614168087,0.16464795920617878,6.723691363747403,4.527617712160701,42.726023681850606,7.146353732679305,7.542255782696833,5.48582898604425,37.436081592058,7.511898491893993
3,Knot_Tying_B003,Knot Tying,B,3,1612.0,53.733333333333334,N,11,1,2,2,2,2,2,0.016373671004556323,0.006430325650180817,0.12237150326362752,0.022932724650938555,0.02080092370139064,0.015218263775538542,0.10493049956518838,0.019657276183275407,0.33064516129032256,17.766666666666666,0.1588089330024814,8.533333333333333,0.1257231870536441,0.03787913532163825,0.8424692830923701,0.15824791854655754,0.1509456921164749,0.08401921058396682,1.0231929183933932,0.16179040845952788,6.460709048422937,2.7280393072060902,33.76656946424212,7.211879140870779,7.579566321413651,5.95124679328244,34.233630941241685,7.048545505034083
4,Knot_Tying_B004,Knot Tying,B,4,1820.0,60.666666666666664,N,8,1,2,1,1,1,2,0.024495553753731546,0.016677611827110674,0.1489490392583987,0.025358221802924064,0.02176944445915015,0.016690948269355153,0.12255239538254649,0.02026886561815475,0.13736263736263737,8.333333333333334,0.12142857142857143,7.366666666666666,0.16850105548913288,0.09158085103395203,1.8983800160013709,0.18623578959854942,0.16064491861696983,0.08361538370067036,1.1331133854481847,0.17025422113549096,8.362983803441809,6.784779955818177,86.71768563237899,8.121837773457434,8.006840020355327,6.1891895998981745,42.7154830444834,7.500375303079226
5,Knot_Tying_C001,Knot Tying,C,1,1227.0,40.9,I,20,4,3,3,3,3,4,0.03906374321412437,0.023909908134495207,0.2060863262470366,0.04125567320631498,0.03176447998307958,0.020428512647767582,0.18275984970720457,0.03393604979859323,0.1271393643031785,5.2,0.08883455582722087,3.6333333333333333,0.2358732725492063,0.16664202001639897,1.5597686751954098,0.2446958388607703,0.24554000682965743,0.18431962097812887,1.947407615187325,0.24255925521752425,10.661945302640982,9.530731042198276,82.89107418899904,9.528750471719711,11.136463400833268,9.359177633480286,91.33288715806324,9.958654832834283
6,Knot_Tying_C002,Knot Tying,C,2,1068.0,35.6,I,22,4,3,3,4,4,4,0.04282428395613685,0.021925245734544352,0.30184823768410507,0.04936426424827135,0.03920289665531386,0.025295013535893703,0.35555380159688915,0.04511271953301933,0.11797752808988764,4.2,0.07865168539325842,2.8,0.2600402036721428,0.18763911779679593,2.0988792965478327,0.26771613436007646,0.25362642013184405,0.1885065528729464,1.9066370375672328,0.2612581759838748,11.154494018621925,9.675606659379682,65.21041066367005,9.547466900595172,10.457265054783756,8.926698004014856,50.612061136485885,8.63176911903229
7,Knot_Tying_C003,Knot Tying,C,3,1073.0,35.766666666666666,I,18,3,3,3,3,3,3,0.03737788294257815,0.020538638148621245,0.3452040315900149,0.04599712073018935,0.04355646930153055,0.031566767034335336,0.24075475358546922,0.042284233997753704,0.10904007455731593,3.9,0.08853681267474371,3.1666666666666665,0.25184944184178437,0.19221207739978763,2.7790509828302286,0.28107248447087724,0.2713646741711635,0.21671356625362675,2.1591239671092417,0.28033588411372934,10.882070391250783,9.740903084586584,75.54154325213307,9.569361024494249,10.788962669441592,9.009385793106295,62.96804500091431,9.444516044936998
8,Knot_Tying_C004,Knot Tying,C,4,1383.0,46.1,I,20,4,3,3,3,3,4,0.027767347833072557,0.01576516025925522,0.31460699078532883,0.035740086788500075,0.03950150335825811,0.02675033119421141,0.28871285275512065,0.04402858521007287,0.16702819956616052,7.7,0.08821402747650037,4.066666666666666,0.22854404411073115,0.13938874241696278,2.3317260668039728,0.2713104018760239,0.26704706920816523,0.1931735741159808,2.7898123865526676,0.28724235113000735,10.072962998049405,8.165659210070157,88.28107469890467,10.102910412151846,11.216007211614889,9.044939585667214,81.19136025039961,10.438684853378048
9,Knot_Tying_C005,Knot Tying,C,5,1150.0,38.333333333333336,I,20,4,3,3,3,3,4,0.03181734028408056,0.018848472014588474,0.26703474924810816,0.04028091549042554,0.03797242036212425,0.022937417909389246,0.2474961641278507,0.041684064970816545,0.1591304347826087,6.1,0.12347826086956522,4.733333333333333,0.22011430727933143,0.14508173189641596,1.4680309136774423,0.23380902394028188,0.2527090910603658,0.17491798333690925,2.274300929800263,0.28558202435263624,10.052205120545553,8.989201435946502,52.14513348633342,8.853191099368726,10.356902341085258,8.013769570720523,60.656699474749225,9.826309434091188
10,Knot_Tying_D001,Knot Tying,D,1,1399.0,46.63333333333333,E,14,3,1,2,3,2,3,0.017658045531716376,0.008369198468192758,0.13189168469240206,0.023705473013440614,0.036099408427212355,0.028921588424566172,0.1446018536153669,0.03061190533393802,0.33666904932094355,15.7,0.1043602573266619,4.866666666666666,0.13372122564745414,0.03597068428318052,0.9645339288017223,0.17710829533724937,0.19814433654231867,0.12709517736218667,1.324256896997722,0.20720770669375863,6.434161027371894,2.5730360803772614,36.65902914707709,7.441705549124475,7.924266099783273,6.013765756961921,43.476140789422345,7.541648143653616
11,Knot_Tying_D002,Knot Tying,D,2,1241.0,41.36666666666667,E,16,3,2,2,3,3,3,0.027718830406207373,0.014979309129596064,0.2438830957754145,0.03883705879111995,0.033961422964219744,0.027867682609072464,0.18672182787237276,0.030594494910737558,0.2715551974214343,11.233333333333333,0.0789685737308622,3.2666666666666666,0.16711985172934407,0.04738807050843959,1.7007211852735078,0.2227767284302484,0.1912422906337364,0.12388541469122931,1.195541135129686,0.1933137627093611,6.952476627310173,2.990815134114133,83.653346188939,8.295283032160599,8.594410534859707,6.947588955087785,40.77394502743337,7.511323474277174
12,Knot_Tying_D003,Knot Tying,D,3,1402.0,46.733333333333334,E,12,1,2,2,2,2,3,0.024675649964450024,0.015911074060116395,0.19683806638706852,0.029643783128570415,0.03085936199916604,0.021061252515470148,0.17740618556578008,0.032967253647490306,0.25178316690442226,11.766666666666667,0.20328102710413695,9.5,0.1686094193817357,0.07255907690115346,1.2881367194086952,0.19423812082463393,0.16377456611277066,0.0700011849996068,1.1448707672453033,0.18289300227332955,7.552588233558335,4.876447127055199,37.88500735634992,7.783039225561056,7.2250053890432975,4.804320144014097,37.99604943973215,7.353444236786452
13,Knot_Tying_D004,Knot Tying,D,4,1049.0,34.96666666666667,E,19,3,3,3,4,3,3,0.02504467220278009,0.015370959664249983,0.15745203403259037,0.031199248168174737,0.03434739599579699,0.024564376360901165,0.15070077416191333,0.03310478793570692,0.2831267874165872,9.9,0.1572926596758818,5.5,0.14627808693689956,0.045612782663696866,1.3818431467852417,0.18634507313766877,0.17607060645729025,0.09851395605829252,1.8924392490465523,0.19657172736993983,6.470156592244466,2.888024173133842,47.09461496513737,7.388228996960801,7.805029602179233,5.576159986332066,63.66168590735799,8.126724494754901
14,Knot_Tying_D005,Knot Tying,D,5,1256.0,41.86666666666667,E,18,3,3,3,3,3,3,0.02124520938762726,0.014112278612291806,0.12683340841040266,0.026140434234639954,0.03329505840831152,0.02196722436122238,0.16242883400123267,0.03363281306302838,0.29538216560509556,12.366666666666667,0.17197452229299362,7.2,0.16148402616879634,0.05979727088376054,1.51283460255293,0.19207152415885226,0.1738770746603335,0.09166133073629402,1.317131746922366,0.19092146547415317,7.331343397798363,4.616916597707535,37.35723915881703,7.631859214441117,8.019726798694565,6.298762881343906,50.227854657946565,7.7428091096910485
15,Knot_Tying_E001,Knot Tying,E,1,1592.0,53.06666666666667,E,18,4,2,2,3,3,4,0.025018005521876392,0.016379326589408563,0.19683565752932067,0.029930753837615672,0.02935361476710241,0.0216746569280419,0.19796634201550525,0.02687144639478598,0.20603015075376885,10.933333333333334,0.11243718592964824,5.966666666666667,0.1703326809888278,0.06256703702539021,1.457048484149561,0.1922479603384522,0.16513839111531697,0.08234392777549233,1.3031372115142204,0.18048538272103865,8.3549129466523,6.582861909236147,58.558942002034925,8.127846670471762,7.8763055461649385,6.073310503882865,41.5119033603993,7.515154251143416
16,Knot_Tying_E002,Knot Tying,E,2,1297.0,43.233333333333334,E,19,3,3,3,3,3,4,0.024517883787089245,0.015926308078145417,0.1908183710180967,0.02892908372381319,0.02817718267760253,0.02143615842449388,0.10694587026154867,0.024107551489413192,0.17810331534309945,7.7,0.09175019275250579,3.966666666666667,0.16481423117291547,0.0628271615682336,0.9605237361879316,0.1917924501056602,0.15245283645368432,0.07726701333585516,0.7798276197599145,0.16399563152549237,8.348147937763384,6.5730396128036395,41.29706520891092,8.046019865442094,7.443411871780259,5.229383827708463,33.76967698630726,7.238195981810817
17,Knot_Tying_E003,Knot Tying,E,3,1413.0,47.1,E,22,3,4,3,4,4,4,0.022982321092533453,0.015189558453095336,0.22372232109916973,0.031177576589902528,0.029450498973836968,0.019236225123448726,0.14811821938910824,0.029672245503675775,0.24062278839348902,11.333333333333334,0.1542816702052371,7.266666666666667,0.16105734561358345,0.04768289024199043,1.272892113020234,0.1958064636815606,0.17856309348470603,0.09511964146312235,0.9431573786501843,0.1840791420163839,8.080588647871357,5.723138022015689,42.394696717842834,8.320084496696438,8.647791960373697,7.210699652817654,40.373819887340865,7.863648696356277
