,GRS_Total,Left_Mean_Speed,Left_Median_Speed,Left_Max_Speed,Left_Speed_Std,Right_Mean_Speed,Right_Median_Speed,Right_Max_Speed,Right_Speed_Std,Left_Idle_Ratio,Left_Idle_Time,Right_Idle_Ratio,Right_Idle_Time,Left_Mean_Acceleration,Left_Median_Acceleration,Left_Max_Acceleration,Left_Acceleration_Std,Right_Mean_Acceleration,Right_Median_Acceleration,Right_Max_Acceleration,Right_Acceleration_Std,Left_Mean_Jerk,Left_Median_Jerk,Left_Max_Jerk,Left_Jerk_Std,Right_Mean_Jerk,Right_Median_Jerk,Right_Max_Jerk,Right_Jerk_Std
GRS_Total,1.0,0.4384750526192783,0.1299395312425684,0.41983509177511397,0.5202257509468524,0.11076110109468276,-0.006407532924764427,0.2692339697252966,0.2349517093015613,-0.12571227934612844,-0.14984933261359915,0.11101045631898597,-0.003463144363773056,0.3887239031296017,0.28616836846777044,0.3322095674221472,0.477075344676587,0.14485228888258145,0.12306600481807589,0.1620603179979573,0.19058840408282607,0.3009713579360377,0.24911221222753244,0.1468284242029112,0.3551656035315889,0.10393584608359044,0.042953145073088825,0.03689819812552803,0.1393269227915752
Left_Mean_Speed,0.4384750526192783,1.0,0.7148910563753484,0.7484385963295686,0.9233526546953946,0.45081975777821715,0.30913726371277694,0.42045428268315027,0.48515727725605495,-0.6537072589619943,-0.49621490780353583,-0.3639294821617443,-0.418942156436367,0.8102623980524652,0.7683174056868822,0.6426894394232969,0.8149448477072034,0.5500701889392047,0.5783500718298366,0.3323294005862551,0.48849553386867994,0.6559975461659534,0.6263343456635079,0.45615506484437424,0.552371282032212,0.5072025163998215,0.5138192268291574,0.1814689991736892,0.36712834546923606
Left_Median_Speed,0.1299395312425684,0.7148910563753484,1.0,0.389516666896121,0.49093867409204645,0.452504192535294,0.3296086842302037,0.30585354792119035,0.4355355215651947,-0.740845307612592,-0.5387310162047872,-0.3864947143250314,-0.4400966156603186,0.6412201239402564,0.659033315489048,0.386848787392027,0.5142070308596715,0.4726814668443886,0.48924961198023675,0.26831025607064907,0.41158237243063317,0.5825925985835444,0.624433063795514,0.31233773404341697,0.34462877802890146,0.4270321030037354,0.439188009217949,0.18113159226537745,0.30748549759707106
Left_Max_Speed,0.41983509177511397,0.7484385963295686,0.389516666896121,1.0,0.889242249356193,0.260759254793427,0.13264937052186115,0.5040777534672677,0.35782387644507097,-0.4504704168011392,-0.17458209519428958,-0.31977578797709527,-0.16933311930182188,0.719028807878883,0.6135900116834383,0.68808186124131,0.8186252291458136,0.5234311284622637,0.570116610339201,0.46273473148913635,0.4626841247459544,0.6054880625924355,0.5245812648330951,0.48820353573198416,0.6395017061227634,0.5163566469097196,0.5195064744632911,0.315830902153076,0.3625960195829587
Left_Speed_Std,0.5202257509468524,0.9233526546953946,0.49093867409204645,0.889242249356193,1.0,0.3549803178885171,0.21586494027717076,0.44388934698724514,0.42082912065947986,-0.4609201278649823,-0.3187416818484391,-0.3021431995935703,-0.28756446381583867,0.7397019718744478,0.6376901141099779,0.6774153794709511,0.8382488666977086,0.5127668195908514,0.5462355744813752,0.3740075069630078,0.4579574967745541,0.5761438286766695,0.5058164186270575,0.47641528313999365,0.5993993474624807,0.4905964810268597,0.49910754922774403,0.2185076196603782,0.3463667933710749
Right_Mean_Speed,0.11076110109468276,0.45081975777821715,0.452504192535294,0.260759254793427,0.3549803178885171,1.0,0.8963705212689316,0.5699826093381856,0.9053228517047797,-0.32992830460947714,-0.5233456910756471,-0.6722064275402114,-0.7226572687104251,0.5115563158092892,0.43443451907099284,0.28709268055518455,0.5491715456077764,0.7888895890899701,0.7406713086666463,0.4871098819412732,0.7782570556194401,0.41880905437852495,0.31161668051322516,0.2720133427476315,0.4749642723895892,0.6073067464197801,0.5855588471789274,0.3009891973965638,0.5112507675095702
Right_Median_Speed,-0.006407532924764427,0.30913726371277694,0.3296086842302037,0.13264937052186115,0.21586494027717076,0.8963705212689316,1.0,0.3564404904659878,0.6819219859267073,-0.24424352567729898,-0.4452092647203236,-0.6660232566673657,-0.6676800732219831,0.35467011375923424,0.2964296966239599,0.15945344466214023,0.3931674283142202,0.7116889158353259,0.66179279649693,0.34791570319404386,0.6750799480828613,0.29560003347895797,0.19334403708307493,0.20875927504641606,0.37395399609385654,0.5822653757405006,0.56309918098096,0.21563551515093202,0.49412282364301346
Right_Max_Speed,0.2692339697252966,0.42045428268315027,0.30585354792119035,0.5040777534672677,0.44388934698724514,0.5699826093381856,0.3564404904659878,1.0,0.7842349027830542,-0.23869954775676475,-0.12219819266270546,-0.39804531434304957,-0.25569734703632047,0.6045095896613075,0.5098997092109758,0.4977583226505208,0.6548989814851675,0.6648741458737295,0.6215938685675482,0.7924495120092423,0.7079192784384304,0.5228447810200428,0.39743205220767375,0.3408270175499626,0.5820563464424001,0.5508774234106659,0.5234077047999343,0.5287493867976972,0.45518260114175807
Right_Speed_Std,0.2349517093015613,0.48515727725605495,0.4355355215651947,0.35782387644507097,0.42082912065947986,0.9053228517047797,0.6819219859267073,0.7842349027830542,1.0,-0.30772774818762716,-0.42642819277767813,-0.5116116094895948,-0.5572999207217303,0.5996620287277341,0.5197385152649345,0.40138160015843904,0.6400730921334646,0.7741771884435996,0.7001925765137299,0.6346219224444541,0.8151482807250934,0.4889958583175129,0.36201608617879794,0.319039607901388,0.554639846363257,0.5803127998009228,0.5321173996136883,0.42211598060415445,0.5280212619988333
Left_Idle_Ratio,-0.12571227934612844,-0.6537072589619943,-0.740845307612592,-0.4504704168011392,-0.4609201278649823,-0.32992830460947714,-0.24424352567729898,-0.23869954775676475,-0.30772774818762716,1.0,0.6504980355882524,0.48903208448452595,0.46984784560331194,-0.7349306361716315,-0.8127880440351202,-0.4529325208882204,-0.5387332207871661,-0.41877103218420125,-0.5147722197499324,-0.1914361956630355,-0.2856930107983934,-0.73112621292418,-0.8204038045349994,-0.2908715958711385,-0.3528845901314062,-0.3798767287597196,-0.431928210482156,-0.11977303634407224,-0.1710848696592978
