Feature,Pearson_Correlation,Absolute_Correlation,Direction
Left_Speed_Std,0.5202257509468524,0.5202257509468524,Positive
Left_Acceleration_Std,0.477075344676587,0.477075344676587,Positive
Left_Mean_Speed,0.4384750526192783,0.4384750526192783,Positive
Left_Max_Speed,0.41983509177511397,0.41983509177511397,Positive
Left_Mean_Acceleration,0.3887239031296017,0.3887239031296017,Positive
Left_Jerk_Std,0.3551656035315889,0.3551656035315889,Positive
Left_Max_Acceleration,0.3322095674221472,0.3322095674221472,Positive
Left_Mean_Jerk,0.3009713579360377,0.3009713579360377,Positive
Left_Median_Acceleration,0.28616836846777044,0.28616836846777044,Positive
Right_Max_Speed,0.2692339697252966,0.2692339697252966,Positive
Left_Median_Jerk,0.24911221222753244,0.24911221222753244,Positive
Right_Speed_Std,0.2349517093015613,0.2349517093015613,Positive
Right_Acceleration_Std,0.19058840408282607,0.19058840408282607,Positive
Right_Max_Acceleration,0.1620603179979573,0.1620603179979573,Positive
Left_Idle_Time,-0.14984933261359915,0.14984933261359915,Negative
Left_Max_Jerk,0.1468284242029112,0.1468284242029112,Positive
Right_Mean_Acceleration,0.14485228888258145,0.14485228888258145,Positive
Right_Jerk_Std,0.1393269227915752,0.1393269227915752,Positive
Left_Median_Speed,0.1299395312425684,0.1299395312425684,Positive
Left_Idle_Ratio,-0.12571227934612844,0.12571227934612844,Negative
Right_Median_Acceleration,0.12306600481807589,0.12306600481807589,Positive
Right_Idle_Ratio,0.11101045631898597,0.11101045631898597,Positive
Right_Mean_Speed,0.11076110109468276,0.11076110109468276,Positive
Right_Mean_Jerk,0.10393584608359044,0.10393584608359044,Positive
Right_Median_Jerk,0.042953145073088825,0.042953145073088825,Positive
Right_Max_Jerk,0.03689819812552803,0.03689819812552803,Positive
Right_Median_Speed,-0.006407532924764427,0.006407532924764427,Negative
Right_Idle_Time,-0.003463144363773056,0.003463144363773056,Negative
