Task,Feature,Pearson_Correlation
Knot Tying,Left_Jerk_Std,0.6567799089223778
Knot Tying,Right_Speed_Std,0.6345642959636271
Knot Tying,Right_Mean_Speed,0.5891151402379238
Knot Tying,Right_Acceleration_Std,0.5556724413924521
Knot Tying,Left_Acceleration_Std,0.5482581109874017
Knot Tying,Right_Max_Speed,0.5191452024398844
Knot Tying,Right_Jerk_Std,0.5152266516392988
Knot Tying,Left_Mean_Jerk,0.5102769586292722
Knot Tying,Right_Mean_Acceleration,0.49858736409686655
Knot Tying,Left_Mean_Acceleration,0.4853619778215206
Knot Tying,Right_Max_Acceleration,0.44899037005274345
Knot Tying,Right_Mean_Jerk,0.44578606683493266
Knot Tying,Right_Median_Speed,0.4440010011271577
Knot Tying,Right_Median_Acceleration,0.4155955189596474
Knot Tying,Right_Max_Jerk,0.3854745873007916
Knot Tying,Left_Median_Jerk,0.3685305875039775
Knot Tying,Left_Idle_Time,-0.34369348907768105
Knot Tying,Right_Median_Jerk,0.33086256815858717
Knot Tying,Left_Speed_Std,0.31607250484152094
Knot Tying,Left_Median_Acceleration,0.28934608713452015
Knot Tying,Right_Idle_Time,-0.26345120538029565
Knot Tying,Left_Mean_Speed,0.2328674468792424
Knot Tying,Left_Max_Jerk,0.18866344442601407
Knot Tying,Left_Max_Speed,0.17450754859741616
Knot Tying,Left_Median_Speed,0.14519833976321933
Knot Tying,Left_Max_Acceleration,0.13249665129168656
Knot Tying,Left_Idle_Ratio,0.0723211157962392
Knot Tying,Right_Idle_Ratio,-0.023700056491283105
