Task,Feature,Pearson_Correlation
Needle Passing,Right_Jerk_Std,-0.6538449648051505
Needle Passing,Right_Mean_Jerk,-0.606462792434321
Needle Passing,Right_Median_Speed,-0.5656662910024792
Needle Passing,Right_Median_Jerk,-0.5385474247564322
Needle Passing,Right_Acceleration_Std,-0.5172357273996647
Needle Passing,Right_Mean_Acceleration,-0.47162152564724324
Needle Passing,Right_Max_Jerk,-0.4207045443780712
Needle Passing,Right_Idle_Ratio,0.3842449540862806
Needle Passing,Right_Max_Acceleration,-0.3723493229894083
Needle Passing,Left_Jerk_Std,-0.3466796207708532
Needle Passing,Left_Idle_Time,-0.3367508629877078
Needle Passing,Right_Median_Acceleration,-0.3305304266321754
Needle Passing,Left_Idle_Ratio,-0.27354685087559955
Needle Passing,Left_Max_Jerk,-0.25765890685625953
Needle Passing,Left_Mean_Speed,0.16760596998616387
Needle Passing,Left_Max_Acceleration,-0.15357792334138676
Needle Passing,Right_Max_Speed,-0.13578117567528036
Needle Passing,Right_Mean_Speed,-0.1087312073152281
Needle Passing,Left_Acceleration_Std,-0.10794891949625322
Needle Passing,Left_Speed_Std,0.10307596482001707
Needle Passing,Right_Idle_Time,0.09288869930821451
Needle Passing,Left_Median_Jerk,0.08847502076020962
Needle Passing,Left_Max_Speed,-0.07449383057539838
Needle Passing,Left_Mean_Jerk,-0.06124984606626165
Needle Passing,Left_Median_Acceleration,0.05068363035345835
Needle Passing,Left_Median_Speed,-0.020163848555286024
Needle Passing,Right_Speed_Std,-0.007678194933686899
Needle Passing,Left_Mean_Acceleration,0.0032928560675731587
