Task,Feature,Pearson_Correlation
Suturing,Left_Speed_Std,0.6284166679197203
Suturing,Left_Acceleration_Std,0.6278245418054578
Suturing,Left_Max_Acceleration,0.6253654156213051
Suturing,Left_Mean_Speed,0.6196460102788056
Suturing,Left_Median_Acceleration,0.6043212599096526
Suturing,Left_Mean_Acceleration,0.5897926379712191
Suturing,Left_Max_Speed,0.5471831831663044
Suturing,Left_Idle_Ratio,-0.5181632956458427
Suturing,Left_Mean_Jerk,0.49449090628046555
Suturing,Left_Median_Jerk,0.44862694419725047
Suturing,Left_Idle_Time,-0.4434079868248152
Suturing,Left_Median_Speed,0.4421356993318077
Suturing,Left_Jerk_Std,0.3883365942864922
Suturing,Left_Max_Jerk,0.38083375257767926
Suturing,Right_Max_Speed,0.2915699240879077
Suturing,Right_Idle_Time,-0.28704369998501666
Suturing,Right_Median_Speed,-0.2725459984521105
Suturing,Right_Max_Acceleration,0.2607915682686724
Suturing,Right_Median_Acceleration,0.16698974259829494
Suturing,Right_Acceleration_Std,0.15551240199600494
Suturing,Right_Speed_Std,0.14416139104176076
Suturing,Right_Mean_Acceleration,0.1385604379937229
Suturing,Right_Max_Jerk,0.12106916553254081
Suturing,Right_Mean_Jerk,0.08688596291057919
Suturing,Right_Jerk_Std,0.05600051687156867
Suturing,Right_Median_Jerk,0.053203218505460816
Suturing,Right_Mean_Speed,-0.046939382748822825
Suturing,Right_Idle_Ratio,-0.027855149647406485
