column,dtype,non_null_count,memory_bytes
MASTER_LEFT_POS_X,object,0,0
MASTER_LEFT_POS_Y,object,0,0
MASTER_LEFT_POS_Z,object,0,0
MASTER_LEFT_ROT_R11,object,0,0
MASTER_LEFT_ROT_R12,object,0,0
MASTER_LEFT_ROT_R13,object,0,0
MASTER_LEFT_ROT_R21,object,0,0
MASTER_LEFT_ROT_R22,object,0,0
MASTER_LEFT_ROT_R23,object,0,0
MASTER_LEFT_ROT_R31,object,0,0
MASTER_LEFT_ROT_R32,object,0,0
MASTER_LEFT_ROT_R33,object,0,0
MASTER_LEFT_LIN_VEL_X,object,0,0
MASTER_LEFT_LIN_VEL_Y,object,0,0
MASTER_LEFT_LIN_VEL_Z,object,0,0
MASTER_LEFT_ROT_VEL_X,object,0,0
MASTER_LEFT_ROT_VEL_Y,object,0,0
MASTER_LEFT_ROT_VEL_Z,object,0,0
MASTER_LEFT_GRIPPER_ANGLE,object,0,0
MASTER_RIGHT_POS_X,object,0,0
MASTER_RIGHT_POS_Y,object,0,0
MASTER_RIGHT_POS_Z,object,0,0
MASTER_RIGHT_ROT_R11,object,0,0
MASTER_RIGHT_ROT_R12,object,0,0
MASTER_RIGHT_ROT_R13,object,0,0
MASTER_RIGHT_ROT_R21,object,0,0
MASTER_RIGHT_ROT_R22,object,0,0
MASTER_RIGHT_ROT_R23,object,0,0
MASTER_RIGHT_ROT_R31,object,0,0
MASTER_RIGHT_ROT_R32,object,0,0
MASTER_RIGHT_ROT_R33,object,0,0
MASTER_RIGHT_LIN_VEL_X,object,0,0
MASTER_RIGHT_LIN_VEL_Y,object,0,0
MASTER_RIGHT_LIN_VEL_Z,object,0,0
MASTER_RIGHT_ROT_VEL_X,object,0,0
MASTER_RIGHT_ROT_VEL_Y,object,0,0
MASTER_RIGHT_ROT_VEL_Z,object,0,0
MASTER_RIGHT_GRIPPER_ANGLE,object,0,0
SLAVE_LEFT_POS_X,object,0,0
SLAVE_LEFT_POS_Y,object,0,0
SLAVE_LEFT_POS_Z,object,0,0
SLAVE_LEFT_ROT_R11,object,0,0
SLAVE_LEFT_ROT_R12,object,0,0
SLAVE_LEFT_ROT_R13,object,0,0
SLAVE_LEFT_ROT_R21,object,0,0
SLAVE_LEFT_ROT_R22,object,0,0
SLAVE_LEFT_ROT_R23,object,0,0
SLAVE_LEFT_ROT_R31,object,0,0
SLAVE_LEFT_ROT_R32,object,0,0
SLAVE_LEFT_ROT_R33,object,0,0
SLAVE_LEFT_LIN_VEL_X,object,0,0
SLAVE_LEFT_LIN_VEL_Y,object,0,0
SLAVE_LEFT_LIN_VEL_Z,object,0,0
SLAVE_LEFT_ROT_VEL_X,object,0,0
SLAVE_LEFT_ROT_VEL_Y,object,0,0
SLAVE_LEFT_ROT_VEL_Z,object,0,0
SLAVE_LEFT_GRIPPER_ANGLE,object,0,0
SLAVE_RIGHT_POS_X,object,0,0
SLAVE_RIGHT_POS_Y,object,0,0
SLAVE_RIGHT_POS_Z,object,0,0
SLAVE_RIGHT_ROT_R11,object,0,0
SLAVE_RIGHT_ROT_R12,object,0,0
SLAVE_RIGHT_ROT_R13,object,0,0
SLAVE_RIGHT_ROT_R21,object,0,0
SLAVE_RIGHT_ROT_R22,object,0,0
SLAVE_RIGHT_ROT_R23,object,0,0
SLAVE_RIGHT_ROT_R31,object,0,0
SLAVE_RIGHT_ROT_R32,object,0,0
SLAVE_RIGHT_ROT_R33,object,0,0
SLAVE_RIGHT_LIN_VEL_X,object,0,0
SLAVE_RIGHT_LIN_VEL_Y,object,0,0
SLAVE_RIGHT_LIN_VEL_Z,object,0,0
SLAVE_RIGHT_ROT_VEL_X,object,0,0
SLAVE_RIGHT_ROT_VEL_Y,object,0,0
SLAVE_RIGHT_ROT_VEL_Z,object,0,0
SLAVE_RIGHT_GRIPPER_ANGLE,object,0,0
