Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.12055570720461095,0.120182,0.011933441561965154,-0.2073457116655762,0.087775,0.147414
MASTER_LEFT_POS_Y,-0.0038411855907780974,0.008417,0.02402984817001464,-0.18951621008872138,-0.044194,0.038634
MASTER_LEFT_POS_Z,0.43601686570605186,0.436078,0.01739994042035481,0.16175972985466594,0.395125,0.48477
MASTER_LEFT_ROT_R11,0.08546161613832855,-0.239099,0.5482186727113061,0.3893355002734104,-0.691904,0.92991
MASTER_LEFT_ROT_R12,0.5921876247838617,0.687202,0.27487731754747,-0.49780382793728967,-0.201702,0.929174
MASTER_LEFT_ROT_R13,-0.4891384841498559,-0.439265,0.16410349490336235,-1.2525505704392796,-0.943352,-0.278173
MASTER_LEFT_ROT_R21,-0.6412823037463978,-0.813041,0.3065349893700042,0.6701429361361141,-0.997347,0.36534
MASTER_LEFT_ROT_R22,0.003064351008645557,-0.280226,0.6820585587464854,0.26768161099998744,-0.99982,0.992049
MASTER_LEFT_ROT_R23,-0.1300392317002882,-0.147571,0.11389142554010129,0.15689575817925655,-0.358133,0.197024
MASTER_LEFT_ROT_R31,-0.13078378097982707,-0.191031,0.4119273183218138,-0.10883707691929816,-0.96249,0.43285
MASTER_LEFT_ROT_R32,0.2688691729106628,0.183363,0.1900682891287435,0.571153855505108,-0.308098,0.723113
MASTER_LEFT_ROT_R33,0.8272225821325647,0.893451,0.1437193538828948,-2.2432320249756375,0.27075,0.938853
MASTER_LEFT_LIN_VEL_X,0.000273700288184438,4e-06,0.01249588135423037,-0.7119196272750012,-0.068809,0.050591
MASTER_LEFT_LIN_VEL_Y,0.0012651550432276658,4e-06,0.011063607827724302,1.1601157271977542,-0.042632,0.063913
MASTER_LEFT_LIN_VEL_Z,0.0010135048991354468,1e-06,0.013567087255376059,0.3016407103692353,-0.066262,0.076007
MASTER_LEFT_ROT_VEL_X,-0.004903743515850148,0.0,0.6488280082162015,-0.3829800991947679,-6.119164,5.211883
MASTER_LEFT_ROT_VEL_Y,0.009069182132564843,0.0,0.292083460653768,0.9893208645297529,-1.600523,2.228881
MASTER_LEFT_ROT_VEL_Z,-0.000946521613832849,0.0,0.7786507888373578,-0.4920176609463035,-5.386611,5.511134
MASTER_LEFT_GRIPPER_ANGLE,-0.5277561510086456,-0.337104,0.6194866440523812,-0.3439372743868594,-1.913037,0.52389
MASTER_RIGHT_POS_X,-0.10352527838616714,-0.101202,0.014628908460924095,-0.16477198263486145,-0.129919,-0.075787
MASTER_RIGHT_POS_Y,0.008964278962536026,0.019759,0.024598710807816004,-0.21395988836828866,-0.034373,0.043202
MASTER_RIGHT_POS_Z,0.40817407377521614,0.406176,0.020954312328700216,-0.11890751234449233,0.350784,0.452899
MASTER_RIGHT_ROT_R11,0.1912964270893372,0.292075,0.36269713241535734,-1.267478743728314,-0.948982,0.670735
MASTER_RIGHT_ROT_R12,0.5455569037463978,0.615868,0.19711539944111958,-0.6336310497941204,0.003161,0.923036
MASTER_RIGHT_ROT_R13,0.6580630726224783,0.684506,0.2498965375678125,-1.3275553877019184,-0.309445,0.999673
MASTER_RIGHT_ROT_R21,-0.6593765671469741,-0.784671,0.2856629877799884,1.3230809893493727,-0.99957,0.054397
MASTER_RIGHT_ROT_R22,0.5197136149855908,0.573032,0.364511811469847,-1.7529770304184942,-0.819655,0.990719
MASTER_RIGHT_ROT_R23,-0.1529962766570605,-0.154656,0.2394383375234432,-0.32029180752692255,-0.753895,0.323455
MASTER_RIGHT_ROT_R31,-0.4867400449567723,-0.412764,0.2806694195596004,-0.37183807591980156,-0.999756,0.162057
MASTER_RIGHT_ROT_R32,-0.46338555100864554,-0.48873,0.21586854860081814,0.6742287794984745,-0.925276,0.023086
MASTER_RIGHT_ROT_R33,0.5770953596541787,0.691793,0.2998859009656085,-1.0268062358304115,-0.243395,0.924263
MASTER_RIGHT_LIN_VEL_X,0.00032005014409221895,-9.2e-05,0.014157149684465877,0.3598315020532285,-0.057148,0.065948
MASTER_RIGHT_LIN_VEL_Y,0.0011010668587896253,0.000443,0.013522272503450755,0.2739924998715482,-0.056591,0.06262
MASTER_RIGHT_LIN_VEL_Z,0.0007908414985590779,0.000206,0.016449581808460907,0.29237079416120787,-0.078743,0.095535
MASTER_RIGHT_ROT_VEL_X,0.020892308933717577,0.0,0.8190679534435183,0.37865224269713543,-5.761759,5.707445
MASTER_RIGHT_ROT_VEL_Y,-0.01951070547550432,0.0,0.506956544144507,-0.7011673291309767,-3.66618,3.039596
MASTER_RIGHT_ROT_VEL_Z,0.03265110489913544,0.0,0.771619263404318,0.9310311134321951,-5.311989,5.131392
MASTER_RIGHT_GRIPPER_ANGLE,-0.6249715896253603,-0.727665,0.642943071470656,0.17246829812030198,-1.404595,0.452682
SLAVE_LEFT_POS_X,0.04319037175792507,0.044352,0.007314692869073003,-0.16481676260690092,0.029996,0.057062
SLAVE_LEFT_POS_Y,0.04654389106628242,0.051939,0.012299404733357288,-0.213907677772087,0.024868,0.063669
SLAVE_LEFT_POS_Z,-0.00763247665706052,-0.008634,0.010477258826486455,-0.11897679588273573,-0.036333,0.014731
SLAVE_LEFT_ROT_R11,-0.09362393429394812,-0.185609,0.34847006871619146,1.2269687583382811,-0.566781,0.973168
SLAVE_LEFT_ROT_R12,-0.5892704011527378,-0.664192,0.21559830151400464,0.7333552537014933,-0.933936,-0.009862
SLAVE_LEFT_ROT_R13,0.6413974841498559,0.65999,0.2546034115474235,-1.3420571713508744,-0.33394,0.997676
SLAVE_LEFT_ROT_R21,0.7189017123919309,0.844462,0.27990292461014454,-1.4749336111787457,-0.166166,0.999712
SLAVE_LEFT_ROT_R22,-0.4183765308357349,-0.458063,0.37429586191380193,1.33285654480202,-0.981643,0.838612
SLAVE_LEFT_ROT_R23,-0.19116184034582134,-0.197832,0.2308909468428999,-0.2036161706099447,-0.734982,0.281168
