Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.1677130547826087,0.156714,0.03201945090029014,1.6125176608511218,0.103039,0.26039
MASTER_LEFT_POS_Y,-0.0020427513043478262,-0.0007819999999999999,0.023269069323031136,-0.5904604045837466,-0.055997,0.03063
MASTER_LEFT_POS_Z,0.32546097391304346,0.3277995,0.02953810376371176,-0.20704984878609498,0.265517,0.374797
MASTER_LEFT_ROT_R11,-0.3962513034782608,-0.357373,0.2772389931861364,-0.24698450154355292,-0.947336,0.222256
MASTER_LEFT_ROT_R12,-0.2010900591304348,-0.32441549999999997,0.3396937714227886,0.31201210966871523,-0.77423,0.574798
MASTER_LEFT_ROT_R13,-0.7652195852173913,-0.8299235,0.1580111986414426,1.1457950269352537,-0.96999,-0.294751
MASTER_LEFT_ROT_R21,-0.35267959043478264,-0.29269,0.32101853840430994,-0.23295437169741343,-0.979812,0.103091
MASTER_LEFT_ROT_R22,-0.7324445156521739,-0.7373255,0.13898767533836504,0.6315544185565717,-0.933079,-0.185284
MASTER_LEFT_ROT_R23,0.4338012730434782,0.4567445,0.16938526403599888,-0.4749197827498608,-0.12082,0.757529
MASTER_LEFT_ROT_R31,-0.6876851991304347,-0.7284685,0.2558794540261796,0.14395764845258321,-0.99949,-0.185091
MASTER_LEFT_ROT_R32,0.4553541208695652,0.42582949999999997,0.28506578930474846,-0.20533014550374112,-0.027009,0.892891
MASTER_LEFT_ROT_R33,0.3075869173913044,0.252904,0.2803893478369235,0.0003988411982972169,-0.38033,0.86588
MASTER_LEFT_LIN_VEL_X,-0.0002268634782608696,3.5e-05,0.04154992804686142,-2.587126517246848,-0.258455,0.128619
MASTER_LEFT_LIN_VEL_Y,0.0016398165217391303,-2.4999999999999998e-06,0.016136160518013143,0.26463094661542197,-0.061755,0.061444
MASTER_LEFT_LIN_VEL_Z,0.0017634782608695657,-5e-07,0.025360377571382105,-1.2280015784203664,-0.194088,0.101473
MASTER_LEFT_ROT_VEL_X,0.005144772173913044,0.0,0.7320220020217819,0.024847932698696274,-5.719806,5.310599
MASTER_LEFT_ROT_VEL_Y,-0.002474229565217399,0.0,0.8297290352774703,0.6846300472929909,-5.273077,6.627268
MASTER_LEFT_ROT_VEL_Z,-0.005057647826086957,0.0,0.6086059871648175,-0.4647226941527314,-4.528614,3.492981
MASTER_LEFT_GRIPPER_ANGLE,-0.7392854373913043,-1.0232515,0.8846073894274328,0.1305334032460199,-1.919008,0.523467
MASTER_RIGHT_POS_X,-0.16652771652173912,-0.1658485,0.02342039838762302,-0.19342721445133348,-0.224966,-0.127127
MASTER_RIGHT_POS_Y,-0.0066607260869565215,-0.014128499999999999,0.021835432186551068,0.2913336535482232,-0.044344,0.033093
MASTER_RIGHT_POS_Z,0.3320306756521739,0.32917399999999997,0.021008495016662094,0.12711931502903637,0.278713,0.369575
MASTER_RIGHT_ROT_R11,-0.48157570173913045,-0.5592705,0.3139999369792178,0.49291375402855436,-0.931462,0.278198
MASTER_RIGHT_ROT_R12,-0.2033013391304348,-0.26934650000000004,0.5632789677613379,0.20349282030637797,-0.982089,0.923332
MASTER_RIGHT_ROT_R13,0.5189388,0.5182225,0.2048566572496114,0.13506991627572057,0.159458,0.986253
MASTER_RIGHT_ROT_R21,0.41733770608695653,0.618473,0.4813142120342384,-0.651327013950958,-0.677191,0.98975
MASTER_RIGHT_ROT_R22,-0.529072472173913,-0.644353,0.36191333913611357,0.7591570177134656,-0.971538,0.341115
MASTER_RIGHT_ROT_R23,0.4062887617391304,0.4162855,0.1358734318110755,-0.0010939323203434845,-0.026527,0.747917
MASTER_RIGHT_ROT_R31,0.25365750434782613,0.3230095,0.44732730737519066,-0.18089146327032923,-0.465266,0.964064
MASTER_RIGHT_ROT_R32,0.38889572086956525,0.42412550000000004,0.2828895360073869,-0.4901927515262094,-0.290841,0.890679
MASTER_RIGHT_ROT_R33,0.6818873686956521,0.7396294999999999,0.19864642537749003,-1.4260985797405241,-0.184406,0.929585
MASTER_RIGHT_LIN_VEL_X,-0.00012327130434782604,1e-06,0.03934777324225468,0.7159868602418454,-0.16497,0.232305
