Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.16290008280254775,0.159593,0.015785974863566022,1.1007410585056006,0.144514,0.207736
MASTER_LEFT_POS_Y,-0.018835289012738853,-0.008833,0.024864899108417545,-0.227462666407805,-0.059538,0.023352
MASTER_LEFT_POS_Z,0.3153666090764331,0.311809,0.027298053975954927,0.34450740713206,0.246534,0.36546
MASTER_LEFT_ROT_R11,-0.37262104060509554,-0.357696,0.1533687309548889,0.1479534857021015,-0.782133,0.008875
MASTER_LEFT_ROT_R12,0.19755514808917196,0.237072,0.18564445977420424,-0.6888824575640217,-0.311265,0.577183
MASTER_LEFT_ROT_R13,-0.8707622332802548,-0.8891344999999999,0.0775181847003371,1.1382150114269087,-0.982636,-0.604784
MASTER_LEFT_ROT_R21,-0.4512476289808917,-0.5330125,0.2516556420032941,0.696170353491979,-0.882317,0.192883
MASTER_LEFT_ROT_R22,-0.836316673566879,-0.8382305,0.12170625406698891,1.0639600577966881,-0.998783,-0.46198
MASTER_LEFT_ROT_R23,0.031337789808917195,0.041398500000000005,0.133690762881275,-0.20086667656339596,-0.277317,0.395739
MASTER_LEFT_ROT_R31,-0.736906530254777,-0.6763905,0.1646938274393639,0.509875318411101,-0.993098,-0.307885
MASTER_LEFT_ROT_R32,0.4124466719745223,0.5046865,0.20477597778845985,-0.9790926660963853,-0.215766,0.724781
MASTER_LEFT_ROT_R33,0.4365001568471337,0.452457,0.16544089092006722,-0.5016753473367936,-4.2e-05,0.774643
MASTER_LEFT_LIN_VEL_X,-0.00015548646496815283,0.0,0.020709282540062064,-0.9186540051071438,-0.125952,0.073006
MASTER_LEFT_LIN_VEL_Y,0.0013489371019108278,0.0,0.01407879025690889,0.9688379364200683,-0.052577,0.085001
MASTER_LEFT_LIN_VEL_Z,0.0015416815286624205,0.0,0.022443934630986814,0.40463211155266954,-0.108495,0.115393
MASTER_LEFT_ROT_VEL_X,0.010154327229299358,0.0,0.6690203857817182,1.5976604067458313,-5.019551,5.448578
MASTER_LEFT_ROT_VEL_Y,0.01649981767515924,0.0,0.29854897521364054,0.20923561642081911,-1.975113,2.005228
MASTER_LEFT_ROT_VEL_Z,-0.0008849808917197403,0.0,0.529606551644848,1.9027653334460464,-3.306735,4.543925
MASTER_LEFT_GRIPPER_ANGLE,-1.0447631441082803,-1.8257965,1.0335842484678421,0.5275728343969736,-1.922804,0.523335
MASTER_RIGHT_POS_X,-0.15927756608280252,-0.155634,0.020282513286561256,-0.45052308281563774,-0.211725,-0.12867
MASTER_RIGHT_POS_Y,-0.002090240445859874,0.0008615000000000001,0.02767486427224458,-0.16503454263479242,-0.050982,0.043042
MASTER_RIGHT_POS_Z,0.32114280891719743,0.3146755,0.028012890918234848,0.18211019958530683,0.257022,0.374491
MASTER_RIGHT_ROT_R11,-0.3924068630573248,-0.430416,0.203280478942817,0.629610696691177,-0.817356,0.196689
MASTER_RIGHT_ROT_R12,-0.3256711472929936,-0.451744,0.45108377800860117,0.8773003510498791,-0.905552,0.657808
MASTER_RIGHT_ROT_R13,0.6900504084394904,0.693767,0.13851934245334815,-0.4229280895608984,0.329248,0.971151
MASTER_RIGHT_ROT_R21,0.6463234546178345,0.78641,0.37993963998730634,-1.6406087995436447,-0.409904,0.999926
MASTER_RIGHT_ROT_R22,-0.48175618471337583,-0.5659,0.29307688284054,0.7531583814049612,-0.949825,0.292392
MASTER_RIGHT_ROT_R23,0.29819963535031846,0.272893,0.17648701870370948,-0.035604230432255496,-0.033197,0.595069
MASTER_RIGHT_ROT_R31,0.3025037117834395,0.2829205,0.3893115245177415,-0.05516153150806798,-0.466956,0.953778
MASTER_RIGHT_ROT_R32,0.5533536520700636,0.64387,0.25914379238353114,-2.050683178846647,-0.264621,0.946518
MASTER_RIGHT_ROT_R33,0.5894484076433121,0.6650375,0.19023371482520401,-0.8443427178528774,0.05384,0.866417
MASTER_RIGHT_LIN_VEL_X,0.000268249203821656,0.0,0.022186768588346253,0.6311619383985956,-0.078288,0.091778
MASTER_RIGHT_LIN_VEL_Y,0.0018533487261146498,0.0,0.023097491786548765,1.0018828693295665,-0.071579,0.113969
MASTER_RIGHT_LIN_VEL_Z,0.0015939522292993634,8.5e-06,0.03476796162544124,-0.4731148426081936,-0.126419,0.110874
MASTER_RIGHT_ROT_VEL_X,-0.019674286624203823,0.0,0.8684503634209894,-0.05924809213681454,-5.044846,5.232533
MASTER_RIGHT_ROT_VEL_Y,-0.01961270143312103,0.0,0.7472169914482013,-0.3183055697806071,-5.21532,5.020565
MASTER_RIGHT_ROT_VEL_Z,0.010518200636942676,0.0,0.8258615148066315,1.002056474217471,-4.789263,5.447201
MASTER_RIGHT_GRIPPER_ANGLE,-0.7842818837579618,-1.4027180000000001,0.81091645472609,0.6563444955359786,-1.408607,0.53567
SLAVE_LEFT_POS_X,0.04623122611464968,0.048050999999999996,0.010141082232014532,-0.45095488835194797,0.020005,0.061534
SLAVE_LEFT_POS_Y,0.04199449203821656,0.043451500000000004,0.013855525129588904,-0.16247108880530392,0.017529,0.064546
SLAVE_LEFT_POS_Z,-0.007176000000000002,-0.0104125,0.014013645489236838,0.1819931964509438,-0.039285,0.019493
SLAVE_LEFT_ROT_R11,0.4005460891719746,0.4118465,0.20790486552822848,-0.632468785070938,-0.231591,0.838312
SLAVE_LEFT_ROT_R12,0.4552417500000001,0.586317,0.431281466093454,-0.9988998720887186,-0.522236,0.957965
SLAVE_LEFT_ROT_R13,0.6071499729299363,0.581695,0.18619133157140783,-0.22239176137085373,0.166634,0.954727
SLAVE_LEFT_ROT_R21,-0.6633494864649682,-0.8006055,0.37084471931584473,1.7186165499630917,-0.997086,0.384979
SLAVE_LEFT_ROT_R22,0.48372316878980887,0.5543795,0.31255346231179687,-0.5632602472312144,-0.283231,0.987911
SLAVE_LEFT_ROT_R23,0.25429111544585986,0.220423,0.1621944467984597,-0.20123784789256757,-0.083164,0.549697
SLAVE_LEFT_ROT_R31,-0.23627671656050955,-0.203383,0.4040124596904757,-0.04665863301653535,-0.938881,0.52645
SLAVE_LEFT_ROT_R32,-0.4680246305732484,-0.523917,0.23726734292397775,1.7744433331584006,-0.885108,0.254642
