Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.16485405171042164,0.152693,0.028488877591608428,1.1601277363249953,0.136572,0.230938
MASTER_LEFT_POS_Y,-0.03506678520286396,-0.029593,0.02424730324725484,0.09371379532287574,-0.074547,0.018706
MASTER_LEFT_POS_Z,0.2996409554494829,0.294308,0.0280259786178833,0.24444687109118213,0.238908,0.352052
MASTER_LEFT_ROT_R11,-0.7242400596658711,-0.692953,0.1381815772681745,0.17467929210575428,-0.936134,-0.284988
MASTER_LEFT_ROT_R12,-0.21478420525059666,-0.306949,0.24727513552612648,1.1315517389393326,-0.68695,0.525511
MASTER_LEFT_ROT_R13,-0.5530045735879078,-0.630886,0.20840999524089165,0.7515481103050338,-0.820795,-0.065247
MASTER_LEFT_ROT_R21,0.011534221957040573,0.115185,0.2967324270453068,-0.47957775943717335,-0.664643,0.452267
MASTER_LEFT_ROT_R22,-0.8974882903739061,-0.905632,0.0572226442791121,1.5495539237677232,-0.98402,-0.600539
MASTER_LEFT_ROT_R23,0.27899378440731903,0.281576,0.159010869661576,0.3637229777933081,0.007034,0.789773
MASTER_LEFT_ROT_R31,-0.5707438377088305,-0.618765,0.20403836624797023,0.575759481241861,-0.899189,-0.089551
MASTER_LEFT_ROT_R32,0.223911000795545,0.187613,0.1842966733484361,-0.037462395833407325,-0.142501,0.664789
MASTER_LEFT_ROT_R33,0.7198099331742243,0.692963,0.17465291029769336,0.01505342052784013,0.381876,0.994749
MASTER_LEFT_LIN_VEL_X,-0.00015236038186157514,8e-06,0.024875300991837504,-2.092324969497886,-0.142171,0.10143
MASTER_LEFT_LIN_VEL_Y,0.0019428854415274462,0.0,0.013657034151429038,2.4446103263603343,-0.035342,0.10833
MASTER_LEFT_LIN_VEL_Z,0.00129061416070008,0.0,0.019450174095545482,0.07917028641274693,-0.106681,0.102875
MASTER_LEFT_ROT_VEL_X,0.002771988066825776,0.0,0.5005246321539984,1.1633410464316676,-3.841637,4.537519
MASTER_LEFT_ROT_VEL_Y,0.00639611933174224,0.0,0.4296228899553603,1.691318947564981,-2.514442,4.336638
MASTER_LEFT_ROT_VEL_Z,-0.0022009681782020714,0.0,0.5595108721887732,-0.6145806927816531,-4.914468,4.59162
MASTER_LEFT_GRIPPER_ANGLE,-0.6705619761336516,-0.748213,0.7937170881822797,0.15215321047167912,-1.922775,0.522314
MASTER_RIGHT_POS_X,-0.16587073906125696,-0.164419,0.018301751736762413,0.1228210432316817,-0.200949,-0.131665
MASTER_RIGHT_POS_Y,-0.027260939538583925,-0.023621,0.028365887308394212,0.05020077122203568,-0.072325,0.021597
MASTER_RIGHT_POS_Z,0.3012324017501989,0.297641,0.024675345044698628,0.138191022023408,0.249831,0.343025
MASTER_RIGHT_ROT_R11,-0.36477194988066824,-0.391372,0.26995821496050515,0.665083609901035,-0.87504,0.272273
MASTER_RIGHT_ROT_R12,-0.2957209204455052,-0.406528,0.5049531841405608,0.8548552840938045,-0.9391,0.921407
MASTER_RIGHT_ROT_R13,0.6331135974542562,0.688856,0.22604282752475027,-0.3107922493540084,0.197739,0.99222
MASTER_RIGHT_ROT_R21,0.6072583922036594,0.75682,0.41811054521112206,-1.7006336796920325,-0.608716,0.991391
MASTER_RIGHT_ROT_R22,-0.4912773206046141,-0.526985,0.29033552803693713,0.851823673684748,-0.998798,0.345368
MASTER_RIGHT_ROT_R23,0.28265854494828957,0.223225,0.2259588365976887,0.40318083189630266,-0.233403,0.84143
MASTER_RIGHT_ROT_R31,0.31855212012728723,0.33158,0.3866539385625088,-0.17856337653927412,-0.392275,0.970017
MASTER_RIGHT_ROT_R32,0.4926196062052506,0.514052,0.3001216330638345,-1.0163977937700168,-0.329777,0.931884
MASTER_RIGHT_ROT_R33,0.5892728058870326,0.616174,0.2629495794724187,-0.845595088745517,-0.345652,0.964435
MASTER_RIGHT_LIN_VEL_X,0.00013550119331742265,3.2e-05,0.019145687987828165,0.39280300995958245,-0.068688,0.081148
MASTER_RIGHT_LIN_VEL_Y,0.002037321400159109,9e-06,0.01448262725197157,0.677137285471933,-0.046447,0.073551
MASTER_RIGHT_LIN_VEL_Z,0.0013232736674622114,3e-05,0.024902553006891356,0.671800790802681,-0.074294,0.119084
MASTER_RIGHT_ROT_VEL_X,-0.0017145346062052435,0.0,1.0215925802576267,0.3358183225130158,-5.187685,5.573484
MASTER_RIGHT_ROT_VEL_Y,-0.03093240095465394,0.0,0.9488173063331878,0.012844362162017708,-4.942523,4.694759
MASTER_RIGHT_ROT_VEL_Z,-0.06513284645982496,0.0,1.03481405922678,-0.7651836433358284,-5.042799,5.089581
MASTER_RIGHT_GRIPPER_ANGLE,-0.5146333929992044,-0.470427,0.6762926308073344,0.016066357980000518,-1.406911,0.531295
SLAVE_LEFT_POS_X,0.04427831185361973,0.044992,0.0091509235259176,0.12285799833439318,0.02674,0.061382
SLAVE_LEFT_POS_Y,0.04102631503579952,0.042849,0.014183184523705386,0.05023404756280922,0.01849,0.06546
SLAVE_LEFT_POS_Z,-0.004644832140015911,-0.006476,0.012338557974165072,0.13797471417369228,-0.030358,0.016257
SLAVE_LEFT_ROT_R11,0.40729152028639615,0.445895,0.2710522136531544,-0.6870697028882464,-0.229943,0.900163
SLAVE_LEFT_ROT_R12,0.26828162688941926,0.372702,0.5064138779176781,-0.7980528565259926,-0.93017,0.932996
SLAVE_LEFT_ROT_R13,0.61931315433572,0.662084,0.22128143494184868,-0.20376429363266493,0.199672,0.995692
SLAVE_LEFT_ROT_R21,-0.5767199284009545,-0.724556,0.42799475836651857,1.665717206319804,-0.982831,0.652355
SLAVE_LEFT_ROT_R22,0.4991976062052506,0.53804,0.2863849350470025,-0.8430927085289823,-0.327944,0.997555
SLAVE_LEFT_ROT_R23,0.32896407716785997,0.275375,0.21219791021204212,0.24423594034518403,-0.174316,0.823301
SLAVE_LEFT_ROT_R31,-0.2986684630071599,-0.320423,0.39494678441830855,0.2190052730604838,-0.953155,0.428366
SLAVE_LEFT_ROT_R32,-0.49974909069212414,-0.524711,0.3015733065159552,1.1092140214711088,-0.926052,0.341441
SLAVE_LEFT_ROT_R33,0.5938242458233891,0.608712,0.24846594337465036,-0.9597227500488081,-0.30755,0.954592
