Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.07874683396430503,0.067207,0.04065470308066281,0.6237759683567575,0.017006,0.218062
MASTER_LEFT_POS_Y,0.04682321957815035,0.047657,0.014524869626994818,-0.1388331197964894,0.011427,0.087879
MASTER_LEFT_POS_Z,0.3865902704164413,0.386708,0.031068034163458328,-0.42169547749628894,0.316614,0.442343
MASTER_LEFT_ROT_R11,-0.47857378096268255,-0.491622,0.26951186524606185,0.37809513442889414,-0.939929,0.259797
MASTER_LEFT_ROT_R12,0.01806378096268253,0.089343,0.4564206369458155,-0.1816087812727793,-0.77557,0.818388
MASTER_LEFT_ROT_R13,-0.6838714234721471,-0.66439,0.1490418204346221,0.12315894233418978,-0.975727,-0.304368
MASTER_LEFT_ROT_R21,-0.22158403839913468,-0.265734,0.46391037484325465,0.46877825991280486,-0.920864,0.773271
MASTER_LEFT_ROT_R22,-0.7723195970795025,-0.807522,0.17740423204938746,1.7017197443219085,-0.992517,-0.05171
MASTER_LEFT_ROT_R23,0.22494306868577607,0.223099,0.2393212566504514,-0.4996841938199489,-0.476978,0.724362
MASTER_LEFT_ROT_R31,-0.6154718793942672,-0.616488,0.2340425190088309,0.4369970987648936,-0.985464,0.123424
MASTER_LEFT_ROT_R32,0.2395769713358572,0.320937,0.32539345080584237,-0.6702062666174821,-0.465528,0.817695
MASTER_LEFT_ROT_R33,0.6033478128718225,0.650724,0.19810854804371733,-0.3604543097367751,0.145176,0.949646
MASTER_LEFT_LIN_VEL_X,0.00035522660897782573,-0.000287,0.034246765194510066,-0.14994063371605676,-0.208294,0.194584
MASTER_LEFT_LIN_VEL_Y,-0.00035064034613304485,-0.000373,0.02108937082081572,-0.43042633828924837,-0.138242,0.126968
MASTER_LEFT_LIN_VEL_Z,0.0009730519199567334,-0.000364,0.028555797250373622,1.0906702888327608,-0.115317,0.130903
MASTER_LEFT_ROT_VEL_X,-0.006948605191995666,0.0,1.0387471656983387,-0.5021366157546789,-6.237765,7.4692
MASTER_LEFT_ROT_VEL_Y,0.009356610059491626,0.0,0.7945576002282001,0.1825173936961654,-4.355002,4.648468
MASTER_LEFT_ROT_VEL_Z,-0.04016729259058951,0.0,1.0520579877629037,-1.2483860266469022,-8.336555,4.937552
MASTER_LEFT_GRIPPER_ANGLE,-0.4794275873445105,-0.221266,0.7633146750014026,-0.5135744557882119,-1.914256,0.522392
MASTER_RIGHT_POS_X,-0.09514828123309897,-0.10531,0.03903781087707845,0.22883574637639292,-0.196626,-0.024096
MASTER_RIGHT_POS_Y,0.07329447701460247,0.076105,0.013523176024301344,-0.6519525329627033,0.043911,0.099172
MASTER_RIGHT_POS_Z,0.34299507625743647,0.33909,0.02505821431904998,-0.1582172031520501,0.276449,0.39488
MASTER_RIGHT_ROT_R11,0.6836182698756085,0.765043,0.30781729903844374,-2.405600165772717,-0.56886,0.998646
MASTER_RIGHT_ROT_R12,0.17192464683612765,0.240236,0.32971203882983074,-0.2735278163489634,-0.582129,0.737612
MASTER_RIGHT_ROT_R13,0.504974400757166,0.501726,0.21159596348797322,-0.18958402235087754,0.038118,0.997097
MASTER_RIGHT_ROT_R21,-0.38409007301243914,-0.427576,0.32150565744847165,0.4419788519239935,-0.963736,0.568468
MASTER_RIGHT_ROT_R22,0.741255750676041,0.819497,0.22408429204701796,-1.6855369719505142,-0.054251,0.982161
MASTER_RIGHT_ROT_R23,0.30826144456462956,0.360066,0.23335885077058433,-1.5863140078786477,-0.603579,0.630568
MASTER_RIGHT_ROT_R31,-0.3363472990805841,-0.305331,0.2729344027106658,0.07967245564171464,-0.995762,0.266464
MASTER_RIGHT_ROT_R32,-0.45645618766901025,-0.456188,0.23248573124439315,1.1345535205767703,-0.96742,0.519548
MASTER_RIGHT_ROT_R33,0.7141833472147107,0.779001,0.19967906909184516,-1.401747835711403,-0.08872,0.93959
MASTER_RIGHT_LIN_VEL_X,0.000127021092482423,4e-06,0.024980337002830602,0.5037871239872522,-0.100464,0.134229
MASTER_RIGHT_LIN_VEL_Y,-1.134234721471053e-05,0.0,0.01493949582812767,0.10223597533272029,-0.079226,0.088377
MASTER_RIGHT_LIN_VEL_Z,3.237696051919936e-05,0.001091,0.026893401512257435,-2.285236312909004,-0.180501,0.096588
MASTER_RIGHT_ROT_VEL_X,-0.013917235262303953,0.0,0.7222273447740203,-1.0028599797474083,-7.305285,5.744106
