Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.07828454037267081,0.078521,0.02289437531271221,-0.5995065211449018,0.017895,0.123653
MASTER_LEFT_POS_Y,0.02561594658385093,0.029748,0.02475614685084545,-0.1098209507091879,-0.01581,0.070942
MASTER_LEFT_POS_Z,0.38719343685300206,0.386319,0.023778040007882358,-0.24292803588794462,0.302136,0.437494
MASTER_LEFT_ROT_R11,-0.2058904016563147,-0.223403,0.20055791948822224,0.7574819720001881,-0.551794,0.453975
MASTER_LEFT_ROT_R12,0.4877294873706004,0.603138,0.3783320304001267,-1.6211330073879673,-0.703284,0.971388
MASTER_LEFT_ROT_R13,-0.7143599730848861,-0.730551,0.16184060026322888,0.9920148422739874,-0.989994,-0.195705
MASTER_LEFT_ROT_R21,-0.5837469428571428,-0.659433,0.3120562997526818,1.0085819298524181,-0.999444,0.187444
MASTER_LEFT_ROT_R22,-0.6128886559006211,-0.700612,0.29160691921530807,1.2897797451290998,-0.990946,0.411968
MASTER_LEFT_ROT_R23,-0.17776314078674949,-0.257289,0.2639501999705698,1.8305167930024118,-0.55108,0.685739
MASTER_LEFT_ROT_R31,-0.6511643569358179,-0.640774,0.23444167794449283,0.7224304118013274,-0.999682,0.159182
MASTER_LEFT_ROT_R32,0.3366754186335404,0.397347,0.21099781343286028,-1.0663988850281287,-0.305078,0.787837
MASTER_LEFT_ROT_R33,0.5538667428571429,0.63817,0.23764451273628745,-0.9065911961992016,-0.171761,0.967964
MASTER_LEFT_LIN_VEL_X,0.00013896190476190472,0.0,0.026039003857339822,-1.1780892660462117,-0.159311,0.097999
MASTER_LEFT_LIN_VEL_Y,0.0008993163561076608,0.0,0.016789089439047552,0.02943344366765528,-0.133247,0.078393
MASTER_LEFT_LIN_VEL_Z,0.000680535817805383,0.0,0.026748703694927174,-0.8394485932499157,-0.151889,0.103609
MASTER_LEFT_ROT_VEL_X,0.011151059213250516,0.0,0.7610255157783168,-0.19285854613146008,-5.709129,5.243924
MASTER_LEFT_ROT_VEL_Y,0.030893842236024843,0.0,0.5477026109360499,2.058174897005748,-3.613662,4.275323
