Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.13599587278287462,0.12934,0.028432020129271447,0.9991515794887161,0.092772,0.211926
MASTER_LEFT_POS_Y,0.02129268256880734,0.021613,0.018528362720349852,0.46481534190358276,-0.013088,0.059346
MASTER_LEFT_POS_Z,0.36706303669724777,0.372956,0.028129084880277117,0.20442428828061301,0.322341,0.437088
MASTER_LEFT_ROT_R11,-0.48911283180428133,-0.540339,0.3621868073256021,0.8661938842782142,-0.977655,0.533255
MASTER_LEFT_ROT_R12,0.002009924770642226,-0.078347,0.3521816645888075,0.11554872493542943,-0.578246,0.735626
MASTER_LEFT_ROT_R13,-0.6834769351681957,-0.700648,0.19656472898914795,0.48015785610360623,-0.999154,-0.196475
MASTER_LEFT_ROT_R21,-0.1279016948012232,0.147507,0.5870991436800933,-0.2176890819929218,-0.992944,0.627049
MASTER_LEFT_ROT_R22,-0.6647220556574923,-0.786253,0.3777666752911106,2.4380448781617554,-0.99961,0.777683
MASTER_LEFT_ROT_R23,0.006763872171253832,-0.03629,0.23377379334295553,0.10880980011619448,-0.388327,0.440964
MASTER_LEFT_ROT_R31,-0.42518407522935786,-0.462179,0.2958087296499316,1.6598172814245138,-0.933632,0.605906
MASTER_LEFT_ROT_R32,0.11663165015290519,-0.099479,0.5270523457591152,0.24070085414840153,-0.710851,0.936837
MASTER_LEFT_ROT_R33,0.6267193510703364,0.652418,0.2187031966322577,-0.6549241066589138,0.01831,0.95516
MASTER_LEFT_LIN_VEL_X,-0.00010655045871559658,3.1e-05,0.02123601203587034,-2.023561482245785,-0.115577,0.071012
MASTER_LEFT_LIN_VEL_Y,0.0008765608562691132,1.6e-05,0.01335806781777105,0.9371392582281369,-0.052043,0.083467
MASTER_LEFT_LIN_VEL_Z,0.0019656960244648315,0.000104,0.01368899551265937,0.24677338952122685,-0.059698,0.068345
MASTER_LEFT_ROT_VEL_X,0.023293971865443408,0.0,0.6922324809322559,1.181575807329118,-4.744056,5.554368
MASTER_LEFT_ROT_VEL_Y,0.009180422629969416,0.0,0.4339847930357859,-0.6190302511711443,-2.683345,2.793483
MASTER_LEFT_ROT_VEL_Z,-0.014352012232415898,0.0,0.6543278548628496,-0.4021986669451373,-5.215843,5.036041
MASTER_LEFT_GRIPPER_ANGLE,-1.347059160856269,-1.724662,0.717892441636992,1.0434054091620633,-1.9217,0.408342
MASTER_RIGHT_POS_X,-0.14911343058103974,-0.148059,0.024924619966568983,0.04983217607686452,-0.20367,-0.099275
MASTER_RIGHT_POS_Y,0.040555876452599386,0.030999,0.021549897847537854,0.2641724095588023,-0.004586,0.076924
MASTER_RIGHT_POS_Z,0.33813991376146785,0.33878,0.02249481603606107,0.0940169875552092,0.281987,0.381969
MASTER_RIGHT_ROT_R11,0.34038823425076453,0.340789,0.20528704544376433,-0.25388957303963083,-0.09597,0.660518
MASTER_RIGHT_ROT_R12,0.371577528440367,0.369897,0.3033477566935403,0.001631725689720244,-0.210678,0.944534
MASTER_RIGHT_ROT_R13,0.7518981149847094,0.835739,0.2159966153955529,-0.518844133318592,0.328381,0.999839
MASTER_RIGHT_ROT_R21,-0.6793887773700306,-0.76107,0.2540894511462808,0.9177505762002776,-0.999514,-0.134674
MASTER_RIGHT_ROT_R22,0.6242048495412843,0.634607,0.25074413851970373,-0.38851496591852613,0.014997,0.989685
MASTER_RIGHT_ROT_R23,0.07883206177370031,0.08383,0.12317348914900479,0.07504928163819413,-0.213509,0.43448
MASTER_RIGHT_ROT_R31,-0.46566786299694196,-0.457937,0.3152039249317888,-0.1257063931364,-0.990812,0.051868
MASTER_RIGHT_ROT_R32,-0.5201364892966361,-0.487674,0.21782799496395935,-0.04151509107757619,-0.906852,-0.134344
MASTER_RIGHT_ROT_R33,0.5212678018348624,0.519633,0.3067559452092018,-0.35750013283841403,-0.162071,0.943541
MASTER_RIGHT_LIN_VEL_X,0.0005811431192660553,-3e-06,0.020610368991446817,0.24494916704541358,-0.09566,0.101899
MASTER_RIGHT_LIN_VEL_Y,0.001105514373088685,4.4e-05,0.017702375070657472,1.2166980251005917,-0.076114,0.128268
MASTER_RIGHT_LIN_VEL_Z,0.001351633639143731,0.001303,0.019481957667803917,-0.9143616520227683,-0.103526,0.076454
MASTER_RIGHT_ROT_VEL_X,-0.017842006116207947,0.0,0.708793934890941,-2.439350671884864,-5.507611,5.453831
MASTER_RIGHT_ROT_VEL_Y,-0.024179483180428132,-0.003626,0.5053684268744919,-0.08585796618322454,-2.954148,2.79315
MASTER_RIGHT_ROT_VEL_Z,0.019702616513761463,0.0,0.5802714600719305,2.2330257724057803,-4.365523,5.330703
MASTER_RIGHT_GRIPPER_ANGLE,-0.41789633211009175,-0.287204,0.6515672346226328,-0.26859370711145486,-1.405685,0.535351
SLAVE_LEFT_POS_X,0.0443813749235474,0.044922,0.012462511817838917,0.04964638475109685,0.017103,0.069298
SLAVE_LEFT_POS_Y,0.042722728440366974,0.037938,0.010776227826780586,0.2643898598226687,0.020148,0.060902
SLAVE_LEFT_POS_Z,-0.008037158409785932,-0.007714,0.011247138594678838,0.09359434762173299,-0.036146,0.013845
SLAVE_LEFT_ROT_R11,-0.3789068183486239,-0.368018,0.22468848376699743,0.24168969784693675,-0.731671,0.117602
SLAVE_LEFT_ROT_R12,-0.3590809314984709,-0.361657,0.2805307979968039,-0.1355295277570627,-0.950431,0.19157
SLAVE_LEFT_ROT_R13,0.7394628581039755,0.829462,0.22718242496147276,-0.5175935237424225,0.282486,0.999987
SLAVE_LEFT_ROT_R21,0.5878772544342508,0.668377,0.2839647134267456,-0.785042148444633,-0.00346,0.987354
SLAVE_LEFT_ROT_R22,-0.714547003058104,-0.737225,0.21527017705891102,0.6236502171920423,-0.99948,-0.150117
SLAVE_LEFT_ROT_R23,0.035264977981651374,0.041791,0.12525106973255784,0.06751664715001081,-0.253143,0.391559
