Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.12447637097466724,0.120685,0.01973668075968119,2.0220677683036428,0.092979,0.213587
MASTER_LEFT_POS_Y,0.020344276942893945,0.01296,0.02501369170914727,0.5917184020199482,-0.017066,0.087198
MASTER_LEFT_POS_Z,0.35176174967797336,0.349796,0.025016058528994085,0.8347296907122079,0.293196,0.422023
MASTER_LEFT_ROT_R11,-0.12045413525118077,-0.149387,0.2415923424250807,0.13616596630682984,-0.529774,0.267738
MASTER_LEFT_ROT_R12,0.6864086981537141,0.781174,0.323002017801665,-1.888356035126986,-0.765752,0.999562
MASTER_LEFT_ROT_R13,-0.5238371305281236,-0.590696,0.278172255506382,0.5678917211105307,-1.000006,0.0529
MASTER_LEFT_ROT_R21,-0.7956257771575784,-0.865917,0.22830148456237742,1.853345153175369,-0.998752,-0.073955
MASTER_LEFT_ROT_R22,-0.333714386431945,-0.368562,0.3494993254116575,0.08871149709725125,-0.969727,0.230633
MASTER_LEFT_ROT_R23,-0.13123023100042938,-0.102948,0.25336894389408704,0.0733066961838842,-0.72978,0.73037
MASTER_LEFT_ROT_R31,-0.3829474637183341,-0.414709,0.30857796835712414,0.16135685068494113,-0.970638,0.204662
MASTER_LEFT_ROT_R32,0.3627975607556891,0.432038,0.24276560249714768,-0.6223879598227972,-0.211497,0.894387
MASTER_LEFT_ROT_R33,0.7037045530270503,0.764081,0.2692544014932859,-1.8886623103503892,-0.280651,0.999508
MASTER_LEFT_LIN_VEL_X,-0.00022519793902962663,2.4e-05,0.02954402863960202,-3.9088372479998776,-0.291197,0.149382
MASTER_LEFT_LIN_VEL_Y,0.000932167453842851,0.0,0.01772061357369244,0.7498818933323869,-0.086375,0.115628
MASTER_LEFT_LIN_VEL_Z,0.0007599033920137395,0.000109,0.022539414961035835,-0.7713147459799056,-0.119826,0.09199
MASTER_LEFT_ROT_VEL_X,-0.012799922284242168,0.0,0.6683513645163696,0.6354827126305972,-5.315184,6.037269
MASTER_LEFT_ROT_VEL_Y,-0.0016621455560326356,0.0,0.5617285572458721,-0.24115119158029177,-4.260548,5.381624
MASTER_LEFT_ROT_VEL_Z,-0.0004925139544869033,0.0,0.61721726074263,-0.19013465907832355,-5.446809,4.546091
MASTER_LEFT_GRIPPER_ANGLE,-1.4202116895663375,-1.844452,0.826160472780977,1.575666652747794,-1.919461,0.508854
MASTER_RIGHT_POS_X,-0.14380801245169603,-0.141077,0.017611161647323095,-0.5294624256566952,-0.194385,-0.112848
MASTER_RIGHT_POS_Y,0.044084252039501934,0.033179,0.02410256710847758,0.41028415937035684,-0.008785,0.09067
MASTER_RIGHT_POS_Z,0.33247724259338773,0.334553,0.02175228602812322,0.3005330734587098,0.289905,0.380866
MASTER_RIGHT_ROT_R11,0.48683342378703304,0.521452,0.19659119950605544,-1.4725184403681266,-0.313484,0.807773
MASTER_RIGHT_ROT_R12,0.362264391584371,0.42244,0.37689494937921203,-0.44887905585386145,-0.479079,0.898956
MASTER_RIGHT_ROT_R13,0.6294677423787033,0.65193,0.2343559788246425,-0.21594847554676738,0.194953,0.999961
MASTER_RIGHT_ROT_R21,-0.6176247977672821,-0.723606,0.32174377034719076,1.9330522040035294,-0.978573,0.481103
MASTER_RIGHT_ROT_R22,0.6385157621296694,0.63038,0.18422230332471182,-0.36830037241113767,0.11269,0.99935
MASTER_RIGHT_ROT_R23,0.23720452554744526,0.257377,0.13082242859468968,-0.7468529357065868,-0.197175,0.528748
MASTER_RIGHT_ROT_R31,-0.3552804499785316,-0.331263,0.3368396508174663,-0.23655989000212774,-0.97728,0.142717
MASTER_RIGHT_ROT_R32,-0.4673449914126234,-0.514848,0.2593117825449361,1.5130084538164963,-0.82844,0.381036
MASTER_RIGHT_ROT_R33,0.628206030055818,0.687633,0.2828305532010318,-1.0096672013297874,-0.354868,0.968565
MASTER_RIGHT_LIN_VEL_X,0.00022457320738514385,7e-06,0.01687580817260088,-0.23547636054097776,-0.093548,0.109647
MASTER_RIGHT_LIN_VEL_Y,0.0011174508372692141,0.000546,0.016421240368758642,0.23215086470417015,-0.114909,0.08342
MASTER_RIGHT_LIN_VEL_Z,0.0006496758265349934,0.001212,0.01919259451502897,-0.7763393905761763,-0.090781,0.075153
MASTER_RIGHT_ROT_VEL_X,-0.02969227479604981,0.0,0.6500469985848514,-2.3943495395811127,-5.491951,5.216214
MASTER_RIGHT_ROT_VEL_Y,-0.029233365822241304,-0.000257,0.4941031503013942,-0.8372184350322116,-3.938319,3.825278
MASTER_RIGHT_ROT_VEL_Z,0.010314319450407903,0.0,0.542106488745112,1.0213662237464893,-4.765816,5.025497
MASTER_RIGHT_GRIPPER_ANGLE,-0.8389550313439244,-1.402514,0.8098124670701493,0.8662253429791573,-1.410556,0.538752
SLAVE_LEFT_POS_X,0.0477076990124517,0.049073,0.008805624108139759,-0.5294626114910651,0.022416,0.063188
SLAVE_LEFT_POS_Y,0.04126591412623444,0.035813,0.012051460036649473,0.4102537955630924,0.014831,0.06454
SLAVE_LEFT_POS_Z,-0.010480083297552598,-0.009442,0.010876508313062782,0.3004179921972927,-0.031756,0.013715
SLAVE_LEFT_ROT_R11,-0.48748354529841137,-0.559758,0.23170049140892107,1.4811102660441726,-0.812795,0.399155
SLAVE_LEFT_ROT_R12,-0.30085010991841993,-0.34002,0.3595559085359477,0.3478174551928131,-0.871931,0.472213
SLAVE_LEFT_ROT_R13,0.660565191927866,0.694233,0.229427002083533,-0.276634758583393,0.225461,0.999311
SLAVE_LEFT_ROT_R21,0.5375980188922285,0.6449,0.33839249967857254,-1.7893820963686875,-0.571372,0.962923
SLAVE_LEFT_ROT_R22,-0.721601371833405,-0.728138,0.14999246448697157,0.7394557237048018,-0.999572,-0.249956
SLAVE_LEFT_ROT_R23,0.18906140704164875,0.205199,0.13263958190820874,-0.5620504796363851,-0.22794,0.478503
SLAVE_LEFT_ROT_R31,0.4593456629454702,0.465762,0.3070284557952973,0.03798219622358233,-0.018484,0.994301
SLAVE_LEFT_ROT_R32,0.4034597346500644,0.481368,0.2726139041214362,-1.7423984176198553,-0.50143,0.77524
SLAVE_LEFT_ROT_R33,0.6046849338772006,0.669444,0.3034855632211079,-0.9467651520850217,-0.414181,0.970269
SLAVE_LEFT_LIN_VEL_X,5.891841992271358e-05,6e-06,0.008524763246818298,-0.24128134563368442,-0.040579,0.055214
SLAVE_LEFT_LIN_VEL_Y,0.0005265835122370116,0.000174,0.008254904342434992,0.2903810971651782,-0.05755,0.03907
SLAVE_LEFT_LIN_VEL_Z,0.00034558351223701144,0.000642,0.009596635019460642,-0.8141340996693994,-0.042585,0.037754
SLAVE_LEFT_ROT_VEL_X,-0.004862545298411333,-1e-06,0.674011392013965,-0.48157710161815726,-5.449546,5.243943
SLAVE_LEFT_ROT_VEL_Y,-0.012636155002146847,-7e-06,0.5020263210971142,-0.07166682098299618,-4.439113,4.299728
SLAVE_LEFT_ROT_VEL_Z,0.0009797780163160142,2.9e-05,0.5448116255925032,0.04948774222775668,-4.761487,5.284879
SLAVE_LEFT_GRIPPER_ANGLE,-0.5499438746243023,-0.907857,0.5788604144958248,1.0369964218238066,-0.97252,0.524202
SLAVE_RIGHT_POS_X,0.07779319579218548,0.075894,0.009868065886597695,2.0221098649605587,0.062045,0.122345
SLAVE_RIGHT_POS_Y,0.034672161013310436,0.030971,0.012507095716180586,0.5916833962989058,0.015967,0.068084
SLAVE_RIGHT_POS_Z,-0.06382142249892657,-0.064806,0.012508394045625027,0.8343790366880293,-0.09312,-0.028689
SLAVE_RIGHT_ROT_R11,-0.22257449463288964,-0.25512,0.24551427482612112,0.17398182361117323,-0.620099,0.151097
SLAVE_RIGHT_ROT_R12,0.712550463718334,0.802797,0.31222910746302446,-1.8362467476255049,-0.719404,0.998345
SLAVE_RIGHT_ROT_R13,-0.45018016874194944,-0.504391,0.2870670638642961,0.3656402716788707,-0.999681,0.132444
SLAVE_RIGHT_ROT_R21,-0.7717591094890511,-0.847744,0.2479417529948521,1.6956289635858413,-0.998773,-0.041517
SLAVE_RIGHT_ROT_R22,-0.39489961528553025,-0.431408,0.3302880225934772,0.1358014667948992,-0.983567,0.1275
SLAVE_RIGHT_ROT_R23,-0.10026576899957064,-0.079308,0.2606234555589761,0.01585086589065681,-0.698994,0.707491
SLAVE_RIGHT_ROT_R31,-0.35372879733791324,-0.407003,0.32873891918075593,0.24461007800119636,-0.98059,0.285446
