column,missing_count,missing_percent
MASTER_LEFT_POS_X,0,
MASTER_LEFT_POS_Y,0,
MASTER_LEFT_POS_Z,0,
MASTER_LEFT_ROT_R11,0,
MASTER_LEFT_ROT_R12,0,
MASTER_LEFT_ROT_R13,0,
MASTER_LEFT_ROT_R21,0,
MASTER_LEFT_ROT_R22,0,
MASTER_LEFT_ROT_R23,0,
MASTER_LEFT_ROT_R31,0,
MASTER_LEFT_ROT_R32,0,
MASTER_LEFT_ROT_R33,0,
MASTER_LEFT_LIN_VEL_X,0,
MASTER_LEFT_LIN_VEL_Y,0,
MASTER_LEFT_LIN_VEL_Z,0,
MASTER_LEFT_ROT_VEL_X,0,
MASTER_LEFT_ROT_VEL_Y,0,
MASTER_LEFT_ROT_VEL_Z,0,
MASTER_LEFT_GRIPPER_ANGLE,0,
MASTER_RIGHT_POS_X,0,
MASTER_RIGHT_POS_Y,0,
MASTER_RIGHT_POS_Z,0,
MASTER_RIGHT_ROT_R11,0,
MASTER_RIGHT_ROT_R12,0,
MASTER_RIGHT_ROT_R13,0,
MASTER_RIGHT_ROT_R21,0,
MASTER_RIGHT_ROT_R22,0,
MASTER_RIGHT_ROT_R23,0,
MASTER_RIGHT_ROT_R31,0,
MASTER_RIGHT_ROT_R32,0,
MASTER_RIGHT_ROT_R33,0,
MASTER_RIGHT_LIN_VEL_X,0,
MASTER_RIGHT_LIN_VEL_Y,0,
MASTER_RIGHT_LIN_VEL_Z,0,
MASTER_RIGHT_ROT_VEL_X,0,
MASTER_RIGHT_ROT_VEL_Y,0,
MASTER_RIGHT_ROT_VEL_Z,0,
MASTER_RIGHT_GRIPPER_ANGLE,0,
SLAVE_LEFT_POS_X,0,
SLAVE_LEFT_POS_Y,0,
SLAVE_LEFT_POS_Z,0,
SLAVE_LEFT_ROT_R11,0,
SLAVE_LEFT_ROT_R12,0,
SLAVE_LEFT_ROT_R13,0,
SLAVE_LEFT_ROT_R21,0,
SLAVE_LEFT_ROT_R22,0,
SLAVE_LEFT_ROT_R23,0,
SLAVE_LEFT_ROT_R31,0,
SLAVE_LEFT_ROT_R32,0,
SLAVE_LEFT_ROT_R33,0,
SLAVE_LEFT_LIN_VEL_X,0,
SLAVE_LEFT_LIN_VEL_Y,0,
SLAVE_LEFT_LIN_VEL_Z,0,
SLAVE_LEFT_ROT_VEL_X,0,
SLAVE_LEFT_ROT_VEL_Y,0,
SLAVE_LEFT_ROT_VEL_Z,0,
SLAVE_LEFT_GRIPPER_ANGLE,0,
SLAVE_RIGHT_POS_X,0,
SLAVE_RIGHT_POS_Y,0,
SLAVE_RIGHT_POS_Z,0,
SLAVE_RIGHT_ROT_R11,0,
SLAVE_RIGHT_ROT_R12,0,
SLAVE_RIGHT_ROT_R13,0,
SLAVE_RIGHT_ROT_R21,0,
SLAVE_RIGHT_ROT_R22,0,
SLAVE_RIGHT_ROT_R23,0,
SLAVE_RIGHT_ROT_R31,0,
SLAVE_RIGHT_ROT_R32,0,
SLAVE_RIGHT_ROT_R33,0,
SLAVE_RIGHT_LIN_VEL_X,0,
SLAVE_RIGHT_LIN_VEL_Y,0,
SLAVE_RIGHT_LIN_VEL_Z,0,
SLAVE_RIGHT_ROT_VEL_X,0,
SLAVE_RIGHT_ROT_VEL_Y,0,
SLAVE_RIGHT_ROT_VEL_Z,0,
SLAVE_RIGHT_GRIPPER_ANGLE,0,
EMPTY_ROWS_TOTAL,0,
