Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.09276775,0.13208275,0.039315,0.03379524999999999,0.19105525,0,0.0
MASTER_LEFT_POS_Y,-0.03123275,0.01121125,0.042444,-0.09489875,0.07487725,0,0.0
MASTER_LEFT_POS_Z,0.42278725,0.444003,0.021215749999999978,0.39096362500000004,0.47582662499999995,18,0.9890109890109889
MASTER_LEFT_ROT_R11,-0.1115945,0.6027167499999999,0.71431125,-1.183061375,1.674183625,0,0.0
MASTER_LEFT_ROT_R12,0.300989,0.843558,0.5425690000000001,-0.5128645000000001,1.6574115000000003,249,13.681318681318682
MASTER_LEFT_ROT_R13,-0.51044075,-0.40641425,0.10402650000000002,-0.6664805,-0.25037449999999994,267,14.670329670329672
MASTER_LEFT_ROT_R21,-0.96186925,-0.3305885,0.63128075,-1.908790375,0.6163326249999999,104,5.714285714285714
MASTER_LEFT_ROT_R22,-0.22913825,0.63231675,0.861455,-1.52132075,1.92449925,0,0.0
MASTER_LEFT_ROT_R23,-0.20607399999999998,-0.025265,0.18080899999999997,-0.4772874999999999,0.24594849999999993,53,2.912087912087912
MASTER_LEFT_ROT_R31,-0.28846825,0.14546150000000002,0.43392975,-0.939362875,0.7963561250000001,37,2.032967032967033
MASTER_LEFT_ROT_R32,0.1583195,0.49252125,0.33420175,-0.342983125,0.993823875,12,0.6593406593406593
MASTER_LEFT_ROT_R33,0.83805675,0.901176,0.06311924999999996,0.7433778750000001,0.9958548749999999,86,4.725274725274725
MASTER_LEFT_LIN_VEL_X,-0.00873575,0.00929125,0.018027,-0.03577625,0.03633175,187,10.274725274725274
MASTER_LEFT_LIN_VEL_Y,-0.004318,0.006113250000000001,0.01043125,-0.019964874999999997,0.021760124999999998,226,12.417582417582418
MASTER_LEFT_LIN_VEL_Z,-0.00416075,0.0096485,0.013809250000000002,-0.024874625000000004,0.030362375000000004,288,15.824175824175823
MASTER_LEFT_ROT_VEL_X,-0.0322785,0.0349925,0.067271,-0.133185,0.135899,352,19.340659340659343
MASTER_LEFT_ROT_VEL_Y,-0.026175,0.035002000000000005,0.06117700000000001,-0.11794050000000002,0.12676750000000003,540,29.67032967032967
