Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.1308165,0.1975305,0.066714,0.03074550000000001,0.29760149999999996,0,0.0
MASTER_LEFT_POS_Y,-0.032449000000000006,0.017225,0.04967400000000001,-0.10696000000000003,0.09173600000000003,0,0.0
MASTER_LEFT_POS_Z,0.325882,0.34981799999999996,0.023935999999999957,0.28997800000000007,0.3857219999999999,26,2.1189894050529747
MASTER_LEFT_ROT_R11,-0.76406,-0.2133865,0.5506734999999999,-1.59007025,0.6126237499999999,48,3.9119804400977993
MASTER_LEFT_ROT_R12,-0.13605,0.1477835,0.2838335,-0.56180025,0.57353375,49,3.9934800325998365
MASTER_LEFT_ROT_R13,-0.9533695,-0.524205,0.42916449999999995,-1.59711625,0.11954174999999989,0,0.0
MASTER_LEFT_ROT_R21,-0.5912215000000001,-0.1208325,0.47038900000000006,-1.2968050000000002,0.5847510000000001,0,0.0
MASTER_LEFT_ROT_R22,-0.9568605,-0.7685230000000001,0.18833749999999994,-1.2393667499999999,-0.48601675000000016,110,8.964955175224123
MASTER_LEFT_ROT_R23,0.0769185,0.301751,0.2248325,-0.26033025,0.63899975,74,6.030969845150774
MASTER_LEFT_ROT_R31,-0.933527,-0.3655705,0.5679565,-1.78546175,0.48636424999999994,0,0.0
MASTER_LEFT_ROT_R32,0.2081325,0.5407580000000001,0.3326255000000001,-0.29080575000000014,1.0396962500000002,0,0.0
MASTER_LEFT_ROT_R33,0.236316,0.7935225,0.5572065,-0.5994937500000002,1.62933225,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.010727,0.015038,0.025765,-0.0493745,0.0536855,229,18.663406682966585
MASTER_LEFT_LIN_VEL_Y,-0.0053045,0.0065135,0.011818,-0.0230315,0.024240499999999998,235,19.15240423797881
MASTER_LEFT_LIN_VEL_Z,-0.0033365,0.009637,0.012973499999999999,-0.022796749999999998,0.029097249999999998,285,23.227383863080682
MASTER_LEFT_ROT_VEL_X,-0.035251,0.032222,0.067473,-0.1364605,0.1334315,290,23.634881825590874
MASTER_LEFT_ROT_VEL_Y,-0.0701465,0.129506,0.1996525,-0.36962525,0.42898475,338,27.54686226568867
MASTER_LEFT_ROT_VEL_Z,-0.0621535,0.115742,0.17789549999999998,-0.32899674999999995,0.38258525,262,21.352893235533823
MASTER_LEFT_GRIPPER_ANGLE,-1.9038765,-0.513145,1.3907315,-3.98997375,1.57295225,0,0.0
MASTER_RIGHT_POS_X,-0.1871605,-0.151325,0.03583550000000002,-0.24091375000000004,-0.09757174999999996,84,6.845965770171149
MASTER_RIGHT_POS_Y,-0.039855,0.014473,0.054328,-0.12134700000000001,0.09596500000000001,0,0.0
MASTER_RIGHT_POS_Z,0.3143895,0.3422075,0.02781800000000001,0.2726625,0.3839345,5,0.40749796251018744
MASTER_RIGHT_ROT_R11,-0.7514894999999999,-0.38286149999999997,0.36862799999999996,-1.3044314999999997,0.17008049999999997,116,9.453952730236349
MASTER_RIGHT_ROT_R12,-0.444275,0.1228425,0.5671174999999999,-1.29495125,0.9735187499999999,0,0.0
MASTER_RIGHT_ROT_R13,0.44189199999999995,0.7245735,0.28268150000000003,0.017869749999999907,1.1485957500000001,46,3.7489812550937245
MASTER_RIGHT_ROT_R21,0.1165145,0.785569,0.6690545,-0.88706725,1.78915075,0,0.0
MASTER_RIGHT_ROT_R22,-0.925253,-0.6183784999999999,0.30687450000000005,-1.3855647500000001,-0.15806674999999987,234,19.070904645476773
MASTER_RIGHT_ROT_R23,0.15944,0.4129205,0.2534805,-0.22078075,0.79314125,0,0.0
MASTER_RIGHT_ROT_R31,0.3810765,0.657886,0.2768095,-0.03413775000000002,1.07310025,238,19.396903015484924
MASTER_RIGHT_ROT_R32,0.18566850000000001,0.5349805,0.34931199999999996,-0.3382995,1.0589485,0,0.0
MASTER_RIGHT_ROT_R33,0.5536365000000001,0.851574,0.29793749999999997,0.10673025000000014,1.29848025,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.0127345,0.013519,0.0262535,-0.05211475,0.052899249999999995,106,8.638956805215974
MASTER_RIGHT_LIN_VEL_Y,-0.004975,0.0087315,0.0137065,-0.025534750000000002,0.02929125,153,12.469437652811736
MASTER_RIGHT_LIN_VEL_Z,-0.006227,0.010575500000000002,0.0168025,-0.03143075000000001,0.035779250000000005,169,13.773431132844335
MASTER_RIGHT_ROT_VEL_X,-0.0653235,0.0364315,0.10175500000000001,-0.217956,0.189064,332,27.057864710676448
MASTER_RIGHT_ROT_VEL_Y,-0.06305849999999999,0.0853255,0.148384,-0.2856345,0.3079015,339,27.628361858190708
MASTER_RIGHT_ROT_VEL_Z,-0.089636,0.084071,0.173707,-0.35019649999999997,0.3446315,272,22.167889160554196
MASTER_RIGHT_GRIPPER_ANGLE,-1.3451244999999998,0.2007715,1.545896,-3.6639684999999997,2.5196155,0,0.0
SLAVE_LEFT_POS_X,0.0338075,0.051712,0.017904500000000004,0.006950749999999992,0.07856875,84,6.845965770171149
SLAVE_LEFT_POS_Y,0.024524999999999998,0.0516955,0.0271705,-0.016230750000000002,0.09245125,0,0.0
SLAVE_LEFT_POS_Z,-0.024407,-0.010485000000000001,0.013922,-0.04529,0.010397999999999998,5,0.40749796251018744
SLAVE_LEFT_ROT_R11,0.361105,0.72777,0.366665,-0.18889250000000002,1.2777675,104,8.475957620211899
SLAVE_LEFT_ROT_R12,-0.158404,0.41344,0.571844,-1.01617,1.271206,0,0.0
SLAVE_LEFT_ROT_R13,0.46489199999999997,0.7343710000000001,0.26947900000000014,0.06067349999999977,1.1385895000000004,47,3.830480847595762
SLAVE_LEFT_ROT_R21,-0.767768,-0.107241,0.660527,-1.7585585,0.8835494999999999,0,0.0
SLAVE_LEFT_ROT_R22,0.640078,0.9218055,0.2817275,0.21748675,1.34439675,239,19.47840260798696
SLAVE_LEFT_ROT_R23,0.17343,0.41694,0.24350999999999998,-0.19183499999999995,0.7822049999999999,0,0.0
