Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.150349,0.17215750000000002,0.02180850000000001,0.11763625,0.20487025000000003,30,2.388535031847134
MASTER_LEFT_POS_Y,-0.04392075,0.003181,0.04710175,-0.114573375,0.073833625,0,0.0
MASTER_LEFT_POS_Z,0.297431,0.33606325000000004,0.038632250000000035,0.23948262499999995,0.3940116250000001,0,0.0
MASTER_LEFT_ROT_R11,-0.48722624999999997,-0.30530725000000003,0.18191899999999994,-0.7601047499999999,-0.03242875000000012,59,4.697452229299364
MASTER_LEFT_ROT_R12,0.14158025,0.286689,0.14510875000000004,-0.07608287500000008,0.504352125,235,18.710191082802545
MASTER_LEFT_ROT_R13,-0.92955075,-0.8205677499999999,0.10898300000000005,-1.0930252500000002,-0.6570932499999999,34,2.7070063694267517
MASTER_LEFT_ROT_R21,-0.65846125,-0.3132875,0.34517375,-1.176221875,0.20447312499999998,0,0.0
MASTER_LEFT_ROT_R22,-0.929891,-0.75037725,0.17951375000000003,-1.1991616250000001,-0.48110662499999995,34,2.7070063694267517
MASTER_LEFT_ROT_R23,-0.053124,0.119624,0.17274799999999998,-0.31224599999999997,0.37874599999999997,4,0.3184713375796179
MASTER_LEFT_ROT_R31,-0.901426,-0.642627,0.258799,-1.2896245,-0.25442849999999995,0,0.0
MASTER_LEFT_ROT_R32,0.29603749999999995,0.55233675,0.2562992500000001,-0.08841137500000018,0.9367856250000002,38,3.0254777070063694
MASTER_LEFT_ROT_R33,0.325502,0.5604,0.234898,-0.026844999999999952,0.912747,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.00040300000000000004,0.000767,0.00117,-0.002158,0.002522,518,41.24203821656051
MASTER_LEFT_LIN_VEL_Y,-0.0019625,0.00359725,0.0055597500000000005,-0.010302124999999999,0.011936875,287,22.85031847133758
MASTER_LEFT_LIN_VEL_Z,-0.00188975,0.00572125,0.007611,-0.013306249999999999,0.01713775,292,23.248407643312103
MASTER_LEFT_ROT_VEL_X,-0.00383875,0.000984,0.004822750000000001,-0.011072875000000001,0.008218125000000001,542,43.152866242038215
MASTER_LEFT_ROT_VEL_Y,-0.0132035,0.014715,0.0279185,-0.05508125,0.05659275,382,30.4140127388535
MASTER_LEFT_ROT_VEL_Z,-0.0249605,0.024581000000000002,0.0495415,-0.09927274999999999,0.09889325,362,28.82165605095541
MASTER_LEFT_GRIPPER_ANGLE,-1.91648625,0.17653875,2.093025,-5.05602375,3.31607625,0,0.0
MASTER_RIGHT_POS_X,-0.172512,-0.1411095,0.0314025,-0.21961575,-0.09400575,0,0.0
MASTER_RIGHT_POS_Y,-0.0290005,0.023030500000000002,0.052031,-0.107047,0.101077,0,0.0
MASTER_RIGHT_POS_Z,0.29993775,0.3534295,0.053491750000000005,0.219700125,0.43366712500000004,0,0.0
MASTER_RIGHT_ROT_R11,-0.561848,-0.27479400000000004,0.287054,-0.992429,0.15578699999999995,16,1.2738853503184715
MASTER_RIGHT_ROT_R12,-0.6579824999999999,-0.01193,0.6460524999999999,-1.6270612499999997,0.9571487499999999,0,0.0
MASTER_RIGHT_ROT_R13,0.63119475,0.76038625,0.12919150000000001,0.4374075,0.9541735,114,9.076433121019107
MASTER_RIGHT_ROT_R21,0.56363225,0.88452175,0.32088950000000005,0.08229799999999987,1.365856,109,8.678343949044585
MASTER_RIGHT_ROT_R22,-0.7129905,-0.31860875,0.39438175,-1.304563125,0.27296387499999997,8,0.6369426751592357
MASTER_RIGHT_ROT_R23,0.18261475,0.430716,0.24810125,-0.18953712500000003,0.802867875,0,0.0
MASTER_RIGHT_ROT_R31,0.0039445,0.6257855,0.621841,-0.928817,1.558547,0,0.0
MASTER_RIGHT_ROT_R32,0.48027025,0.6952415000000001,0.21497125000000006,0.15781337499999992,1.0176983750000002,100,7.961783439490445
MASTER_RIGHT_ROT_R33,0.460925,0.735456,0.274531,0.049128499999999964,1.1472525,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.00801775,0.00270625,0.010724000000000001,-0.024103750000000004,0.018792250000000003,249,19.82484076433121
MASTER_RIGHT_LIN_VEL_Y,-0.00577275,0.00838975,0.0141625,-0.0270165,0.0296335,208,16.560509554140125
MASTER_RIGHT_LIN_VEL_Z,-0.007312,0.01644825,0.02376025,-0.042952375,0.052088625,185,14.729299363057324
MASTER_RIGHT_ROT_VEL_X,-0.04686475,0.032443,0.07930775,-0.16582637499999997,0.151404625,332,26.43312101910828
MASTER_RIGHT_ROT_VEL_Y,-0.090153,0.043925,0.134078,-0.29127,0.24504199999999998,380,30.254777070063692
MASTER_RIGHT_ROT_VEL_Z,-0.1071355,0.05065725,0.15779274999999998,-0.343824625,0.287346375,309,24.601910828025478
MASTER_RIGHT_GRIPPER_ANGLE,-1.4054932500000001,0.1969485,1.60244175,-3.809155875,2.600611125,0,0.0
SLAVE_LEFT_POS_X,0.03960825,0.055315500000000004,0.015707250000000006,0.01604737499999999,0.07887637500000001,0,0.0
SLAVE_LEFT_POS_Y,0.028525,0.05453425,0.02600925,-0.010488875000000005,0.09354812500000001,0,0.0
SLAVE_LEFT_POS_Z,-0.01777275,0.00899525,0.026768,-0.05792475,0.04914725,0,0.0
