Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.144103,0.170152,0.02604899999999999,0.10502950000000003,0.20922549999999998,149,10.5449398443029
MASTER_LEFT_POS_Y,-0.055757,-0.006121,0.049636,-0.130211,0.06833299999999999,0,0.0
MASTER_LEFT_POS_Z,0.277602,0.312984,0.03538199999999997,0.22452900000000006,0.36605699999999997,0,0.0
MASTER_LEFT_ROT_R11,-0.914522,-0.575226,0.33929599999999993,-1.423466,-0.06628200000000017,0,0.0
MASTER_LEFT_ROT_R12,-0.209058,0.27088,0.479938,-0.9289649999999999,0.990787,0,0.0
MASTER_LEFT_ROT_R13,-0.759289,-0.243553,0.515736,-1.532893,0.5300509999999999,0,0.0
MASTER_LEFT_ROT_R21,-0.441893,0.110791,0.552684,-1.270919,0.9398169999999999,0,0.0
MASTER_LEFT_ROT_R22,-0.972471,-0.88422,0.08825099999999997,-1.1048475,-0.7518435000000001,173,12.243453644727529
MASTER_LEFT_ROT_R23,0.042807,0.277319,0.234512,-0.308961,0.629087,13,0.9200283085633405
MASTER_LEFT_ROT_R31,-0.746474,-0.267565,0.478909,-1.4648374999999998,0.45079849999999994,0,0.0
MASTER_LEFT_ROT_R32,0.15466,0.384815,0.23015500000000003,-0.19057250000000006,0.7300475000000001,15,1.0615711252653928
MASTER_LEFT_ROT_R33,0.606931,0.931684,0.32475299999999996,0.11980150000000006,1.4188135,0,0.0
MASTER_LEFT_LIN_VEL_X,-7.7e-05,0.014575,0.014652,-0.022055,0.036553,127,8.987968860580326
MASTER_LEFT_LIN_VEL_Y,-0.002163,0.003186,0.005349,-0.0101865,0.011209499999999999,380,26.893135173389947
MASTER_LEFT_LIN_VEL_Z,-0.001471,0.005972,0.007443,-0.012635500000000001,0.0171365,307,21.726822363765038
MASTER_LEFT_ROT_VEL_X,-0.004791,0.031353,0.036143999999999996,-0.05900699999999999,0.08556899999999999,422,29.86553432413305
MASTER_LEFT_ROT_VEL_Y,-0.014714,0.081802,0.096516,-0.15948800000000002,0.226576,362,25.619249823071478
MASTER_LEFT_ROT_VEL_Z,-0.013871,0.068495,0.082366,-0.13742,0.192044,339,23.991507430997878
MASTER_LEFT_GRIPPER_ANGLE,-1.916298,0.473188,2.389486,-5.500527000000001,4.057417000000001,0,0.0
MASTER_RIGHT_POS_X,-0.183282,-0.145104,0.03817799999999999,-0.24054899999999999,-0.08783700000000003,0,0.0
MASTER_RIGHT_POS_Y,-0.04187,-0.005221,0.036649,-0.0968435,0.049752500000000005,0,0.0
MASTER_RIGHT_POS_Z,0.281447,0.308134,0.026687000000000016,0.24141649999999998,0.34816450000000004,17,1.203113941967445
MASTER_RIGHT_ROT_R11,-0.616514,-0.277538,0.338976,-1.124978,0.23092600000000002,205,14.508138711960367
MASTER_RIGHT_ROT_R12,-0.594826,-0.272766,0.32205999999999996,-1.0779159999999999,0.2103239999999999,56,3.9631988676574665
MASTER_RIGHT_ROT_R13,0.449289,0.696676,0.24738699999999997,0.07820850000000007,1.0677564999999998,0,0.0
MASTER_RIGHT_ROT_R21,0.592064,0.826796,0.23473199999999994,0.23996600000000012,1.1788939999999999,152,10.75725406935598
MASTER_RIGHT_ROT_R22,-0.667722,-0.296319,0.37140300000000004,-1.2248265000000003,0.2607855000000001,216,15.286624203821656
MASTER_RIGHT_ROT_R23,0.219455,0.325731,0.10627599999999998,0.06004100000000004,0.48514499999999994,139,9.83722576079264
MASTER_RIGHT_ROT_R31,-0.141885,0.315159,0.457044,-0.827451,1.000725,0,0.0
MASTER_RIGHT_ROT_R32,0.389847,0.678233,0.288386,-0.04273199999999994,1.110812,176,12.455767869780608
MASTER_RIGHT_ROT_R33,0.62703,0.83573,0.2087,0.31398,1.14878,107,7.5725406935598025
MASTER_RIGHT_LIN_VEL_X,-0.013216,0.002923,0.016139,-0.0374245,0.0271315,262,18.54210898796886
MASTER_RIGHT_LIN_VEL_Y,-0.004346,0.004705,0.009051,-0.0179225,0.0182815,195,13.800424628450106
MASTER_RIGHT_LIN_VEL_Z,-0.006315,0.012355,0.01867,-0.034319999999999996,0.04036,239,16.91436659589526
MASTER_RIGHT_ROT_VEL_X,-0.033806,0.076259,0.110065,-0.1989035,0.2413565,347,24.557678697806086
MASTER_RIGHT_ROT_VEL_Y,-0.154588,0.076195,0.23078300000000002,-0.5007625,0.42236950000000006,395,27.954706298655342
MASTER_RIGHT_ROT_VEL_Z,-0.112732,0.051575,0.164307,-0.3591925,0.2980355,298,21.0898796886058
MASTER_RIGHT_GRIPPER_ANGLE,-1.404355,0.168484,1.572839,-3.7636135,2.5277425,0,0.0
SLAVE_LEFT_POS_X,0.035116,0.054193,0.019076999999999997,0.006500500000000006,0.0828085,0,0.0
SLAVE_LEFT_POS_Y,0.033439,0.051758,0.018318999999999995,0.005960500000000011,0.07923649999999999,0,0.0
SLAVE_LEFT_POS_Z,-0.015267,-0.001937,0.01333,-0.035262,0.018057999999999998,17,1.203113941967445
SLAVE_LEFT_ROT_R11,0.339032,0.673443,0.334411,-0.16258450000000002,1.1750595000000001,205,14.508138711960367
SLAVE_LEFT_ROT_R12,0.277738,0.564593,0.286855,-0.15254450000000003,0.9948755,64,4.529370134465676
SLAVE_LEFT_ROT_R13,0.433883,0.665333,0.23144999999999993,0.08670800000000012,1.012508,0,0.0
SLAVE_LEFT_ROT_R21,-0.784254,-0.537875,0.24637900000000001,-1.1538225,-0.16830649999999997,120,8.492569002123142
SLAVE_LEFT_ROT_R22,0.343414,0.701684,0.35827,-0.1939909999999999,1.2390889999999999,217,15.357395612172683
SLAVE_LEFT_ROT_R23,0.240998,0.367836,0.126838,0.05074099999999998,0.558093,76,5.37862703467799
SLAVE_LEFT_ROT_R31,-0.308419,0.175675,0.484094,-1.03456,0.9018160000000001,0,0.0
SLAVE_LEFT_ROT_R32,-0.65692,-0.392857,0.26406299999999994,-1.0530144999999997,0.0032374999999998932,177,12.526539278131635
SLAVE_LEFT_ROT_R33,0.64471,0.840161,0.19545100000000004,0.35153349999999994,1.1333375,104,7.360226468506724
SLAVE_LEFT_LIN_VEL_X,-0.005861,0.00146,0.007320999999999999,-0.016842499999999996,0.012441499999999998,282,19.957537154989385
SLAVE_LEFT_LIN_VEL_Y,-0.002083,0.002011,0.004094,-0.008224,0.008152000000000001,217,15.357395612172683
SLAVE_LEFT_LIN_VEL_Z,-0.00293,0.006236,0.009166,-0.016679,0.019985000000000003,241,17.055909412597313
SLAVE_LEFT_ROT_VEL_X,-0.031625,0.068462,0.100087,-0.18175550000000001,0.2185925,395,27.954706298655342
SLAVE_LEFT_ROT_VEL_Y,-0.121158,0.06073,0.181888,-0.39398999999999995,0.33356199999999997,454,32.13021939136589
SLAVE_LEFT_ROT_VEL_Z,-0.101645,0.049906,0.151551,-0.3289715,0.2772325,319,22.576079263977352
SLAVE_LEFT_GRIPPER_ANGLE,-0.99783,-0.229548,0.768282,-2.150253,0.922875,0,0.0
SLAVE_RIGHT_POS_X,0.07464,0.087735,0.013094999999999996,0.054997500000000005,0.10737749999999999,146,10.332625619249823
SLAVE_RIGHT_POS_Y,0.021638,0.046459,0.024821,-0.0155935,0.0836905,0,0.0
SLAVE_RIGHT_POS_Z,-0.06559,-0.047895,0.017694999999999995,-0.09213249999999999,-0.021352500000000007,0,0.0
SLAVE_RIGHT_ROT_R11,0.578351,0.901608,0.323257,0.09346549999999992,1.3864935,0,0.0
SLAVE_RIGHT_ROT_R12,-0.260225,0.232286,0.492511,-0.9989915,0.9710525,0,0.0
SLAVE_RIGHT_ROT_R13,-0.764641,-0.255463,0.509178,-1.5284080000000002,0.5083040000000001,0,0.0
SLAVE_RIGHT_ROT_R21,-0.141349,0.403432,0.544781,-0.9585204999999999,1.2206035,0,0.0
SLAVE_RIGHT_ROT_R22,0.900471,0.971193,0.07072199999999995,0.7943880000000001,1.077276,183,12.951167728237792
SLAVE_RIGHT_ROT_R23,0.029043,0.2678,0.238757,-0.3290925,0.6259355,13,0.9200283085633405
SLAVE_RIGHT_ROT_R31,0.28194,0.75797,0.47603,-0.432105,1.472015,0,0.0
SLAVE_RIGHT_ROT_R32,-0.357563,-0.129167,0.22839600000000002,-0.700157,0.213427,81,5.7324840764331215
SLAVE_RIGHT_ROT_R33,0.605369,0.93084,0.32547099999999995,0.11716250000000011,1.4190464999999999,0,0.0
SLAVE_RIGHT_LIN_VEL_X,-3.6e-05,0.007219,0.007254999999999999,-0.0109185,0.0181015,130,9.200283085633403
SLAVE_RIGHT_LIN_VEL_Y,-0.001216,0.001223,0.002439,-0.0048745,0.0048815,401,28.379334748761497
SLAVE_RIGHT_LIN_VEL_Z,-0.000652,0.002858,0.00351,-0.005917,0.008123,311,22.009907997169144
SLAVE_RIGHT_ROT_VEL_X,-0.013155,0.015945,0.0291,-0.056805,0.059595,469,33.19179051663128
SLAVE_RIGHT_ROT_VEL_Y,-0.019001,0.064897,0.083898,-0.14484799999999998,0.19074399999999997,394,27.883934890304317
SLAVE_RIGHT_ROT_VEL_Z,-0.005332,0.0661,0.07143200000000001,-0.11248000000000002,0.173248,390,27.60084925690021
SLAVE_RIGHT_GRIPPER_ANGLE,-1.085085,-0.039045,1.04604,-2.654145,1.5300150000000001,0,0.0
