Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.075506,0.08769725,0.01219125,0.057219125,0.10598412500000001,151,8.251366120218579
MASTER_LEFT_POS_Y,0.012177750000000001,0.05283325,0.0406555,-0.048805499999999995,0.11381649999999999,0,0.0
MASTER_LEFT_POS_Z,0.3790925,0.40776775,0.028675249999999985,0.336079625,0.45078062499999993,15,0.819672131147541
MASTER_LEFT_ROT_R11,-0.681899,-0.563284,0.11861500000000003,-0.8598215,-0.38536149999999997,14,0.7650273224043715
MASTER_LEFT_ROT_R12,0.38746425,0.67772225,0.29025799999999996,-0.04792274999999996,1.11310925,22,1.2021857923497268
MASTER_LEFT_ROT_R13,-0.6874954999999999,-0.3864055,0.3010899999999999,-1.1391304999999998,0.06522949999999988,0,0.0
MASTER_LEFT_ROT_R21,-0.67153575,-0.44646525000000004,0.22507049999999995,-1.0091415,-0.10885950000000011,145,7.923497267759563
MASTER_LEFT_ROT_R22,-0.877553,-0.707699,0.16985400000000006,-1.1323340000000002,-0.4529179999999999,0,0.0
MASTER_LEFT_ROT_R23,-0.246862,-0.059018,0.187844,-0.528628,0.222748,0,0.0
MASTER_LEFT_ROT_R31,-0.6312645,-0.41065474999999996,0.22060975000000005,-0.962179125,-0.07974012499999988,0,0.0
MASTER_LEFT_ROT_R32,0.07331075000000001,0.22491275,0.151602,-0.15409224999999996,0.45231574999999996,191,10.437158469945356
MASTER_LEFT_ROT_R33,0.722165,0.8957820000000001,0.17361700000000013,0.46173949999999975,1.1562075000000003,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.00198625,0.00388775,0.005874000000000001,-0.010797250000000001,0.012698750000000002,596,32.56830601092896
MASTER_LEFT_LIN_VEL_Y,-0.004457249999999999,0.00548725,0.009944499999999998,-0.019373999999999995,0.020404,246,13.442622950819672
MASTER_LEFT_LIN_VEL_Z,-0.0024315,0.00652175,0.00895325,-0.015861375,0.019951625,313,17.103825136612024
MASTER_LEFT_ROT_VEL_X,-0.0271425,0.02283125,0.04997375,-0.102103125,0.097791875,383,20.928961748633878
MASTER_LEFT_ROT_VEL_Y,-0.0179875,0.0307505,0.048738000000000004,-0.09109450000000001,0.1038575,569,31.092896174863387
MASTER_LEFT_ROT_VEL_Z,-0.02564375,0.041278749999999996,0.0669225,-0.1260275,0.1416625,478,26.120218579234972
MASTER_LEFT_GRIPPER_ANGLE,-1.37111625,-0.93701025,0.434106,-2.02227525,-0.28585125,223,12.185792349726777
MASTER_RIGHT_POS_X,-0.09985225,-0.07505075,0.024801500000000004,-0.13705450000000002,-0.03784849999999999,63,3.4426229508196724
MASTER_RIGHT_POS_Y,0.0356605,0.074156,0.0384955,-0.022082750000000005,0.13189925,0,0.0
MASTER_RIGHT_POS_Z,0.34556299999999995,0.37419325000000003,0.02863025000000008,0.30261762499999983,0.41713862500000015,0,0.0
MASTER_RIGHT_ROT_R11,0.15778475,0.5676837499999999,0.4098989999999999,-0.4570637499999999,1.18253225,0,0.0
MASTER_RIGHT_ROT_R12,0.06885999999999999,0.7480225,0.6791625,-0.94988375,1.76676625,0,0.0
MASTER_RIGHT_ROT_R13,0.529655,0.82338925,0.29373425,0.08905362500000003,1.263990625,28,1.530054644808743
MASTER_RIGHT_ROT_R21,-0.8989739999999999,-0.10505225,0.79392175,-2.089856625,1.085830375,0,0.0
MASTER_RIGHT_ROT_R22,0.39259449999999996,0.94549975,0.55290525,-0.43676337500000006,1.774857625,0,0.0
MASTER_RIGHT_ROT_R23,-0.1235475,0.1023585,0.225906,-0.46240650000000005,0.44121750000000004,24,1.3114754098360655
MASTER_RIGHT_ROT_R31,-0.78085675,-0.185326,0.59553075,-1.6741528749999999,0.707970125,0,0.0
MASTER_RIGHT_ROT_R32,-0.45406925,-0.12532575,0.32874349999999997,-0.9471844999999999,0.36778949999999994,0,0.0
MASTER_RIGHT_ROT_R33,0.533833,0.83335325,0.29952025000000004,0.08455262499999994,1.282633625,31,1.6939890710382512
MASTER_RIGHT_LIN_VEL_X,-0.0104405,0.009603500000000001,0.020044,-0.0405065,0.039669499999999996,146,7.978142076502732
MASTER_RIGHT_LIN_VEL_Y,-0.00796175,0.00629775,0.014259500000000001,-0.029351000000000002,0.027687000000000003,197,10.765027322404372
MASTER_RIGHT_LIN_VEL_Z,-0.008560499999999999,0.011323,0.0198835,-0.038385749999999996,0.04114825,215,11.748633879781421
MASTER_RIGHT_ROT_VEL_X,-0.09234200000000001,0.084698,0.17704,-0.35790200000000005,0.350258,446,24.371584699453553
MASTER_RIGHT_ROT_VEL_Y,-0.19554925,0.14489524999999998,0.3404445,-0.706216,0.655562,369,20.163934426229506
MASTER_RIGHT_ROT_VEL_Z,-0.142708,0.15584625000000002,0.29855425,-0.5905393750000001,0.603677625,421,23.005464480874316
MASTER_RIGHT_GRIPPER_ANGLE,-1.4005560000000001,0.09664175,1.4971977500000002,-3.6463526250000005,2.3424383750000004,0,0.0
SLAVE_LEFT_POS_X,0.04305025,0.0554565,0.01240625,0.024440874999999997,0.074065875,63,3.4426229508196724
SLAVE_LEFT_POS_Y,0.03810175,0.057353249999999995,0.019251499999999998,0.0092245,0.08623049999999999,0,0.0
SLAVE_LEFT_POS_Z,-0.0078215,0.0064912500000000005,0.01431275,-0.029290625,0.027960375000000003,0,0.0
SLAVE_LEFT_ROT_R11,-0.418539,0.0009015000000000001,0.4194405,-1.04769975,0.63006225,0,0.0
SLAVE_LEFT_ROT_R12,-0.80708775,-0.19433425000000001,0.6127535,-1.7262179999999998,0.7247959999999999,0,0.0
SLAVE_LEFT_ROT_R13,0.49332425,0.879289,0.38596474999999997,-0.08562287499999999,1.458236125,0,0.0
SLAVE_LEFT_ROT_R21,0.1973315,0.86788025,0.67054875,-0.808491625,1.873703375,0,0.0
SLAVE_LEFT_ROT_R22,-0.9279265000000001,-0.28062,0.6473065000000001,-1.8988862500000003,0.6903397500000003,0,0.0
SLAVE_LEFT_ROT_R23,-0.28509924999999997,-0.04708,0.23801924999999996,-0.6421281249999999,0.3099488749999999,18,0.9836065573770493
SLAVE_LEFT_ROT_R31,0.29184075,0.8580565,0.56621575,-0.557482875,1.707380125,0,0.0
SLAVE_LEFT_ROT_R32,0.13657675,0.4417725,0.30519575,-0.32121687499999996,0.899566125,0,0.0
SLAVE_LEFT_ROT_R33,0.3947765,0.8266114999999999,0.43183499999999997,-0.252976,1.474364,0,0.0
SLAVE_LEFT_LIN_VEL_X,-0.005197,0.004743750000000001,0.009940750000000002,-0.020108125000000004,0.019654875000000002,149,8.14207650273224
SLAVE_LEFT_LIN_VEL_Y,-0.003663,0.00362175,0.0072847499999999996,-0.014590124999999999,0.014548875,189,10.327868852459018
SLAVE_LEFT_LIN_VEL_Z,-0.0046035,0.0054020000000000006,0.0100055,-0.01961175,0.02041025,218,11.912568306010929
SLAVE_LEFT_ROT_VEL_X,-0.100145,0.08886925000000001,0.18901425,-0.38366637499999995,0.372390625,454,24.808743169398905
SLAVE_LEFT_ROT_VEL_Y,-0.19657950000000002,0.140541,0.33712050000000005,-0.70226025,0.64622175,389,21.256830601092897
SLAVE_LEFT_ROT_VEL_Z,-0.168328,0.1589115,0.3272395,-0.65918725,0.6497707500000001,400,21.85792349726776
SLAVE_LEFT_GRIPPER_ANGLE,-0.874382,-0.0702985,0.8040835,-2.08050725,1.1358267499999999,0,0.0
SLAVE_RIGHT_POS_X,0.0746305,0.08072575,0.0060952499999999965,0.06548762500000001,0.089868625,151,8.251366120218579
SLAVE_RIGHT_POS_Y,0.0280615,0.04838575,0.02032425,-0.0024248749999999965,0.07887212499999999,0,0.0
SLAVE_RIGHT_POS_Z,-0.05011225,-0.0357755,0.014336749999999995,-0.07161737499999998,-0.014270375000000009,15,0.819672131147541
SLAVE_RIGHT_ROT_R11,-0.5603915,-0.417561,0.14283050000000003,-0.77463725,-0.20331524999999998,0,0.0
SLAVE_RIGHT_ROT_R12,0.5169644999999999,0.79835425,0.2813897500000001,0.09487987499999978,1.2204388750000001,22,1.2021857923497268
SLAVE_RIGHT_ROT_R13,-0.6890795,-0.37685525,0.31222425,-1.1574158749999999,0.091481125,0,0.0
SLAVE_RIGHT_ROT_R21,-0.794632,-0.603857,0.19077500000000003,-1.0807945,-0.31769449999999994,151,8.251366120218579
