Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.06084375,0.083033,0.022189249999999994,0.02755987500000001,0.11631687499999999,257,15.153301886792454
MASTER_LEFT_POS_Y,0.0067655,0.047329750000000004,0.04056425,-0.05408087500000001,0.10817612500000001,0,0.0
MASTER_LEFT_POS_Z,0.3790575,0.41380724999999996,0.03474974999999997,0.326932875,0.4659318749999999,24,1.4150943396226416
MASTER_LEFT_ROT_R11,-0.36341625,0.0026565,0.36607275,-0.912525375,0.5517656249999999,0,0.0
MASTER_LEFT_ROT_R12,0.299129,0.87057775,0.5714487500000001,-0.5580441250000001,1.7277508750000001,10,0.589622641509434
MASTER_LEFT_ROT_R13,-0.81218,-0.435827,0.376353,-1.3767095,0.1287025,0,0.0
MASTER_LEFT_ROT_R21,-0.9773989999999999,-0.5442875,0.43311149999999987,-1.6270662499999997,0.10537974999999977,18,1.0613207547169812
MASTER_LEFT_ROT_R22,-0.771848,-0.009726750000000001,0.76212125,-1.915029875,1.133455125,0,0.0
MASTER_LEFT_ROT_R23,-0.22053050000000002,0.148707,0.3692375,-0.7743867499999999,0.70256325,0,0.0
MASTER_LEFT_ROT_R31,-0.74694225,0.011662249999999999,0.7586045,-1.884849,1.149569,0,0.0
MASTER_LEFT_ROT_R32,0.37472574999999997,0.5056750000000001,0.13094925000000013,0.17830187499999978,0.7020988750000003,108,6.367924528301887
MASTER_LEFT_ROT_R33,0.539215,0.869897,0.33068200000000003,0.04319199999999995,1.36592,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.00370425,0.009805,0.01350925,-0.023968125,0.030068875000000002,301,17.74764150943396
MASTER_LEFT_LIN_VEL_Y,-0.00460125,0.00537825,0.0099795,-0.0195705,0.0203475,325,19.162735849056602
MASTER_LEFT_LIN_VEL_Z,-0.0017985,0.009644,0.0114425,-0.01896225,0.026807749999999998,351,20.69575471698113
MASTER_LEFT_ROT_VEL_X,-0.022914,0.033731,0.056645,-0.1078815,0.1186985,442,26.06132075471698
MASTER_LEFT_ROT_VEL_Y,-0.029203,0.0630155,0.09221850000000001,-0.16753075000000003,0.20134325000000003,514,30.306603773584907
MASTER_LEFT_ROT_VEL_Z,-0.0279605,0.08554475,0.11350525,-0.198218375,0.255802625,403,23.76179245283019
MASTER_LEFT_GRIPPER_ANGLE,-0.98518525,-0.001412,0.98377325,-2.460845125,1.474247875,0,0.0
MASTER_RIGHT_POS_X,-0.11262825,-0.0840735,0.028554750000000004,-0.155460375,-0.04124137499999999,6,0.3537735849056604
