Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.100349,0.125505,0.02515600000000001,0.06261499999999998,0.16323900000000002,251,10.207401382675885
MASTER_LEFT_POS_Y,-0.002437,0.0346845,0.0371215,-0.058119250000000004,0.09036675,0,0.0
MASTER_LEFT_POS_Z,0.335646,0.3707565,0.03511049999999999,0.28298025000000004,0.42342225,33,1.3420089467263114
MASTER_LEFT_ROT_R11,-0.884036,-0.153937,0.730099,-1.9791845000000001,0.9412115000000001,0,0.0
MASTER_LEFT_ROT_R12,-0.197717,0.483352,0.681069,-1.2193205,1.5049555000000001,0,0.0
MASTER_LEFT_ROT_R13,-0.7993895,-0.419842,0.3795475,-1.36871075,0.14947925,0,0.0
MASTER_LEFT_ROT_R21,-0.7964100000000001,0.132415,0.928825,-2.1896475000000004,1.5256525,0,0.0
MASTER_LEFT_ROT_R22,-0.939059,-0.4170825,0.5219765,-1.72202375,0.36588224999999985,295,11.996746644977634
MASTER_LEFT_ROT_R23,0.021633,0.3098205,0.2881875,-0.41064824999999994,0.74210175,22,0.8946726311508743
MASTER_LEFT_ROT_R31,-0.45269499999999996,-0.215569,0.23712599999999995,-0.8083839999999999,0.1401199999999999,395,16.063440422936154
MASTER_LEFT_ROT_R32,0.23746899999999999,0.6827544999999999,0.44528549999999995,-0.4304592499999999,1.3506827499999998,97,3.9446929646197644
MASTER_LEFT_ROT_R33,0.5220210000000001,0.896301,0.37427999999999995,-0.03939899999999985,1.4577209999999998,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.0007084999999999999,0.00966,0.0103685,-0.016261249999999998,0.02521275,381,15.49410329402196
MASTER_LEFT_LIN_VEL_Y,-0.0035935,0.0041865,0.0077800000000000005,-0.0152635,0.0158565,413,16.795445302968687
MASTER_LEFT_LIN_VEL_Z,-0.0015175000000000002,0.006742,0.0082595,-0.013906749999999999,0.01913125,436,17.730784871899147
MASTER_LEFT_ROT_VEL_X,-0.0126195,0.0259965,0.038616,-0.0705435,0.0839205,664,27.00284668564457
MASTER_LEFT_ROT_VEL_Y,-0.0273745,0.0312755,0.058649999999999994,-0.1153495,0.1192505,834,33.91622610817405
MASTER_LEFT_ROT_VEL_Z,-0.029553,0.0441015,0.0736545,-0.14003474999999999,0.15458325,720,29.28019520130134
MASTER_LEFT_GRIPPER_ANGLE,-1.8477395,0.2835355,2.131275,-5.044652,3.480448,0,0.0
MASTER_RIGHT_POS_X,-0.180104,-0.1367225,0.04338149999999999,-0.24517624999999998,-0.07165025000000001,0,0.0
MASTER_RIGHT_POS_Y,0.019994,0.0582375,0.0382435,-0.037371249999999995,0.11560275,0,0.0
MASTER_RIGHT_POS_Z,0.3148795,0.35427450000000005,0.03939500000000007,0.2557869999999999,0.41336700000000015,0,0.0
MASTER_RIGHT_ROT_R11,0.11170949999999999,0.45602149999999997,0.34431199999999995,-0.4047584999999999,0.9724894999999999,0,0.0
MASTER_RIGHT_ROT_R12,0.24108849999999998,0.7650245,0.523936,-0.5448154999999999,1.5509285,0,0.0
MASTER_RIGHT_ROT_R13,0.496839,0.92024,0.42340099999999997,-0.1382625,1.5553415,0,0.0
MASTER_RIGHT_ROT_R21,-0.970985,-0.8071365,0.16384849999999995,-1.21675775,-0.5613637500000002,0,0.0
MASTER_RIGHT_ROT_R22,0.2098375,0.5491195,0.339282,-0.2990855,1.0580425,0,0.0
MASTER_RIGHT_ROT_R23,0.013867,0.25712250000000003,0.24325550000000004,-0.35101625000000003,0.62200575,0,0.0
MASTER_RIGHT_ROT_R31,-0.3522925,0.0254155,0.377708,-0.9188545,0.5919775,0,0.0
MASTER_RIGHT_ROT_R32,-0.863934,-0.4488075,0.41512649999999995,-1.48662375,0.1738822499999999,0,0.0
MASTER_RIGHT_ROT_R33,0.31350500000000003,0.8575975,0.5440925,-0.5026337499999999,1.67373625,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.0096755,0.008362999999999999,0.0180385,-0.036733249999999995,0.03542075,196,7.970719804798698
MASTER_RIGHT_LIN_VEL_Y,-0.004142,0.0047995,0.0089415,-0.01755425,0.01821175,243,9.882065880439203
MASTER_RIGHT_LIN_VEL_Z,-0.002882,0.008632,0.011514,-0.020153,0.025903000000000002,349,14.192761285075234
MASTER_RIGHT_ROT_VEL_X,-0.0340735,0.0366315,0.07070499999999999,-0.14013099999999998,0.14268899999999998,466,18.9507930052867
MASTER_RIGHT_ROT_VEL_Y,-0.100895,0.0485435,0.1494385,-0.32505275,0.27270125,604,24.562830418869456
MASTER_RIGHT_ROT_VEL_Z,-0.061214000000000005,0.06447900000000001,0.125693,-0.24975350000000002,0.25301850000000004,498,20.252135014233428
MASTER_RIGHT_GRIPPER_ANGLE,-1.088696,0.15986899999999998,1.2485650000000001,-2.9615435000000003,2.0327165000000003,0,0.0
SLAVE_LEFT_POS_X,0.0281825,0.049872,0.0216895,-0.0043517500000000015,0.08240625,0,0.0
SLAVE_LEFT_POS_Y,0.0338755,0.0529955,0.019119999999999998,0.005195500000000006,0.0816755,0,0.0
SLAVE_LEFT_POS_Z,-0.0214215,-0.0017225,0.019699,-0.05097,0.027826000000000004,0,0.0
SLAVE_LEFT_ROT_R11,-0.5069980000000001,-0.138096,0.36890200000000006,-1.0603510000000003,0.4152570000000001,0,0.0
SLAVE_LEFT_ROT_R12,-0.729467,-0.2104145,0.5190524999999999,-1.50804575,0.5681642499999999,0,0.0
SLAVE_LEFT_ROT_R13,0.502672,0.931674,0.429002,-0.14083099999999993,1.575177,0,0.0
SLAVE_LEFT_ROT_R21,0.736712,0.9420065,0.20529449999999994,0.42877025000000013,1.2499482499999999,0,0.0
SLAVE_LEFT_ROT_R22,-0.640515,-0.3204745,0.32004049999999995,-1.12057575,0.15958624999999993,0,0.0
SLAVE_LEFT_ROT_R23,-0.027209,0.21514899999999998,0.242358,-0.390746,0.578686,0,0.0
SLAVE_LEFT_ROT_R31,0.06377250000000001,0.44026299999999996,0.37649049999999995,-0.5009632499999999,1.00499875,0,0.0
SLAVE_LEFT_ROT_R32,0.4173735,0.830452,0.41307849999999996,-0.20224424999999996,1.45006975,0,0.0
SLAVE_LEFT_ROT_R33,0.311522,0.8563875,0.5448655,-0.50577625,1.67368575,0,0.0
SLAVE_LEFT_LIN_VEL_X,-0.0047415,0.00111,0.0058515,-0.01351875,0.00988725,406,16.51077673851159
SLAVE_LEFT_LIN_VEL_Y,-0.0022145,0.002423,0.004637499999999999,-0.009170749999999998,0.009379249999999999,224,9.109394062627084
SLAVE_LEFT_LIN_VEL_Z,-0.001556,0.0044624999999999995,0.0060184999999999995,-0.01058375,0.013490249999999999,324,13.176087840585604
SLAVE_LEFT_ROT_VEL_X,-0.0371605,0.037100499999999995,0.074261,-0.148552,0.14849199999999999,506,20.577470516470107
SLAVE_LEFT_ROT_VEL_Y,-0.0810855,0.050607,0.1316925,-0.27862425,0.24814575,700,28.466856445709638
SLAVE_LEFT_ROT_VEL_Z,-0.069715,0.055899000000000004,0.125614,-0.25813600000000003,0.24432,532,21.634810898739325
SLAVE_LEFT_GRIPPER_ANGLE,-0.853971,0.0384125,0.8923835,-2.19254625,1.3769877499999998,0,0.0
SLAVE_RIGHT_POS_X,0.0651595,0.0777335,0.012574000000000002,0.04629849999999999,0.0965945,251,10.207401382675885
SLAVE_RIGHT_POS_Y,0.023787,0.042345999999999995,0.018558999999999996,-0.004051499999999996,0.07018449999999998,0,0.0
SLAVE_RIGHT_POS_Z,-0.07560549999999999,-0.058050500000000005,0.017554999999999987,-0.10193799999999997,-0.031718000000000024,33,1.3420089467263114
SLAVE_RIGHT_ROT_R11,-0.838167,-0.156934,0.681233,-1.8600165,0.8649155000000001,0,0.0
SLAVE_RIGHT_ROT_R12,-0.2952905,0.4638775,0.7591680000000001,-1.4340425000000003,1.6026295000000002,0,0.0
SLAVE_RIGHT_ROT_R13,-0.7971115,-0.458622,0.3384895,-1.30484575,0.04911224999999997,0,0.0
SLAVE_RIGHT_ROT_R21,-0.787837,0.2651705,1.0530075,-2.36734825,1.8446817500000001,0,0.0
SLAVE_RIGHT_ROT_R22,-0.9302379999999999,-0.5464340000000001,0.3838039999999998,-1.5059439999999995,0.02927199999999963,389,15.819438796258641
SLAVE_RIGHT_ROT_R23,-0.0050935,0.25473599999999996,0.25982949999999994,-0.3948377499999999,0.6444802499999999,26,1.0573403822692151
SLAVE_RIGHT_ROT_R31,-0.5336275,-0.2917575,0.24187000000000003,-0.8964325000000001,0.07104750000000004,418,16.998779991866613
SLAVE_RIGHT_ROT_R32,0.1460985,0.5921905000000001,0.44609200000000004,-0.5230395,1.2613285,97,3.9446929646197644
SLAVE_RIGHT_ROT_R33,0.535372,0.8826565,0.3472845,0.014445249999999965,1.40358325,30,1.2200081333875559
SLAVE_RIGHT_LIN_VEL_X,-0.000423,0.0021475,0.0025705,-0.00427875,0.00600325,947,38.51159007726718
SLAVE_RIGHT_LIN_VEL_Y,-0.0018835,0.0021685000000000003,0.004052,-0.0079615,0.0082465,378,15.372102480683205
SLAVE_RIGHT_LIN_VEL_Z,-0.0008485,0.0035765,0.004425,-0.0074860000000000005,0.010214,390,15.860105734038227
SLAVE_RIGHT_ROT_VEL_X,-0.020894999999999997,0.0251595,0.0460545,-0.08997675,0.09424125,632,25.701504676697844
