Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.118372,0.13478400000000001,0.01641200000000001,0.09375399999999999,0.15940200000000004,281,13.62094037809016
MASTER_LEFT_POS_Y,0.0073939999999999995,0.047464,0.04007,-0.05271100000000001,0.107569,0,0.0
MASTER_LEFT_POS_Z,0.341124,0.364476,0.02335200000000004,0.3060959999999999,0.3995040000000001,124,6.010664081434804
MASTER_LEFT_ROT_R11,-0.65375,-0.3648,0.28895000000000004,-1.0871750000000002,0.06862500000000005,16,0.7755695588948134
MASTER_LEFT_ROT_R12,0.38583,0.5070595,0.12122949999999999,0.20398575000000002,0.6889037499999999,231,11.197285506543867
MASTER_LEFT_ROT_R13,-0.81473,-0.580463,0.234267,-1.1661305,-0.22906249999999995,0,0.0
MASTER_LEFT_ROT_R21,-0.6092595000000001,-0.4047685,0.2044910000000001,-0.9159960000000003,-0.09803199999999984,40,1.9389238972370333
MASTER_LEFT_ROT_R22,-0.8601335,-0.7624044999999999,0.09772900000000007,-1.0067270000000001,-0.6158109999999999,41,1.9873969946679595
MASTER_LEFT_ROT_R23,-0.2683955,-0.003112,0.2652835,-0.66632075,0.39481325,53,2.5690741638390695
MASTER_LEFT_ROT_R31,-0.7434160000000001,-0.5273639999999999,0.21605200000000013,-1.0674940000000004,-0.20328599999999974,0,0.0
MASTER_LEFT_ROT_R32,0.1926155,0.43133299999999997,0.23871749999999997,-0.16546075,0.78940925,66,3.1992244304411055
MASTER_LEFT_ROT_R33,0.5200365,0.7687645000000001,0.24872800000000006,0.14694449999999992,1.1418565000000003,146,7.077072224915172
MASTER_LEFT_LIN_VEL_X,-0.0008860000000000001,0.0061805,0.0070665,-0.01148575,0.01678025,502,24.33349491032477
MASTER_LEFT_LIN_VEL_Y,-0.0038599999999999997,0.0051175000000000005,0.0089775,-0.017326249999999998,0.01858375,326,15.802229762481822
MASTER_LEFT_LIN_VEL_Z,-0.003007,0.0050475,0.0080545,-0.015088749999999998,0.01712925,469,22.733882695104217
MASTER_LEFT_ROT_VEL_X,-0.029348,0.0029709999999999997,0.032319,-0.07782649999999999,0.0514495,432,20.94037809015996
MASTER_LEFT_ROT_VEL_Y,-0.015214499999999999,0.0170005,0.032215,-0.06353700000000001,0.065323,656,31.798351914687352
MASTER_LEFT_ROT_VEL_Z,-0.024639,0.036629,0.061268,-0.116541,0.128531,577,27.96897721764421
MASTER_LEFT_GRIPPER_ANGLE,-1.9065660000000002,0.084337,1.9909030000000003,-4.892920500000001,3.0706915000000006,0,0.0
MASTER_RIGHT_POS_X,-0.155767,-0.126989,0.028777999999999998,-0.198934,-0.083822,0,0.0
MASTER_RIGHT_POS_Y,0.032852,0.07140350000000001,0.03855150000000001,-0.02497525000000001,0.12923075,0,0.0
MASTER_RIGHT_POS_Z,0.332294,0.36221499999999995,0.029920999999999975,0.2874125,0.4070964999999999,0,0.0
MASTER_RIGHT_ROT_R11,-0.07966000000000001,0.4829695,0.5626295,-0.9236042500000001,1.3269137500000001,0,0.0
MASTER_RIGHT_ROT_R12,-0.14301750000000002,0.8723719999999999,1.0153895,-1.66610175,2.3954562499999996,0,0.0
MASTER_RIGHT_ROT_R13,0.36923399999999995,0.870532,0.501298,-0.3827130000000001,1.622479,0,0.0
MASTER_RIGHT_ROT_R21,-0.9286285000000001,-0.26268,0.6659485,-1.92755125,0.7362427500000001,0,0.0
MASTER_RIGHT_ROT_R22,0.16601100000000002,0.84979,0.683779,-0.8596575000000001,1.8754585000000001,0,0.0
MASTER_RIGHT_ROT_R23,0.097875,0.348568,0.250693,-0.2781645,0.7246075,68,3.296170625302957
MASTER_RIGHT_ROT_R31,-0.841325,0.141351,0.982676,-2.315339,1.615365,0,0.0
MASTER_RIGHT_ROT_R32,-0.5861510000000001,-0.116285,0.4698660000000001,-1.2909500000000003,0.5885140000000002,24,1.16335433834222
MASTER_RIGHT_ROT_R33,0.19512400000000002,0.880574,0.6854499999999999,-0.8330509999999998,1.9087489999999998,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.0021535,0.0017504999999999999,0.003904,-0.0080095,0.0076065,876,42.46243334949103
MASTER_RIGHT_LIN_VEL_Y,-0.0050235,0.006491500000000001,0.011515000000000001,-0.022296000000000003,0.023764000000000004,164,7.949587978671838
MASTER_RIGHT_LIN_VEL_Z,-0.005352,0.009197,0.014549,-0.0271755,0.0310205,186,9.015996122152206
MASTER_RIGHT_ROT_VEL_X,-0.0478455,0.030082499999999998,0.077928,-0.16473749999999998,0.1469745,526,25.49684924866699
MASTER_RIGHT_ROT_VEL_Y,-0.0952855,0.073726,0.16901149999999998,-0.34880274999999994,0.32724325,515,24.963645176926804
MASTER_RIGHT_ROT_VEL_Z,-0.0826045,0.077065,0.1596695,-0.32210874999999994,0.31656924999999997,466,22.58846340281144
MASTER_RIGHT_GRIPPER_ANGLE,-1.40583,0.4075525,1.8133825,-4.12590375,3.12762625,0,0.0
SLAVE_LEFT_POS_X,0.041869,0.056256,0.014386999999999997,0.020288500000000008,0.0778365,0,0.0
SLAVE_LEFT_POS_Y,0.0355405,0.054831500000000005,0.019291000000000003,0.006603999999999999,0.08376800000000001,0,0.0
SLAVE_LEFT_POS_Z,-0.010411,0.0045545,0.0149655,-0.03285925,0.02700275,0,0.0
SLAVE_LEFT_ROT_R11,-0.4742305,0.048124,0.5223545,-1.25776225,0.8316557500000001,0,0.0
SLAVE_LEFT_ROT_R12,-0.8473854999999999,0.1153005,0.9626859999999999,-2.2914145,1.5593295,0,0.0
SLAVE_LEFT_ROT_R13,0.36321499999999995,0.8875525,0.5243375,-0.42329125,1.67405875,0,0.0
SLAVE_LEFT_ROT_R21,0.1433245,0.917284,0.7739595,-1.01761475,2.0782232499999997,0,0.0
SLAVE_LEFT_ROT_R22,-0.8703695,-0.30102,0.5693495,-1.72439375,0.5530042499999999,0,0.0
SLAVE_LEFT_ROT_R23,0.0531685,0.30057599999999995,0.24740749999999995,-0.3179427499999999,0.6716872499999998,102,4.944255937954435
SLAVE_LEFT_ROT_R31,-0.0471015,0.8513314999999999,0.8984329999999999,-1.3947509999999999,2.198981,0,0.0
SLAVE_LEFT_ROT_R32,0.0410535,0.5299305000000001,0.48887700000000006,-0.6922620000000002,1.263246,24,1.16335433834222
SLAVE_LEFT_ROT_R33,0.14890799999999998,0.891041,0.7421329999999999,-0.9642914999999999,2.0042405,0,0.0
SLAVE_LEFT_LIN_VEL_X,-0.0010075,0.000993,0.0020004999999999997,-0.00400825,0.003993749999999999,874,42.365487154629186
SLAVE_LEFT_LIN_VEL_Y,-0.0025570000000000002,0.003458,0.006015,-0.011579500000000001,0.012480500000000002,136,6.592341250605914
SLAVE_LEFT_LIN_VEL_Z,-0.0028035,0.0045485,0.007351999999999999,-0.0138315,0.0155765,195,9.452253999030539
