Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1480.0,0.1254822141891892,0.01957594355613499,0.060546,0.11941075000000001,0.12838149999999998,0.14243250000000002,0.147155
MASTER_LEFT_POS_Y,1480.0,0.0036664925675675667,0.021567539492375682,-0.036292,-0.02423625,0.0157845,0.020252,0.02539
MASTER_LEFT_POS_Z,1480.0,0.44637707229729734,0.019382678369749846,0.394135,0.43082299999999996,0.45352950000000003,0.4572395,0.480672
MASTER_LEFT_ROT_R11,1480.0,0.4266241135135136,0.37084846285348194,-0.322004,0.168659,0.47249450000000004,0.79392225,0.944457
MASTER_LEFT_ROT_R12,1480.0,0.6653523027027027,0.18478278927232897,0.287421,0.48414,0.7124225,0.85623425,0.904976
MASTER_LEFT_ROT_R13,1480.0,-0.43242897229729726,0.12962567146109708,-0.872751,-0.488324,-0.46009,-0.32881875000000005,-0.112617
MASTER_LEFT_ROT_R21,1480.0,-0.774724022972973,0.21841284523001864,-0.999331,-0.981995,-0.8449485,-0.53569975,-0.315237
MASTER_LEFT_ROT_R22,1480.0,0.41378293310810815,0.3998755956506664,-0.586458,0.185673,0.467155,0.81890775,0.939816
MASTER_LEFT_ROT_R23,1480.0,-0.10338702297297299,0.1020388955760273,-0.414893,-0.20921025000000001,-0.061625,-0.00964775,0.072838
MASTER_LEFT_ROT_R31,1480.0,0.0772241135135135,0.16285319331760012,-0.523763,-0.014044250000000001,0.084578,0.149817,0.3521
MASTER_LEFT_ROT_R32,1480.0,0.42070093175675677,0.12043602606577751,0.172956,0.329081,0.458904,0.48578,0.756581
MASTER_LEFT_ROT_R33,1480.0,0.8782006648648649,0.06959037742227023,0.486515,0.87024975,0.8847970000000001,0.9306415,0.975757
MASTER_LEFT_LIN_VEL_X,1480.0,0.00037969797297297294,0.018048228489237535,-0.095102,-0.0006724999999999999,3e-06,0.002075,0.086135
MASTER_LEFT_LIN_VEL_Y,1480.0,0.0011163378378378378,0.009002379827986044,-0.038153,-0.001546,8.8e-05,0.0037070000000000002,0.036832
MASTER_LEFT_LIN_VEL_Z,1480.0,0.0007575756756756756,0.01489448692170818,-0.067613,-0.00108375,2.3e-05,0.00269375,0.073792
MASTER_LEFT_ROT_VEL_X,1480.0,-0.01807841418918919,0.5285179610524502,-5.988147,-0.0047557499999999996,0.0,0.0027685,4.319333
MASTER_LEFT_ROT_VEL_Y,1480.0,0.0023284236486486496,0.24825852583543773,-1.991011,-0.01162675,0.0,0.013751,1.961778
MASTER_LEFT_ROT_VEL_Z,1480.0,-0.006492493243243247,0.7118367757383879,-5.807666,-0.01893575,0.0,0.029431,5.261837
MASTER_LEFT_GRIPPER_ANGLE,1480.0,-0.5424813594594594,0.7306221891212307,-1.908716,-1.0679429999999999,-0.7431055,0.20235725,0.522221
MASTER_RIGHT_POS_X,1480.0,-0.11411159391891892,0.02417655809320063,-0.150114,-0.1422195,-0.113652,-0.0904405,-0.074275
MASTER_RIGHT_POS_Y,1480.0,0.015880964189189186,0.01901323722950151,-0.032343,-0.00222975,0.024989,0.02786475,0.04405
MASTER_RIGHT_POS_Z,1480.0,0.4099645297297297,0.018446578919741535,0.371994,0.3986585,0.4031965,0.42520125,0.452242
MASTER_RIGHT_ROT_R11,1480.0,0.26801678243243243,0.21048895542383805,-0.154073,0.128959,0.318585,0.41860875,0.675193
