Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1068.0,0.16084750655430713,0.03755620515787389,0.085005,0.13946,0.15129350000000003,0.1622975,0.248464
MASTER_LEFT_POS_Y,1068.0,-0.0013769485018726585,0.02399773474318526,-0.05207,-0.02071725,0.0048094999999999995,0.01694025,0.055073
MASTER_LEFT_POS_Z,1068.0,0.3353243651685393,0.026937486149176924,0.270288,0.31407025,0.337618,0.35634575,0.382873
MASTER_LEFT_ROT_R11,1068.0,-0.4140687743445693,0.2630300587988223,-0.957512,-0.44687,-0.373199,-0.235492,0.49989
MASTER_LEFT_ROT_R12,1068.0,0.03235583801498127,0.3351038080081181,-0.624778,-0.20227124999999999,-0.0664055,0.312808,0.848801
MASTER_LEFT_ROT_R13,1068.0,-0.7820691189138577,0.1861083827720957,-0.9981,-0.93125175,-0.8308534999999999,-0.698553,-0.288469
MASTER_LEFT_ROT_R21,1068.0,-0.4675871170411985,0.30246951436127884,-0.945248,-0.775638,-0.42489699999999997,-0.19476475000000001,0.030938
MASTER_LEFT_ROT_R22,1068.0,-0.749603240636704,0.16885454983361228,-0.982051,-0.8965855,-0.811777,-0.6161719999999999,-0.24182
MASTER_LEFT_ROT_R23,1068.0,0.23836678558052432,0.20679249027437643,-0.379503,0.12565525,0.2834205,0.4189165,0.573483
MASTER_LEFT_ROT_R31,1068.0,-0.6353814953183521,0.21250444006896943,-0.987961,-0.8649965,-0.576459,-0.46349225,-0.246017
MASTER_LEFT_ROT_R32,1068.0,0.5134852949438202,0.1805382617492834,0.045276,0.373586,0.4951675,0.688888,0.835243
MASTER_LEFT_ROT_R33,1068.0,0.42757575280898874,0.26873309411179436,-0.590554,0.20614325,0.3828075,0.682477,0.836609
MASTER_LEFT_LIN_VEL_X,1068.0,-0.00025957677902621693,0.040944834642495695,-0.167371,-0.00952675,6.549999999999999e-05,0.014748,0.145178
MASTER_LEFT_LIN_VEL_Y,1068.0,0.002138848314606741,0.028102522680798027,-0.138352,-0.00695125,0.0001625,0.009994,0.150294
MASTER_LEFT_LIN_VEL_Z,1068.0,0.0015678361423220979,0.0424161592052017,-0.203147,-0.00775,4.9999999999999996e-05,0.00898175,0.299471
MASTER_LEFT_ROT_VEL_X,1068.0,0.007034749063670413,0.7793262768203904,-6.258497,-0.03476075,0.0,0.034756,7.602647
MASTER_LEFT_ROT_VEL_Y,1068.0,0.0005361226591760393,0.753153226155694,-4.621951,-0.0305635,-0.0,0.114572,6.532531
MASTER_LEFT_ROT_VEL_Z,1068.0,-0.017001143258426974,0.6338423051603461,-3.691632,-0.073243,0.0,0.086629,4.13514
MASTER_LEFT_GRIPPER_ANGLE,1068.0,-0.754656106741573,0.9648953176017084,-1.91775,-1.7811435,-0.5316639999999999,0.27841675,0.524258
MASTER_RIGHT_POS_X,1068.0,-0.17732137921348315,0.025087749393482777,-0.232507,-0.192772,-0.1745735,-0.16542975,-0.127618
MASTER_RIGHT_POS_Y,1068.0,-0.006743235955056177,0.026937145828113993,-0.050871,-0.03165175,-0.0024575,0.01063625,0.037422
MASTER_RIGHT_POS_Z,1068.0,0.3369033717228464,0.023454075590332385,0.281674,0.317982,0.33272100000000004,0.3573815,0.377785
MASTER_RIGHT_ROT_R11,1068.0,-0.4700380524344569,0.2472618818981477,-0.884892,-0.6831477499999999,-0.465334,-0.37364875000000003,0.252944
MASTER_RIGHT_ROT_R12,1068.0,-0.08003967977528088,0.5141931620149239,-0.959368,-0.367122,-0.1838785,0.3127855,0.78922
MASTER_RIGHT_ROT_R13,1068.0,0.6434614868913857,0.18278303193680243,0.263858,0.51619175,0.6431665,0.81696,0.9436
MASTER_RIGHT_ROT_R21,1068.0,0.38919308520599255,0.47860139328694945,-0.689936,-0.05741475,0.561107,0.80554275,0.978479
MASTER_RIGHT_ROT_R22,1068.0,-0.586150286516854,0.34494204404254036,-0.988422,-0.8876120000000001,-0.5949415,-0.51187525,0.346599
MASTER_RIGHT_ROT_R23,1068.0,0.3648684990636704,0.15513053264358406,0.088801,0.258216,0.307876,0.47413225000000003,0.762842
MASTER_RIGHT_ROT_R31,1068.0,0.41722817602996254,0.40531053111682336,-0.486358,0.15158625,0.48251350000000004,0.7340610000000001,0.976816
MASTER_RIGHT_ROT_R32,1068.0,0.4270600093632959,0.2913671072183139,-0.286263,0.17783175,0.35691949999999995,0.77286,0.863061
MASTER_RIGHT_ROT_R33,1068.0,0.6023696591760299,0.17789285640994354,0.076991,0.4209305,0.6142795000000001,0.73402875,0.92205
MASTER_RIGHT_LIN_VEL_X,1068.0,0.00015089419475655384,0.04138968678764808,-0.158122,-0.01352575,1.1e-05,0.01307075,0.344426
MASTER_RIGHT_LIN_VEL_Y,1068.0,0.0019813314606741575,0.02828520567219102,-0.148742,-0.00740175,-0.0,0.0101105,0.130833
MASTER_RIGHT_LIN_VEL_Z,1068.0,0.0018698932584269663,0.032447711454974125,-0.11533,-0.006215,0.0007415,0.013851500000000001,0.168581
MASTER_RIGHT_ROT_VEL_X,1068.0,-0.006620717228464433,1.1731710724953093,-5.296171,-0.06446375,0.0,0.05885025,6.276531
MASTER_RIGHT_ROT_VEL_Y,1068.0,-0.016326500936329577,0.9160804534390256,-5.886127,-0.13994475,0.0,0.09235625,6.163618
MASTER_RIGHT_ROT_VEL_Z,1068.0,-0.029284488764044946,1.206827354489773,-5.313149,-0.147629,0.0,0.06170425,6.203938
MASTER_RIGHT_GRIPPER_ANGLE,1068.0,-0.5026211853932585,0.7371820367118205,-1.406965,-1.2765765,-0.603575,0.22844399999999998,0.537602
SLAVE_LEFT_POS_X,1068.0,0.039016334269662924,0.012544553646911837,0.011426,0.03130475,0.0403915,0.044916,0.063868
SLAVE_LEFT_POS_Y,1068.0,0.04158555056179776,0.013478861587907552,0.019518,0.029122750000000003,0.0437145,0.05023425,0.063668
SLAVE_LEFT_POS_Z,1068.0,-0.011748734082397004,0.011724501502462122,-0.039417,-0.02121725,-0.0138345,-0.001503,0.008697
SLAVE_LEFT_ROT_R11,1068.0,0.4395802303370786,0.2374570672330113,-0.241676,0.34062225,0.422065,0.650099,0.864231
SLAVE_LEFT_ROT_R12,1068.0,0.07630548033707864,0.5165302368661886,-0.790677,-0.32255175,0.183763,0.35591625,0.964235
SLAVE_LEFT_ROT_R13,1068.0,0.6651624213483146,0.18881447296713258,0.245805,0.5446887499999999,0.676365,0.8400164999999999,0.959147
SLAVE_LEFT_ROT_R21,1068.0,-0.39029719662921347,0.48151472335125567,-0.986468,-0.801844,-0.5562165,0.07038425000000001,0.684417
SLAVE_LEFT_ROT_R22,1068.0,0.6013538745318351,0.33613843074574634,-0.316951,0.53837375,0.6123799999999999,0.8949465,0.990947
SLAVE_LEFT_ROT_R23,1068.0,0.33750800655430707,0.16622904132692226,0.069154,0.212941,0.2815985,0.451843,0.763819
SLAVE_LEFT_ROT_R31,1068.0,-0.4573686086142322,0.3967681725682604,-0.985606,-0.76863125,-0.5271615000000001,-0.2059625,0.437194
SLAVE_LEFT_ROT_R32,1068.0,-0.40683726966292133,0.2961053640575457,-0.847983,-0.75859475,-0.3360285,-0.148537,0.314701
SLAVE_LEFT_ROT_R33,1068.0,0.5869930355805244,0.18945892080550333,0.030727,0.406979,0.5878639999999999,0.7135167499999999,0.939791
SLAVE_LEFT_LIN_VEL_X,1068.0,-1.5473782771535513e-05,0.020668440512587476,-0.071981,-0.0070715000000000005,1.9e-05,0.0064930000000000005,0.172617
SLAVE_LEFT_LIN_VEL_Y,1068.0,0.0011378632958801498,0.014022443143787422,-0.074465,-0.00283525,-2.0000000000000003e-06,0.00508075,0.068195
SLAVE_LEFT_LIN_VEL_Z,1068.0,0.0007923202247191011,0.01624499775859165,-0.057724,-0.003007,4.4999999999999996e-05,0.0067905,0.084567
SLAVE_LEFT_ROT_VEL_X,1068.0,-0.002849367041198504,1.080478136263214,-5.358653,-0.07178925,-5.7e-05,0.054885750000000004,6.418976
SLAVE_LEFT_ROT_VEL_Y,1068.0,-0.011171178838951306,0.9778070177761746,-4.465926,-0.1313435,-2.4e-05,0.091829,9.357334
SLAVE_LEFT_ROT_VEL_Z,1068.0,-0.048931799625468154,1.1469523824619994,-5.613802,-0.130224,1.5e-06,0.0593725,6.055063
SLAVE_LEFT_GRIPPER_ANGLE,1068.0,-0.4841920224719101,0.5632572804357305,-1.056451,-0.959457,-0.842867,0.056782250000000006,0.523549
SLAVE_RIGHT_POS_X,1068.0,0.08038752340823971,0.018778251757320414,0.042467,0.06969425,0.075609,0.0811115,0.124196
SLAVE_RIGHT_POS_Y,1068.0,0.03825349906367041,0.012001825862069042,0.012906,0.02858375,0.0413555,0.047414,0.066464
SLAVE_RIGHT_POS_Z,1068.0,-0.057433001872659165,0.013472576400241812,-0.09004,-0.0680655,-0.0562755,-0.04692225,-0.033839
SLAVE_RIGHT_ROT_R11,1068.0,0.46423179494382016,0.24832943171812927,-0.491156,0.29620175,0.450886,0.525852,0.968466
SLAVE_RIGHT_ROT_R12,1068.0,0.03816185580524345,0.3389983263906511,-0.820121,-0.25153125,0.155307,0.267262,0.611421
SLAVE_RIGHT_ROT_R13,1068.0,-0.7529926722846443,0.19911790642606425,-0.991696,-0.91064725,-0.806613,-0.68598525,-0.223438
SLAVE_RIGHT_ROT_R21,1068.0,0.36185268258426967,0.3289286097582302,-0.162614,0.06426425000000001,0.30784350000000005,0.689317,0.919204
SLAVE_RIGHT_ROT_R22,1068.0,0.7902931769662921,0.1325246461233303,0.354246,0.6937694999999999,0.8400195,0.895578,0.992725
SLAVE_RIGHT_ROT_R23,1068.0,0.2859289138576779,0.19271319633191944,-0.313582,0.18866825,0.32178249999999997,0.44559625,0.620659
SLAVE_RIGHT_ROT_R31,1068.0,0.6621109962546816,0.21330510097906433,0.248094,0.49627075,0.627305,0.8782165,0.999571
SLAVE_RIGHT_ROT_R32,1068.0,-0.45053601966292134,0.196656589280464,-0.781042,-0.648823,-0.46855,-0.30092074999999996,0.073097
SLAVE_RIGHT_ROT_R33,1068.0,0.4567165814606742,0.2569089201484679,-0.543016,0.25599700000000003,0.431285,0.70664725,0.840011
SLAVE_RIGHT_LIN_VEL_X,1068.0,9.944756554307056e-06,0.020356267280815615,-0.090924,-0.00334975,7.500000000000001e-05,0.00745275,0.072227
SLAVE_RIGHT_LIN_VEL_Y,1068.0,0.0010685468164794007,0.013959744228685827,-0.068278,-0.00289225,0.00040249999999999997,0.00470175,0.069959
SLAVE_RIGHT_LIN_VEL_Z,1068.0,0.0008615177902621726,0.02119706622205921,-0.101124,-0.00367275,0.00021,0.004191749999999999,0.155513
SLAVE_RIGHT_ROT_VEL_X,1068.0,0.03534524157303371,0.8642971022961836,-6.27679,-0.034727,1.6e-05,0.0352495,7.554489
SLAVE_RIGHT_ROT_VEL_Y,1068.0,0.0007488707865168526,0.7101082141651769,-3.745871,-0.0331715,-3e-06,0.0990375,5.184815
SLAVE_RIGHT_ROT_VEL_Z,1068.0,-0.04893353277153559,0.6302576912202137,-4.623028,-0.0647335,-4.1e-05,0.07681299999999999,4.167622
SLAVE_RIGHT_GRIPPER_ANGLE,1068.0,-0.5260288670411986,0.5955104633415363,-1.126724,-1.076594,-0.6096645,-0.05219025,0.525777
