Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1402.0,0.15917667831669044,0.0174646315965218,0.128294,0.14769325,0.1531455,0.16633725,0.218221
MASTER_LEFT_POS_Y,1402.0,-0.014214501426533523,0.024514786256247586,-0.059228,-0.040415,-0.0049295,0.0065675,0.027948
MASTER_LEFT_POS_Z,1402.0,0.3175121176890157,0.02789868792055452,0.257982,0.30097475,0.311513,0.3363405,0.370155
MASTER_LEFT_ROT_R11,1402.0,-0.22592752139800282,0.39443605874993737,-0.811755,-0.42862475,-0.392835,-0.06800400000000001,0.762415
MASTER_LEFT_ROT_R12,1402.0,0.2750893516405135,0.3948891894298116,-0.939783,0.088799,0.44793550000000004,0.515906,0.720111
MASTER_LEFT_ROT_R13,1402.0,-0.7260658295292439,0.18677805952416332,-0.996772,-0.80280875,-0.7576765,-0.64402025,-0.212741
MASTER_LEFT_ROT_R21,1402.0,-0.5891383523537803,0.38906963109117526,-0.999613,-0.898508,-0.669508,-0.4390195,0.621463
MASTER_LEFT_ROT_R22,1402.0,-0.4458200620542083,0.4382512594807158,-0.99963,-0.7577375,-0.5571625,-0.14122,0.64607
MASTER_LEFT_ROT_R23,1402.0,0.1901913259629101,0.27352976624743713,-0.237133,0.01798,0.153448,0.24216275,0.939335
MASTER_LEFT_ROT_R31,1402.0,-0.38126004422253923,0.3868090156420066,-0.996647,-0.6410985,-0.490054,-0.192293,0.440829
MASTER_LEFT_ROT_R32,1402.0,0.45814709843081314,0.40915810030086397,-0.802305,0.4363855,0.567331,0.718302,0.999536
MASTER_LEFT_ROT_R33,1402.0,0.5230561661911555,0.23326954492487076,-0.219052,0.26795575,0.6097935,0.70192725,0.799209
MASTER_LEFT_LIN_VEL_X,1402.0,-0.00022507560627674767,0.022513008324271055,-0.108344,-0.002242,0.0,0.00143975,0.09364
MASTER_LEFT_LIN_VEL_Y,1402.0,0.0016519222539229672,0.015648671452789493,-0.081547,-0.00187575,1.2499999999999999e-05,0.007485,0.082301
MASTER_LEFT_LIN_VEL_Z,1402.0,0.0014043937232524964,0.027048188608767575,-0.140173,-0.003405,-0.0,0.008070500000000001,0.191835
MASTER_LEFT_ROT_VEL_X,1402.0,-0.03037239728958629,0.8603288820658432,-6.402887,-0.03239425,0.0,0.0026857499999999998,5.618567
MASTER_LEFT_ROT_VEL_Y,1402.0,0.027498835948644797,0.7356545002980939,-5.450975,-0.014715,0.0,0.02704075,5.662297
MASTER_LEFT_ROT_VEL_Z,1402.0,-0.05326278388017118,0.7569387676113347,-4.360563,-0.029553,0.0,0.029553,4.108815
MASTER_LEFT_GRIPPER_ANGLE,1402.0,-0.8035929065620543,1.0345909035698635,-1.920407,-1.90571325,-1.4944505,0.33859625,0.521459
MASTER_RIGHT_POS_X,1402.0,-0.15830856990014264,0.018309952010139113,-0.202186,-0.1670655,-0.155705,-0.14738099999999998,-0.1235
MASTER_RIGHT_POS_Y,1402.0,0.001784450071326675,0.020845309986328525,-0.047189,-0.01770525,0.005118,0.018145500000000002,0.03525
MASTER_RIGHT_POS_Z,1402.0,0.31148518544935805,0.02184683767791541,0.234572,0.29653050000000003,0.3086235,0.3281325,0.348382
MASTER_RIGHT_ROT_R11,1402.0,-0.19113241512125534,0.42728374319258333,-0.70423,-0.41888325000000004,-0.3771235,-0.107633,0.919222
MASTER_RIGHT_ROT_R12,1402.0,-0.4785790798858773,0.32581755020900977,-0.936597,-0.69035075,-0.5746705000000001,-0.36735249999999997,0.488451
MASTER_RIGHT_ROT_R13,1402.0,0.6498536804564907,0.15364357133892964,0.314427,0.5504375,0.698021,0.73871425,0.91286
MASTER_RIGHT_ROT_R21,1402.0,0.7540785313837376,0.30470023581329714,-0.00302,0.76203475,0.8980585,0.91502,0.999934
MASTER_RIGHT_ROT_R22,1402.0,-0.1481610242510699,0.4764554266184411,-0.920954,-0.40043775,-0.2588285,0.0144635,0.999935
MASTER_RIGHT_ROT_R23,1402.0,0.2270541398002853,0.19544195393535377,-0.285728,0.09455325,0.25158400000000003,0.351596,0.650398
MASTER_RIGHT_ROT_R31,1402.0,0.04129670256776034,0.3436696584290608,-0.673158,-0.13819725,-0.010363,0.19292025000000002,0.927287
MASTER_RIGHT_ROT_R32,1402.0,0.6008050092724679,0.23645303087410904,-0.010357,0.484561,0.688748,0.77894,0.950845
MASTER_RIGHT_ROT_R33,1402.0,0.6619429422253923,0.15857397590391223,0.309414,0.578141,0.644636,0.78497925,0.93832
MASTER_RIGHT_LIN_VEL_X,1402.0,0.00021379029957203967,0.021523525837090912,-0.097087,-0.0024935,0.0,0.003399,0.123638
MASTER_RIGHT_LIN_VEL_Y,1402.0,0.0017130135520684738,0.018059631065771894,-0.081325,-0.00408325,0.0,0.00644675,0.094665
MASTER_RIGHT_LIN_VEL_Z,1402.0,0.001319123395149786,0.03529424526551026,-0.173784,-0.0075615000000000005,0.0,0.0143435,0.155162
MASTER_RIGHT_ROT_VEL_X,1402.0,-0.012104849500713263,0.7084436324298612,-4.531162,-0.04043075,0.0,0.037174750000000006,4.857536
MASTER_RIGHT_ROT_VEL_Y,1402.0,-0.005523522111269615,0.5903222284280688,-4.734545,-0.08534525,0.0,0.0520705,4.407764
MASTER_RIGHT_ROT_VEL_Z,1402.0,0.016747572039942937,0.9046151944393588,-5.383065,-0.09638325,0.0,0.0531675,7.75436
