Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1413.0,0.16040759518754422,0.028101225469765248,0.118212,0.144103,0.148936,0.170152,0.231299
MASTER_LEFT_POS_Y,1413.0,-0.029909731776362355,0.028252475040633718,-0.072834,-0.055757,-0.022245,-0.006121,0.021892
MASTER_LEFT_POS_Z,1413.0,0.29986503609341825,0.02595926127579982,0.238211,0.277602,0.298804,0.312984,0.363317
MASTER_LEFT_ROT_R11,1413.0,-0.7154424635527247,0.19909911875524283,-0.999961,-0.914522,-0.698893,-0.575226,-0.293767
MASTER_LEFT_ROT_R12,1413.0,0.003026871196036807,0.2791456399614554,-0.674532,-0.209058,-0.073375,0.27088,0.605274
MASTER_LEFT_ROT_R13,1413.0,-0.5414150481245577,0.2786096412685158,-0.923983,-0.759289,-0.673697,-0.243553,0.001719
MASTER_LEFT_ROT_R21,1413.0,-0.16729861358811038,0.33634573737214435,-0.919365,-0.441893,-0.084874,0.110791,0.305088
MASTER_LEFT_ROT_R22,1413.0,-0.882514271762208,0.14759925674556745,-0.999915,-0.972471,-0.921865,-0.88422,-0.326028
MASTER_LEFT_ROT_R23,1413.0,0.1844315569709837,0.15599767875518578,-0.060354,0.042807,0.192,0.277319,0.747877
MASTER_LEFT_ROT_R31,1413.0,-0.4858053128096248,0.26607230249910274,-0.955333,-0.746474,-0.495889,-0.267565,0.002336
MASTER_LEFT_ROT_R32,1413.0,0.2891624274593065,0.19449168637454486,-0.098049,0.15466,0.232525,0.384815,0.819444
MASTER_LEFT_ROT_R33,1413.0,0.7331422215145081,0.18543867514166837,0.142907,0.606931,0.699351,0.931684,0.99957
MASTER_LEFT_LIN_VEL_X,1413.0,3.763057324840764e-05,0.025522941852485454,-0.169203,-7.7e-05,5.9e-05,0.014575,0.061594
MASTER_LEFT_LIN_VEL_Y,1413.0,0.0015628761500353855,0.015366512117436741,-0.067117,-0.002163,0.0,0.003186,0.080817
MASTER_LEFT_LIN_VEL_Z,1413.0,0.001288949752300071,0.024676788337360818,-0.109123,-0.001471,2e-06,0.005972,0.173472
MASTER_LEFT_ROT_VEL_X,1413.0,0.013660793347487614,0.6441784490855369,-4.936493,-0.004791,0.0,0.031353,5.075089
MASTER_LEFT_ROT_VEL_Y,1413.0,0.02640819179051663,0.4970665951350463,-2.803845,-0.014714,0.0,0.081802,4.193256
MASTER_LEFT_ROT_VEL_Z,1413.0,-0.0067078329794762895,0.6755728356934516,-5.303649,-0.013871,0.0,0.068495,5.009939
MASTER_LEFT_GRIPPER_ANGLE,1413.0,-0.7627563913658882,1.04067621890838,-1.925566,-1.916298,-0.996634,0.473188,0.523091
MASTER_RIGHT_POS_X,1413.0,-0.1613859058740269,0.022827025165603726,-0.203632,-0.183282,-0.156328,-0.145104,-0.119461
MASTER_RIGHT_POS_Y,1413.0,-0.029261843595187548,0.026013426781233074,-0.070341,-0.04187,-0.035685,-0.005221,0.024929
MASTER_RIGHT_POS_Z,1413.0,0.29410292285916484,0.023276380243586955,0.230804,0.281447,0.289731,0.308134,0.344234
MASTER_RIGHT_ROT_R11,1413.0,-0.31691444939844304,0.5105492515742027,-0.821562,-0.616514,-0.524379,-0.277538,0.947192
MASTER_RIGHT_ROT_R12,1413.0,-0.4134660474168436,0.29201165024976405,-0.970245,-0.594826,-0.40286,-0.272766,0.528918
MASTER_RIGHT_ROT_R13,1413.0,0.584648559094126,0.20280793311586628,0.135519,0.449289,0.605269,0.696676,0.999955
MASTER_RIGHT_ROT_R21,1413.0,0.6552772682236376,0.264428122793752,-0.157422,0.592064,0.726411,0.826796,0.970203
MASTER_RIGHT_ROT_R22,1413.0,-0.33290529440905875,0.5476614493242273,-0.866349,-0.667722,-0.520294,-0.296319,0.967735
MASTER_RIGHT_ROT_R23,1413.0,0.27659082024062276,0.11676154055721191,-0.070045,0.219455,0.281269,0.325731,0.618977
MASTER_RIGHT_ROT_R31,1413.0,0.12464674026893136,0.3530301970020533,-0.727174,-0.141885,0.203167,0.315159,0.81701
MASTER_RIGHT_ROT_R32,1413.0,0.48757172823779193,0.31004096209863835,-0.281404,0.389847,0.605665,0.678233,0.913399
MASTER_RIGHT_ROT_R33,1413.0,0.6808722760084925,0.24991563028256156,-0.283561,0.62703,0.754896,0.83573,0.923454
MASTER_RIGHT_LIN_VEL_X,1413.0,-0.00023119037508846462,0.02412854958386635,-0.073787,-0.013216,1e-06,0.002923,0.088658
MASTER_RIGHT_LIN_VEL_Y,1413.0,0.0016740799716914367,0.01427469744270296,-0.04115,-0.004346,0.0,0.004705,0.077801
MASTER_RIGHT_LIN_VEL_Z,1413.0,0.0011871556970983722,0.030954257485613448,-0.103454,-0.006315,1.4e-05,0.012355,0.128517
MASTER_RIGHT_ROT_VEL_X,1413.0,0.04900599363057326,0.8032910763226789,-4.719493,-0.033806,0.0,0.076259,6.115352
MASTER_RIGHT_ROT_VEL_Y,1413.0,-0.018610534324133055,0.7369970669106545,-3.922555,-0.154588,0.0,0.076195,3.898353
MASTER_RIGHT_ROT_VEL_Z,1413.0,-0.02490989525831564,0.9201691431839105,-6.04356,-0.112732,0.0,0.051575,5.244653
MASTER_RIGHT_GRIPPER_ANGLE,1413.0,-0.6415688181174806,0.7703774342967342,-1.407381,-1.404355,-0.82426,0.168484,0.536406
SLAVE_LEFT_POS_X,1413.0,0.0460664975230007,0.01141251624181616,0.024952,0.035116,0.048574,0.054193,0.067033
SLAVE_LEFT_POS_Y,1413.0,0.039732338995046,0.013017963431727272,0.019206,0.033439,0.03653,0.051758,0.066835
SLAVE_LEFT_POS_Z,1413.0,-0.008976634111818824,0.011650307323872488,-0.040625,-0.015267,-0.011137,-0.001937,0.016123
SLAVE_LEFT_ROT_R11,1413.0,0.37209288959660297,0.5167187289006634,-0.924839,0.339032,0.585982,0.673443,0.861653
SLAVE_LEFT_ROT_R12,1413.0,0.3946167077140836,0.2848104683670389,-0.536841,0.277738,0.369427,0.564593,0.963592
SLAVE_LEFT_ROT_R13,1413.0,0.5647098627034679,0.19769819354304602,0.109816,0.433883,0.575522,0.665333,0.999274
SLAVE_LEFT_ROT_R21,1413.0,-0.6192587912243455,0.2459143952971715,-0.948823,-0.784254,-0.671826,-0.537875,0.122377
SLAVE_LEFT_ROT_R22,1413.0,0.36591783722576077,0.556501488634763,-0.970111,0.343414,0.559336,0.701684,0.890595
SLAVE_LEFT_ROT_R23,1413.0,0.31467289950460015,0.117072776702158,-0.015309,0.240998,0.324704,0.367836,0.65093
SLAVE_LEFT_ROT_R31,1413.0,-0.10906765746638357,0.3728622699032288,-0.85308,-0.308419,-0.192309,0.175675,0.753475
SLAVE_LEFT_ROT_R32,1413.0,-0.4814760891719745,0.2967982497889593,-0.895385,-0.65692,-0.594926,-0.392857,0.262631
SLAVE_LEFT_ROT_R33,1413.0,0.6880420898796886,0.23657197597467167,-0.244453,0.64471,0.762585,0.840161,0.929976
SLAVE_LEFT_LIN_VEL_X,1413.0,7.012597310686487e-05,0.012141464261850652,-0.037038,-0.005861,0.0,0.00146,0.044645
SLAVE_LEFT_LIN_VEL_Y,1413.0,0.0008498131634819533,0.007101507116838403,-0.020322,-0.002083,1.7e-05,0.002011,0.040444
SLAVE_LEFT_LIN_VEL_Z,1413.0,0.0005852392073602264,0.015480880831009878,-0.051465,-0.00293,1.8e-05,0.006236,0.063344
SLAVE_LEFT_ROT_VEL_X,1413.0,0.062274767869780596,0.7646457344318145,-4.175972,-0.031625,5e-06,0.068462,5.472747
SLAVE_LEFT_ROT_VEL_Y,1413.0,-0.006286996461429581,0.7277729655148534,-3.877803,-0.121158,1.2e-05,0.06073,4.481545
SLAVE_LEFT_ROT_VEL_Z,1413.0,-0.018187443029016283,0.8812628642656323,-5.246351,-0.101645,-5e-06,0.049906,5.232747
