Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1849.0,0.07874683396430503,0.04065470308066281,0.017006,0.052567,0.067207,0.112379,0.218062
MASTER_LEFT_POS_Y,1849.0,0.04682321957815035,0.014524869626994818,0.011427,0.044063,0.047657,0.052647,0.087879
MASTER_LEFT_POS_Z,1849.0,0.3865902704164413,0.031068034163458328,0.316614,0.36819,0.386708,0.414891,0.442343
MASTER_LEFT_ROT_R11,1849.0,-0.47857378096268255,0.26951186524606185,-0.939929,-0.703982,-0.491622,-0.276793,0.259797
MASTER_LEFT_ROT_R12,1849.0,0.01806378096268253,0.4564206369458155,-0.77557,-0.458141,0.089343,0.352977,0.818388
MASTER_LEFT_ROT_R13,1849.0,-0.6838714234721471,0.1490418204346221,-0.975727,-0.803456,-0.66439,-0.576224,-0.304368
MASTER_LEFT_ROT_R21,1849.0,-0.22158403839913468,0.46391037484325465,-0.920864,-0.632051,-0.265734,0.147724,0.773271
MASTER_LEFT_ROT_R22,1849.0,-0.7723195970795025,0.17740423204938746,-0.992517,-0.895476,-0.807522,-0.715402,-0.05171
MASTER_LEFT_ROT_R23,1849.0,0.22494306868577607,0.2393212566504514,-0.476978,0.077853,0.223099,0.381777,0.724362
MASTER_LEFT_ROT_R31,1849.0,-0.6154718793942672,0.2340425190088309,-0.985464,-0.813709,-0.616488,-0.473696,0.123424
MASTER_LEFT_ROT_R32,1849.0,0.2395769713358572,0.32539345080584237,-0.465528,0.057481,0.320937,0.492003,0.817695
MASTER_LEFT_ROT_R33,1849.0,0.6033478128718225,0.19810854804371733,0.145176,0.417405,0.650724,0.784817,0.949646
MASTER_LEFT_LIN_VEL_X,1849.0,0.00035522660897782573,0.034246765194510066,-0.208294,-0.010217,-0.000287,0.004782,0.194584
MASTER_LEFT_LIN_VEL_Y,1849.0,-0.00035064034613304485,0.02108937082081572,-0.138242,-0.006309,-0.000373,0.005518,0.126968
MASTER_LEFT_LIN_VEL_Z,1849.0,0.0009730519199567334,0.028555797250373622,-0.115317,-0.007818,-0.000364,0.004156,0.130903
MASTER_LEFT_ROT_VEL_X,1849.0,-0.006948605191995666,1.0387471656983387,-6.237765,-0.033471,0.0,0.033127,7.4692
MASTER_LEFT_ROT_VEL_Y,1849.0,0.009356610059491626,0.7945576002282001,-4.355002,-0.073549,0.0,0.060303,4.648468
MASTER_LEFT_ROT_VEL_Z,1849.0,-0.04016729259058951,1.0520579877629037,-8.336555,-0.044162,0.0,0.125071,4.937552
MASTER_LEFT_GRIPPER_ANGLE,1849.0,-0.4794275873445105,0.7633146750014026,-1.914256,-1.218308,-0.221266,0.17795,0.522392
MASTER_RIGHT_POS_X,1849.0,-0.09514828123309897,0.03903781087707845,-0.196626,-0.116913,-0.10531,-0.069643,-0.024096
MASTER_RIGHT_POS_Y,1849.0,0.07329447701460247,0.013523176024301344,0.043911,0.066484,0.076105,0.082269,0.099172
