Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1696.0,0.0714179504716981,0.025776235120710228,0.009905,0.06084375,0.070158,0.083033,0.138035
MASTER_LEFT_POS_Y,1696.0,0.026973170990566037,0.024672485913643676,-0.024406,0.0067655,0.032827499999999996,0.047329750000000004,0.067048
MASTER_LEFT_POS_Z,1696.0,0.3949979298349057,0.025431080096339997,0.307462,0.3790575,0.396709,0.41380724999999996,0.438136
MASTER_LEFT_ROT_R11,1696.0,-0.1541459115566038,0.25353464207550963,-0.701759,-0.36341625,-0.175043,0.0026565,0.480273
MASTER_LEFT_ROT_R12,1696.0,0.5934887936320755,0.4276918454465504,-0.659713,0.299129,0.830048,0.87057775,0.939949
MASTER_LEFT_ROT_R13,1696.0,-0.5798405454009433,0.2020147173954008,-0.985573,-0.81218,-0.543023,-0.435827,-0.13772
MASTER_LEFT_ROT_R21,1696.0,-0.7548576191037737,0.28691404202550963,-0.999592,-0.9773989999999999,-0.8957975,-0.5442875,0.302573
MASTER_LEFT_ROT_R22,1696.0,-0.3303119581367924,0.3904083553797603,-0.991456,-0.771848,-0.250936,-0.009726750000000001,0.324518
MASTER_LEFT_ROT_R23,1696.0,-0.010210824882075474,0.29394297481262815,-0.707171,-0.22053050000000002,0.033559000000000005,0.148707,0.674442
MASTER_LEFT_ROT_R31,1696.0,-0.33756836497641507,0.3818480875482957,-0.987584,-0.74694225,-0.391127,0.011662249999999999,0.379373
MASTER_LEFT_ROT_R32,1696.0,0.4286179652122642,0.13850139388273797,-0.308323,0.37472574999999997,0.47075100000000003,0.5056750000000001,0.86736
MASTER_LEFT_ROT_R33,1696.0,0.6940274557783018,0.23627679088116896,0.06218,0.539215,0.8085745,0.869897,0.955437
MASTER_LEFT_LIN_VEL_X,1696.0,-0.0002951055424528303,0.02628867280674106,-0.171537,-0.00370425,0.0,0.009805,0.07946
MASTER_LEFT_LIN_VEL_Y,1696.0,0.0014361810141509436,0.019312963467378288,-0.13155,-0.00460125,-1e-06,0.00537825,0.079817
MASTER_LEFT_LIN_VEL_Z,1696.0,0.000978267099056604,0.027319071425673757,-0.161738,-0.0017985,2.1e-05,0.009644,0.121842
MASTER_LEFT_ROT_VEL_X,1696.0,0.01836145341981132,0.804179794148709,-6.009149,-0.022914,0.0,0.033731,5.34649
MASTER_LEFT_ROT_VEL_Y,1696.0,0.02915491863207547,0.5953887233717046,-4.092856,-0.029203,0.0,0.0630155,5.910619
MASTER_LEFT_ROT_VEL_Z,1696.0,-0.020064689268867918,0.8709466434060446,-6.574903,-0.0279605,0.0,0.08554475,5.183399
MASTER_LEFT_GRIPPER_ANGLE,1696.0,-0.5817728213443396,0.6583938870497326,-1.906148,-0.98518525,-0.6250025,-0.001412,0.521927
MASTER_RIGHT_POS_X,1696.0,-0.10118408903301887,0.02385368574548964,-0.157544,-0.11262825,-0.093401,-0.0840735,-0.065085
MASTER_RIGHT_POS_Y,1696.0,0.06040408844339623,0.018621343566770393,0.010097,0.043012,0.0662435,0.072787,0.0946
MASTER_RIGHT_POS_Z,1696.0,0.3614690819575472,0.020507169987162163,0.316444,0.34907675,0.356301,0.3770155,0.405509
MASTER_RIGHT_ROT_R11,1696.0,0.37120759492924527,0.21853072519086747,-0.452096,0.2680985,0.39514099999999996,0.5100180000000001,0.704123
MASTER_RIGHT_ROT_R12,1696.0,0.13530350353773585,0.485991900817172,-0.782289,-0.1760895,0.15585949999999998,0.45386575,0.945818
MASTER_RIGHT_ROT_R13,1696.0,0.7244662464622642,0.18783588252191752,0.145283,0.68695625,0.7645715,0.85638825,0.99252
MASTER_RIGHT_ROT_R21,1696.0,-0.3898433278301887,0.35427281305558966,-0.977912,-0.64328725,-0.39227,-0.07443225,0.365471
MASTER_RIGHT_ROT_R22,1696.0,0.7270483425707547,0.27045684752409244,-0.081212,0.657427,0.823547,0.8978802499999999,0.999864
MASTER_RIGHT_ROT_R23,1696.0,0.18696490035377358,0.29310840533265003,-0.59929,0.0336115,0.2282925,0.360903,0.724297
MASTER_RIGHT_ROT_R31,1696.0,-0.6356777871462265,0.3654095638886192,-0.980055,-0.8948175,-0.7515215,-0.594055,0.272705
MASTER_RIGHT_ROT_R32,1696.0,-0.33030525766509433,0.18719550177073035,-0.754214,-0.46697325,-0.34570199999999995,-0.19189925,0.293817
MASTER_RIGHT_ROT_R33,1696.0,0.5019333012971698,0.2575080246923806,-0.452914,0.35056375,0.5161155,0.630744,0.938851
MASTER_RIGHT_LIN_VEL_X,1696.0,0.00014047523584905658,0.02156038632174176,-0.100624,-0.01082075,0.0,0.006436,0.090435
MASTER_RIGHT_LIN_VEL_Y,1696.0,0.0014104239386792455,0.012094561723465088,-0.056919,-0.00321775,-0.0,0.0044465,0.072739
MASTER_RIGHT_LIN_VEL_Z,1696.0,0.0009840996462264153,0.015356402141467829,-0.054888,-0.0023765,0.0,0.00305275,0.128789
MASTER_RIGHT_ROT_VEL_X,1696.0,-0.005150431014150937,0.8211525267115302,-5.391056,-0.02289325,0.0,0.031989000000000004,5.53268
MASTER_RIGHT_ROT_VEL_Y,1696.0,-0.017147123820754718,0.6536934366181409,-4.416578,-0.094704,0.0,0.042470499999999994,4.417265
MASTER_RIGHT_ROT_VEL_Z,1696.0,0.010414186910377364,0.7505766402083047,-4.981936,-0.05426725,0.0,0.10029425,5.401802
MASTER_RIGHT_GRIPPER_ANGLE,1696.0,-0.4844034386792453,0.7090921712488006,-1.40782,-1.1799495,-0.5843385,0.281855,0.532674
SLAVE_LEFT_POS_X,1696.0,0.04133223702830189,0.011927078325826158,0.013146,0.0356135,0.045225,0.0498955,0.059383
SLAVE_LEFT_POS_Y,1696.0,0.049035936910377366,0.0093111832588132,0.02388,0.040336750000000005,0.051949999999999996,0.05523425,0.066136
SLAVE_LEFT_POS_Z,1696.0,-0.0034602741745283017,0.010253889562943017,-0.025987,-0.0096545,-0.0060515,0.004313,0.018562
SLAVE_LEFT_ROT_R11,1696.0,-0.33887282488207543,0.21799656606022252,-0.671617,-0.4755805,-0.3591035,-0.23528825,0.49185
SLAVE_LEFT_ROT_R12,1696.0,-0.1444207965801887,0.4844774807452562,-0.950063,-0.46009300000000003,-0.16666999999999998,0.16620075,0.774204
SLAVE_LEFT_ROT_R13,1696.0,0.738482072523585,0.19208815071408333,0.155283,0.6990387499999999,0.785817,0.87212975,0.996879
SLAVE_LEFT_ROT_R21,1696.0,0.3956096568396226,0.348835196100524,-0.348034,0.07963100000000001,0.382094,0.6409440000000001,0.985259
SLAVE_LEFT_ROT_R22,1696.0,-0.7305067936320755,0.2701825861937196,-0.999816,-0.89686625,-0.8262505,-0.6605274999999999,0.075456
SLAVE_LEFT_ROT_R23,1696.0,0.15933575117924528,0.29991100642469454,-0.63273,-0.00028175,0.194538,0.33416175,0.728594
SLAVE_LEFT_ROT_R31,1696.0,0.65800328125,0.35588532294499453,-0.231483,0.62047125,0.7720575000000001,0.90311575,0.98754
SLAVE_LEFT_ROT_R32,1696.0,0.32163792688679244,0.1858354335785572,-0.301789,0.18511275,0.3352045,0.45476425,0.745551
SLAVE_LEFT_ROT_R33,1696.0,0.4784459304245283,0.27132600702434206,-0.492477,0.3138115,0.488815,0.6057112499999999,0.949096
SLAVE_LEFT_LIN_VEL_X,1696.0,-0.00010013207547169803,0.010842639622841172,-0.05031,-0.0054,-1e-06,0.001304,0.045883
SLAVE_LEFT_LIN_VEL_Y,1696.0,0.0005985731132075471,0.006011248482270156,-0.027249,-0.0017035000000000002,-1.2e-05,0.0019932500000000002,0.032779
SLAVE_LEFT_LIN_VEL_Z,1696.0,0.0005257287735849056,0.0076704280550841325,-0.02837,-0.001022,4e-06,0.0017355,0.064852
SLAVE_LEFT_ROT_VEL_X,1696.0,-0.008494481721698116,0.8002704168240015,-5.295311,-0.02412875,-1e-06,0.029059250000000002,5.699935
SLAVE_LEFT_ROT_VEL_Y,1696.0,-0.03031858136792453,0.6861209181550127,-4.535352,-0.08683975,1e-06,0.03463575,4.041266
SLAVE_LEFT_ROT_VEL_Z,1696.0,0.011911122051886795,0.7589385632268911,-4.969407,-0.06213825,2e-06,0.08615225,5.110264
SLAVE_LEFT_GRIPPER_ANGLE,1696.0,-0.4136357818396227,0.5588344234930411,-0.939862,-0.889568,-0.760405,0.1977835,0.522895
SLAVE_RIGHT_POS_X,1696.0,0.07377086025943397,0.012888588454946956,0.043021,0.06848599999999999,0.0731405,0.07958275000000001,0.107079
SLAVE_RIGHT_POS_Y,1696.0,0.039030827240566036,0.012336931416548697,0.013335,0.028927750000000002,0.0419555,0.04921525,0.059073
SLAVE_RIGHT_POS_Z,1696.0,-0.046578427476415094,0.012716205618161055,-0.090397,-0.0545355,-0.045722,-0.037181,-0.025006
SLAVE_RIGHT_ROT_R11,1696.0,-0.22003321816037738,0.23018579398645264,-0.701538,-0.42491249999999997,-0.2369175,-0.08955574999999999,0.391166
SLAVE_RIGHT_ROT_R12,1696.0,0.6231788018867924,0.42524466657664045,-0.619569,0.35307875,0.8544754999999999,0.9022845,0.969326
SLAVE_RIGHT_ROT_R13,1696.0,-0.5247143007075471,0.23293388870204698,-0.986568,-0.8097464999999999,-0.467056,-0.356741,-0.062667
SLAVE_RIGHT_ROT_R21,1696.0,-0.7183923702830187,0.3197237331466114,-0.997359,-0.96480325,-0.859248,-0.46070025,0.394784
SLAVE_RIGHT_ROT_R22,1696.0,-0.40210825117924526,0.3717993329943438,-0.983637,-0.80894425,-0.33999599999999996,-0.1113465,0.289086
SLAVE_RIGHT_ROT_R23,1696.0,-0.03581824587264152,0.28402161304794504,-0.704058,-0.25105875,0.0072169999999999995,0.14796425000000002,0.607024
SLAVE_RIGHT_ROT_R31,1696.0,-0.36961929304245283,0.3792696854234599,-0.99553,-0.77632675,-0.42988899999999997,-0.0293935,0.359139
SLAVE_RIGHT_ROT_R32,1696.0,0.3314850772405661,0.14562330062025783,-0.413962,0.2590755,0.3667095,0.40762175,0.798198
SLAVE_RIGHT_ROT_R33,1696.0,0.7298574740566038,0.23639833952979983,0.08534,0.57447475,0.8411335,0.90295375,0.975891
SLAVE_RIGHT_LIN_VEL_X,1696.0,-5.7099056603773735e-05,0.013102362948935554,-0.085723,-0.002139,1.5e-06,0.00514275,0.0402
SLAVE_RIGHT_LIN_VEL_Y,1696.0,0.0006921509433962263,0.00952840139827774,-0.059819,-0.00233925,-2e-06,0.00283175,0.037146
SLAVE_RIGHT_LIN_VEL_Z,1696.0,0.0004944003537735848,0.013508153834918482,-0.077937,-0.00082775,1.7e-05,0.00473,0.060982
