Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2251.0,0.11981933896046203,0.026097095086110623,0.080689,0.109511,0.109513,0.13264,0.191188
MASTER_LEFT_POS_Y,2251.0,0.03403502310084407,0.024468130807315677,-0.015495,0.020767,0.039381,0.056183,0.059535
MASTER_LEFT_POS_Z,2251.0,0.388992352732119,0.03783361864976663,0.295995,0.35569700000000004,0.387561,0.4272135,0.427322
MASTER_LEFT_ROT_R11,2251.0,-0.3548534709018214,0.3923716794366285,-0.97797,-0.569007,-0.416002,-0.26204700000000003,0.668026
MASTER_LEFT_ROT_R12,2251.0,0.31443295068858285,0.408603559948836,-0.722432,0.14844200000000002,0.503995,0.614535,0.633851
MASTER_LEFT_ROT_R13,2251.0,-0.651833693025322,0.1720825575815346,-0.999449,-0.707335,-0.670326,-0.631047,0.025873
MASTER_LEFT_ROT_R21,2251.0,-0.5822396161705908,0.45167404917898746,-0.989651,-0.880729,-0.841342,-0.498658,0.614183
MASTER_LEFT_ROT_R22,2251.0,-0.3736750000000001,0.494891742276003,-0.965736,-0.6818105,-0.455785,-0.455762,0.81913
MASTER_LEFT_ROT_R23,2251.0,0.19778443669480233,0.18304200844184101,-0.275337,0.128634,0.128662,0.3229835,0.742114
MASTER_LEFT_ROT_R31,2251.0,-0.19289088049755662,0.3738238489511068,-0.913077,-0.360586,-0.225956,-0.13031500000000001,0.712897
MASTER_LEFT_ROT_R32,2251.0,0.5094457787649933,0.29950323985808075,-0.371366,0.364105,0.643128,0.643137,0.991068
MASTER_LEFT_ROT_R33,2251.0,0.6627686810306531,0.18626302974439246,-0.086687,0.570367,0.731681,0.731696,0.988425
MASTER_LEFT_LIN_VEL_X,2251.0,-4.727987561083945e-05,0.01551718427701908,-0.113827,-0.000178,0.0,0.000974,0.053752
MASTER_LEFT_LIN_VEL_Y,2251.0,0.0009261479342514438,0.012349193696535421,-0.047005,-0.0015955000000000001,0.0,0.0025805000000000003,0.089655
MASTER_LEFT_LIN_VEL_Z,2251.0,0.000808352732119058,0.01668124667728445,-0.090674,-0.0008255000000000001,0.0,0.0034714999999999998,0.087742
MASTER_LEFT_ROT_VEL_X,2251.0,0.01539501999111505,0.6195832792968363,-4.620407,-0.001019,0.0,0.0066955,5.335309
MASTER_LEFT_ROT_VEL_Y,2251.0,0.007928953354064856,0.5265224823351285,-4.386568,-0.011383,0.0,0.015953,3.693706
MASTER_LEFT_ROT_VEL_Z,2251.0,-0.00890355708573967,0.5348665788139574,-4.329071,-0.010572999999999999,0.0,0.025231999999999997,4.66903
MASTER_LEFT_GRIPPER_ANGLE,2251.0,-0.3675039266992448,1.0378360890387346,-1.915665,-1.7211325,0.160157,0.521563,0.522209
MASTER_RIGHT_POS_X,2251.0,-0.15252627543314082,0.01738431768801642,-0.189724,-0.164701,-0.145656,-0.145655,-0.112173
MASTER_RIGHT_POS_Y,2251.0,0.05669799067081297,0.02525227258190002,-0.029997,0.035959000000000005,0.064611,0.077693,0.079582
MASTER_RIGHT_POS_Z,2251.0,0.35342661617059085,0.019956337590788,0.309341,0.3347375,0.361413,0.371318,0.379713
MASTER_RIGHT_ROT_R11,2251.0,0.28554258107507774,0.23311153203320978,-0.183408,0.077969,0.388387,0.388409,0.730447
MASTER_RIGHT_ROT_R12,2251.0,0.48313660328742775,0.23849797854042074,-0.140737,0.3483425,0.633481,0.641672,0.879218
MASTER_RIGHT_ROT_R13,2251.0,0.7425541870279875,0.14995411192433247,0.461403,0.661352,0.661374,0.9023140000000001,0.999341
MASTER_RIGHT_ROT_R21,2251.0,-0.738993660151044,0.3165298737239336,-0.999831,-0.904554,-0.901963,-0.739881,0.269065
MASTER_RIGHT_ROT_R22,2251.0,0.517417366059529,0.2535855438759678,-0.176742,0.402249,0.408062,0.654465,0.999504
MASTER_RIGHT_ROT_R23,2251.0,0.026600504664593513,0.14484279138983555,-0.349562,-0.048426,0.086747,0.141109,0.19379
MASTER_RIGHT_ROT_R31,2251.0,-0.37476467525544205,0.2785322317279154,-0.99583,-0.590285,-0.184686,-0.175957,0.120073
MASTER_RIGHT_ROT_R32,2251.0,-0.5400409093736117,0.2946349098968428,-0.884321,-0.6705325,-0.653843,-0.5251425000000001,0.266264
