Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2655.0,0.13561159096045197,0.026307424117866917,0.071718,0.1231825,0.131697,0.1405975,0.209954
MASTER_LEFT_POS_Y,2655.0,0.01938325913370998,0.02083577934624065,-0.022103,0.004417,0.01753,0.032138,0.094232
MASTER_LEFT_POS_Z,2655.0,0.3699739325800377,0.02387215072302405,0.31262,0.3494125,0.374979,0.38624349999999996,0.435355
MASTER_LEFT_ROT_R11,2655.0,-0.5547934323917139,0.1575782278938939,-0.836368,-0.668965,-0.580115,-0.481869,0.204358
MASTER_LEFT_ROT_R12,2655.0,0.4219988177024482,0.28019019767909675,-0.522245,0.264597,0.344278,0.66008,0.923029
MASTER_LEFT_ROT_R13,2655.0,-0.6078736041431262,0.20340433380269216,-0.977002,-0.7632105,-0.65908,-0.416748,-0.023864
MASTER_LEFT_ROT_R21,2655.0,-0.43281273822975513,0.24153062019263455,-0.998395,-0.5846035,-0.433196,-0.23498,0.348137
MASTER_LEFT_ROT_R22,2655.0,-0.8081178689265538,0.16983702372885898,-0.995919,-0.9424115,-0.856303,-0.7405550000000001,0.239793
MASTER_LEFT_ROT_R23,2655.0,-0.17247361054613936,0.2066652536132413,-0.547697,-0.2907055,-0.21675,-0.110859,0.542308
MASTER_LEFT_ROT_R31,2655.0,-0.6268083423728813,0.16747867931536828,-0.99714,-0.7646795,-0.620862,-0.5261925000000001,0.143834
MASTER_LEFT_ROT_R32,2655.0,0.13265462674199624,0.2093404595510178,-0.320453,-0.034670999999999993,0.104706,0.256799,0.602191
MASTER_LEFT_ROT_R33,2655.0,0.694880329566855,0.18668176718969048,0.01554,0.6176115,0.712507,0.835253,0.965835
MASTER_LEFT_LIN_VEL_X,2655.0,-2.786779661016952e-05,0.02311780655496558,-0.184405,-0.0026360000000000003,1e-06,0.0109655,0.110527
MASTER_LEFT_LIN_VEL_Y,2655.0,0.0006760090395480226,0.020370868600201375,-0.084702,-0.0085525,-0.000147,0.005541,0.129503
MASTER_LEFT_LIN_VEL_Z,2655.0,0.0009584892655367232,0.022158602891870455,-0.110788,-0.004739,3.2e-05,0.0080295,0.099463
MASTER_LEFT_ROT_VEL_X,2655.0,-0.018782283239171374,0.582963520060445,-5.217252,-0.034512,0.0,0.015018,4.836308
MASTER_LEFT_ROT_VEL_Y,2655.0,0.024864776271186443,0.4676352768979718,-2.904899,-0.024961999999999998,0.0,0.05572,4.298611
MASTER_LEFT_ROT_VEL_Z,2655.0,-0.008099210169491526,0.6543301452442966,-5.323496,-0.030357500000000003,0.0,0.0605245,5.042247
MASTER_LEFT_GRIPPER_ANGLE,2655.0,-1.3175249024482107,0.9549141500722177,-1.923164,-1.9142565,-1.910401,-0.8843485,0.523544
MASTER_RIGHT_POS_X,2655.0,-0.14233121770244822,0.018902860031150312,-0.186321,-0.1568,-0.145041,-0.122637,-0.104883
MASTER_RIGHT_POS_Y,2655.0,0.04774137890772128,0.020013548720457883,0.010582,0.0277205,0.0535,0.0627865,0.086241
MASTER_RIGHT_POS_Z,2655.0,0.35677315969868173,0.01635954614987684,0.294967,0.3461925,0.354689,0.367719,0.400545
MASTER_RIGHT_ROT_R11,2655.0,0.3544008534839925,0.2616734075898106,-0.339723,0.12113750000000001,0.390076,0.5315215,0.84257
MASTER_RIGHT_ROT_R12,2655.0,0.055049305838041435,0.5422483202683436,-0.858059,-0.4109895,0.108978,0.563116,0.947928
MASTER_RIGHT_ROT_R13,2655.0,0.6962111521657249,0.15585406024855514,0.239164,0.6116265000000001,0.701976,0.8184955,0.985463
MASTER_RIGHT_ROT_R21,2655.0,-0.36107091864406776,0.5100526866699266,-0.999788,-0.7805625,-0.527448,0.197713,0.79471
MASTER_RIGHT_ROT_R22,2655.0,0.6162364210922787,0.26201110674322675,-0.164911,0.5242640000000001,0.666291,0.799039,0.982871
MASTER_RIGHT_ROT_R23,2655.0,0.30100658945386066,0.2656240923454749,-0.506018,0.166466,0.286563,0.406403,0.818463
MASTER_RIGHT_ROT_R31,2655.0,-0.534516470433145,0.36079912069753173,-0.999078,-0.848654,-0.570941,-0.322615,0.356823
MASTER_RIGHT_ROT_R32,2655.0,-0.3238849845574388,0.38750059514448615,-0.785456,-0.6317975,-0.508724,0.0380915,0.641733
MASTER_RIGHT_ROT_R33,2655.0,0.5044280557438795,0.2731428387948887,-0.584924,0.2873605,0.57065,0.690059,0.937704
MASTER_RIGHT_LIN_VEL_X,2655.0,0.00025520225988700563,0.017922235014773902,-0.105163,-0.0088005,0.0,0.007742499999999999,0.07452
MASTER_RIGHT_LIN_VEL_Y,2655.0,0.0007430919020715631,0.01587129880842953,-0.106645,-0.0046075000000000005,3.3e-05,0.0060125000000000005,0.081345
MASTER_RIGHT_LIN_VEL_Z,2655.0,0.00048011412429378535,0.021177266050399712,-0.127584,-0.00358,0.000292,0.0072464999999999995,0.123962
MASTER_RIGHT_ROT_VEL_X,2655.0,-0.003875518267419962,0.7758812731977124,-5.597195,-0.03882,0.0,0.022884500000000002,4.928913
MASTER_RIGHT_ROT_VEL_Y,2655.0,-0.004429211676082863,0.5432510704847884,-3.852976,-0.048007999999999995,0.0,0.0656225,4.450526
MASTER_RIGHT_ROT_VEL_Z,2655.0,0.03128604934086629,0.6944036161610385,-4.883033,-0.047813999999999995,0.0,0.0811725,4.885378
MASTER_RIGHT_GRIPPER_ANGLE,2655.0,-0.8355374011299435,0.8305369572657308,-1.411391,-1.407746,-1.404514,0.34235800000000005,0.536662
SLAVE_LEFT_POS_X,2655.0,0.04699130018832391,0.009451514063622653,0.024997,0.039759,0.045632,0.0568375,0.065715
SLAVE_LEFT_POS_Y,2655.0,0.04216412542372881,0.01000717237519974,0.023576,0.032153,0.045033,0.049685,0.061419
SLAVE_LEFT_POS_Z,2655.0,-0.007668424105461392,0.00818032466007656,-0.038594,-0.0129625,-0.008711,-0.002197,0.014218
SLAVE_LEFT_ROT_R11,2655.0,-0.3569373920903955,0.258158119269866,-0.844007,-0.5338635,-0.382349,-0.134106,0.317546
SLAVE_LEFT_ROT_R12,2655.0,-0.09559674877589454,0.540479964873183,-0.959079,-0.6054235,-0.157563,0.364858,0.83049
SLAVE_LEFT_ROT_R13,2655.0,0.6906673962335217,0.16677967840496646,0.196673,0.601629,0.69693,0.81528,0.991207
SLAVE_LEFT_ROT_R21,2655.0,0.37275888587570616,0.5076964265459237,-0.783188,-0.187157,0.542193,0.7928965,0.999974
SLAVE_LEFT_ROT_R22,2655.0,-0.6219332821092279,0.26959067787677565,-0.99102,-0.8073915,-0.688278,-0.5306839999999999,0.178344
SLAVE_LEFT_ROT_R23,2655.0,0.27388896836158194,0.2625809099918833,-0.538666,0.1463235,0.253359,0.369307,0.791389
SLAVE_LEFT_ROT_R31,2655.0,0.5241184180790961,0.3670376434114605,-0.371981,0.30315749999999997,0.554546,0.8490105,0.999621
SLAVE_LEFT_ROT_R32,2655.0,0.310963136346516,0.37782830942451234,-0.650861,-0.036011,0.489906,0.605595,0.774276
SLAVE_LEFT_ROT_R33,2655.0,0.5234563103578155,0.27795043505250316,-0.54657,0.294695,0.60073,0.7204875,0.949059
SLAVE_LEFT_LIN_VEL_X,2655.0,0.00021203427495291902,0.008914419519179814,-0.051928,-0.0022855,1e-06,0.0039635,0.037227
SLAVE_LEFT_LIN_VEL_Y,2655.0,0.0004201694915254237,0.007897332782163953,-0.052752,-0.002175,4.1e-05,0.00303,0.039747
SLAVE_LEFT_LIN_VEL_Z,2655.0,0.00020885423728813564,0.010653390670517527,-0.064431,-0.0018645,0.000158,0.00362,0.062056
SLAVE_LEFT_ROT_VEL_X,2655.0,0.01492616949152543,0.8149495337336975,-5.625111,-0.039845500000000006,-6.9e-05,0.029204,5.112426
SLAVE_LEFT_ROT_VEL_Y,2655.0,-0.004526890395480227,0.5467769853827165,-3.886362,-0.04866,-3e-06,0.0491245,4.526373
SLAVE_LEFT_ROT_VEL_Z,2655.0,0.04756989566854991,0.7225689458033074,-4.835407,-0.0403645,2.4e-05,0.079769,5.184379
SLAVE_LEFT_GRIPPER_ANGLE,2655.0,-0.5350428937853107,0.6045707187898627,-0.995381,-0.9360245,-0.90949,0.2640795,0.523548
SLAVE_RIGHT_POS_X,2655.0,0.07902908361581922,0.013153569413262288,0.04708,0.07281750000000001,0.07707,0.08152899999999999,0.116201
SLAVE_RIGHT_POS_Y,2655.0,0.035955552919020715,0.01041776740431449,0.015212,0.0284745,0.035026,0.042335,0.073378
SLAVE_RIGHT_POS_Z,2655.0,-0.06229187495291902,0.011936160689021988,-0.090971,-0.072574,-0.05979,-0.054157,-0.0296
SLAVE_RIGHT_ROT_R11,2655.0,-0.5666494741996233,0.15686532435261688,-0.84487,-0.679576,-0.591886,-0.495448,0.189973
SLAVE_RIGHT_ROT_R12,2655.0,0.4403644858757062,0.2729456275037897,-0.488028,0.285678,0.361792,0.671851,0.938245
SLAVE_RIGHT_ROT_R13,2655.0,-0.5833407329566855,0.2136537061342234,-0.966754,-0.743999,-0.632664,-0.38197349999999997,0.018567
SLAVE_RIGHT_ROT_R21,2655.0,-0.42474838493408673,0.24355130482867318,-0.998536,-0.57778,-0.423828,-0.2257965,0.359343
SLAVE_RIGHT_ROT_R22,2655.0,-0.8055143389830508,0.16893079254803847,-0.998416,-0.9384155,-0.858343,-0.7314335000000001,0.225185
SLAVE_RIGHT_ROT_R23,2655.0,-0.2021930949152542,0.20505118237954326,-0.557538,-0.324399,-0.239558,-0.1478605,0.509843
SLAVE_RIGHT_ROT_R31,2655.0,-0.6213120519774011,0.16907244090370468,-0.997839,-0.7606685,-0.613902,-0.5178309999999999,0.149935
