column,dtype,non_null_count,memory_bytes
MASTER_LEFT_POS_X,float64,3413,27304
MASTER_LEFT_POS_Y,float64,3413,27304
MASTER_LEFT_POS_Z,float64,3413,27304
MASTER_LEFT_ROT_R11,float64,3413,27304
MASTER_LEFT_ROT_R12,float64,3413,27304
MASTER_LEFT_ROT_R13,float64,3413,27304
MASTER_LEFT_ROT_R21,float64,3413,27304
MASTER_LEFT_ROT_R22,float64,3413,27304
MASTER_LEFT_ROT_R23,float64,3413,27304
MASTER_LEFT_ROT_R31,float64,3413,27304
MASTER_LEFT_ROT_R32,float64,3413,27304
MASTER_LEFT_ROT_R33,float64,3413,27304
MASTER_LEFT_LIN_VEL_X,float64,3413,27304
MASTER_LEFT_LIN_VEL_Y,float64,3413,27304
MASTER_LEFT_LIN_VEL_Z,float64,3413,27304
MASTER_LEFT_ROT_VEL_X,float64,3413,27304
MASTER_LEFT_ROT_VEL_Y,float64,3413,27304
MASTER_LEFT_ROT_VEL_Z,float64,3413,27304
MASTER_LEFT_GRIPPER_ANGLE,float64,3413,27304
MASTER_RIGHT_POS_X,float64,3413,27304
MASTER_RIGHT_POS_Y,float64,3413,27304
MASTER_RIGHT_POS_Z,float64,3413,27304
MASTER_RIGHT_ROT_R11,float64,3413,27304
MASTER_RIGHT_ROT_R12,float64,3413,27304
MASTER_RIGHT_ROT_R13,float64,3413,27304
MASTER_RIGHT_ROT_R21,float64,3413,27304
MASTER_RIGHT_ROT_R22,float64,3413,27304
MASTER_RIGHT_ROT_R23,float64,3413,27304
MASTER_RIGHT_ROT_R31,float64,3413,27304
MASTER_RIGHT_ROT_R32,float64,3413,27304
MASTER_RIGHT_ROT_R33,float64,3413,27304
MASTER_RIGHT_LIN_VEL_X,float64,3413,27304
MASTER_RIGHT_LIN_VEL_Y,float64,3413,27304
MASTER_RIGHT_LIN_VEL_Z,float64,3413,27304
MASTER_RIGHT_ROT_VEL_X,float64,3413,27304
MASTER_RIGHT_ROT_VEL_Y,float64,3413,27304
MASTER_RIGHT_ROT_VEL_Z,float64,3413,27304
MASTER_RIGHT_GRIPPER_ANGLE,float64,3413,27304
SLAVE_LEFT_POS_X,float64,3413,27304
SLAVE_LEFT_POS_Y,float64,3413,27304
SLAVE_LEFT_POS_Z,float64,3413,27304
SLAVE_LEFT_ROT_R11,float64,3413,27304
SLAVE_LEFT_ROT_R12,float64,3413,27304
SLAVE_LEFT_ROT_R13,float64,3413,27304
SLAVE_LEFT_ROT_R21,float64,3413,27304
SLAVE_LEFT_ROT_R22,float64,3413,27304
SLAVE_LEFT_ROT_R23,float64,3413,27304
SLAVE_LEFT_ROT_R31,float64,3413,27304
SLAVE_LEFT_ROT_R32,float64,3413,27304
SLAVE_LEFT_ROT_R33,float64,3413,27304
SLAVE_LEFT_LIN_VEL_X,float64,3413,27304
SLAVE_LEFT_LIN_VEL_Y,float64,3413,27304
SLAVE_LEFT_LIN_VEL_Z,float64,3413,27304
SLAVE_LEFT_ROT_VEL_X,float64,3413,27304
SLAVE_LEFT_ROT_VEL_Y,float64,3413,27304
SLAVE_LEFT_ROT_VEL_Z,float64,3413,27304
SLAVE_LEFT_GRIPPER_ANGLE,float64,3413,27304
SLAVE_RIGHT_POS_X,float64,3413,27304
SLAVE_RIGHT_POS_Y,float64,3413,27304
SLAVE_RIGHT_POS_Z,float64,3413,27304
SLAVE_RIGHT_ROT_R11,float64,3413,27304
SLAVE_RIGHT_ROT_R12,float64,3413,27304
SLAVE_RIGHT_ROT_R13,float64,3413,27304
SLAVE_RIGHT_ROT_R21,float64,3413,27304
SLAVE_RIGHT_ROT_R22,float64,3413,27304
SLAVE_RIGHT_ROT_R23,float64,3413,27304
SLAVE_RIGHT_ROT_R31,float64,3413,27304
SLAVE_RIGHT_ROT_R32,float64,3413,27304
SLAVE_RIGHT_ROT_R33,float64,3413,27304
SLAVE_RIGHT_LIN_VEL_X,float64,3413,27304
SLAVE_RIGHT_LIN_VEL_Y,float64,3413,27304
SLAVE_RIGHT_LIN_VEL_Z,float64,3413,27304
SLAVE_RIGHT_ROT_VEL_X,float64,3413,27304
SLAVE_RIGHT_ROT_VEL_Y,float64,3413,27304
SLAVE_RIGHT_ROT_VEL_Z,float64,3413,27304
SLAVE_RIGHT_GRIPPER_ANGLE,float64,3413,27304
