Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.057921415071031504,0.0507245,0.046221532690787034,0.4566485577500803,-0.00122,0.144982
MASTER_LEFT_POS_Y,0.00956917016676961,0.009138,0.015962908020062574,0.07001170053479897,-0.021807,0.046553
MASTER_LEFT_POS_Z,0.3827368060531192,0.3830265,0.016244760563665986,0.36584857452898367,0.341651,0.421199
MASTER_LEFT_ROT_R11,0.4515151951822112,0.5139705,0.2320852964320702,-0.6772491509318319,-0.267038,0.885521
MASTER_LEFT_ROT_R12,0.22327646016059297,0.2535755,0.4485643444909232,-0.4244659384363078,-0.670032,0.892616
MASTER_LEFT_ROT_R13,-0.6795493767757876,-0.6988695,0.171912173918132,0.3235837738730103,-0.979682,-0.274488
MASTER_LEFT_ROT_R21,0.2894987476837554,0.3818155,0.3506878814807738,-0.08687980206276345,-0.367768,0.99687
MASTER_LEFT_ROT_R22,0.687360412291538,0.7073725,0.17351365307829997,-2.4293550489620364,-0.299814,0.934731
MASTER_LEFT_ROT_R23,0.4814888912909203,0.5166735,0.24257548158864586,-0.276815604222616,-0.155935,0.862134
MASTER_LEFT_ROT_R31,0.6738304394688079,0.7465875,0.2843654728835364,-1.0416438929660483,-0.219767,0.9999
MASTER_LEFT_ROT_R32,-0.4106079518221124,-0.429601,0.2791989539305516,0.557063917567107,-0.99052,0.355826
MASTER_LEFT_ROT_R33,0.3989604632489191,0.348847,0.2438500410942625,0.8357178200055663,-0.033649,0.907036
MASTER_LEFT_LIN_VEL_X,-0.00018727177269919692,0.0,0.012705745240861878,-1.880987664988422,-0.091609,0.065075
MASTER_LEFT_LIN_VEL_Y,9.247652872143298e-05,0.0,0.007988817906661044,-0.37436893953503764,-0.065136,0.041461
MASTER_LEFT_LIN_VEL_Z,-0.00020659697344039524,0.0,0.010294154539482419,0.43679601528212536,-0.060402,0.083468
MASTER_LEFT_ROT_VEL_X,0.013552786596664613,0.0,0.6560863159065283,0.45744959079476505,-5.364766,5.578164
MASTER_LEFT_ROT_VEL_Y,-0.015159315626930207,0.0,0.5112971908624316,-1.025686409926792,-4.854945,4.57129
MASTER_LEFT_ROT_VEL_Z,-0.022083369672637423,0.0,0.4824120433350009,-1.7735796531955776,-4.931302,4.509323
