Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.15581286233867814,0.157119,0.04927575304781652,-0.020934575290991637,0.070079,0.238187
MASTER_LEFT_POS_Y,-0.03348158466953461,-0.035158,0.017234785613121216,0.5997915850552958,-0.061132,0.022336
MASTER_LEFT_POS_Z,0.3231810664841611,0.322329,0.020203944819288045,-0.021162956842264793,0.272663,0.392462
MASTER_LEFT_ROT_R11,-0.5549550833007431,-0.592539,0.2740063204783385,0.8868199750029246,-0.94436,0.464621
MASTER_LEFT_ROT_R12,0.05654280328509972,0.050231,0.3940095872039804,-0.08692120006145448,-0.666492,0.734575
MASTER_LEFT_ROT_R13,-0.644188468126711,-0.629217,0.20899380209629695,0.03862524623090412,-0.999585,-0.226488
MASTER_LEFT_ROT_R21,-0.42539913062182244,-0.447132,0.27118184005904167,0.3110522668544481,-0.963106,0.204884
MASTER_LEFT_ROT_R22,-0.7464998482596794,-0.778117,0.14225708564851927,1.4528018783141947,-0.974561,-0.247672
MASTER_LEFT_ROT_R23,0.3606250512319124,0.396092,0.1948584726030334,-0.9397077468500123,-0.488853,0.693695
MASTER_LEFT_ROT_R31,-0.5054703230348063,-0.487216,0.3263929141384973,0.14791023861298327,-0.99213,0.195504
MASTER_LEFT_ROT_R32,0.4802088404380133,0.501897,0.18270898767694016,-0.14873215484433056,0.072045,0.903398
MASTER_LEFT_ROT_R33,0.5303032858818928,0.60754,0.304763603752529,-0.5773606791560222,-0.240572,0.923389
MASTER_LEFT_LIN_VEL_X,-0.00015801720766523244,-2e-06,0.02345017782029175,-0.7004628719315965,-0.15807,0.134868
MASTER_LEFT_LIN_VEL_Y,-6.84309737974188e-05,-1e-06,0.018057185747056594,-1.444696897751815,-0.174192,0.084159
MASTER_LEFT_LIN_VEL_Z,8.692256550645268e-05,-9e-06,0.020155146507192547,-0.08053329849255343,-0.091836,0.085326
MASTER_LEFT_ROT_VEL_X,-0.04004428040672663,0.0,0.8465696092198864,-1.4819556622966725,-6.203865,5.338277
MASTER_LEFT_ROT_VEL_Y,-0.008789709816190846,0.0,0.7264852786649462,-0.2699775509390753,-6.124466,5.178922
MASTER_LEFT_ROT_VEL_Z,-0.0238688388736801,0.0,0.792441752001089,-1.2105267071289056,-6.329,4.913773
MASTER_LEFT_GRIPPER_ANGLE,-0.5515998001564333,-0.266327,0.9761681186912213,-0.29902010011130836,-1.915273,0.52366
MASTER_RIGHT_POS_X,-0.1587696351192804,-0.163623,0.05076523237523229,-0.14546289360791856,-0.257452,-0.073353
MASTER_RIGHT_POS_Y,-0.011786718811106767,-0.012204,0.015476826983488852,0.590101351875768,-0.04474,0.032129
MASTER_RIGHT_POS_Z,0.2818414235432147,0.279373,0.020568569866479074,0.2875719088870086,0.222041,0.3475
MASTER_RIGHT_ROT_R11,-0.7068520864294093,-0.739759,0.2497855718261493,1.7693244170198557,-0.999664,0.216156
MASTER_RIGHT_ROT_R12,0.4213236288619476,0.48881,0.3012020551167627,-0.9873846916546022,-0.414454,0.864849
MASTER_RIGHT_ROT_R13,0.37240183222526396,0.426515,0.17638372539242464,-0.8926344033626437,-0.121259,0.83335
MASTER_RIGHT_ROT_R21,-0.16784136879155262,-0.217182,0.2666735260165007,0.9377241659752795,-0.56034,0.525143
MASTER_RIGHT_ROT_R22,-0.7832264051622997,-0.786531,0.11018416873067303,0.3156151943294384,-0.99804,-0.483455
MASTER_RIGHT_ROT_R23,0.48748095346108716,0.504438,0.19358140444164756,-1.426487278253178,-0.139356,0.812994
MASTER_RIGHT_ROT_R31,0.5246768111067658,0.556824,0.253489927328195,-0.6545647823608295,-0.2356,0.994866
MASTER_RIGHT_ROT_R32,0.2535623770043019,0.217438,0.20399469734486578,0.15705079076968992,-0.138728,0.702137
MASTER_RIGHT_ROT_R33,0.6961990559249119,0.761516,0.2641743227097814,-2.959610256495507,-0.467835,0.995689
MASTER_RIGHT_LIN_VEL_X,0.00022546656237778598,2e-05,0.026742622164312117,-0.4318224523558857,-0.193842,0.169505
MASTER_RIGHT_LIN_VEL_Y,-5.2883457176378516e-05,-1e-06,0.014772901695085912,0.8830379862691159,-0.094511,0.146629
MASTER_RIGHT_LIN_VEL_Z,7.95232694563943e-05,9e-06,0.02614971328541062,1.9107285362564415,-0.114539,0.267626
MASTER_RIGHT_ROT_VEL_X,0.013541809151349239,0.0,0.3522577306806087,1.950986045679218,-3.722761,4.104816
MASTER_RIGHT_ROT_VEL_Y,0.016227299960891665,0.0,0.5861649919616592,0.5012512473707748,-4.979307,5.539668
MASTER_RIGHT_ROT_VEL_Z,0.02189125263981228,0.0,0.5690111657793319,3.21641151091513,-4.762858,6.235354
MASTER_RIGHT_GRIPPER_ANGLE,-0.5896732076652328,-1.389047,0.8963946512900605,0.27348316621402446,-1.407126,0.536359
SLAVE_LEFT_POS_X,0.0428407430582714,0.040416,0.02538079826405029,-0.1453281439898851,-0.006502,0.085551
SLAVE_LEFT_POS_Y,0.05195877942901838,0.051747,0.007745599994379109,0.5845285435465791,0.035485,0.073934
SLAVE_LEFT_POS_Z,-0.01917325772389519,-0.020407,0.01028250888948165,0.2865374936416553,-0.049125,0.013672
SLAVE_LEFT_ROT_R11,0.6453086253421979,0.666239,0.2656779089746832,-1.375037101379868,-0.276382,0.997153
SLAVE_LEFT_ROT_R12,-0.42123583418068045,-0.489808,0.2825460696631115,1.0982271188302368,-0.809278,0.379472
SLAVE_LEFT_ROT_R13,0.47494378842393425,0.532955,0.17383247870638557,-0.9532974824129563,-0.041178,0.897106
SLAVE_LEFT_ROT_R21,0.16747143644896365,0.219512,0.2578499014627459,-0.9349980751122602,-0.536321,0.573823
SLAVE_LEFT_ROT_R22,0.8140377528353541,0.827041,0.09701530054603488,-0.33335730403365915,0.565866,0.989814
SLAVE_LEFT_ROT_R23,0.4381204638247947,0.450113,0.2036970074125158,-1.438926521555084,-0.218892,0.736311
SLAVE_LEFT_ROT_R31,-0.6026528068048495,-0.638791,0.23524533159400318,0.804240087684767,-0.996754,0.129651
SLAVE_LEFT_ROT_R32,-0.1686527821666015,-0.127395,0.20558789002648886,-0.2049623565099897,-0.639868,0.223546
SLAVE_LEFT_ROT_R33,0.6624850895580758,0.727709,0.2682112101092156,-2.5891748079411596,-0.444949,0.976353
SLAVE_LEFT_LIN_VEL_X,-0.00022690574892452074,5e-06,0.013317568576552984,-0.4175169353899508,-0.097064,0.0849
SLAVE_LEFT_LIN_VEL_Y,-4.74771216269065e-05,-3.4e-05,0.007483936410235838,1.0308697545473586,-0.049611,0.074306
SLAVE_LEFT_LIN_VEL_Z,-2.396441141963248e-05,9e-06,0.013126522744720658,1.898088975852607,-0.05875,0.133589
SLAVE_LEFT_ROT_VEL_X,8.983183418062813e-07,-8e-06,0.34580457328121056,-1.2409552749595285,-4.052556,3.231266
SLAVE_LEFT_ROT_VEL_Y,0.0010685940555338303,6e-06,0.5781352350245567,0.30046146006909435,-5.036499,5.606186
SLAVE_LEFT_ROT_VEL_Z,-0.004191641767696521,4e-06,0.5420065961157537,1.131803374295437,-4.404039,5.895262
SLAVE_LEFT_GRIPPER_ANGLE,-0.35705272937035587,-0.890058,0.663201730604929,0.38027808165475646,-1.001585,0.523222
SLAVE_RIGHT_POS_X,0.07952537856863512,0.080177,0.0246355779550908,-0.02125172076547472,0.036659,0.120453
SLAVE_RIGHT_POS_Y,0.03736093859992179,0.036526,0.008617090724242604,0.6005556672400557,0.02353,0.065305
SLAVE_RIGHT_POS_Z,-0.04526717442315213,-0.045697,0.010107330709581587,-0.020714845461832863,-0.07053,-0.010626
