Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.15157847453874537,0.14676450000000002,0.039721420324491906,0.14032523248011705,0.084137,0.217165
MASTER_LEFT_POS_Y,-0.00033021623616236217,-0.001884,0.01385951580744668,0.544265148733368,-0.024083,0.044026
MASTER_LEFT_POS_Z,0.3287656929889299,0.32485,0.021207373432104434,0.7091542547835697,0.289386,0.380306
MASTER_LEFT_ROT_R11,-0.7280570442804428,-0.8001845,0.28432283055998936,2.3099363597254383,-0.991771,0.358217
MASTER_LEFT_ROT_R12,0.13502956752767525,0.20609149999999998,0.3439453950642446,-0.5479456321982347,-0.599079,0.859184
MASTER_LEFT_ROT_R13,-0.4404868542435424,-0.4184455,0.24222681251164813,-0.23863692998332525,-0.986627,-0.032235
MASTER_LEFT_ROT_R21,-0.3281983771217712,-0.352929,0.327297148189769,0.21448571711600076,-0.99616,0.433172
MASTER_LEFT_ROT_R22,-0.6500981501845018,-0.7407630000000001,0.3402815028087631,2.8604637853609924,-0.969204,0.760538
MASTER_LEFT_ROT_R23,0.44089580516605165,0.440871,0.22897080633207198,0.2803028706792267,0.080786,0.95139
MASTER_LEFT_ROT_R31,-0.22989756346863466,-0.26836249999999995,0.34796923294386917,0.932670500677205,-0.831942,0.72788
MASTER_LEFT_ROT_R32,0.5328955453874539,0.5411235,0.20231638845468036,-0.30520111063075445,-0.04821,0.943353
MASTER_LEFT_ROT_R33,0.6892388911439115,0.7005604999999999,0.16186790888952732,-1.0544136791333785,0.142925,0.964502
MASTER_LEFT_LIN_VEL_X,4.926420664206614e-05,0.0,0.017877507104866252,-0.5281338070572735,-0.11521,0.083829
MASTER_LEFT_LIN_VEL_Y,0.0002091560885608857,0.0,0.015923080261495196,-0.7446605709113645,-0.10442,0.078983
MASTER_LEFT_LIN_VEL_Z,-0.00012435940959409597,0.0,0.01990879428042378,0.4637149471183082,-0.109545,0.118248
MASTER_LEFT_ROT_VEL_X,-0.0024939365313653146,0.0,0.5894215119384169,-0.644659955298919,-5.596379,4.795215
MASTER_LEFT_ROT_VEL_Y,-0.007959215867158672,0.0,0.7504812401187813,-0.27214441094768704,-5.741452,6.099445
MASTER_LEFT_ROT_VEL_Z,-0.003323791881918822,0.0,0.7683925710724845,-0.6352624535521461,-6.349779,5.058132
MASTER_LEFT_GRIPPER_ANGLE,-0.7583738760147603,-0.665494,0.9754704285947372,-0.06128446154379744,-1.919008,0.521759
MASTER_RIGHT_POS_X,-0.17172012177121773,-0.183309,0.04447409844252393,-0.057863177882755336,-0.267479,-0.094977
MASTER_RIGHT_POS_Y,-4.881180811807715e-06,-0.000919,0.011842505895116671,0.03789417384093454,-0.027455,0.026458
MASTER_RIGHT_POS_Z,0.3115174007380074,0.31031,0.019117636391002665,0.3844655284039116,0.255378,0.35955
MASTER_RIGHT_ROT_R11,-0.5727968771217713,-0.6820269999999999,0.38832687215248163,0.9382682837872036,-0.998689,0.492366
MASTER_RIGHT_ROT_R12,0.5887929092250922,0.6575135,0.33065545054767814,-0.8185467304473328,-0.346608,0.999711
MASTER_RIGHT_ROT_R13,0.03372264206642066,0.024399499999999998,0.253119606861426,0.7376437572404025,-0.397803,0.781915
MASTER_RIGHT_ROT_R21,-0.3742806767527675,-0.435927,0.2713476989559015,0.72370995906466,-0.763771,0.341903
MASTER_RIGHT_ROT_R22,-0.43219846937269374,-0.426556,0.24568206935156028,0.03668123445031694,-0.954754,0.170969
MASTER_RIGHT_ROT_R23,0.7212574166051661,0.722572,0.13750345655780943,-0.7763182226186144,0.266644,0.964966
MASTER_RIGHT_ROT_R31,0.4500349830258303,0.511463,0.32462044350533825,-0.5814925802025621,-0.414926,0.99947
MASTER_RIGHT_ROT_R32,0.4016158878228782,0.5092909999999999,0.36759527801201636,-0.991941134600544,-0.584514,0.934899
MASTER_RIGHT_ROT_R33,0.6013021645756457,0.6360509999999999,0.1845766107395994,-1.0785578275116237,-0.12864,0.93611
MASTER_RIGHT_LIN_VEL_X,0.00012741033210332073,2.9e-05,0.02423758617483938,-1.3453547214129031,-0.151236,0.117714
MASTER_RIGHT_LIN_VEL_Y,9.260258302583034e-05,1e-06,0.012422401460720217,-0.41247286019252305,-0.071071,0.055354
MASTER_RIGHT_LIN_VEL_Z,-8.225239852398508e-05,1.5e-06,0.024802033132906423,-0.6197045715749059,-0.167407,0.132569
MASTER_RIGHT_ROT_VEL_X,-0.002995887453874536,0.0,0.43297422698276883,-1.1225987197046137,-4.130474,3.981728
MASTER_RIGHT_ROT_VEL_Y,0.006132383025830263,0.0,1.023906119215416,0.5058842764696444,-5.545823,6.421365
MASTER_RIGHT_ROT_VEL_Z,0.007968385977859779,0.0,0.7468352195331954,0.11648613355656938,-4.884064,5.164876
MASTER_RIGHT_GRIPPER_ANGLE,-0.7558465516605167,-1.3982735000000002,0.7934106985027142,0.5668495030471429,-1.403605,0.536173
SLAVE_LEFT_POS_X,0.04313901771217712,0.0373345,0.022237793080742925,-0.05798866307703609,-0.004739,0.081512
SLAVE_LEFT_POS_Y,0.044515317343173426,0.044053999999999996,0.005924810210643587,0.03525967971033306,0.030787,0.057757
SLAVE_LEFT_POS_Z,-0.015103376383763837,-0.0157045,0.009557950806711133,0.38322803440326025,-0.043195,0.008922
SLAVE_LEFT_ROT_R11,0.6621646815498156,0.787239,0.3416639643123837,-1.1585404304279174,-0.342407,0.999995
SLAVE_LEFT_ROT_R12,-0.48706927195571953,-0.5345530000000001,0.3797566733720905,0.6014140091162705,-0.998957,0.498403
SLAVE_LEFT_ROT_R13,0.01267804243542436,0.009223,0.2516140583297362,0.7643107971404395,-0.420994,0.764138
SLAVE_LEFT_ROT_R21,0.307679352398524,0.351529,0.2937613949754292,-0.6855513563680429,-0.442239,0.728625
SLAVE_LEFT_ROT_R22,0.4699394756457564,0.470075,0.22103506228057648,-0.19297963455147793,-0.11105,0.91829
SLAVE_LEFT_ROT_R23,0.7290896413284133,0.7307319999999999,0.1334971292137505,-0.7029452951310805,0.293672,0.971548
SLAVE_LEFT_ROT_R31,-0.36902188782287826,-0.397866,0.35746993955091344,0.3579646097437859,-0.98373,0.498915
SLAVE_LEFT_ROT_R32,-0.48552760405904055,-0.5919224999999999,0.336486948397644,1.0950153474880462,-0.967616,0.463447
SLAVE_LEFT_ROT_R33,0.5945478461254612,0.625437,0.1835488984704494,-1.1191233773930442,-0.128937,0.92684
SLAVE_LEFT_LIN_VEL_X,0.00011048634686346854,2.1e-05,0.012118617278269435,-1.2623279575288866,-0.075844,0.058868
SLAVE_LEFT_LIN_VEL_Y,-1.3270479704797035e-05,4e-06,0.006225578035214895,-0.3691937161038771,-0.030051,0.023854
SLAVE_LEFT_LIN_VEL_Z,-1.8276383763837737e-05,7e-06,0.012492469678377686,-0.5875388218381086,-0.080608,0.066532
SLAVE_LEFT_ROT_VEL_X,-0.005568050922509224,4.5e-06,0.4053449320541508,-1.9099960030656484,-4.075406,2.729414
SLAVE_LEFT_ROT_VEL_Y,0.014946215129151293,-1.4e-05,0.9911103171885227,0.41444051809334687,-6.441474,6.104758
SLAVE_LEFT_ROT_VEL_Z,-0.00020760442804427945,-4.3e-05,0.7383623930361896,0.16082864524071624,-4.890566,5.18954
SLAVE_LEFT_GRIPPER_ANGLE,-0.545140002214022,-0.9169195,0.5699313169548931,0.8050990443109388,-1.066738,0.523548
SLAVE_RIGHT_POS_X,0.0745733704797048,0.0721665,0.019860877369667324,0.14033790454711598,0.040857,0.107366
SLAVE_RIGHT_POS_Y,0.04007552767527675,0.039299,0.006929585810131229,0.5442411813374199,0.028192,0.062246
SLAVE_RIGHT_POS_Z,-0.053557571217712166,-0.055515,0.010604489383589266,0.7089705648592072,-0.073261,-0.027782
SLAVE_RIGHT_ROT_R11,0.8054654442804428,0.8715815,0.239109627529546,-2.607916192558019,-0.152934,0.999965
SLAVE_RIGHT_ROT_R12,-0.06511560073800739,-0.1060835,0.3545552909993636,0.40945690519379035,-0.804574,0.658587
SLAVE_RIGHT_ROT_R13,-0.2985968439114391,-0.28771749999999996,0.27392695192758554,-0.32881660123092044,-0.939328,0.151459
SLAVE_RIGHT_ROT_R21,0.1675527409594096,0.151056,0.3579998596446156,-0.044972111461010156,-0.588693,0.964928
SLAVE_RIGHT_ROT_R22,0.7081617184501845,0.7946085,0.32229521706507197,-3.0740715930595197,-0.665034,0.977438
SLAVE_RIGHT_ROT_R23,0.441760515498155,0.4088075,0.20818963474172064,0.5195680675530743,0.132454,0.984128
SLAVE_RIGHT_ROT_R31,0.1638814177121771,0.225888,0.3332639995196538,-0.9097894903605275,-0.771044,0.73513
SLAVE_RIGHT_ROT_R32,-0.4633807092250922,-0.46258750000000004,0.22374848701941402,0.3123466181039824,-0.929697,0.17733
SLAVE_RIGHT_ROT_R33,0.7551047538745387,0.783961,0.16485584332037556,-1.1983972644840182,0.171807,0.968236
SLAVE_RIGHT_LIN_VEL_X,-7.923247232472301e-06,-1e-06,0.008819091751634563,-0.4529893809681456,-0.057547,0.041798
SLAVE_RIGHT_LIN_VEL_Y,0.00012735350553505533,0.0,0.007926812603340858,-0.7468925947107039,-0.046476,0.040722
SLAVE_RIGHT_LIN_VEL_Z,-8.341033210332106e-05,-2e-06,0.009970811249008196,0.3926493671948966,-0.0596,0.059012
SLAVE_RIGHT_ROT_VEL_X,0.003003402214022146,1.2e-05,0.5877686276082261,-0.05993658617691825,-5.156331,4.911273
SLAVE_RIGHT_ROT_VEL_Y,-0.005169277121771215,-2e-06,0.7779516954137579,-0.29237560546266383,-6.155359,6.055814
SLAVE_RIGHT_ROT_VEL_Z,0.0028786343173431697,1.5e-05,0.8111287272893323,-0.548349918796158,-5.947114,6.188887
SLAVE_RIGHT_GRIPPER_ANGLE,-0.4923855837638376,-0.7399705000000001,0.5785109362131057,0.39086036376547345,-1.145829,0.519245
