Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.14812775951962506,0.1529685,0.03551619868882785,0.17043603365955945,0.083703,0.244212
MASTER_LEFT_POS_Y,-0.01280624545987112,-0.012317999999999999,0.01783819441711494,-0.3327181562660437,-0.058084,0.034554
MASTER_LEFT_POS_Z,0.307492582893966,0.308821,0.02074547331302791,-0.1303219358040457,0.24321,0.367121
MASTER_LEFT_ROT_R11,-0.4192314528412419,-0.457155,0.40255206537153904,0.6900344580861976,-0.995762,0.737711
MASTER_LEFT_ROT_R12,0.048287789689513784,-0.04184,0.4839010095367422,0.1802192870229559,-0.790936,0.981959
MASTER_LEFT_ROT_R13,-0.5758948101933217,-0.6357889999999999,0.3069838201092144,0.6829658244349847,-0.981604,0.185735
MASTER_LEFT_ROT_R21,-0.1262944422964265,-0.211099,0.4519217380786762,0.3157142609084762,-0.992493,0.834994
MASTER_LEFT_ROT_R22,-0.7321685887521968,-0.79471,0.23719451922995924,1.1182709883023978,-0.999682,0.149284
MASTER_LEFT_ROT_R23,0.10725327152899822,0.2182965,0.41961987504911624,-1.033619786412547,-0.896965,0.685037
MASTER_LEFT_ROT_R31,-0.5865041174575278,-0.6610895,0.31262511130940096,0.905574504215806,-0.999427,0.377844
MASTER_LEFT_ROT_R32,0.08789443409490334,0.18096649999999997,0.4043421487361826,-0.5043927193092155,-0.84684,0.858859
MASTER_LEFT_ROT_R33,0.5033346183362625,0.5406299999999999,0.36586535649043617,-1.3024842110953756,-0.72464,0.998874
MASTER_LEFT_LIN_VEL_X,0.000907929994141769,0.0,0.018918655903109823,1.190291369068053,-0.112627,0.181835
MASTER_LEFT_LIN_VEL_Y,-0.00010699179847685974,0.0,0.01406723607975143,-0.03777152105283436,-0.085674,0.086146
MASTER_LEFT_LIN_VEL_Z,0.0007718500292911541,0.0,0.019929804209697182,-0.658005884847107,-0.118786,0.119927
MASTER_LEFT_ROT_VEL_X,-0.003115033099004098,0.0,0.7302172186031822,0.1445190803246251,-5.607826,5.152012
MASTER_LEFT_ROT_VEL_Y,0.013323944932630349,0.0,0.6308273971242611,-0.6567790538447523,-5.315217,4.419532
MASTER_LEFT_ROT_VEL_Z,0.01206977357937902,0.0,0.7971747010413375,0.11675844416326125,-5.555057,5.437805
MASTER_LEFT_GRIPPER_ANGLE,-0.15524782249560634,0.36616950000000004,0.8431472206344345,-0.9435920760237162,-1.922134,0.522758
MASTER_RIGHT_POS_X,-0.17175060984182777,-0.1762715,0.04492493060702263,-0.11801001524275606,-0.267844,-0.099054
MASTER_RIGHT_POS_Y,0.0051754355594610425,0.009089,0.016972715351549497,-0.6795862901430004,-0.043243,0.044667
MASTER_RIGHT_POS_Z,0.296492251903925,0.30062849999999997,0.026486909677711192,-0.17071352257718841,0.23694,0.344899
MASTER_RIGHT_ROT_R11,-0.5504552264206208,-0.5358015,0.33582387016386245,0.3322479787451688,-0.999608,0.239909
MASTER_RIGHT_ROT_R12,-0.2714578292325718,-0.345799,0.46380394237603156,0.17968026182078092,-0.921606,0.659822
MASTER_RIGHT_ROT_R13,0.3901679493263035,0.365195,0.37857141012028145,0.16429480662676466,-0.237959,0.996956
MASTER_RIGHT_ROT_R21,0.16081089543057997,0.336663,0.588153733326632,-0.48302856464496,-0.999823,0.935481
MASTER_RIGHT_ROT_R22,-0.5933484138840069,-0.7022634999999999,0.30959382411821573,1.6445417933777906,-0.988509,0.568188
MASTER_RIGHT_ROT_R23,-0.14969152196836552,-0.2029395,0.3975001714997313,0.28687454988413497,-0.767791,0.651351
MASTER_RIGHT_ROT_R31,0.24982418599882839,0.17844,0.3877747499605713,-0.10002481145331661,-0.819662,0.985133
MASTER_RIGHT_ROT_R32,-0.19643963854715873,-0.35636650000000003,0.4743096427460075,0.2672759363320337,-0.999583,0.897176
MASTER_RIGHT_ROT_R33,0.6593830415934387,0.7858065,0.29811668049459583,-1.0803647905028826,-0.291471,0.983637
MASTER_RIGHT_LIN_VEL_X,-0.0005785471587580553,6e-06,0.02098918574408729,-2.2906106735492107,-0.205898,0.112363
MASTER_RIGHT_LIN_VEL_Y,-1.6060339777387143e-05,0.0,0.013093052820859331,-0.6623125268741192,-0.091006,0.08435
MASTER_RIGHT_LIN_VEL_Z,0.0008678925014645579,0.0,0.01946558519561584,-0.0576305986660645,-0.111791,0.113267
MASTER_RIGHT_ROT_VEL_X,-0.0020508558875219677,0.0,0.6823909164174953,1.091986363356046,-5.464356,7.992409
MASTER_RIGHT_ROT_VEL_Y,0.008468684241359114,0.0,0.5713936934043303,1.9933186643760958,-3.979393,7.984238
MASTER_RIGHT_ROT_VEL_Z,-0.0014869443468072652,0.0,0.6844931689630654,0.4076851749317614,-4.882035,7.207541
MASTER_RIGHT_GRIPPER_ANGLE,-0.4937037932044523,-0.4063985,0.7490201733768473,-0.10830656022447499,-1.411926,0.521876
SLAVE_LEFT_POS_X,0.04023339689513767,0.037961499999999995,0.02246209162555669,-0.11797291667906863,-0.007818,0.076582
SLAVE_LEFT_POS_Y,0.05623029173989456,0.058188500000000004,0.008486477282103699,-0.6795100716157492,0.031998,0.075979
SLAVE_LEFT_POS_Z,-0.009753263327475102,-0.0076845,0.013244276892315152,-0.17087632997928887,-0.039556,0.014451
SLAVE_LEFT_ROT_R11,0.5453477724077329,0.5228705,0.33607244026972255,-0.30507795283278366,-0.25416,0.999959
SLAVE_LEFT_ROT_R12,0.28393527357937903,0.36326400000000003,0.4625860573830063,-0.19360595086538937,-0.651159,0.928585
SLAVE_LEFT_ROT_R13,0.3889513602811951,0.36058100000000004,0.37934059143245136,0.17282394874777715,-0.236876,0.997167
