Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.12864142857142857,0.125591,0.04268043380549328,0.4765065435317576,0.065908,0.210246
MASTER_LEFT_POS_Y,0.03379128453850676,0.036569000000000004,0.012508777841409196,-0.5121128178423464,0.007979,0.064139
MASTER_LEFT_POS_Z,0.39622728659611994,0.3970105,0.02445095927539619,-0.8055407600165811,0.328407,0.439493
MASTER_LEFT_ROT_R11,-0.06517379835390948,-0.125878,0.36521589656822634,0.6723036545115877,-0.779293,0.936289
MASTER_LEFT_ROT_R12,0.7909208136390358,0.8512234999999999,0.21362986379100438,-3.6380210164346862,-0.551646,0.997626
MASTER_LEFT_ROT_R13,-0.358966229276896,-0.376286,0.24987140394818275,0.8126494531902412,-0.932029,0.533741
MASTER_LEFT_ROT_R21,-0.8576694644326867,-0.9188625,0.21039404581043228,4.481371014465778,-0.999566,0.620941
MASTER_LEFT_ROT_R22,-0.09293921310993535,-0.155877,0.40959359735286177,0.4984338243581569,-0.952889,0.943908
MASTER_LEFT_ROT_R23,-0.03369296590241036,-0.0164205,0.20650458596490517,-0.7759078691817218,-0.720411,0.407216
MASTER_LEFT_ROT_R31,-0.1047172924750147,-0.11700050000000001,0.2673077675590016,-0.1799788329407879,-0.864957,0.414977
MASTER_LEFT_ROT_R32,0.28558994091710754,0.3473505,0.2652758160555578,-0.8376898925066966,-0.616081,0.916323
MASTER_LEFT_ROT_R33,0.8670400479129924,0.9046069999999999,0.11816225275749949,-1.87959276549777,0.359414,0.999997
MASTER_LEFT_LIN_VEL_X,0.0007808600823045266,0.0,0.01932005762003463,-1.1622275128271413,-0.18305,0.152844
MASTER_LEFT_LIN_VEL_Y,-0.0003323201058201058,0.0,0.012726198100309784,0.41492535588045737,-0.066273,0.075787
MASTER_LEFT_LIN_VEL_Z,0.00023903145208700757,0.0,0.016751401532219018,-1.5111937208758934,-0.122707,0.082443
MASTER_LEFT_ROT_VEL_X,-0.005560165196942974,0.0,0.5656310306863175,-1.3033674711507988,-4.889886,4.434652
MASTER_LEFT_ROT_VEL_Y,0.013584222222222221,0.0,0.4541928747254676,-0.10401874404110413,-3.041236,3.140859
