Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.08324647615788273,0.070363,0.03314439078087482,0.6260546999224919,0.022749,0.162751
MASTER_LEFT_POS_Y,0.039968283595710696,0.041054,0.009547697899873094,0.004699907861101161,0.020573,0.067368
MASTER_LEFT_POS_Z,0.3812717184576774,0.384449,0.024395294216980435,-0.1105514584799409,0.33251,0.419612
MASTER_LEFT_ROT_R11,-0.22141978507871318,-0.259371,0.3456600972240011,0.23859246561156366,-0.879777,0.582495
MASTER_LEFT_ROT_R12,-0.024356467944330367,-0.071521,0.3723509392543858,0.4639540176005158,-0.631228,0.856831
MASTER_LEFT_ROT_R13,-0.8183619924709103,-0.870147,0.15048871376502296,1.3325596257496657,-0.999855,-0.203275
MASTER_LEFT_ROT_R21,-0.05239829774127309,-0.184402,0.39627949520866457,0.3845285892750367,-0.857621,0.94022
MASTER_LEFT_ROT_R22,-0.8356165617157197,-0.904126,0.18043337346368818,2.51439137173058,-0.999769,0.003942
MASTER_LEFT_ROT_R23,0.10986942368240932,0.1999,0.3120444262933966,-0.7550538447734548,-0.702063,0.66399
MASTER_LEFT_ROT_R31,-0.7874886128222679,-0.86435,0.22650100128827677,2.002504355517992,-0.999857,0.248809
MASTER_LEFT_ROT_R32,0.002737243668720044,0.108998,0.36049451785707753,-0.7557752081305605,-0.93479,0.541009
MASTER_LEFT_ROT_R33,0.2515623141683779,0.289113,0.3679821419649317,-0.23317467662183444,-0.544646,0.930858
MASTER_LEFT_LIN_VEL_X,-1.2400638831850168e-05,0.0,0.016191080157214443,0.40152403454529745,-0.10416,0.110746
MASTER_LEFT_LIN_VEL_Y,-3.6887748117727565e-05,0.0,0.010324984948593125,0.5586350735768918,-0.078299,0.079951
MASTER_LEFT_LIN_VEL_Z,-6.518183892311205e-05,0.0,0.012924113071224257,-0.4795308425612673,-0.092224,0.072159
MASTER_LEFT_ROT_VEL_X,-0.0038789650924024675,0.0,0.7163318212933403,-0.5546256211310043,-7.236396,6.218911
MASTER_LEFT_ROT_VEL_Y,0.006328653433721197,0.0,0.43243537361208856,0.22868770975903246,-3.223088,3.511716
MASTER_LEFT_ROT_VEL_Z,-0.005133416837782342,0.0,0.530360071468259,0.1954660579786617,-5.546568,5.150504
MASTER_LEFT_GRIPPER_ANGLE,-0.5785801597079625,0.237111,1.0922231236373523,-0.21161943012273998,-1.922277,0.523136
MASTER_RIGHT_POS_X,-0.092149787816564,-0.103711,0.037449015751333824,0.13303978201354413,-0.203169,-0.023736
MASTER_RIGHT_POS_Y,0.07112508008213551,0.072048,0.011291436945981986,-0.6204265253821176,0.036548,0.096033
MASTER_RIGHT_POS_Z,0.3445504574492357,0.35103,0.025005185951099577,-0.5274175964278468,0.287315,0.402852
MASTER_RIGHT_ROT_R11,0.3332903426876569,0.431445,0.28697659660516933,-1.3831118593305922,-0.652384,0.720532
MASTER_RIGHT_ROT_R12,0.4246520280629706,0.45358,0.32235717610539805,-0.7483631535822322,-0.412739,0.904284
MASTER_RIGHT_ROT_R13,0.7067726427104724,0.667521,0.1510960159399397,0.3966177448473419,0.279745,0.996973
