Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.0828236341978287,0.0700855,0.043961963547110024,0.4044790428735586,0.016326,0.164619
MASTER_LEFT_POS_Y,0.02915365048250905,0.032437,0.011344317805056169,-0.581568590264051,-0.001092,0.058432
MASTER_LEFT_POS_Z,0.38707541797346195,0.3938505,0.026564870515821827,-0.5384003939932867,0.316795,0.436903
MASTER_LEFT_ROT_R11,-0.4447662928226779,-0.43901049999999997,0.40364675013253337,0.57316634600348,-0.995425,0.639441
MASTER_LEFT_ROT_R12,0.4333368736429433,0.5028429999999999,0.43717950325264343,-0.8522150546081915,-0.635939,0.990596
MASTER_LEFT_ROT_R13,-0.4517324653196622,-0.472402,0.2375969825894025,0.23756649022070636,-0.964593,0.125836
MASTER_LEFT_ROT_R21,-0.4860151498793728,-0.598623,0.5015060193829955,1.0552108245739393,-0.994371,0.873323
MASTER_LEFT_ROT_R22,-0.5898064333534379,-0.553024,0.2843330641354906,0.08514080729621307,-0.999364,-0.021808
MASTER_LEFT_ROT_R23,0.054146082629674304,0.0300175,0.2841278042804027,0.5327632383909202,-0.578769,0.789084
MASTER_LEFT_ROT_R31,-0.3015902213510253,-0.305673,0.24598909330795388,-0.2977625695514748,-0.915613,0.188806
MASTER_LEFT_ROT_R32,0.2189649034981906,0.3316935,0.37946991296636123,-1.5242095488237721,-0.871141,0.771368
MASTER_LEFT_ROT_R33,0.783057761761158,0.8407979999999999,0.20859532526480976,-1.7214752661868569,0.092857,0.999772
MASTER_LEFT_LIN_VEL_X,-1.121079613992788e-05,0.0,0.01841495244355896,-0.4281915916435873,-0.135865,0.131913
MASTER_LEFT_LIN_VEL_Y,2.402593486127882e-06,0.0,0.013456521642803504,0.726674266001994,-0.075943,0.083188
MASTER_LEFT_LIN_VEL_Z,0.00019005036188178535,0.0,0.01793465837709332,0.16691573595165488,-0.107156,0.133715
MASTER_LEFT_ROT_VEL_X,0.028559990349819056,0.0,0.6236040575306595,1.5447775573590028,-4.406904,5.077882
MASTER_LEFT_ROT_VEL_Y,0.018221128166465622,0.0,0.5209660830712528,-0.034069919658502014,-3.940077,4.070654
MASTER_LEFT_ROT_VEL_Z,-0.024762666164053076,0.0,0.929695520004173,-0.12626988007574388,-6.140711,5.924218
MASTER_LEFT_GRIPPER_ANGLE,-0.7925968878166467,-0.9681535,1.1039425552937157,0.05236215525881777,-1.919023,0.523647
MASTER_RIGHT_POS_X,-0.11446414143546442,-0.112543,0.047928216360216186,-0.29581245842646403,-0.209495,-0.039339
MASTER_RIGHT_POS_Y,0.0676501513872135,0.0701375,0.014082561010640156,-0.7193526216383639,0.037542,0.089717
MASTER_RIGHT_POS_Z,0.35092317852834737,0.349034,0.024198637937276554,0.11017539318406509,0.297349,0.397781
MASTER_RIGHT_ROT_R11,0.6738527566344993,0.7309155,0.3051771741179082,-0.9083611525329214,-0.135062,0.993411
MASTER_RIGHT_ROT_R12,0.5189512886007238,0.5231455,0.2869153626849958,0.1526048695524519,-0.142697,0.997051
MASTER_RIGHT_ROT_R13,0.18877292913148372,0.26397000000000004,0.25610012984429187,-0.0741710182330774,-0.333261,0.956871
MASTER_RIGHT_ROT_R21,-0.5584912035585042,-0.567305,0.2986221176498932,-0.09605005752960508,-0.999789,-0.07233
