Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.1271972115440961,0.123583,0.03522474251685929,0.4538344920881125,0.070051,0.220383
MASTER_LEFT_POS_Y,0.033253541166129504,0.033181,0.011986777195347813,0.6017130459293139,0.010869,0.07601
MASTER_LEFT_POS_Z,0.38521326399062406,0.387705,0.016395243050804177,-0.27607222478547927,0.332057,0.427111
MASTER_LEFT_ROT_R11,-0.3066072402578377,-0.423727,0.2847751257553669,0.9846054314208958,-0.731642,0.435551
MASTER_LEFT_ROT_R12,-0.36479645678288897,-0.378251,0.37096123113353596,0.6610275800989798,-1.000022,0.852935
MASTER_LEFT_ROT_R13,-0.714127605332552,-0.781239,0.21059576358905027,2.2343564724716214,-0.998906,0.083174
MASTER_LEFT_ROT_R21,-0.24317369616173454,-0.318262,0.26972437213003453,0.464142587063798,-0.782359,0.478584
MASTER_LEFT_ROT_R22,-0.7008921374157633,-0.782353,0.2231998346054073,1.5776873082745129,-0.998624,0.016631
MASTER_LEFT_ROT_R23,0.4775263504248462,0.510624,0.3147264041798467,-1.5920062429190174,-0.843283,0.995818
MASTER_LEFT_ROT_R31,-0.8232476662760034,-0.842566,0.12155663159452929,0.9212828977670059,-0.99996,-0.459315
MASTER_LEFT_ROT_R32,0.35049752739525347,0.455377,0.2564542096826731,-0.58986362593787,-0.233325,0.87307
MASTER_LEFT_ROT_R33,0.16820734309991212,0.25009,0.30108715426280713,-0.8172971166098176,-0.585637,0.755776
MASTER_LEFT_LIN_VEL_X,1.8671256958687185e-05,-7e-06,0.017753483987894496,-1.0589603905736573,-0.162495,0.08515
MASTER_LEFT_LIN_VEL_Y,-7.172780544975079e-05,-7.1e-05,0.01560162701650607,-0.6699695112675219,-0.109337,0.089709
MASTER_LEFT_LIN_VEL_Z,0.00010241048930559622,-2e-05,0.015744891223544166,-1.108144330158872,-0.113836,0.065289
MASTER_LEFT_ROT_VEL_X,-0.03206034661588046,0.0,0.6250531691957153,-1.4949910760880851,-5.305514,5.040353
MASTER_LEFT_ROT_VEL_Y,-0.0067588206856138274,0.0,0.5445729927621837,-0.47390285459083026,-5.150478,5.271086
MASTER_LEFT_ROT_VEL_Z,0.0040646815118663936,0.0,0.5510551545983412,-1.2592740468829882,-5.114806,4.115782
MASTER_LEFT_GRIPPER_ANGLE,-0.7131542068561383,-0.03396,1.0318845170780748,-0.24937974229775436,-1.924807,0.523911
MASTER_RIGHT_POS_X,-0.15385680925871667,-0.146098,0.034616353535540774,-0.6469218476193925,-0.25643,-0.099104
MASTER_RIGHT_POS_Y,0.05776070612364489,0.059126,0.017539939613188612,0.0747295654506675,0.016115,0.095333
MASTER_RIGHT_POS_Z,0.34347475358921764,0.350499,0.019143150942520892,-1.0666472778213276,0.260277,0.374252
MASTER_RIGHT_ROT_R11,0.44273629094638145,0.535857,0.3695946584757441,-1.8117141505951393,-0.780838,0.931642
MASTER_RIGHT_ROT_R12,-0.14639972663346032,-0.187738,0.4293108710744859,0.1601113307911077,-0.899768,0.850902
MASTER_RIGHT_ROT_R13,0.6612742648696163,0.712393,0.15637315733092808,-0.511028064203381,0.235803,0.958353
MASTER_RIGHT_ROT_R21,-0.21134239232346907,-0.220041,0.455445227081109,0.012701250121293457,-0.866567,0.561854
MASTER_RIGHT_ROT_R22,0.7050548769411076,0.768644,0.2110860609181999,-0.4727966464707486,0.21907,0.993151
MASTER_RIGHT_ROT_R23,0.39014086404922355,0.359131,0.23250361430248417,0.4394092860160792,-0.151391,0.929844
MASTER_RIGHT_ROT_R31,-0.5844987913858775,-0.572446,0.27242973375720597,0.27794918803846536,-0.99956,0.064747
MASTER_RIGHT_ROT_R32,-0.2685519038968649,-0.248553,0.4250477477110934,0.2316880161349896,-0.932879,0.709327
MASTER_RIGHT_ROT_R33,0.4466920442426019,0.486867,0.3630427887969239,-0.8748711651774284,-0.503042,0.96135
