Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.119615,0.128332,0.008717000000000003,0.1065395,0.14140750000000002,403,19.22709923664122
MASTER_LEFT_POS_Y,-0.016936,-0.00794375,0.00899225,-0.030424375,0.005544625000000001,176,8.396946564885496
MASTER_LEFT_POS_Z,0.351716,0.385507,0.033791000000000015,0.30102949999999995,0.4361935,0,0.0
MASTER_LEFT_ROT_R11,0.7176795,0.79932275,0.08164324999999995,0.5952146250000001,0.9217876249999999,427,20.372137404580155
MASTER_LEFT_ROT_R12,-0.26582625,-0.051261,0.21456524999999999,-0.5876741249999999,0.270586875,201,9.58969465648855
MASTER_LEFT_ROT_R13,-0.66740475,-0.56408675,0.10331800000000002,-0.82238175,-0.40910974999999994,151,7.204198473282443
MASTER_LEFT_ROT_R21,0.35594225,0.54448425,0.188542,0.07312925000000003,0.82729725,62,2.9580152671755724
MASTER_LEFT_ROT_R22,0.762778,0.8566365,0.09385850000000007,0.6219902499999999,0.9974242500000001,0,0.0
MASTER_LEFT_ROT_R23,0.33449125,0.46073725,0.12624599999999997,0.14512225000000006,0.6501062499999999,0,0.0
MASTER_LEFT_ROT_R31,0.3535695,0.49738825000000003,0.14381875000000005,0.1378413749999999,0.7131163750000001,445,21.230916030534353
MASTER_LEFT_ROT_R32,-0.60169625,-0.50034525,0.10135100000000008,-0.7537227500000001,-0.34831874999999984,135,6.440839694656489
MASTER_LEFT_ROT_R33,0.6776835,0.73234275,0.05465925000000005,0.5956946249999999,0.8143316250000001,440,20.99236641221374
MASTER_LEFT_LIN_VEL_X,-5e-05,4.1e-05,9.1e-05,-0.0001865,0.0001775,806,38.45419847328244
MASTER_LEFT_LIN_VEL_Y,-0.00024725,0.00020675,0.00045400000000000003,-0.00092825,0.0008877500000000001,786,37.5
MASTER_LEFT_LIN_VEL_Z,-0.00022925000000000002,0.00015125000000000002,0.00038050000000000003,-0.0008000000000000001,0.0007220000000000001,787,37.54770992366412
MASTER_LEFT_ROT_VEL_X,0.0,0.0,0.0,0.0,0.0,804,38.3587786259542
MASTER_LEFT_ROT_VEL_Y,0.0,0.0,0.0,0.0,0.0,807,38.50190839694657
MASTER_LEFT_ROT_VEL_Z,0.0,0.0,0.0,0.0,0.0,806,38.45419847328244
MASTER_LEFT_GRIPPER_ANGLE,-0.01625825,0.5155270000000001,0.5317852500000001,-0.8139361250000002,1.3132048750000003,434,20.706106870229007
MASTER_RIGHT_POS_X,-0.252503,-0.23995850000000002,0.012544499999999958,-0.2713197499999999,-0.22114175000000008,281,13.40648854961832
MASTER_RIGHT_POS_Y,-0.011059,0.0050377500000000006,0.01609675,-0.035204125,0.029182875,0,0.0
MASTER_RIGHT_POS_Z,0.345682,0.35280825,0.007126250000000001,0.334992625,0.363497625,753,35.92557251908397
MASTER_RIGHT_ROT_R11,0.530125,0.68147775,0.15135275000000004,0.3030958749999999,0.908506875,285,13.59732824427481
MASTER_RIGHT_ROT_R12,0.03532,0.6835322500000001,0.64821225,-0.936998375,1.6558506250000002,0,0.0
MASTER_RIGHT_ROT_R13,0.501554,0.61794675,0.11639274999999993,0.32696487500000015,0.7925358749999999,206,9.82824427480916
MASTER_RIGHT_ROT_R21,-0.84564675,-0.2634815,0.5821652500000001,-1.7188946250000001,0.6097663750000002,81,3.8645038167938934
MASTER_RIGHT_ROT_R22,0.46068425,0.812448,0.35176374999999993,-0.06696137499999988,1.3400936249999997,0,0.0
MASTER_RIGHT_ROT_R23,0.10009725,0.26740074999999996,0.16730349999999997,-0.15085799999999996,0.5183559999999999,113,5.391221374045801
MASTER_RIGHT_ROT_R31,-0.464456,-0.048791,0.41566499999999995,-1.0879534999999998,0.5747064999999999,0,0.0
MASTER_RIGHT_ROT_R32,-0.567135,-0.44696775,0.12016724999999995,-0.7473858749999999,-0.2667168750000001,411,19.608778625954198
MASTER_RIGHT_ROT_R33,0.7316542500000001,0.822562,0.09090774999999995,0.5952926250000001,0.958923625,170,8.110687022900763
MASTER_RIGHT_LIN_VEL_X,-0.0002275,0.0005972499999999999,0.00082475,-0.001464625,0.0018343749999999999,747,35.63931297709924
MASTER_RIGHT_LIN_VEL_Y,-0.0013112500000000001,0.00140625,0.0027175000000000003,-0.0053875,0.0054824999999999995,607,28.95992366412214
MASTER_RIGHT_LIN_VEL_Z,-0.0013235,0.001539,0.0028625,-0.00561725,0.005832749999999999,712,33.969465648854964
MASTER_RIGHT_ROT_VEL_X,-0.0085615,0.0019165,0.010478,-0.024278499999999998,0.0176335,863,41.1736641221374
MASTER_RIGHT_ROT_VEL_Y,-0.013521,0.014251999999999999,0.027773,-0.0551805,0.0559115,675,32.20419847328244
MASTER_RIGHT_ROT_VEL_Z,-0.01589225,0.01588375,0.031776,-0.06355625,0.06354775,683,32.58587786259542
MASTER_RIGHT_GRIPPER_ANGLE,-1.405634,0.53308875,1.9387227500000002,-4.313718125,3.4411728750000004,0,0.0
SLAVE_LEFT_POS_X,0.004091,0.010277749999999999,0.006186749999999999,-0.005189124999999998,0.019557874999999995,315,15.028625954198475
SLAVE_LEFT_POS_Y,0.042768,0.0507615,0.0079935,0.03077775,0.06275175,0,0.0
SLAVE_LEFT_POS_Z,-0.021121749999999998,-0.017528500000000002,0.0035932499999999958,-0.02651162499999999,-0.012138625000000009,749,35.73473282442748
SLAVE_LEFT_ROT_R11,-0.6184455,-0.3987,0.21974549999999998,-0.94806375,-0.06908175,96,4.580152671755725
SLAVE_LEFT_ROT_R12,-0.741675,-0.13867475,0.60300025,-1.6461753749999999,0.765825625,0,0.0
SLAVE_LEFT_ROT_R13,0.539403,0.6504545,0.11105150000000008,0.37282574999999984,0.8170317500000002,204,9.732824427480915
SLAVE_LEFT_ROT_R21,0.39492700000000003,0.917081,0.522154,-0.388304,1.700312,132,6.297709923664121
SLAVE_LEFT_ROT_R22,-0.8039050000000001,-0.321978,0.4819270000000001,-1.5267955000000002,0.4009125000000001,0,0.0
SLAVE_LEFT_ROT_R23,0.13194125,0.23605125,0.10410999999999998,-0.02422374999999996,0.39221624999999993,290,13.835877862595419
SLAVE_LEFT_ROT_R31,-0.000724,0.44165699999999997,0.44238099999999997,-0.6642954999999999,1.1052285,0,0.0
SLAVE_LEFT_ROT_R32,0.49352475,0.588428,0.09490324999999994,0.3511698750000001,0.7307828749999998,432,20.610687022900763
SLAVE_LEFT_ROT_R33,0.7054155,0.808548,0.10313250000000007,0.5507167499999999,0.9632467500000002,169,8.062977099236642
SLAVE_LEFT_LIN_VEL_X,-9.324999999999999e-05,0.000194,0.00028724999999999996,-0.000524125,0.000624875,788,37.595419847328245
SLAVE_LEFT_LIN_VEL_Y,-0.00056225,0.0006525,0.0012147500000000001,-0.002384375,0.0024746250000000003,641,30.582061068702288
SLAVE_LEFT_LIN_VEL_Z,-0.00056575,0.0006475,0.00121325,-0.0023856249999999997,0.002467375,736,35.11450381679389
SLAVE_LEFT_ROT_VEL_X,-0.00809625,0.000125,0.00822125,-0.020428125,0.012456875,846,40.36259541984733
SLAVE_LEFT_ROT_VEL_Y,-0.00015174999999999998,0.01408875,0.0142405,-0.021512499999999997,0.035449499999999995,708,33.778625954198475
SLAVE_LEFT_ROT_VEL_Z,-0.0053047500000000004,0.009809,0.01511375,-0.027975375,0.032479625,797,38.024809160305345
SLAVE_LEFT_GRIPPER_ANGLE,-0.8196939999999999,0.522595,1.342289,-2.8331275,2.5360285,0,0.0
SLAVE_RIGHT_POS_X,0.074894,0.079147,0.004252999999999993,0.0685145,0.08552649999999998,404,19.27480916030534
SLAVE_RIGHT_POS_Y,0.043918,0.048326,0.004408000000000002,0.03730599999999999,0.054938,179,8.540076335877862
SLAVE_RIGHT_POS_Z,-0.050928,-0.03418875,0.016739250000000004,-0.076036875,-0.00907987499999999,0,0.0
SLAVE_RIGHT_ROT_R11,-0.730366,-0.6712670000000001,0.0590989999999999,-0.8190144999999998,-0.5826185000000002,459,21.89885496183206
SLAVE_RIGHT_ROT_R12,-0.00525475,0.258212,0.26346674999999997,-0.40045487499999993,0.653412125,0,0.0
SLAVE_RIGHT_ROT_R13,-0.74030225,-0.63237,0.10793225000000006,-0.9022006250000001,-0.4704716249999999,141,6.727099236641221
SLAVE_RIGHT_ROT_R21,-0.562397,-0.3351445,0.22725250000000002,-0.90327575,0.005734249999999996,48,2.2900763358778624
SLAVE_RIGHT_ROT_R22,-0.8836215000000001,-0.755069,0.12855250000000007,-1.0764502500000002,-0.5622402499999999,0,0.0
SLAVE_RIGHT_ROT_R23,0.29639625,0.37191399999999997,0.07551774999999994,0.18311962500000012,0.4851906249999999,0,0.0
SLAVE_RIGHT_ROT_R31,-0.65933025,-0.379206,0.28012425,-1.0795166250000001,0.04098037500000001,0,0.0
SLAVE_RIGHT_ROT_R32,0.452042,0.60989525,0.15785325,0.215262125,0.846675125,82,3.9122137404580157
SLAVE_RIGHT_ROT_R33,0.60429675,0.689802,0.08550524999999998,0.4760388750000001,0.818059875,446,21.278625954198475
SLAVE_RIGHT_LIN_VEL_X,-0.000586,2e-06,0.0005880000000000001,-0.0014680000000000001,0.0008840000000000002,348,16.603053435114504
SLAVE_RIGHT_LIN_VEL_Y,-1.4e-05,8.25e-06,2.225e-05,-4.7375e-05,4.1624999999999995e-05,937,44.70419847328244
SLAVE_RIGHT_LIN_VEL_Z,-0.00896,6e-06,0.008966,-0.022409,0.013455,50,2.385496183206107
SLAVE_RIGHT_ROT_VEL_X,-0.22732975,2.525e-05,0.227355,-0.5683622500000001,0.34105775,524,25.0
SLAVE_RIGHT_ROT_VEL_Y,-1.4e-05,0.46551975,0.46553375,-0.698314625,1.163820375,519,24.76145038167939
SLAVE_RIGHT_ROT_VEL_Z,-6e-06,0.22072025,0.22072625,-0.331095375,0.551809625,548,26.14503816793893
SLAVE_RIGHT_GRIPPER_ANGLE,-0.245062,0.51562675,0.76068875,-1.3860951250000002,1.6566598750000001,0,0.0
