Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.117701,0.19556,0.07785900000000001,0.0009124999999999828,0.31234850000000003,0,0.0
MASTER_LEFT_POS_Y,-0.045191,-0.024523,0.020668000000000002,-0.07619300000000001,0.006479000000000002,92,3.597966366836136
MASTER_LEFT_POS_Z,0.31449,0.333372,0.01888200000000001,0.28616699999999995,0.361695,205,8.017207665232695
MASTER_LEFT_ROT_R11,-0.786813,-0.360497,0.426316,-1.4262869999999999,0.278977,27,1.0559249120062575
MASTER_LEFT_ROT_R12,-0.249877,0.366378,0.616255,-1.1742595,1.2907605,0,0.0
MASTER_LEFT_ROT_R13,-0.827215,-0.49555,0.33166500000000004,-1.3247125,0.0019475000000000464,0,0.0
MASTER_LEFT_ROT_R21,-0.655611,-0.242456,0.41315500000000005,-1.2753435,0.3772765,0,0.0
MASTER_LEFT_ROT_R22,-0.838029,-0.711229,0.12680000000000002,-1.028229,-0.521029,238,9.307782557684787
MASTER_LEFT_ROT_R23,0.253209,0.492177,0.23896799999999996,-0.10524299999999992,0.8506289999999999,34,1.3296832225263981
MASTER_LEFT_ROT_R31,-0.823516,-0.269591,0.553925,-1.6544035,0.5612965,0,0.0
MASTER_LEFT_ROT_R32,0.328178,0.60323,0.275052,-0.08439999999999998,1.015808,0,0.0
MASTER_LEFT_ROT_R33,0.269033,0.7762,0.5071669999999999,-0.49171749999999986,1.5369504999999999,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.002063,0.001168,0.0032310000000000004,-0.006909500000000001,0.0060145,1107,43.29292139225655
MASTER_LEFT_LIN_VEL_Y,-0.003529,0.005164,0.008693,-0.0165685,0.018203499999999997,445,17.403206883066094
MASTER_LEFT_LIN_VEL_Z,-0.004714,0.005731,0.010445,-0.0203815,0.0213985,515,20.140789988267503
MASTER_LEFT_ROT_VEL_X,-0.03375,0.011437,0.045187000000000005,-0.10153050000000001,0.07921750000000001,789,30.856472428627296
MASTER_LEFT_ROT_VEL_Y,-0.089099,0.020638,0.109737,-0.2537045,0.1852435,831,32.49902229174814
MASTER_LEFT_ROT_VEL_Z,-0.031942,0.07874,0.110682,-0.197965,0.244763,668,26.124364489636292
MASTER_LEFT_GRIPPER_ANGLE,-1.695546,0.414027,2.109573,-4.8599055,3.5783865,0,0.0
MASTER_RIGHT_POS_X,-0.202203,-0.108922,0.09328099999999999,-0.34212449999999994,0.03099949999999997,0,0.0
MASTER_RIGHT_POS_Y,-0.020388,-0.004701,0.015687,-0.0439185,0.0188295,207,8.095424325381305
MASTER_RIGHT_POS_Z,0.271009,0.291516,0.020506999999999997,0.2402485,0.32227649999999997,132,5.162299569808369
MASTER_RIGHT_ROT_R11,-0.892537,-0.595607,0.29693,-1.3379320000000001,-0.15021199999999996,103,4.0281579976535005
MASTER_RIGHT_ROT_R12,0.314013,0.630912,0.31689900000000004,-0.16133550000000008,1.1062605,161,6.296441141963238
MASTER_RIGHT_ROT_R13,0.293306,0.489056,0.19574999999999998,-0.0003189999999999582,0.782681,127,4.96675791943684
MASTER_RIGHT_ROT_R21,-0.344704,-0.075373,0.269331,-0.7487005,0.32862349999999996,260,10.168165819319515
MASTER_RIGHT_ROT_R22,-0.859809,-0.715319,0.14449,-1.0765440000000002,-0.498584,3,0.11732499022291748
MASTER_RIGHT_ROT_R23,0.403707,0.633899,0.230192,0.05841899999999994,0.979187,141,5.514274540477122
MASTER_RIGHT_ROT_R31,0.3718,0.726588,0.354788,-0.1603819999999999,1.25877,31,1.2123582323034807
MASTER_RIGHT_ROT_R32,0.089444,0.384082,0.29463799999999996,-0.35251299999999997,0.826039,0,0.0
MASTER_RIGHT_ROT_R33,0.640181,0.815128,0.17494699999999996,0.37776050000000005,1.0775484999999998,124,4.849432929213923
