Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.1154945,0.1850465,0.069552,0.011166499999999996,0.2893745,0,0.0
MASTER_LEFT_POS_Y,-0.0094325,0.001223,0.0106555,-0.02541575,0.01720625,219,4.708664803268114
MASTER_LEFT_POS_Z,0.3256175,0.34794,0.022322500000000023,0.29213374999999997,0.38142375000000006,56,1.2040421414749516
MASTER_LEFT_ROT_R11,-0.8028255,-0.38293849999999996,0.419887,-1.432656,0.246892,337,7.245753601376048
MASTER_LEFT_ROT_R12,0.1077805,0.490716,0.3829355,-0.46662275000000003,1.06511925,221,4.751666308320791
MASTER_LEFT_ROT_R13,-0.819186,-0.4234645,0.39572149999999995,-1.4127682499999998,0.17011774999999985,0,0.0
MASTER_LEFT_ROT_R21,-0.6374825,-0.37856900000000004,0.2589134999999999,-1.0258527499999999,0.009801249999999817,300,6.450225757901526
MASTER_LEFT_ROT_R22,-0.836812,-0.6615575,0.17525449999999998,-1.09969375,-0.39867575000000005,181,3.8916362072672546
MASTER_LEFT_ROT_R23,-0.008691999999999998,0.4510795,0.4597715,-0.69834925,1.14073675,0,0.0
MASTER_LEFT_ROT_R31,-0.6654964999999999,-0.195485,0.4700114999999999,-1.3705137499999998,0.5095322499999998,0,0.0
MASTER_LEFT_ROT_R32,0.42947650000000004,0.594508,0.1650315,0.18192925000000004,0.84205525,229,4.923672328531499
MASTER_LEFT_ROT_R33,0.47826199999999996,0.8177490000000001,0.3394870000000001,-0.030968500000000176,1.3269795000000002,55,1.1825413889486132
MASTER_LEFT_LIN_VEL_X,-0.0005055000000000001,0.000461,0.0009665000000000001,-0.0019552500000000004,0.0019107500000000001,1828,39.30337561814664
MASTER_LEFT_LIN_VEL_Y,-0.002012,0.0028185,0.0048305,-0.009257749999999999,0.01006425,1101,23.6723285314986
MASTER_LEFT_LIN_VEL_Z,-0.0021165000000000003,0.0024495,0.004566000000000001,-0.008965500000000001,0.009298500000000001,1351,29.047516663083208
MASTER_LEFT_ROT_VEL_X,-0.000984,0.003733,0.004717000000000001,-0.0080595,0.010808500000000002,1859,39.969898946463125
MASTER_LEFT_ROT_VEL_Y,-0.0147645,0.014715,0.0294795,-0.05898375,0.05893425,1518,32.63814233498172
MASTER_LEFT_ROT_VEL_Z,-0.0236925,0.029553,0.0532455,-0.10356075000000001,0.10942125,1305,28.058482046871642
MASTER_LEFT_GRIPPER_ANGLE,-1.653927,0.293307,1.947234,-4.574778,3.214158,0,0.0
MASTER_RIGHT_POS_X,-0.2055205,-0.1253915,0.080129,-0.325714,-0.00519799999999998,0,0.0
MASTER_RIGHT_POS_Y,-0.0009224999999999999,0.016285,0.0172075,-0.02673375,0.04209625,17,0.3655127929477532
MASTER_RIGHT_POS_Z,0.3233145,0.335943,0.012628499999999987,0.30437175000000005,0.35488575,357,7.675768651902816
MASTER_RIGHT_ROT_R11,-0.832201,-0.3237225,0.5084784999999999,-1.59491875,0.43899524999999995,0,0.0
MASTER_RIGHT_ROT_R12,0.3350995,0.8684725,0.533373,-0.46495999999999993,1.668532,0,0.0
MASTER_RIGHT_ROT_R13,-0.1512695,0.2938765,0.445146,-0.8189884999999999,0.9615954999999999,0,0.0
MASTER_RIGHT_ROT_R21,-0.709946,-0.41308900000000004,0.2968569999999999,-1.1552314999999997,0.03219649999999985,154,3.3111158890561168
MASTER_RIGHT_ROT_R22,-0.7478095,-0.4329505,0.314859,-1.2200980000000001,0.039337999999999984,0,0.0
MASTER_RIGHT_ROT_R23,0.3722885,0.570821,0.1985325,0.07448975000000002,0.86861975,0,0.0
MASTER_RIGHT_ROT_R31,0.1210865,0.600077,0.4789905,-0.5973992499999999,1.31856275,0,0.0
MASTER_RIGHT_ROT_R32,0.047048999999999994,0.42475799999999997,0.37770899999999996,-0.5195145,0.9913215,406,8.7293055256934
MASTER_RIGHT_ROT_R33,0.7007304999999999,0.896193,0.1954625000000001,0.4075367499999998,1.1893867500000002,424,9.11631907116749
MASTER_RIGHT_LIN_VEL_X,-0.0013484999999999999,0.002683,0.0040315,-0.00739575,0.00873025,2045,43.969038916362074
MASTER_RIGHT_LIN_VEL_Y,-0.0042505,0.005249,0.009499500000000001,-0.018499750000000002,0.01949825,508,10.922382283379918
MASTER_RIGHT_LIN_VEL_Z,-0.004171,0.005168,0.009339,-0.0181795,0.0191765,734,15.781552354332401
MASTER_RIGHT_ROT_VEL_X,-0.0283635,0.0232295,0.051593,-0.105753,0.100619,1347,28.961513652977857
MASTER_RIGHT_ROT_VEL_Y,-0.030351,0.0447425,0.0750935,-0.14299125,0.15738275,1258,27.047946678133734
MASTER_RIGHT_ROT_VEL_Z,-0.055534,0.03461,0.090144,-0.19075,0.169826,980,21.070737475811654
MASTER_RIGHT_GRIPPER_ANGLE,-1.404388,-1.400223,0.004164999999999974,-1.4106355,-1.3939755,1063,22.85529993549774
SLAVE_LEFT_POS_X,0.025919,0.0659815,0.0400625,-0.034174750000000004,0.12607525,0,0.0
SLAVE_LEFT_POS_Y,0.044084,0.052686,0.008601999999999999,0.031181,0.065589,17,0.3655127929477532
SLAVE_LEFT_POS_Z,-0.0127855,-0.00647,0.0063155,-0.02225875,0.003003249999999999,359,7.718770156955493
SLAVE_LEFT_ROT_R11,0.290336,0.8205035,0.5301675000000001,-0.5049152500000003,1.6157547500000002,0,0.0
SLAVE_LEFT_ROT_R12,-0.8608195,-0.3530095,0.50781,-1.6225345,0.40870549999999994,0,0.0
SLAVE_LEFT_ROT_R13,-0.131983,0.333456,0.46543899999999994,-0.8301414999999999,1.0316144999999999,0,0.0
SLAVE_LEFT_ROT_R21,0.465293,0.749942,0.284649,0.038319500000000006,1.1769155,188,4.042141474951624
SLAVE_LEFT_ROT_R22,0.441405,0.7711715,0.3297665,-0.05324475000000001,1.2658212500000001,0,0.0
SLAVE_LEFT_ROT_R23,0.30166899999999996,0.5122789999999999,0.21060999999999996,-0.014245999999999981,0.8281939999999999,0,0.0
SLAVE_LEFT_ROT_R31,-0.5738205000000001,-0.114287,0.45953350000000004,-1.2631207500000001,0.57501325,0,0.0
SLAVE_LEFT_ROT_R32,-0.355178,0.038525000000000004,0.393703,-0.9457325000000001,0.6290795000000001,299,6.428725005375188
SLAVE_LEFT_ROT_R33,0.72284,0.925152,0.20231199999999994,0.41937200000000013,1.2286199999999998,449,9.65383788432595
SLAVE_LEFT_LIN_VEL_X,-0.0006085,0.0017929999999999999,0.0024015,-0.00421075,0.00539525,2032,43.68952913351967
SLAVE_LEFT_LIN_VEL_Y,-0.002095,0.0025655,0.0046605,-0.00908575,0.009556249999999999,538,11.56740485917007
SLAVE_LEFT_LIN_VEL_Z,-0.002103,0.0025900000000000003,0.004693,-0.009142500000000001,0.009629500000000001,729,15.674048591700709
SLAVE_LEFT_ROT_VEL_X,-0.023915,0.019094,0.043009,-0.0884285,0.0836075,1371,29.477531713609977
SLAVE_LEFT_ROT_VEL_Y,-0.0298005,0.035501,0.0653015,-0.12775275,0.13345325,1316,28.294990324661363
SLAVE_LEFT_ROT_VEL_Z,-0.054860000000000006,0.037602,0.092462,-0.19355300000000003,0.176295,962,20.68372393033756
SLAVE_LEFT_GRIPPER_ANGLE,-0.967948,-0.9008355,0.06711250000000002,-1.0686167500000001,-0.80016675,859,18.469146420124705
SLAVE_RIGHT_POS_X,0.055979,0.0907545,0.0347755,0.0038157499999999997,0.14291775,0,0.0
SLAVE_RIGHT_POS_Y,0.0355775,0.040911,0.005333500000000005,0.02757724999999999,0.04891125000000001,219,4.708664803268114
SLAVE_RIGHT_POS_Z,-0.056163,-0.0449965,0.011166499999999996,-0.07291275,-0.028246750000000008,55,1.1825413889486132
SLAVE_RIGHT_ROT_R11,0.549927,0.892545,0.342618,0.03600000000000003,1.406472,377,8.105783702429585
SLAVE_RIGHT_ROT_R12,-0.416099,-0.052994,0.363105,-0.9607565,0.49166350000000003,255,5.482691894216297
SLAVE_RIGHT_ROT_R13,-0.729711,-0.30082149999999996,0.42888950000000003,-1.37304525,0.34251275000000014,0,0.0
SLAVE_RIGHT_ROT_R21,0.1851525,0.4768255,0.291673,-0.252357,0.914335,256,5.504192646742636
SLAVE_RIGHT_ROT_R22,0.755485,0.904991,0.14950600000000003,0.531226,1.12925,195,4.192646742635993
SLAVE_RIGHT_ROT_R23,0.014048,0.468451,0.454403,-0.6675565,1.1500555,0,0.0
SLAVE_RIGHT_ROT_R31,0.159175,0.6505164999999999,0.49134149999999993,-0.57783725,1.38752875,0,0.0
SLAVE_RIGHT_ROT_R32,-0.4845505,-0.292705,0.1918455,-0.7723187499999999,-0.00493674999999999,224,4.816168565899806
SLAVE_RIGHT_ROT_R33,0.5966515,0.848956,0.25230450000000004,0.21819474999999994,1.22741275,380,8.1702859600086
SLAVE_RIGHT_LIN_VEL_X,-0.0002475,0.00028700000000000004,0.0005345,-0.00104925,0.00108875,1828,39.30337561814664
SLAVE_RIGHT_LIN_VEL_Y,-0.0010479999999999999,0.0014775,0.0025255,-0.00483625,0.00526575,1031,22.167275854654914
SLAVE_RIGHT_LIN_VEL_Z,-0.0010705,0.001315,0.0023855,-0.00464875,0.00489325,1305,28.058482046871642
SLAVE_RIGHT_ROT_VEL_X,-0.0021065,0.00342,0.0055265,-0.01039625,0.01170975,1830,39.34637712319931
SLAVE_RIGHT_ROT_VEL_Y,-0.015523499999999999,0.014599500000000001,0.030123,-0.060708,0.059784000000000004,1471,31.62760696624382
SLAVE_RIGHT_ROT_VEL_Z,-0.0206695,0.029331,0.0500005,-0.09567025000000001,0.10433175,1312,28.208987314556012
SLAVE_RIGHT_GRIPPER_ANGLE,-1.020912,0.1751105,1.1960225,-2.81494575,1.96914425,0,0.0
