Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.112736,0.17765675,0.06492075,0.015354875000000004,0.275037875,0,0.0
MASTER_LEFT_POS_Y,-0.02066525,-0.005182,0.01548325,-0.043890125,0.018042875,418,10.994213571804314
MASTER_LEFT_POS_Z,0.287992,0.31960974999999997,0.031617749999999945,0.2405653750000001,0.36703637499999986,0,0.0
MASTER_LEFT_ROT_R11,-0.64573775,-0.27262325,0.3731145,-1.2054095,0.28704850000000004,180,4.734350341925302
MASTER_LEFT_ROT_R12,-0.6863485,-0.074825,0.6115235,-1.60363375,0.8424602499999999,0,0.0
MASTER_LEFT_ROT_R13,-0.79765625,-0.46548975,0.3321665,-1.295906,0.032759999999999956,159,4.1820094687006835
MASTER_LEFT_ROT_R21,-0.07381525,0.3671965,0.44101175,-0.735332875,1.028714125,116,3.051025775907417
MASTER_LEFT_ROT_R22,-0.8556695,-0.6585162499999999,0.19715325000000006,-1.151399375,-0.3627863749999998,463,12.17780115728564
MASTER_LEFT_ROT_R23,0.21887574999999998,0.68923575,0.47036000000000006,-0.4866642500000001,1.39477575,0,0.0
MASTER_LEFT_ROT_R31,-0.8702529999999999,-0.610823,0.25942999999999994,-1.2593979999999998,-0.2216780000000001,39,1.0257759074171489
MASTER_LEFT_ROT_R32,-0.181387,0.34155625,0.52294325,-0.9658018749999999,1.125971125,0,0.0
MASTER_LEFT_ROT_R33,0.34509625,0.67916175,0.3340655,-0.15600200000000009,1.18026,218,5.733824302998422
MASTER_LEFT_LIN_VEL_X,-0.00020975,0.0006954999999999999,0.0009052499999999999,-0.001567625,0.0020533749999999996,1338,35.19200420831142
MASTER_LEFT_LIN_VEL_Y,-0.001649,0.002768,0.004417,-0.008274499999999999,0.009393499999999999,955,25.118358758548133
MASTER_LEFT_LIN_VEL_Z,-0.00131375,0.004030000000000001,0.00534375,-0.009329375,0.012045625,776,20.41031036296686
MASTER_LEFT_ROT_VEL_X,-0.00388275,0.00719525,0.011078000000000001,-0.02049975,0.02381225,1654,43.503419253024724
MASTER_LEFT_ROT_VEL_Y,-0.018242,0.018431999999999997,0.036674,-0.073253,0.073443,1469,38.637559179379274
MASTER_LEFT_ROT_VEL_Z,-0.020882500000000002,0.032499,0.0533815,-0.10095475,0.11257125,1260,33.14045239347712
MASTER_LEFT_GRIPPER_ANGLE,-1.908404,0.46562475,2.37402875,-5.469447125,4.026667875,0,0.0
MASTER_RIGHT_POS_X,-0.18750725,-0.124694,0.06281324999999999,-0.28172712499999997,-0.03047412500000002,0,0.0
MASTER_RIGHT_POS_Y,0.00986225,0.029457999999999998,0.01959575,-0.019531375,0.058851625,149,3.9189900052603894
MASTER_RIGHT_POS_Z,0.28593275,0.31470825,0.02877550000000001,0.2427695,0.3578715,0,0.0
MASTER_RIGHT_ROT_R11,-0.93187525,-0.47065075,0.46122450000000004,-1.623712,0.221186,60,1.5781167806417675
MASTER_RIGHT_ROT_R12,-0.38448499999999997,0.101032,0.485517,-1.1127604999999998,0.8293075,0,0.0
MASTER_RIGHT_ROT_R13,0.26234,0.7083385,0.44599849999999996,-0.40665774999999993,1.37733625,0,0.0
MASTER_RIGHT_ROT_R21,-0.43711374999999997,0.097826,0.5349397499999999,-1.2395233749999999,0.9002356249999999,99,2.6038926880589166
MASTER_RIGHT_ROT_R22,-0.83047125,-0.4810175,0.34945375,-1.354651875,0.04316312500000008,104,2.7354024197790636
MASTER_RIGHT_ROT_R23,-0.75311075,-0.29130025,0.46181050000000007,-1.4458265000000001,0.4014155000000001,10,0.2630194634402946
MASTER_RIGHT_ROT_R31,0.14379950000000002,0.676026,0.5322264999999999,-0.6545402499999999,1.47436575,0,0.0
MASTER_RIGHT_ROT_R32,-0.8263235,-0.2572525,0.569071,-1.67993,0.5963539999999999,35,0.920568122041031
MASTER_RIGHT_ROT_R33,0.3164705,0.7048945,0.388424,-0.26616549999999994,1.2875305,82,2.1567596002104157
MASTER_RIGHT_LIN_VEL_X,-0.000277,0.0013455000000000001,0.0016225000000000002,-0.00271075,0.0037792500000000005,1268,33.35086796422935
MASTER_RIGHT_LIN_VEL_Y,-0.00308225,0.00382775,0.0069099999999999995,-0.01344725,0.014192749999999999,604,15.886375591793792
MASTER_RIGHT_LIN_VEL_Z,-0.00354075,0.00377275,0.0073135000000000006,-0.014511000000000001,0.014743000000000001,657,17.280378748027353
MASTER_RIGHT_ROT_VEL_X,-0.02142825,0.004017,0.02544525,-0.059596125,0.042184875,922,24.25039452919516
MASTER_RIGHT_ROT_VEL_Y,-0.025798250000000002,0.015988,0.04178625,-0.088477625,0.078667375,1326,34.87638085218306
MASTER_RIGHT_ROT_VEL_Z,-0.02919,0.029245,0.058435,-0.11684249999999999,0.11689749999999999,1135,29.852709100473433
MASTER_RIGHT_GRIPPER_ANGLE,-1.40110775,0.17658174999999998,1.5776895,-3.767642,2.543116,0,0.0
SLAVE_LEFT_POS_X,0.03053025,0.061946749999999995,0.0314165,-0.0165945,0.10907149999999999,0,0.0
SLAVE_LEFT_POS_Y,0.05731075,0.067116,0.009805249999999995,0.04260287500000001,0.08182387499999999,149,3.9189900052603894
SLAVE_LEFT_POS_Z,-0.0192615,-0.00487925,0.014382250000000001,-0.04083487500000001,0.016694125000000004,0,0.0
SLAVE_LEFT_ROT_R11,0.4510435,0.91746525,0.46642175,-0.24858912500000002,1.617097875,36,0.9468700683850605
SLAVE_LEFT_ROT_R12,-0.12118825,0.34299375,0.464182,-0.8174612499999999,1.03926675,0,0.0
SLAVE_LEFT_ROT_R13,0.283639,0.72748475,0.44384575000000004,-0.38212962500000014,1.393253375,0,0.0
SLAVE_LEFT_ROT_R21,-0.09578249999999999,0.447602,0.5433844999999999,-0.9108592499999999,1.2626787499999998,90,2.367175170962651
SLAVE_LEFT_ROT_R22,0.522036,0.8525225,0.3304865,0.02630624999999992,1.34825225,111,2.91951604418727
SLAVE_LEFT_ROT_R23,-0.7231875000000001,-0.245601,0.4775865000000001,-1.43956725,0.4707787500000001,0,0.0
SLAVE_LEFT_ROT_R31,-0.6848085,-0.17620850000000002,0.5086,-1.4477085,0.5866915000000001,0,0.0
SLAVE_LEFT_ROT_R32,0.22141375000000002,0.77408475,0.5526709999999999,-0.6075927499999998,1.6030912499999999,40,1.0520778537611783
SLAVE_LEFT_ROT_R33,0.34470475,0.711855,0.36715025,-0.20602062500000007,1.2625803750000002,87,2.288269331930563
SLAVE_LEFT_LIN_VEL_X,-0.00012675,0.00065125,0.000778,-0.00129375,0.00181825,1275,33.53498158863756
SLAVE_LEFT_LIN_VEL_Y,-0.001654,0.0019345,0.0035885,-0.0070367500000000005,0.007317250000000001,612,16.09679116254603
SLAVE_LEFT_LIN_VEL_Z,-0.0017540000000000001,0.0018965,0.0036505,-0.00722975,0.0073722499999999995,653,17.175170962651237
SLAVE_LEFT_ROT_VEL_X,-0.02141025,0.00679875,0.028208999999999998,-0.06372375,0.049112249999999996,969,25.486586007364544
SLAVE_LEFT_ROT_VEL_Y,-0.018126,0.01766575,0.03579175,-0.07181362499999999,0.071353375,1308,34.402945817990535
SLAVE_LEFT_ROT_VEL_Z,-0.02902925,0.0222585,0.05128775,-0.10596087500000001,0.099190125,1135,29.852709100473433
SLAVE_LEFT_GRIPPER_ANGLE,-0.9749695,0.0507405,1.0257100000000001,-2.5135345000000004,1.5893055000000003,0,0.0
SLAVE_RIGHT_POS_X,0.05714125,0.089601,0.03245975,0.008451624999999997,0.138290625,0,0.0
SLAVE_RIGHT_POS_Y,0.037695,0.04544075,0.007745750000000003,0.026076374999999995,0.05705937500000001,418,10.994213571804314
SLAVE_RIGHT_POS_Z,-0.066346,-0.050542000000000004,0.015804,-0.090052,-0.026836000000000006,0,0.0
SLAVE_RIGHT_ROT_R11,0.267722,0.6472027499999999,0.3794807499999999,-0.30149912499999987,1.2164238749999998,174,4.576538663861126
SLAVE_RIGHT_ROT_R12,0.0655915,0.6873635,0.621772,-0.8670665,1.6200215,0,0.0
SLAVE_RIGHT_ROT_R13,-0.79622125,-0.469201,0.32702025,-1.286751625,0.02132937500000004,164,4.313519200420831
SLAVE_RIGHT_ROT_R21,-0.37529025,0.06484925,0.4401395,-1.0354995,0.7250585,116,3.051025775907417
SLAVE_RIGHT_ROT_R22,0.66045975,0.8573040000000001,0.19684425000000005,0.36519337499999993,1.1525703750000003,463,12.17780115728564
SLAVE_RIGHT_ROT_R23,0.21275275,0.68348725,0.4707345,-0.493349,1.389589,0,0.0
SLAVE_RIGHT_ROT_R31,0.6107175,0.86968475,0.25896725,0.22226662500000005,1.258135625,33,0.8679642293529721
SLAVE_RIGHT_ROT_R32,-0.32987,0.19295125,0.52282125,-1.114101875,0.977183125,0,0.0
SLAVE_RIGHT_ROT_R33,0.34697374999999997,0.6828415,0.33586775,-0.15682787500000006,1.186643125,226,5.944239873750658
SLAVE_RIGHT_LIN_VEL_X,-0.000104,0.00035475000000000003,0.00045875,-0.0007921250000000001,0.001042875,1334,35.08679642293529
SLAVE_RIGHT_LIN_VEL_Y,-0.00076475,0.0014252499999999999,0.00219,-0.00404975,0.00471025,944,24.82903734876381
SLAVE_RIGHT_LIN_VEL_Z,-0.0006545,0.001982,0.0026365,-0.00460925,0.005936749999999999,795,20.910047343503418
SLAVE_RIGHT_ROT_VEL_X,-0.00793425,0.006199,0.01413325,-0.029134125,0.027398875,1563,41.10994213571804
SLAVE_RIGHT_ROT_VEL_Y,-0.01950275,0.016105750000000002,0.0356085,-0.0729155,0.06951850000000001,1461,38.42714360862704
SLAVE_RIGHT_ROT_VEL_Z,-0.022990249999999997,0.031081750000000002,0.054071999999999995,-0.10409824999999998,0.11218974999999999,1276,33.56128353498159
