Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.0490225,0.11607200000000001,0.06704950000000001,-0.05155175000000002,0.21664625000000004,0,0.0
MASTER_LEFT_POS_Y,0.0425875,0.0535245,0.010937000000000002,0.026181999999999997,0.06993,385,20.577231427044364
MASTER_LEFT_POS_Z,0.36911950000000004,0.400517,0.03139749999999997,0.3220232500000001,0.44761324999999996,0,0.0
MASTER_LEFT_ROT_R11,-0.7346064999999999,-0.421652,0.3129544999999999,-1.2040382499999998,0.04777974999999984,30,1.6034206306787813
MASTER_LEFT_ROT_R12,-0.3817835,0.3180095,0.699793,-1.431473,1.367699,0,0.0
MASTER_LEFT_ROT_R13,-0.779748,-0.576063,0.203685,-1.0852755,-0.2705355,0,0.0
MASTER_LEFT_ROT_R21,-0.5374975,0.3524335,0.889931,-1.8723940000000001,1.6873300000000002,0,0.0
MASTER_LEFT_ROT_R22,-0.911192,-0.7247965000000001,0.18639549999999994,-1.1907852499999998,-0.44520325000000016,55,2.939604489577766
MASTER_LEFT_ROT_R23,0.163893,0.30973700000000004,0.14584400000000003,-0.05487300000000003,0.5285030000000001,138,7.375734901122394
MASTER_LEFT_ROT_R31,-0.751708,-0.4290715,0.32263650000000005,-1.2356627500000001,0.054883250000000106,37,1.977552111170497
MASTER_LEFT_ROT_R32,-0.1101665,0.498333,0.6084995,-1.02291575,1.41108225,0,0.0
MASTER_LEFT_ROT_R33,0.5474435,0.7774435,0.22999999999999998,0.2024435,1.1224435,77,4.115446285408872
MASTER_LEFT_LIN_VEL_X,-0.0077225,0.006458,0.0141805,-0.02899325,0.027728750000000003,258,13.789417423837518
MASTER_LEFT_LIN_VEL_Y,-0.004026,0.0062889999999999995,0.010315,-0.019498500000000002,0.0217615,270,14.430785676109032
MASTER_LEFT_LIN_VEL_Z,-0.0042214999999999996,0.007975,0.012196499999999999,-0.022516249999999998,0.026269749999999998,361,19.294494922501336
MASTER_LEFT_ROT_VEL_X,-0.0346415,0.033035999999999996,0.0676775,-0.13615775,0.13455224999999998,558,29.823623730625332
MASTER_LEFT_ROT_VEL_Y,-0.060950000000000004,0.0375065,0.0984565,-0.20863475,0.18519125,606,32.389096739711384
MASTER_LEFT_ROT_VEL_Z,-0.030988,0.097769,0.128757,-0.22412350000000003,0.2909045,487,26.02886157135222
MASTER_LEFT_GRIPPER_ANGLE,-1.1471244999999999,0.27198100000000003,1.4191055,-3.27578275,2.4006392500000002,0,0.0
MASTER_RIGHT_POS_X,-0.120903,-0.073738,0.047165,-0.1916505,-0.002990500000000007,0,0.0
MASTER_RIGHT_POS_Y,0.06539600000000001,0.07957800000000001,0.014182,0.04412300000000001,0.10085100000000001,101,5.398182789951898
MASTER_RIGHT_POS_Z,0.3280135,0.36038800000000004,0.03237450000000003,0.27945175,0.4089497500000001,0,0.0
MASTER_RIGHT_ROT_R11,0.7230844999999999,0.9093015,0.18621700000000008,0.4437589999999998,1.188627,82,4.38268305718867
MASTER_RIGHT_ROT_R12,-0.372811,0.054131,0.426942,-1.0132240000000001,0.694544,0,0.0
MASTER_RIGHT_ROT_R13,0.200534,0.597952,0.39741800000000005,-0.3955930000000001,1.1940790000000001,146,7.803313735970069
MASTER_RIGHT_ROT_R21,-0.3167815,0.210394,0.5271755,-1.10754475,1.00115725,0,0.0
MASTER_RIGHT_ROT_R22,0.808503,0.900906,0.09240300000000001,0.6698985,1.0395105,95,5.077498663816141
