Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.0595305,0.11948349999999999,0.05995299999999999,-0.030398999999999995,0.209413,0,0.0
MASTER_LEFT_POS_Y,0.032239000000000004,0.047254000000000004,0.015015,0.009716500000000003,0.0697765,0,0.0
MASTER_LEFT_POS_Z,0.3571025,0.400288,0.04318549999999999,0.29232425,0.46506624999999996,0,0.0
MASTER_LEFT_ROT_R11,-0.4916455,0.086872,0.5785175,-1.35942175,0.95464825,0,0.0
MASTER_LEFT_ROT_R12,-0.3402085,0.1937775,0.5339860000000001,-1.1411875,0.9947565,0,0.0
MASTER_LEFT_ROT_R13,-0.927172,-0.7648714999999999,0.16230050000000007,-1.1706227500000002,-0.5214207499999999,269,6.137348847821127
MASTER_LEFT_ROT_R21,-0.301304,0.25684799999999997,0.558152,-1.138532,1.0940759999999998,0,0.0
MASTER_LEFT_ROT_R22,-0.951178,-0.771747,0.179431,-1.2203245,-0.5026005,261,5.95482546201232
MASTER_LEFT_ROT_R23,-0.065748,0.3322015,0.39794949999999996,-0.66267225,0.9291257499999999,49,1.1179557380789413
MASTER_LEFT_ROT_R31,-0.93162,-0.7300935,0.20152650000000005,-1.23390975,-0.42780374999999987,357,8.145106091718002
MASTER_LEFT_ROT_R32,-0.23854,0.2924725,0.5310125,-1.03505875,1.0889912499999999,0,0.0
MASTER_LEFT_ROT_R33,0.0050595,0.49116899999999997,0.48610949999999997,-0.72410475,1.22033325,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.0013805,0.0009935,0.0023740000000000002,-0.004941500000000001,0.0045545,1530,34.90759753593429
MASTER_LEFT_LIN_VEL_Y,-0.003134,0.0026615,0.0057955,-0.01182725,0.01135475,720,16.427104722792606
MASTER_LEFT_LIN_VEL_Z,-0.0021644999999999998,0.0020105,0.004175,-0.008427,0.008272999999999999,1299,29.637234770704996
MASTER_LEFT_ROT_VEL_X,-0.0092695,0.010354,0.019623500000000002,-0.03870475,0.039789250000000005,1497,34.15468856947296
MASTER_LEFT_ROT_VEL_Y,-0.014715,0.036711499999999994,0.05142649999999999,-0.09185475,0.11385124999999999,1500,34.223134839151264
MASTER_LEFT_ROT_VEL_Z,-0.0300245,0.026303,0.0563275,-0.11451575,0.11079425000000001,1395,31.82751540041068
MASTER_LEFT_GRIPPER_ANGLE,-1.9148105000000002,0.4425675,2.357378,-5.450877500000001,3.9786345,0,0.0
MASTER_RIGHT_POS_X,-0.1146555,-0.06826399999999999,0.0463915,-0.18424275,0.001323250000000012,62,1.4145562400182523
MASTER_RIGHT_POS_Y,0.065692,0.0783755,0.0126835,0.04666675,0.09740075000000001,72,1.642710472279261
MASTER_RIGHT_POS_Z,0.3247165,0.3615875,0.03687099999999999,0.26941000000000004,0.416894,0,0.0
MASTER_RIGHT_ROT_R11,0.1648635,0.5429985,0.37813500000000005,-0.40233900000000006,1.110201,180,4.1067761806981515
MASTER_RIGHT_ROT_R12,0.2790665,0.6728065000000001,0.3937400000000001,-0.3115435000000001,1.2634165000000002,30,0.6844626967830253
MASTER_RIGHT_ROT_R13,0.6022305,0.796373,0.1941425,0.31101675,1.08758675,30,0.6844626967830253
MASTER_RIGHT_ROT_R21,-0.8904380000000001,-0.69188,0.198558,-1.188275,-0.39404300000000003,587,13.392653433721197
MASTER_RIGHT_ROT_R22,0.30713900000000005,0.680219,0.37307999999999997,-0.25248099999999996,1.239839,30,0.6844626967830253
MASTER_RIGHT_ROT_R23,0.14654250000000002,0.321189,0.17464649999999998,-0.11542724999999998,0.58315875,426,9.71937029431896
MASTER_RIGHT_ROT_R31,-0.39941150000000003,-0.06700700000000001,0.3324045,-0.89801825,0.43159974999999995,781,17.81884553958476
MASTER_RIGHT_ROT_R32,-0.702909,-0.5396885,0.1632205,-0.94773975,-0.29485775000000003,298,6.7989961213780505
MASTER_RIGHT_ROT_R33,0.4283125,0.750529,0.3222165,-0.05501225000000004,1.23385375,86,1.9621263974446725
MASTER_RIGHT_LIN_VEL_X,-0.001123,0.0017555000000000001,0.0028785,-0.00544075,0.0060732500000000005,1658,37.827971708875204
MASTER_RIGHT_LIN_VEL_Y,-0.0026485,0.0023994999999999997,0.0050479999999999995,-0.010220499999999999,0.009971499999999998,852,19.43874058863792
MASTER_RIGHT_LIN_VEL_Z,-0.001225,0.0022069999999999998,0.0034319999999999997,-0.006373,0.0073549999999999996,1402,31.987223362993383
MASTER_RIGHT_ROT_VEL_X,-0.0211285,0.011378,0.0325065,-0.06988825000000001,0.060137750000000004,1243,28.359571070043348
MASTER_RIGHT_ROT_VEL_Y,-0.0180575,0.015435,0.0334925,-0.06829625,0.06567375,1585,36.162445813369835
MASTER_RIGHT_ROT_VEL_Z,-0.029245,0.0292165,0.0584615,-0.11693724999999999,0.11690875,1254,28.61054072553046
MASTER_RIGHT_GRIPPER_ANGLE,-1.2910795,0.21834399999999998,1.5094235,-3.5552147499999998,2.48247925,0,0.0
SLAVE_LEFT_POS_X,0.0319655,0.055161,0.0231955,-0.002827749999999997,0.08995425,62,1.4145562400182523
SLAVE_LEFT_POS_Y,0.0501685,0.056514999999999996,0.006346499999999998,0.04064875,0.06603474999999999,72,1.642710472279261
SLAVE_LEFT_POS_Z,-0.021832999999999998,-0.0034029999999999998,0.01843,-0.049477999999999994,0.024241999999999996,0,0.0
SLAVE_LEFT_ROT_R11,-0.409543,-0.025954,0.383589,-0.9849265,0.5494295,162,3.696098562628337
SLAVE_LEFT_ROT_R12,-0.751746,-0.40112800000000004,0.350618,-1.277673,0.124799,222,5.065023956194388
SLAVE_LEFT_ROT_R13,0.567455,0.8170195,0.24956449999999997,0.1931082500000001,1.19136625,0,0.0
SLAVE_LEFT_ROT_R21,0.757921,0.9398154999999999,0.18189449999999996,0.48507925,1.21265725,646,14.738763404061144
SLAVE_LEFT_ROT_R22,-0.6238805000000001,-0.222886,0.40099450000000003,-1.2253722500000002,0.3786057500000001,30,0.6844626967830253
SLAVE_LEFT_ROT_R23,0.009721500000000001,0.18748700000000001,0.17776550000000002,-0.25692675000000004,0.45413525000000005,476,10.860141455624001
SLAVE_LEFT_ROT_R31,0.098057,0.4123035,0.3142465,-0.37331274999999997,0.88367325,585,13.347022587268995
SLAVE_LEFT_ROT_R32,0.497208,0.658712,0.16150399999999998,0.254952,0.900968,161,3.6732831394022356
SLAVE_LEFT_ROT_R33,0.4676315,0.7998015,0.3321700000000001,-0.030623500000000137,1.2980565000000002,138,3.1485284052019162
SLAVE_LEFT_LIN_VEL_X,-0.0005269999999999999,0.0009235000000000001,0.0014505,-0.0027027499999999994,0.0030992499999999996,1691,38.58088067533652
SLAVE_LEFT_LIN_VEL_Y,-0.0013645,0.0012455,0.0026100000000000003,-0.0052795,0.0051605,801,18.275154004106774
SLAVE_LEFT_LIN_VEL_Z,-0.0006385,0.001145,0.0017835,-0.00331375,0.00382025,1329,30.321697467488022
SLAVE_LEFT_ROT_VEL_X,-0.022795000000000003,0.0114135,0.0342085,-0.07410775,0.06272625000000001,1193,27.218799908738305
SLAVE_LEFT_ROT_VEL_Y,-0.0190995,0.015182500000000002,0.034282,-0.07052249999999999,0.0666055,1487,33.926534337211955
SLAVE_LEFT_ROT_VEL_Z,-0.025798,0.0271995,0.0529975,-0.10529425,0.10669575,1309,29.865389002966005
SLAVE_LEFT_GRIPPER_ANGLE,-0.8045755,0.1136075,0.918183,-2.18185,1.490882,0,0.0
SLAVE_RIGHT_POS_X,0.0680965,0.098045,0.02994849999999999,0.02317375000000002,0.14296774999999998,0,0.0
SLAVE_RIGHT_POS_Y,0.038089,0.045589500000000005,0.007500500000000007,0.026838249999999987,0.056840250000000016,0,0.0
SLAVE_RIGHT_POS_Z,-0.0643825,-0.042791499999999996,0.021591,-0.096769,-0.010404999999999998,0,0.0
SLAVE_RIGHT_ROT_R11,-0.457967,0.064303,0.52227,-1.2413720000000001,0.847708,0,0.0
SLAVE_RIGHT_ROT_R12,-0.3428555,0.2580925,0.600948,-1.2442775,1.1595145,0,0.0
SLAVE_RIGHT_ROT_R13,-0.928426,-0.7737585,0.15466749999999996,-1.16042725,-0.5417572500000001,317,7.232489162673968
SLAVE_RIGHT_ROT_R21,-0.413607,0.133453,0.54706,-1.234197,0.954043,0,0.0
