Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.053794,0.111892,0.058098000000000004,-0.033353,0.19903900000000002,0,0.0
MASTER_LEFT_POS_Y,0.026255,0.042485,0.01623,0.0019099999999999985,0.06683,0,0.0
MASTER_LEFT_POS_Z,0.375156,0.400554,0.02539800000000003,0.33705899999999994,0.43865100000000007,0,0.0
MASTER_LEFT_ROT_R11,-0.715911,-0.114524,0.601387,-1.6179915,0.7875565000000001,0,0.0
MASTER_LEFT_ROT_R12,0.17421,0.87944,0.70523,-0.883635,1.937285,0,0.0
MASTER_LEFT_ROT_R13,-0.755757,-0.24747,0.508287,-1.5181875,0.5149605,0,0.0
MASTER_LEFT_ROT_R21,-0.919197,-0.279006,0.6401910000000001,-1.8794835,0.6812805000000001,303,8.294552422666301
MASTER_LEFT_ROT_R22,-0.888937,-0.313781,0.575156,-1.751671,0.548953,0,0.0
MASTER_LEFT_ROT_R23,-0.079671,0.152162,0.231833,-0.42742050000000004,0.49991150000000006,20,0.5474952094169175
MASTER_LEFT_ROT_R31,-0.564725,-0.077891,0.48683400000000004,-1.2949760000000001,0.65236,0,0.0
MASTER_LEFT_ROT_R32,0.111819,0.422791,0.31097199999999997,-0.3546389999999999,0.889249,377,10.320284697508896
MASTER_LEFT_ROT_R33,0.634186,0.941969,0.3077829999999999,0.17251150000000015,1.4036434999999998,11,0.3011223651793047
MASTER_LEFT_LIN_VEL_X,-0.002319,0.001545,0.003864,-0.008115,0.007341,1399,38.29728989871339
MASTER_LEFT_LIN_VEL_Y,-0.003791,0.00353,0.007321,-0.014772500000000001,0.0145115,563,15.411990145086229
MASTER_LEFT_LIN_VEL_Z,-0.002864,0.003073,0.005937,-0.0117695,0.0119785,943,25.814399124007664
MASTER_LEFT_ROT_VEL_X,-0.024176,0.026312,0.050488,-0.099908,0.102044,999,27.347385710375033
MASTER_LEFT_ROT_VEL_Y,-0.026499,0.020668,0.047167,-0.09724949999999999,0.09141849999999999,1251,34.245825349028195
MASTER_LEFT_ROT_VEL_Z,-0.029553,0.037179,0.066732,-0.129651,0.13727699999999998,1162,31.809471667122914
MASTER_LEFT_GRIPPER_ANGLE,-1.624927,0.249467,1.8743940000000001,-4.4365179999999995,3.061058,0,0.0
MASTER_RIGHT_POS_X,-0.12198,-0.055661,0.066319,-0.2214585,0.043817499999999995,0,0.0
MASTER_RIGHT_POS_Y,0.066554,0.077952,0.011397999999999991,0.049457000000000015,0.09504899999999998,379,10.375034218450589
MASTER_RIGHT_POS_Z,0.33608,0.363285,0.027205000000000035,0.29527249999999994,0.4040925000000001,6,0.16424856282507527
