Variable,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percent
MASTER_LEFT_POS_X,0.085505,0.12567,0.040165000000000006,0.02525749999999999,0.1859175,393,8.254568367989918
MASTER_LEFT_POS_Y,0.018865,0.033185,0.01432,-0.0026149999999999993,0.054665,135,2.835538752362949
MASTER_LEFT_POS_Z,0.352098,0.392666,0.04056799999999999,0.291246,0.453518,0,0.0
MASTER_LEFT_ROT_R11,-0.542313,-0.01102,0.531293,-1.3392525000000002,0.7859195,0,0.0
MASTER_LEFT_ROT_R12,-0.341097,0.321591,0.6626879999999999,-1.3351289999999998,1.315623,0,0.0
MASTER_LEFT_ROT_R13,-0.921914,-0.643582,0.278332,-1.339412,-0.22608399999999995,92,1.932367149758454
MASTER_LEFT_ROT_R21,-0.542595,-0.095164,0.447431,-1.2137415000000003,0.5759825000000001,0,0.0
MASTER_LEFT_ROT_R22,-0.890395,-0.515612,0.3747830000000001,-1.4525695,0.04656250000000017,29,0.609115731989078
MASTER_LEFT_ROT_R23,-0.083635,0.416941,0.500576,-0.834499,1.167805,121,2.541482881747532
MASTER_LEFT_ROT_R31,-0.92021,-0.520864,0.399346,-1.519229,0.07815499999999997,0,0.0
MASTER_LEFT_ROT_R32,-0.038091,0.501955,0.540046,-0.84816,1.312024,15,0.315059861373661
MASTER_LEFT_ROT_R33,0.040782,0.674332,0.6335500000000001,-0.9095430000000001,1.624657,0,0.0
MASTER_LEFT_LIN_VEL_X,-0.001467,0.001648,0.0031149999999999997,-0.006139499999999999,0.0063205,1816,38.143247216971226
MASTER_LEFT_LIN_VEL_Y,-0.004147,0.004008,0.008154999999999999,-0.016379499999999998,0.016240499999999998,795,16.698172652804033
MASTER_LEFT_LIN_VEL_Z,-0.00357,0.00283,0.0063999999999999994,-0.01317,0.01243,1035,21.73913043478261
MASTER_LEFT_ROT_VEL_X,-0.012303,0.019457,0.03176,-0.059942999999999996,0.06709699999999999,1395,29.300567107750474
MASTER_LEFT_ROT_VEL_Y,-0.019728,0.02441,0.044138,-0.08593499999999998,0.09061699999999999,1660,34.866624658685154
MASTER_LEFT_ROT_VEL_Z,-0.025759,0.048051,0.07381,-0.136474,0.15876600000000002,1425,29.930686830497795
MASTER_LEFT_GRIPPER_ANGLE,-1.914418,0.196217,2.110635,-5.080370499999999,3.3621694999999994,0,0.0
MASTER_RIGHT_POS_X,-0.195613,-0.148289,0.047324000000000005,-0.26659900000000003,-0.077303,0,0.0
MASTER_RIGHT_POS_Y,0.041377,0.056326,0.014949000000000004,0.01895349999999999,0.0787495,37,0.7771476580550304
MASTER_RIGHT_POS_Z,0.317639,0.352317,0.03467799999999999,0.265622,0.40433399999999997,23,0.4830917874396135
MASTER_RIGHT_ROT_R11,0.372468,0.738998,0.36653,-0.177327,1.288793,111,2.3314429741650917
MASTER_RIGHT_ROT_R12,-0.36795,0.333581,0.701531,-1.4202465,1.3858774999999999,0,0.0
MASTER_RIGHT_ROT_R13,0.408203,0.807233,0.39903,-0.190342,1.405778,0,0.0
MASTER_RIGHT_ROT_R21,-0.865465,-0.015954,0.849511,-2.1397315,1.2583125,0,0.0
MASTER_RIGHT_ROT_R22,0.199445,0.770535,0.57109,-0.65719,1.62717,0,0.0
MASTER_RIGHT_ROT_R23,0.29465,0.51192,0.21727000000000002,-0.03125499999999998,0.837825,565,11.867254778407897
MASTER_RIGHT_ROT_R31,-0.566848,-0.054898,0.51195,-1.334773,0.713027,0,0.0
MASTER_RIGHT_ROT_R32,-0.877926,-0.18349,0.694436,-1.91958,0.8581640000000001,0,0.0
MASTER_RIGHT_ROT_R33,0.269508,0.730515,0.461007,-0.4220025,1.4220255000000002,0,0.0
MASTER_RIGHT_LIN_VEL_X,-0.00107,0.001277,0.002347,-0.0045905,0.0047975,1909,40.09661835748793
MASTER_RIGHT_LIN_VEL_Y,-0.004397,0.004786,0.009183,-0.0181715,0.0185605,578,12.140306658265072
MASTER_RIGHT_LIN_VEL_Z,-0.003262,0.005321,0.008583,-0.0161365,0.0181955,795,16.698172652804033
MASTER_RIGHT_ROT_VEL_X,-0.03262,0.015981,0.048601000000000005,-0.10552150000000002,0.0888825,1240,26.04494854022264
MASTER_RIGHT_ROT_VEL_Y,-0.022784,0.027638,0.050421999999999995,-0.09841699999999999,0.10327099999999999,1579,33.165301407267386
MASTER_RIGHT_ROT_VEL_Z,-0.036537,0.029662,0.06619900000000001,-0.1358355,0.1289605,1471,30.89687040537702
MASTER_RIGHT_GRIPPER_ANGLE,-1.407406,0.380446,1.787852,-4.0891839999999995,3.062224,0,0.0
SLAVE_LEFT_POS_X,0.021521,0.045175,0.023654,-0.01396,0.080656,0,0.0
SLAVE_LEFT_POS_Y,0.043088,0.05056,0.0074719999999999995,0.031880000000000006,0.061768,37,0.7771476580550304
SLAVE_LEFT_POS_Z,-0.018367,-0.001031,0.017336,-0.044371,0.024973,23,0.4830917874396135
SLAVE_LEFT_ROT_R11,-0.705159,-0.296143,0.409016,-1.318683,0.31738099999999997,41,0.8611636210880067
SLAVE_LEFT_ROT_R12,-0.264152,0.464508,0.72866,-1.3571419999999998,1.5574979999999998,0,0.0
SLAVE_LEFT_ROT_R13,0.448165,0.835051,0.386886,-0.132164,1.4153799999999999,0,0.0
SLAVE_LEFT_ROT_R21,-0.048029,0.850949,0.8989779999999999,-1.396496,2.199416,0,0.0
SLAVE_LEFT_ROT_R22,-0.799653,-0.289329,0.510324,-1.5651389999999998,0.476157,0,0.0
SLAVE_LEFT_ROT_R23,0.269243,0.49477,0.22552699999999998,-0.06904749999999993,0.8330605,558,11.720226843100189
SLAVE_LEFT_ROT_R31,0.160006,0.649675,0.489669,-0.5744975,1.3841785,0,0.0
SLAVE_LEFT_ROT_R32,0.146843,0.8615,0.7146570000000001,-0.9251425000000002,1.9334855000000002,0,0.0
SLAVE_LEFT_ROT_R33,0.258056,0.706303,0.448247,-0.4143145,1.3786735,0,0.0
SLAVE_LEFT_LIN_VEL_X,-0.000579,0.000584,0.001163,-0.0023235,0.0023285,1919,40.30665826507036
SLAVE_LEFT_LIN_VEL_Y,-0.002265,0.002404,0.0046689999999999995,-0.009268499999999999,0.0094075,576,12.098298676748582
SLAVE_LEFT_LIN_VEL_Z,-0.001598,0.002784,0.0043820000000000005,-0.008171000000000001,0.009357,779,16.36210880067213
SLAVE_LEFT_ROT_VEL_X,-0.033323,0.014186,0.047508999999999996,-0.1045865,0.0854495,1270,26.675068262969965
SLAVE_LEFT_ROT_VEL_Y,-0.021579,0.023286,0.044865,-0.08887650000000001,0.09058350000000001,1631,34.257508926696076
