Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3438.0,0.06609372978475857,0.049073940066569455,-0.015978,0.02351375,0.046276,0.11338975,0.148916
MASTER_LEFT_POS_Y,3438.0,-0.0005627585805700987,0.012945758425590185,-0.033766,-0.0066245,-0.0037545,0.01017325,0.030114
MASTER_LEFT_POS_Z,3438.0,0.3648527463641652,0.0220145892210919,0.329859,0.35137875,0.35748199999999997,0.37428799999999995,0.42962
MASTER_LEFT_ROT_R11,3438.0,0.5092053638743456,0.26367302195255404,-0.314027,0.32668875,0.5460565,0.6970955,0.949069
MASTER_LEFT_ROT_R12,3438.0,-0.10002637754508434,0.44573473657319823,-0.856138,-0.467282,-0.1960905,0.23958725,0.900786
MASTER_LEFT_ROT_R13,3438.0,-0.6463255002908668,0.21189923111425438,-0.959821,-0.8260995,-0.647527,-0.497568,0.166454
MASTER_LEFT_ROT_R21,3438.0,0.3144619883653287,0.42703884238307127,-0.998898,0.04794675,0.36549200000000004,0.67307725,0.894681
MASTER_LEFT_ROT_R22,3438.0,0.7401849613147179,0.20829615778016408,-0.025209,0.59910725,0.7701895,0.93875675,0.990752
MASTER_LEFT_ROT_R23,3438.0,0.300007961023851,0.19373695097801558,-0.048585,0.16444699999999998,0.295884,0.40138599999999997,0.839565
MASTER_LEFT_ROT_R31,3438.0,0.4972722434554973,0.3772396442253557,-0.346881,0.25235475,0.546305,0.8392679999999999,0.979176
MASTER_LEFT_ROT_R32,3438.0,-0.28936882315299595,0.34071459915437596,-0.711306,-0.574884,-0.337461,-0.158996,0.903318
MASTER_LEFT_ROT_R33,3438.0,0.585887237347295,0.25970707540005467,-0.042218,0.3674735,0.696056,0.8015105,0.999288
MASTER_LEFT_LIN_VEL_X,3438.0,0.0001354011052937752,0.017047176642014106,-0.116315,-0.00150175,0.0,0.0014514999999999999,0.135999
MASTER_LEFT_LIN_VEL_Y,3438.0,-6.873414776032582e-05,0.009926611981994942,-0.077952,-0.00341625,0.0,0.0025657500000000003,0.049855
MASTER_LEFT_LIN_VEL_Z,3438.0,0.0005363196625945316,0.014408592614053094,-0.099513,-0.001957,0.0,0.0036955,0.068524
MASTER_LEFT_ROT_VEL_X,3438.0,0.022977145433391508,0.7240772257993564,-5.300465,-0.0252275,0.0,0.003113,5.887868
MASTER_LEFT_ROT_VEL_Y,3438.0,0.015115164339732402,0.5397366664654399,-4.082427,-0.01965875,0.0,0.01478075,4.597024
MASTER_LEFT_ROT_VEL_Z,3438.0,-0.001937045084351366,0.6185980705012529,-5.018728,-0.0258335,0.0,0.02715725,4.930999
MASTER_LEFT_GRIPPER_ANGLE,3438.0,-1.0149093147178592,0.972287090518929,-1.899995,-1.8946805,-1.8556145,0.0639025,0.51898
MASTER_RIGHT_POS_X,3438.0,-0.180549154159395,0.04918730157250319,-0.264465,-0.22679575000000002,-0.193146,-0.14754025,-0.09425
MASTER_RIGHT_POS_Y,3438.0,0.025817232984293195,0.0226202823319975,-0.01699,0.01032375,0.032295000000000004,0.04540825,0.061886
MASTER_RIGHT_POS_Z,3438.0,0.34383740692262943,0.01908269812891938,0.291165,0.33102125,0.348593,0.354325,0.386295
MASTER_RIGHT_ROT_R11,3438.0,0.06460940954043048,0.3454250222973212,-0.675554,-0.139212,0.0113135,0.35035175,0.693042
MASTER_RIGHT_ROT_R12,3438.0,0.43470767568353696,0.5694725764728459,-0.795161,0.10568775,0.677598,0.84868875,0.990696
MASTER_RIGHT_ROT_R13,3438.0,0.5448921780104712,0.25781708996084324,-0.065198,0.33873425,0.6076805000000001,0.75618975,0.971518
MASTER_RIGHT_ROT_R21,3438.0,-0.6724837742873764,0.4207796754239373,-0.998485,-0.9622435,-0.876845,-0.44430325,0.657439
MASTER_RIGHT_ROT_R22,3438.0,0.18163046800465388,0.4800574703683044,-0.676305,-0.21796325,0.1400435,0.65085875,0.964471
MASTER_RIGHT_ROT_R23,3438.0,0.1991476369982548,0.2601489891738334,-0.223072,0.0408895,0.15899000000000002,0.37497025,0.796548
MASTER_RIGHT_ROT_R31,3438.0,-0.2074241791739383,0.45212016210457917,-0.999705,-0.652382,-0.061887,0.194102,0.377595
MASTER_RIGHT_ROT_R32,3438.0,-0.36513485427574177,0.30112266417676437,-0.94599,-0.5616092500000001,-0.38908200000000004,-0.21777,0.549706
MASTER_RIGHT_ROT_R33,3438.0,0.6583403903432229,0.30842959624869454,-0.040698,0.5018795,0.7698285,0.92052,0.997204
MASTER_RIGHT_LIN_VEL_X,3438.0,-0.0002059237929028502,0.015125548255565235,-0.094941,-0.00117575,0.0,0.0012365,0.092465
MASTER_RIGHT_LIN_VEL_Y,3438.0,7.379406631762651e-05,0.011367333482622454,-0.066134,-0.004265,-0.0,0.0048857499999999995,0.069454
MASTER_RIGHT_LIN_VEL_Z,3438.0,0.00012872193135543935,0.014335061636479492,-0.070123,-0.003772,0.0,0.005386999999999999,0.078298
MASTER_RIGHT_ROT_VEL_X,3438.0,-0.012234650668993602,0.6307653423074392,-5.137694,-0.017710749999999997,-0.0,0.02762625,5.603081
MASTER_RIGHT_ROT_VEL_Y,3438.0,-0.006664743164630599,0.41496822376114867,-4.589891,-0.024416,0.0,0.015419500000000001,4.364614
MASTER_RIGHT_ROT_VEL_Z,3438.0,0.001125457533449678,0.7082874799042909,-5.526335,-0.04169725,0.0,0.0258205,5.900332
MASTER_RIGHT_GRIPPER_ANGLE,3438.0,-0.7545922946480512,0.7987816620338526,-1.412559,-1.40703175,-1.4044935,0.17871925,0.534235
SLAVE_LEFT_POS_X,3438.0,0.03935449476439791,0.02459356376797096,-0.002603,0.01622975,0.033056,0.05585875,0.082504
SLAVE_LEFT_POS_Y,3438.0,0.06047961314717859,0.011310091548706316,0.039066,0.05273625,0.063719,0.07027875,0.078516
SLAVE_LEFT_POS_Z,3438.0,-0.022491461896451428,0.009541639879644168,-0.048834,-0.02890475,-0.0201135,-0.01724675,-0.001258
SLAVE_LEFT_ROT_R11,3438.0,-0.05732181646305992,0.3561805525257715,-0.707669,-0.34072800000000003,-0.018784,0.14395850000000002,0.71467
SLAVE_LEFT_ROT_R12,3438.0,-0.44460207591623035,0.5616183561563461,-0.990363,-0.8479032500000001,-0.7028475000000001,-0.14675175,0.789699
SLAVE_LEFT_ROT_R13,3438.0,0.5392460654450262,0.25714493912778974,-0.055563,0.325252,0.606542,0.7492427500000001,0.966383
SLAVE_LEFT_ROT_R21,3438.0,0.6742229645142525,0.41156250475479916,-0.638212,0.473208,0.8640245,0.9544125,0.998981
SLAVE_LEFT_ROT_R22,3438.0,-0.1492666218731821,0.49669154504534063,-0.959926,-0.62753675,-0.08762400000000001,0.26659575,0.714901
SLAVE_LEFT_ROT_R23,3438.0,0.2133176303083188,0.2483741971479433,-0.201086,0.05427975,0.1836275,0.37406775,0.772322
SLAVE_LEFT_ROT_R31,3438.0,0.17168523385689355,0.46536125104822557,-0.424737,-0.2395185,0.015371,0.6106935,0.997712
SLAVE_LEFT_ROT_R32,3438.0,0.3672912428737638,0.28846879614880827,-0.513277,0.211669,0.380432,0.544322,0.942562
SLAVE_LEFT_ROT_R33,3438.0,0.6706810410122165,0.2935018262608144,0.036178,0.513353,0.7817099999999999,0.9204242499999999,0.998706
SLAVE_LEFT_LIN_VEL_X,3438.0,-6.88525305410121e-05,0.007614494798197809,-0.047526,-0.0005837500000000001,2e-06,0.0006097499999999999,0.045996
SLAVE_LEFT_LIN_VEL_Y,3438.0,2.8000290866783028e-05,0.005643806448033871,-0.030681,-0.00209525,0.0,0.00237275,0.03522
SLAVE_LEFT_LIN_VEL_Z,3438.0,6.617917393833611e-05,0.0072249981283391065,-0.034371,-0.0017814999999999999,4e-06,0.0027124999999999996,0.038855
SLAVE_LEFT_ROT_VEL_X,3438.0,-0.013265002617801048,0.5854961068425708,-5.111581,-0.0186775,1e-06,0.02546725,4.644331
SLAVE_LEFT_ROT_VEL_Y,3438.0,-0.015791017742873767,0.42171541591551526,-4.344364,-0.022270250000000002,1e-06,0.01833575,3.894268
SLAVE_LEFT_ROT_VEL_Z,3438.0,0.009061917102966837,0.6829936611146253,-5.610269,-0.0338415,-1.2499999999999999e-05,0.02828775,6.249379
SLAVE_LEFT_GRIPPER_ANGLE,3438.0,-0.4436733641652123,0.47878242885793104,-0.924323,-0.81646925,-0.7700944999999999,0.065055,0.521615
SLAVE_RIGHT_POS_X,3438.0,0.04748592670157068,0.024536951615804138,0.006447,0.02619375,0.0375775,0.07113525,0.088897
SLAVE_RIGHT_POS_Y,3438.0,0.052601926992437466,0.00647292720033094,0.03599,0.0495765,0.051006499999999996,0.05797025,0.067936
SLAVE_RIGHT_POS_Z,3438.0,-0.04397567539267016,0.011007217261992353,-0.061474,-0.0507135,-0.047661999999999996,-0.03925625,-0.011589
SLAVE_RIGHT_ROT_R11,3438.0,-0.5063110459569518,0.2570320732978409,-0.946014,-0.6899685,-0.532043,-0.332598,0.298151
SLAVE_RIGHT_ROT_R12,3438.0,0.10268200465386851,0.4515476884917585,-0.907259,-0.2430065,0.2071135,0.47462899999999997,0.866104
SLAVE_RIGHT_ROT_R13,3438.0,-0.6481301052937755,0.20775416392070462,-0.957216,-0.8220514999999999,-0.651556,-0.50331325,0.156761
SLAVE_RIGHT_ROT_R21,3438.0,-0.3311904331006399,0.4258268223314233,-0.903145,-0.6893265,-0.3854185,-0.0691745,0.998928
SLAVE_RIGHT_ROT_R22,3438.0,-0.7288438062827225,0.21200785926751617,-0.986629,-0.9316805,-0.7572885,-0.5935874999999999,0.004126
SLAVE_RIGHT_ROT_R23,3438.0,0.3096180072716696,0.19244647233963216,-0.036406,0.1758825,0.307749,0.41059475,0.837401
SLAVE_RIGHT_ROT_R31,3438.0,-0.4917117995927865,0.3806576404016473,-0.979021,-0.84297775,-0.535228,-0.24361175,0.357466
SLAVE_RIGHT_ROT_R32,3438.0,0.30842585456660854,0.3381985576458766,-0.897495,0.183239,0.3583005,0.58746025,0.728229
SLAVE_RIGHT_ROT_R33,3438.0,0.5806950436300176,0.25826524417587354,-0.050731,0.37150099999999997,0.6895789999999999,0.793134,0.998782
SLAVE_RIGHT_LIN_VEL_X,3438.0,7.19674229203024e-05,0.008564705583726644,-0.065104,-0.0007385,0.0,0.000639,0.068164
SLAVE_RIGHT_LIN_VEL_Y,3438.0,-6.306311809191388e-05,0.004990053481052089,-0.03671,-0.001707,-1e-06,0.0011635,0.025039
SLAVE_RIGHT_LIN_VEL_Z,3438.0,0.00030414136125654444,0.007266148896629029,-0.048836,-0.00098875,3e-06,0.00191175,0.034431
SLAVE_RIGHT_ROT_VEL_X,3438.0,0.004060546538685282,0.6767810873612755,-5.255141,-0.02509675,2e-06,0.00461525,5.874406
SLAVE_RIGHT_ROT_VEL_Y,3438.0,0.022505091332169862,0.5618785120214853,-4.05806,-0.01805175,-1e-06,0.017403750000000003,4.569197
SLAVE_RIGHT_ROT_VEL_Z,3438.0,0.012935079697498544,0.6962422769027073,-5.372236,-0.027926,-1e-06,0.026609,4.96265
SLAVE_RIGHT_GRIPPER_ANGLE,3438.0,-0.6614857702152415,0.5243880360663022,-1.209906,-1.10442,-1.0331435,-0.1441075,0.514933
