Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,4313.0,0.1460983830280547,0.0394388262961232,0.084533,0.118428,0.147089,0.173286,0.269209
MASTER_LEFT_POS_Y,4313.0,-0.027300987479712494,0.012240610680799263,-0.063281,-0.033532,-0.029415,-0.022903,0.035137
MASTER_LEFT_POS_Z,4313.0,0.3133934273127753,0.02061468041003883,0.243482,0.305067,0.3226,0.326604,0.353742
MASTER_LEFT_ROT_R11,4313.0,-0.6023556304196616,0.26871659194878234,-0.997956,-0.803426,-0.673459,-0.474111,0.322334
MASTER_LEFT_ROT_R12,4313.0,0.04515673776953395,0.3636742476771594,-0.800179,-0.234981,0.014971,0.360086,0.865369
MASTER_LEFT_ROT_R13,4313.0,-0.6232481894273126,0.20573084116144202,-0.999996,-0.757886,-0.607316,-0.515569,0.03491
MASTER_LEFT_ROT_R21,4313.0,-0.4156412807790401,0.32576682450886585,-0.998297,-0.723585,-0.414637,-0.156591,0.643508
MASTER_LEFT_ROT_R22,4313.0,-0.6996730440528635,0.1988614609118769,-0.964694,-0.843614,-0.740608,-0.55286,0.052095
MASTER_LEFT_ROT_R23,4313.0,0.3983482953860422,0.18265285616761714,-0.435691,0.286099,0.411925,0.518396,0.877985
MASTER_LEFT_ROT_R31,4313.0,-0.44542064572223505,0.2952868416353389,-0.999962,-0.642005,-0.440699,-0.180588,0.354639
MASTER_LEFT_ROT_R32,4313.0,0.5304069274287039,0.23491725577085865,-0.646194,0.412363,0.588329,0.654915,0.999755
MASTER_LEFT_ROT_R33,4313.0,0.5462004333410619,0.2821916828530999,-0.40462,0.349635,0.692313,0.743342,0.938913
MASTER_LEFT_LIN_VEL_X,4313.0,0.00015046649663807076,0.023540970564863352,-0.175109,-0.000788,0.0,0.000675,0.144899
MASTER_LEFT_LIN_VEL_Y,4313.0,8.10656155808024e-05,0.017820495831877895,-0.213522,-0.002189,9e-06,0.003524,0.1259
MASTER_LEFT_LIN_VEL_Z,4313.0,0.00015177880825411553,0.01870095276809086,-0.127732,-0.002835,1e-06,0.003275,0.13932
MASTER_LEFT_ROT_VEL_X,4313.0,0.004487633897519128,0.7062516781835624,-5.896126,-0.005508,0.0,0.006746,5.702448
MASTER_LEFT_ROT_VEL_Y,4313.0,-0.019732827961975417,0.62593126744452,-6.074612,-0.03067,0.0,0.014715,4.508748
MASTER_LEFT_ROT_VEL_Z,4313.0,-0.0071383236726176615,0.6313154938554453,-5.525463,-0.025116,0.0,0.046064,4.912215
MASTER_LEFT_GRIPPER_ANGLE,4313.0,-0.6108080774402967,0.8523811285565902,-1.919987,-1.626669,-0.100861,0.068197,0.518773
MASTER_RIGHT_POS_X,4313.0,-0.152204534894505,0.035480141597374046,-0.254347,-0.173146,-0.160649,-0.126875,-0.087412
MASTER_RIGHT_POS_Y,4313.0,0.0024950187804312547,0.012951274706565586,-0.037627,-0.00359,0.002801,0.009905,0.036337
MASTER_RIGHT_POS_Z,4313.0,0.2825531145374449,0.01886570362822665,0.216393,0.268001,0.288285,0.295545,0.327688
MASTER_RIGHT_ROT_R11,4313.0,-0.5152749891027127,0.39806960402992164,-0.996926,-0.877269,-0.62259,-0.194401,0.488525
MASTER_RIGHT_ROT_R12,4313.0,0.10447961418965918,0.3561475882861048,-0.768806,-0.125496,0.090498,0.412421,0.737527
MASTER_RIGHT_ROT_R13,4313.0,0.5946870229538604,0.2910320078326898,0.075978,0.300232,0.610596,0.898077,0.999324
MASTER_RIGHT_ROT_R21,4313.0,0.13363808462786925,0.4407155349985646,-0.918041,-0.170995,0.084375,0.4779,0.97587
MASTER_RIGHT_ROT_R22,4313.0,-0.7403658896359842,0.18815907517740116,-0.99996,-0.86288,-0.827174,-0.665935,-0.198207
MASTER_RIGHT_ROT_R23,4313.0,0.35358474611639235,0.2816886844404172,-0.418812,0.104951,0.453169,0.527009,0.786952
MASTER_RIGHT_ROT_R31,4313.0,0.5095282374217482,0.3238545309109045,-0.550198,0.310221,0.550829,0.776089,0.997309
MASTER_RIGHT_ROT_R32,4313.0,0.3918967945745421,0.3536677321719397,-0.814565,0.217421,0.451138,0.620082,0.93831
MASTER_RIGHT_ROT_R33,4313.0,0.48344915789473686,0.3507949333913036,-0.556884,0.245615,0.604877,0.783172,0.903104
MASTER_RIGHT_LIN_VEL_X,4313.0,-0.0001544736842105265,0.019671666127438748,-0.203407,-0.000932,1e-06,0.00103,0.131166
MASTER_RIGHT_LIN_VEL_Y,4313.0,-8.505634129376321e-05,0.01478950974846784,-0.118958,-0.005101,-8.3e-05,0.004392,0.091093
MASTER_RIGHT_LIN_VEL_Z,4313.0,0.00017273568281938326,0.01673268744026851,-0.129647,-0.004073,9e-06,0.005927,0.093448
MASTER_RIGHT_ROT_VEL_X,4313.0,0.015761371667053097,0.7310275012772903,-5.545261,-0.020751,0.0,0.023075,6.129931
MASTER_RIGHT_ROT_VEL_Y,4313.0,-0.004079453744493393,0.6504692594547141,-5.368875,-0.029891,0.0,0.022894,6.427198
MASTER_RIGHT_ROT_VEL_Z,4313.0,0.0075403317876188295,0.6126956676017046,-4.969589,-0.036706,0.0,0.029245,4.819943
MASTER_RIGHT_GRIPPER_ANGLE,4313.0,-0.83914781938326,0.7478097865042935,-1.407948,-1.403266,-1.396518,0.023858,0.535572
SLAVE_LEFT_POS_X,4313.0,0.04552419267331324,0.017740155419204078,-0.005547,0.035053,0.041299,0.05819,0.077922
SLAVE_LEFT_POS_Y,4313.0,0.05837314143287735,0.006475857833264454,0.038313,0.055341,0.058523,0.062079,0.0753
SLAVE_LEFT_POS_Z,4313.0,-0.019885229306747045,0.009433450956124616,-0.053037,-0.027165,-0.017026,-0.013389,0.002687
SLAVE_LEFT_ROT_R11,4313.0,0.47320373591467657,0.3969214696862941,-0.518411,0.148466,0.552044,0.851205,0.988689
SLAVE_LEFT_ROT_R12,4313.0,-0.1151458715511245,0.36365001997047597,-0.759636,-0.423586,-0.144853,0.171524,0.746444
SLAVE_LEFT_ROT_R13,4313.0,0.6325429348481334,0.2701920765709212,0.124762,0.361163,0.639827,0.904001,0.99998
SLAVE_LEFT_ROT_R21,4313.0,-0.0954323909111987,0.44137639552196145,-0.960673,-0.42297,-0.051833,0.21861,0.944464
SLAVE_LEFT_ROT_R22,4313.0,0.7656801917458845,0.17582107125329943,0.276849,0.69349,0.842086,0.884195,0.999772
SLAVE_LEFT_ROT_R23,4313.0,0.3117775195919314,0.2859461728252956,-0.474864,0.048641,0.432258,0.485268,0.737807
SLAVE_LEFT_ROT_R31,4313.0,-0.5672622928356132,0.30483842643046316,-0.99838,-0.821616,-0.6126,-0.381388,0.467301
SLAVE_LEFT_ROT_R32,4313.0,-0.32468352214236035,0.36327493075059775,-0.903108,-0.570537,-0.381769,-0.128149,0.844939
SLAVE_LEFT_ROT_R33,4313.0,0.47418132923718986,0.3508990040037964,-0.522412,0.25179,0.601729,0.778774,0.905963
SLAVE_LEFT_LIN_VEL_X,4313.0,-3.3629955947136594e-05,0.009758426045038538,-0.094311,-0.000458,1e-06,0.000535,0.065585
SLAVE_LEFT_LIN_VEL_Y,4313.0,-4.948829121261304e-05,0.007458829721659505,-0.066222,-0.002637,-2.3e-05,0.00229,0.051213
SLAVE_LEFT_LIN_VEL_Z,4313.0,8.951634593090662e-05,0.008442783329042837,-0.067469,-0.002041,1.1e-05,0.002944,0.045697
SLAVE_LEFT_ROT_VEL_X,4313.0,0.01875059146765593,0.758913028729062,-5.547642,-0.032261,-1.5e-05,0.017513,5.712402
SLAVE_LEFT_ROT_VEL_Y,4313.0,-0.009866208207744028,0.6553552771601001,-5.051651,-0.022147,6e-06,0.028787,6.756021
SLAVE_LEFT_ROT_VEL_Z,4313.0,0.0006688750289821466,0.6250261125434311,-4.610644,-0.032253,-6e-06,0.030399,5.751358
SLAVE_LEFT_GRIPPER_ANGLE,4313.0,-0.5957748954324136,0.5254968027736897,-1.054328,-0.939862,-0.90753,-0.141534,0.523548
SLAVE_RIGHT_POS_X,4313.0,0.07444262415951773,0.01971936361713264,0.04366,0.060607,0.074938,0.088018,0.136
SLAVE_RIGHT_POS_Y,4313.0,0.04024853025736146,0.006120685752379667,0.022245,0.03713,0.039193,0.042447,0.07147
SLAVE_RIGHT_POS_Z,4313.0,-0.05090393855784837,0.010307841923408471,-0.085871,-0.055056,-0.046297,-0.0443,-0.030738
SLAVE_RIGHT_ROT_R11,4313.0,0.5976904797124971,0.2680746012338981,-0.304826,0.468052,0.668113,0.799102,0.997614
SLAVE_RIGHT_ROT_R12,4313.0,-0.08701262276837467,0.3600962800440507,-0.883878,-0.391304,-0.063074,0.188271,0.749555
SLAVE_RIGHT_ROT_R13,4313.0,-0.6241465209830744,0.21013802209908664,-0.999956,-0.783125,-0.606718,-0.521753,0.031956
SLAVE_RIGHT_ROT_R21,4313.0,0.41865788175284024,0.3254060903889609,-0.646672,0.161398,0.408715,0.725872,0.998739
SLAVE_RIGHT_ROT_R22,4313.0,0.7244898703918387,0.20165163912012504,-0.039564,0.576101,0.775602,0.872137,0.97806
SLAVE_RIGHT_ROT_R23,4313.0,0.3472599132854162,0.1809373225204788,-0.48795,0.243732,0.357819,0.465319,0.846694
SLAVE_RIGHT_ROT_R31,4313.0,0.45104130187804314,0.2938707705380722,-0.349109,0.188257,0.445121,0.64865,0.999853
SLAVE_RIGHT_ROT_R32,4313.0,-0.49287578390911196,0.23309787345106114,-0.999043,-0.604447,-0.539582,-0.377345,0.644546
SLAVE_RIGHT_ROT_R33,4313.0,0.5770570623695803,0.28283402821217923,-0.225772,0.388741,0.714107,0.7835,0.960176
SLAVE_RIGHT_LIN_VEL_X,4313.0,1.1496869928124331e-05,0.01173480973846251,-0.086739,-0.000374,0.0,0.000283,0.066034
SLAVE_RIGHT_LIN_VEL_Y,4313.0,-7.420588917226951e-06,0.008842502701536583,-0.107578,-0.001062,7e-06,0.001537,0.068393
SLAVE_RIGHT_LIN_VEL_Z,4313.0,0.00010846881520983072,0.009420675700032835,-0.062048,-0.00123,8e-06,0.00176,0.070179
SLAVE_RIGHT_ROT_VEL_X,4313.0,0.021283827034546714,0.7287145824160569,-6.012649,-0.008636,1e-06,0.006842,5.506614
SLAVE_RIGHT_ROT_VEL_Y,4313.0,-0.022183080222582887,0.6297683941471599,-5.47897,-0.02825,-1e-06,0.014724,4.933697
SLAVE_RIGHT_ROT_VEL_Z,4313.0,-0.013811729654532808,0.6305955574558318,-5.096237,-0.025243,3e-06,0.040344,5.690995
SLAVE_RIGHT_GRIPPER_ANGLE,4313.0,-0.47972984906097843,0.4518217764067167,-1.122805,-0.967352,-0.31419,-0.137183,0.51304
