Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,2124.0,0.15076457627118642,0.03641433363347677,0.100332,0.12133975,0.14261800000000002,0.18649,0.23818
MASTER_LEFT_POS_Y,2124.0,-0.0046129632768361585,0.013345808482211551,-0.026327,-0.0134125,-0.010126,0.0068207499999999996,0.039899
MASTER_LEFT_POS_Z,2124.0,0.3282032062146893,0.02875816740718584,0.275881,0.30117125,0.3225845,0.35039725,0.389847
MASTER_LEFT_ROT_R11,2124.0,-0.6316855663841808,0.336720535391582,-0.970634,-0.8818495,-0.7441955,-0.5470975,0.451423
MASTER_LEFT_ROT_R12,2124.0,-0.027111433145009415,0.32468428494631246,-0.657999,-0.29995875,-0.0261835,0.23916875,0.777211
MASTER_LEFT_ROT_R13,2124.0,-0.578605975047081,0.216386541565444,-0.999338,-0.7832742500000001,-0.559348,-0.39762775,-0.190171
MASTER_LEFT_ROT_R21,2124.0,-0.21948235781544256,0.34261826176976434,-0.811506,-0.5061487499999999,-0.25399700000000003,-0.06881324999999999,0.692427
MASTER_LEFT_ROT_R22,2124.0,-0.7631626614877589,0.18113645968976508,-0.998007,-0.900482,-0.79465,-0.7165385,0.250869
MASTER_LEFT_ROT_R23,2124.0,0.42343857391713746,0.19993431541480777,0.018589,0.24665125,0.4055995,0.594966,0.856701
MASTER_LEFT_ROT_R31,2124.0,-0.47854191290018827,0.3043692348727519,-1.000013,-0.755145,-0.42467299999999997,-0.26472300000000004,0.62645
MASTER_LEFT_ROT_R32,2124.0,0.39402156967984936,0.351214078413772,-0.722976,0.27228800000000003,0.4403495,0.60236875,0.907386
MASTER_LEFT_ROT_R33,2124.0,0.5776241690207157,0.2574158628824292,-0.020291,0.44482825,0.6320155000000001,0.78891075,0.918128
MASTER_LEFT_LIN_VEL_X,2124.0,0.00013699340866290033,0.017088218381243882,-0.103303,-0.000384,0.0,0.000846,0.096715
MASTER_LEFT_LIN_VEL_Y,2124.0,5.444491525423724e-05,0.015214914429772568,-0.091774,-0.0022795,0.0,0.00249425,0.100304
MASTER_LEFT_LIN_VEL_Z,2124.0,0.0003121308851224106,0.01926069272372236,-0.095258,-0.00251175,-0.0,0.00278775,0.091937
MASTER_LEFT_ROT_VEL_X,2124.0,0.012194007532956685,0.6203945279635427,-4.575136,-0.001229,0.0,0.005672,5.511342
MASTER_LEFT_ROT_VEL_Y,2124.0,0.02864627401129943,0.6773497537131392,-4.70116,-0.01558225,0.0,0.015870000000000002,4.905905
MASTER_LEFT_ROT_VEL_Z,2124.0,-0.010572277777777785,0.705155697707375,-6.131094,-0.01622825,0.0,0.049508250000000004,4.584494
MASTER_LEFT_GRIPPER_ANGLE,2124.0,-0.5533373210922787,0.9962532081029417,-1.922698,-1.7628815,-0.102216,0.39832324999999996,0.524573
MASTER_RIGHT_POS_X,2124.0,-0.18327802919020716,0.03801153799416886,-0.26437,-0.19829825,-0.1846105,-0.16299125,-0.101227
MASTER_RIGHT_POS_Y,2124.0,0.0005065301318267421,0.014040581797087084,-0.032849,-0.00922,0.004,0.01098475,0.027143
MASTER_RIGHT_POS_Z,2124.0,0.31347897269303204,0.022120295610706643,0.274225,0.29358799999999996,0.3147635,0.32377374999999997,0.365908
