Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3256.0,0.1496441256142506,0.0343858735601662,0.089499,0.12472825000000001,0.140889,0.16565325,0.237003
MASTER_LEFT_POS_Y,3256.0,-0.01743163882063882,0.017283493261621093,-0.065775,-0.02993575,-0.014588,-0.00630075,0.021483
MASTER_LEFT_POS_Z,3256.0,0.30076042076167075,0.021460190803889452,0.239172,0.2849935,0.296376,0.320743,0.352359
MASTER_LEFT_ROT_R11,3256.0,-0.4604624806511056,0.3672128860049977,-0.997772,-0.80183425,-0.509898,-0.23552925,0.586009
MASTER_LEFT_ROT_R12,3256.0,0.11517799232186736,0.3828717852913968,-0.734372,-0.16336475,0.062207,0.31376875,0.954132
MASTER_LEFT_ROT_R13,3256.0,-0.6052526415847667,0.35652803164318986,-0.997404,-0.89885975,-0.793871,-0.29541425,0.272728
MASTER_LEFT_ROT_R21,3256.0,-0.35218407094594595,0.38248730881663495,-0.967486,-0.65113775,-0.33309999999999995,-0.131804,0.805811
MASTER_LEFT_ROT_R22,3256.0,-0.770105951167076,0.20828234721694067,-0.999936,-0.9461465,-0.823321,-0.6048955,-0.119317
MASTER_LEFT_ROT_R23,3256.0,0.2051975764742015,0.22619671573134928,-0.354193,0.08293325,0.18773099999999998,0.35344125,0.749847
MASTER_LEFT_ROT_R31,3256.0,-0.5099304914004914,0.3500912342379729,-0.999385,-0.88738275,-0.46203649999999996,-0.1899545,0.244235
MASTER_LEFT_ROT_R32,3256.0,0.2872316842751843,0.34809690299420964,-0.839694,0.10927175,0.2582055,0.56524875,0.926697
MASTER_LEFT_ROT_R33,3256.0,0.5082314671375922,0.39444144073772286,-0.584015,0.2271665,0.5112375,0.8866747500000001,0.999916
MASTER_LEFT_LIN_VEL_X,3256.0,0.0007316784398034399,0.021534234504726534,-0.160113,-0.000457,-0.0,0.00086925,0.113587
MASTER_LEFT_LIN_VEL_Y,3256.0,-2.740079852579849e-05,0.013202695249993313,-0.073604,-0.00226225,0.0,0.00381425,0.080982
MASTER_LEFT_LIN_VEL_Z,3256.0,0.0006711323710073709,0.018678296549245355,-0.094111,-0.00241425,0.0,0.00581175,0.133831
MASTER_LEFT_ROT_VEL_X,3256.0,-0.02960826597051597,0.8361214114912943,-5.529651,-0.021055249999999998,0.0,0.00894875,5.460443
MASTER_LEFT_ROT_VEL_Y,3256.0,0.028820343366093373,0.5388275406367892,-4.41475,-0.0163175,0.0,0.032976,3.887176
MASTER_LEFT_ROT_VEL_Z,3256.0,0.015079610565110561,0.7844010216510865,-5.577346,-0.0280385,-0.0,0.0385115,5.957764
MASTER_LEFT_GRIPPER_ANGLE,3256.0,-0.4997134692874693,1.0726307724771422,-1.926414,-1.9091225,0.1629005,0.44190425,0.521611
MASTER_RIGHT_POS_X,3256.0,-0.1726474692874693,0.03900756488600345,-0.261193,-0.19289125000000001,-0.182398,-0.144021,-0.088874
MASTER_RIGHT_POS_Y,3256.0,-0.0034618402948402953,0.021191554965995077,-0.050359,-0.019035,-0.0027735,0.014908,0.033968
MASTER_RIGHT_POS_Z,3256.0,0.284771761977887,0.028395391887776063,0.235108,0.258117,0.2777405,0.31301225,0.346889
MASTER_RIGHT_ROT_R11,3256.0,-0.6550697321867321,0.31991826507867227,-0.999561,-0.9351345,-0.7921205,-0.36762425,0.499931
MASTER_RIGHT_ROT_R12,3256.0,-0.07981606603194104,0.3940395231499623,-0.947018,-0.348032,0.0207235,0.16662675,0.801632
MASTER_RIGHT_ROT_R13,3256.0,0.39098746038083537,0.3926128149540567,-0.319844,0.00081175,0.376201,0.802657,0.968874
