Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,1871.0,0.08012521646178514,0.04083806545645021,0.023265,0.0490225,0.071162,0.11607200000000001,0.201196
MASTER_LEFT_POS_Y,1871.0,0.04799018225547835,0.01664375078129848,0.00729,0.0425875,0.048486,0.0535245,0.100109
MASTER_LEFT_POS_Z,1871.0,0.38097431427044365,0.022753922652701854,0.327719,0.36911950000000004,0.377324,0.400517,0.438871
MASTER_LEFT_ROT_R11,1871.0,-0.551327950828434,0.21809858998413578,-0.945835,-0.7346064999999999,-0.5732,-0.421652,0.184301
MASTER_LEFT_ROT_R12,1871.0,0.0066349962586851816,0.4156735153182463,-0.85475,-0.3817835,0.056475,0.3180095,0.79847
MASTER_LEFT_ROT_R13,1871.0,-0.6725635205772313,0.15321833248071035,-0.999292,-0.779748,-0.687175,-0.576063,-0.285888
MASTER_LEFT_ROT_R21,1871.0,-0.12965836183858898,0.4949746208297255,-0.952493,-0.5374975,-0.283439,0.3524335,0.868148
MASTER_LEFT_ROT_R22,1871.0,-0.7921149861036879,0.16850034191922597,-0.999315,-0.911192,-0.83717,-0.7247965000000001,-0.042961
MASTER_LEFT_ROT_R23,1871.0,0.23327380919294494,0.16753079151253514,-0.185365,0.163893,0.221018,0.30973700000000004,0.816925
MASTER_LEFT_ROT_R31,1871.0,-0.5680737145911278,0.2518929604728978,-0.999846,-0.751708,-0.621942,-0.4290715,0.229799
MASTER_LEFT_ROT_R32,1871.0,0.17823169481560663,0.37348445625656557,-0.801078,-0.1101665,0.25214,0.498333,0.805216
MASTER_LEFT_ROT_R33,1871.0,0.6227206520577232,0.23445439979140248,-0.350729,0.5474435,0.630889,0.7774435,0.95786
MASTER_LEFT_LIN_VEL_X,1871.0,0.00026077071084981294,0.027854860197221536,-0.180586,-0.0077225,-8.1e-05,0.006458,0.108897
MASTER_LEFT_LIN_VEL_Y,1871.0,-0.00035152431854623196,0.017682325234986834,-0.107997,-0.004026,-5.5e-05,0.0062889999999999995,0.079394
MASTER_LEFT_LIN_VEL_Z,1871.0,0.000756775521111705,0.024831951010913456,-0.222909,-0.0042214999999999996,-9e-06,0.007975,0.105147
MASTER_LEFT_ROT_VEL_X,1871.0,-0.023389173169428117,1.0660848383614772,-5.648725,-0.0346415,0.0,0.033035999999999996,6.213694
MASTER_LEFT_ROT_VEL_Y,1871.0,0.008918518439337254,0.7031661592825327,-4.444131,-0.060950000000000004,0.0,0.0375065,4.472132
MASTER_LEFT_ROT_VEL_Z,1871.0,0.002288898450026724,0.9635194225609395,-5.042684,-0.030988,0.0,0.097769,5.491675
MASTER_LEFT_GRIPPER_ANGLE,1871.0,-0.3846073949759487,0.7691592201793733,-1.917721,-1.1471244999999999,-0.046362,0.27198100000000003,0.522823
MASTER_RIGHT_POS_X,1871.0,-0.10004601763762692,0.034181980857030274,-0.184254,-0.120903,-0.107796,-0.073738,-0.03795
MASTER_RIGHT_POS_Y,1871.0,0.07070092089791555,0.01169868050122215,0.038501,0.06539600000000001,0.072916,0.07957800000000001,0.088217
MASTER_RIGHT_POS_Z,1871.0,0.34476618439337253,0.021329109923207024,0.290537,0.3280135,0.341929,0.36038800000000004,0.392164
MASTER_RIGHT_ROT_R11,1871.0,0.7770765163014431,0.20028119412614154,-0.010735,0.7230844999999999,0.848749,0.9093015,0.995877
MASTER_RIGHT_ROT_R12,1871.0,-0.16058259219668625,0.286669441886172,-0.737023,-0.372811,-0.211317,0.054131,0.635114
MASTER_RIGHT_ROT_R13,1871.0,0.3503804371993587,0.3541619633432788,-0.47636,0.200534,0.397608,0.597952,0.975746
MASTER_RIGHT_ROT_R21,1871.0,-0.04455117637626938,0.31168746901205896,-0.748585,-0.3167815,-0.037151,0.210394,0.760986
MASTER_RIGHT_ROT_R22,1871.0,0.8485666616782469,0.08939400118756502,0.407495,0.808503,0.862934,0.900906,0.995651
MASTER_RIGHT_ROT_R23,1871.0,0.384578435595938,0.1578360488324128,0.088322,0.2684705,0.390911,0.46057899999999996,0.780896
MASTER_RIGHT_ROT_R31,1871.0,-0.35984990326028865,0.3579067533896004,-0.917686,-0.6394795,-0.40301,-0.207148,0.487019
MASTER_RIGHT_ROT_R32,1871.0,-0.3577358150721539,0.1894400278803083,-0.856415,-0.4826105,-0.395181,-0.25266200000000005,0.07826
MASTER_RIGHT_ROT_R33,1871.0,0.7292857194013896,0.2160239397739166,-0.136598,0.5993729999999999,0.788314,0.8904325,0.975344
MASTER_RIGHT_LIN_VEL_X,1871.0,-0.00013898556921432384,0.022875753607043553,-0.105772,-0.001704,0.0,0.002791,0.144064
MASTER_RIGHT_LIN_VEL_Y,1871.0,7.4708711918762345e-06,0.012688146740738988,-0.058166,-0.005519,0.0,0.004430999999999999,0.067415
MASTER_RIGHT_LIN_VEL_Z,1871.0,0.00041749064671298765,0.020831498671182523,-0.131576,-0.002998,0.000231,0.007065,0.099863
MASTER_RIGHT_ROT_VEL_X,1871.0,-0.018269442009620534,0.5407103454081271,-5.669713,-0.036560999999999996,0.0,0.024877,5.118068
MASTER_RIGHT_ROT_VEL_Y,1871.0,-0.017495406199893104,0.6795457644367476,-5.518091,-0.025014,0.0,0.0500365,3.621765
MASTER_RIGHT_ROT_VEL_Z,1871.0,0.003739123997862102,0.7653200533652478,-5.297352,-0.059257000000000004,0.0,0.029245,6.522491
MASTER_RIGHT_GRIPPER_ANGLE,1871.0,-0.7079501020844468,0.7970975622749006,-1.40822,-1.402532,-1.120335,0.3091565,0.535022
SLAVE_LEFT_POS_X,1871.0,0.040357846606093005,0.01709069479021513,-0.001748,0.029928999999999997,0.036483,0.053512,0.071407
SLAVE_LEFT_POS_Y,1871.0,0.051567652057723144,0.005849948495979208,0.035465,0.048929,0.052675,0.056006,0.060326
SLAVE_LEFT_POS_Z,1871.0,-0.010538745590593266,0.010664895672599603,-0.037674,-0.0189175,-0.011955,-0.002725,0.013162
SLAVE_LEFT_ROT_R11,1871.0,-0.7247974986638163,0.22836473284684192,-0.993984,-0.886012,-0.790003,-0.6734195000000001,0.134698
SLAVE_LEFT_ROT_R12,1871.0,0.08954707803313734,0.28859629199596193,-0.685635,-0.1226875,0.137661,0.2943725,0.698675
SLAVE_LEFT_ROT_R13,1871.0,0.4680739850347408,0.33503626501267214,-0.346228,0.32439850000000003,0.531322,0.708368,0.984872
SLAVE_LEFT_ROT_R21,1871.0,0.15338108925708177,0.30948880548047203,-0.693377,-0.1033365,0.159695,0.42469250000000003,0.815445
SLAVE_LEFT_ROT_R22,1871.0,-0.8608194639230359,0.08986930574485187,-0.99831,-0.9152465,-0.869303,-0.8199595,-0.389447
SLAVE_LEFT_ROT_R23,1871.0,0.3247869796900053,0.16181995315505895,0.026044,0.21188600000000002,0.307311,0.43587750000000003,0.734877
SLAVE_LEFT_ROT_R31,1871.0,0.4406156413682523,0.3304587485724969,-0.401986,0.3242575,0.495055,0.680625,0.945881
SLAVE_LEFT_ROT_R32,1871.0,0.34678109406734364,0.19854024781606341,-0.047586,0.21748,0.367847,0.4870775,0.849086
SLAVE_LEFT_ROT_R33,1871.0,0.689248485836451,0.24905237487460533,-0.240424,0.5441685,0.755374,0.9009925000000001,0.981101
SLAVE_LEFT_LIN_VEL_X,1871.0,-4.0377338321753015e-05,0.01132030569955319,-0.052859,-0.0008359999999999999,0.0,0.001507,0.07207
SLAVE_LEFT_LIN_VEL_Y,1871.0,4.5621058257616256e-05,0.006446612214159373,-0.026503,-0.0027305,6e-06,0.0023150000000000002,0.034144
SLAVE_LEFT_LIN_VEL_Z,1871.0,0.0001764056654195617,0.010394039352871308,-0.062318,-0.001451,9.3e-05,0.0033465,0.047746
SLAVE_LEFT_ROT_VEL_X,1871.0,0.002487600213789417,0.5880488232690132,-4.893257,-0.034473500000000004,-4e-06,0.0244865,5.090219
SLAVE_LEFT_ROT_VEL_Y,1871.0,-0.007597272581507216,0.7223195652461563,-5.302701,-0.02466,-4e-06,0.0522295,5.111164
SLAVE_LEFT_ROT_VEL_Z,1871.0,0.009292610903260293,0.8015412512187445,-5.331851,-0.058377,0.0,0.0301825,6.486707
SLAVE_LEFT_GRIPPER_ANGLE,1871.0,-0.44139877391769106,0.5509681482746731,-0.918144,-0.835682,-0.806127,0.21990949999999998,0.523712
SLAVE_RIGHT_POS_X,1871.0,0.07799190112239443,0.020418794442678467,0.049564,0.0624415,0.073512,0.0959315,0.138523
SLAVE_RIGHT_POS_Y,1871.0,0.04630076215927312,0.008322019479854675,0.025947,0.043598,0.04655,0.0490705,0.072363
SLAVE_RIGHT_POS_Z,1871.0,-0.05063531159807589,0.011376901052715653,-0.077265,-0.056558,-0.052459,-0.0408635,-0.021685
SLAVE_RIGHT_ROT_R11,1871.0,-0.5044339812934259,0.20317068611997965,-0.886959,-0.658729,-0.529195,-0.39246000000000003,0.276905
SLAVE_RIGHT_ROT_R12,1871.0,0.13954965473009084,0.4230458781874046,-0.786016,-0.25438649999999996,0.204807,0.45219149999999997,0.862681
SLAVE_RIGHT_ROT_R13,1871.0,-0.6944222699091396,0.15405362392029182,-0.995781,-0.8097905000000001,-0.725407,-0.5948925,-0.296975
SLAVE_RIGHT_ROT_R21,1871.0,-0.2974249583110636,0.47578437053463846,-0.979967,-0.6961495,-0.472755,0.15214650000000002,0.762104
SLAVE_RIGHT_ROT_R22,1871.0,-0.7565187161945482,0.21405535267388512,-0.999385,-0.920784,-0.816563,-0.6389655000000001,0.135992
SLAVE_RIGHT_ROT_R23,1871.0,0.19459020577231426,0.17123566673174465,-0.176914,0.116478,0.173216,0.28093500000000005,0.804236
SLAVE_RIGHT_ROT_R31,1871.0,-0.5517806290753609,0.29182335018915967,-0.989427,-0.814894,-0.592864,-0.35527949999999997,0.319359
SLAVE_RIGHT_ROT_R32,1871.0,0.26961165900587925,0.3330244046765593,-0.673458,0.030267,0.335958,0.5320389999999999,0.77547
SLAVE_RIGHT_ROT_R33,1871.0,0.6040809716729022,0.2490060040715247,-0.404908,0.5185375000000001,0.617996,0.77191,0.949991
SLAVE_RIGHT_LIN_VEL_X,1871.0,5.091876002137885e-05,0.014071649531628838,-0.096161,-0.003525,-3.6e-05,0.002883,0.054292
SLAVE_RIGHT_LIN_VEL_Y,1871.0,-0.00015065686798503486,0.008950195305600915,-0.055049,-0.0020924999999999997,-9e-06,0.0033695,0.039864
SLAVE_RIGHT_LIN_VEL_Z,1871.0,0.0003812089791555318,0.012440076718887725,-0.112122,-0.0023575000000000002,-7e-06,0.004149,0.054181
SLAVE_RIGHT_ROT_VEL_X,1871.0,-0.014035611437733833,1.0439048589366955,-5.619189,-0.034923499999999996,-2.6e-05,0.035046999999999995,5.5403
SLAVE_RIGHT_ROT_VEL_Y,1871.0,0.002302905932656336,0.693340696661581,-4.415988,-0.054924,8e-06,0.0323165,4.366174
SLAVE_RIGHT_ROT_VEL_Z,1871.0,-0.02293169802244789,0.974761957502966,-5.698978,-0.034702,-9e-06,0.0813675,5.538122
SLAVE_RIGHT_GRIPPER_ANGLE,1871.0,-0.2632169732763228,0.4547515532896225,-0.892239,-0.7668315,-0.240056,0.172824,0.520715
