Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,4383.0,0.08324647615788273,0.03314439078087482,0.022749,0.0595305,0.070363,0.11948349999999999,0.162751
MASTER_LEFT_POS_Y,4383.0,0.039968283595710696,0.009547697899873094,0.020573,0.032239000000000004,0.041054,0.047254000000000004,0.067368
MASTER_LEFT_POS_Z,4383.0,0.3812717184576774,0.024395294216980435,0.33251,0.3571025,0.384449,0.400288,0.419612
MASTER_LEFT_ROT_R11,4383.0,-0.22141978507871318,0.3456600972240011,-0.879777,-0.4916455,-0.259371,0.086872,0.582495
MASTER_LEFT_ROT_R12,4383.0,-0.024356467944330367,0.3723509392543858,-0.631228,-0.3402085,-0.071521,0.1937775,0.856831
MASTER_LEFT_ROT_R13,4383.0,-0.8183619924709103,0.15048871376502296,-0.999855,-0.927172,-0.870147,-0.7648714999999999,-0.203275
MASTER_LEFT_ROT_R21,4383.0,-0.05239829774127309,0.39627949520866457,-0.857621,-0.301304,-0.184402,0.25684799999999997,0.94022
MASTER_LEFT_ROT_R22,4383.0,-0.8356165617157197,0.18043337346368818,-0.999769,-0.951178,-0.904126,-0.771747,0.003942
MASTER_LEFT_ROT_R23,4383.0,0.10986942368240932,0.3120444262933966,-0.702063,-0.065748,0.1999,0.3322015,0.66399
MASTER_LEFT_ROT_R31,4383.0,-0.7874886128222679,0.22650100128827677,-0.999857,-0.93162,-0.86435,-0.7300935,0.248809
MASTER_LEFT_ROT_R32,4383.0,0.002737243668720044,0.36049451785707753,-0.93479,-0.23854,0.108998,0.2924725,0.541009
MASTER_LEFT_ROT_R33,4383.0,0.2515623141683779,0.3679821419649317,-0.544646,0.0050595,0.289113,0.49116899999999997,0.930858
MASTER_LEFT_LIN_VEL_X,4383.0,-1.2400638831850168e-05,0.016191080157214443,-0.10416,-0.0013805,0.0,0.0009935,0.110746
MASTER_LEFT_LIN_VEL_Y,4383.0,-3.6887748117727565e-05,0.010324984948593125,-0.078299,-0.003134,0.0,0.0026615,0.079951
MASTER_LEFT_LIN_VEL_Z,4383.0,-6.518183892311205e-05,0.012924113071224257,-0.092224,-0.0021644999999999998,0.0,0.0020105,0.072159
MASTER_LEFT_ROT_VEL_X,4383.0,-0.0038789650924024675,0.7163318212933403,-7.236396,-0.0092695,0.0,0.010354,6.218911
MASTER_LEFT_ROT_VEL_Y,4383.0,0.006328653433721197,0.43243537361208856,-3.223088,-0.014715,0.0,0.036711499999999994,3.511716
MASTER_LEFT_ROT_VEL_Z,4383.0,-0.005133416837782342,0.530360071468259,-5.546568,-0.0300245,0.0,0.026303,5.150504
MASTER_LEFT_GRIPPER_ANGLE,4383.0,-0.5785801597079625,1.0922231236373523,-1.922277,-1.9148105000000002,0.237111,0.4425675,0.523136
MASTER_RIGHT_POS_X,4383.0,-0.092149787816564,0.037449015751333824,-0.203169,-0.1146555,-0.103711,-0.06826399999999999,-0.023736
MASTER_RIGHT_POS_Y,4383.0,0.07112508008213551,0.011291436945981986,0.036548,0.065692,0.072048,0.0783755,0.096033
MASTER_RIGHT_POS_Z,4383.0,0.3445504574492357,0.025005185951099577,0.287315,0.3247165,0.35103,0.3615875,0.402852
MASTER_RIGHT_ROT_R11,4383.0,0.3332903426876569,0.28697659660516933,-0.652384,0.1648635,0.431445,0.5429985,0.720532
MASTER_RIGHT_ROT_R12,4383.0,0.4246520280629706,0.32235717610539805,-0.412739,0.2790665,0.45358,0.6728065000000001,0.904284
MASTER_RIGHT_ROT_R13,4383.0,0.7067726427104724,0.1510960159399397,0.279745,0.6022305,0.667521,0.796373,0.996973
MASTER_RIGHT_ROT_R21,4383.0,-0.7318573921971253,0.23792086648011987,-0.997421,-0.8904380000000001,-0.812961,-0.69188,0.198852
MASTER_RIGHT_ROT_R22,4383.0,0.4588600543007073,0.31838346081132424,-0.346902,0.30713900000000005,0.438054,0.680219,0.997671
MASTER_RIGHT_ROT_R23,4383.0,0.20454263244353185,0.23238417860897181,-0.676423,0.14654250000000002,0.241121,0.321189,0.588359
MASTER_RIGHT_ROT_R31,4383.0,-0.2820032767510837,0.3673511383746719,-0.999418,-0.39941150000000003,-0.203614,-0.06700700000000001,0.531922
MASTER_RIGHT_ROT_R32,4383.0,-0.6075200353639061,0.1883713642225503,-0.946835,-0.702909,-0.639293,-0.5396885,0.375112
MASTER_RIGHT_ROT_R33,4383.0,0.5617009765001141,0.25567908505247244,-0.386072,0.4283125,0.673023,0.750529,0.958158
MASTER_RIGHT_LIN_VEL_X,4383.0,8.210449463837564e-05,0.02126399963748286,-0.245931,-0.001123,0.0,0.0017555000000000001,0.104594
MASTER_RIGHT_LIN_VEL_Y,4383.0,1.7247091033538607e-05,0.010346719877083438,-0.076643,-0.0026485,0.0,0.0023994999999999997,0.095811
MASTER_RIGHT_LIN_VEL_Z,4383.0,0.00013362263289984046,0.01709550410445798,-0.13693,-0.001225,4e-06,0.0022069999999999998,0.115991
MASTER_RIGHT_ROT_VEL_X,4383.0,-0.004417870636550312,0.6467778957756651,-6.191448,-0.0211285,0.0,0.011378,5.463683
MASTER_RIGHT_ROT_VEL_Y,4383.0,0.0021957622632899866,0.4756731431861788,-5.559132,-0.0180575,0.0,0.015435,4.411014
MASTER_RIGHT_ROT_VEL_Z,4383.0,-0.003226213324207164,0.4822876961733585,-4.090081,-0.029245,0.0,0.0292165,4.630565
MASTER_RIGHT_GRIPPER_ANGLE,4383.0,-0.6939466887976271,0.7344737223847942,-1.405782,-1.2910795,-1.161439,0.21834399999999998,0.533311
SLAVE_LEFT_POS_X,4383.0,0.04321844261921058,0.018724406870378938,-0.01229,0.0319655,0.037438,0.055161,0.077425
SLAVE_LEFT_POS_Y,4383.0,0.052885653433721196,0.0056458726541254054,0.035589,0.0501685,0.053347,0.056514999999999996,0.065347
SLAVE_LEFT_POS_Z,4383.0,-0.011919420488250057,0.01250295152064227,-0.040553,-0.021832999999999998,-0.00868,-0.0034029999999999998,0.017234
SLAVE_LEFT_ROT_R11,4383.0,-0.20373828062970567,0.2854704791222809,-0.608931,-0.409543,-0.293291,-0.025954,0.760614
SLAVE_LEFT_ROT_R12,4383.0,-0.5181848984713667,0.309355791577765,-0.953506,-0.751746,-0.561852,-0.40112800000000004,0.340467
SLAVE_LEFT_ROT_R13,4383.0,0.6935074458133699,0.17853388061921063,0.226115,0.567455,0.679194,0.8170195,0.999994
SLAVE_LEFT_ROT_R21,4383.0,0.7904995608031029,0.21483698454380012,-0.06251,0.757921,0.866255,0.9398154999999999,0.999983
SLAVE_LEFT_ROT_R22,4383.0,-0.3972642562172028,0.339638827423234,-0.999316,-0.6238805000000001,-0.383559,-0.222886,0.471464
SLAVE_LEFT_ROT_R23,4383.0,0.07302820237280401,0.22471269153700768,-0.739727,0.009721500000000001,0.098997,0.18748700000000001,0.498256
SLAVE_LEFT_ROT_R31,4383.0,0.2913673636778462,0.3480131646261067,-0.493912,0.098057,0.194881,0.4123035,0.987752
SLAVE_LEFT_ROT_R32,4383.0,0.5801835690166554,0.16139910316466172,-0.249761,0.497208,0.581025,0.658712,0.951015
SLAVE_LEFT_ROT_R33,4383.0,0.5854518441706593,0.2977038226490512,-0.513614,0.4676315,0.707392,0.7998015,0.970045
SLAVE_LEFT_LIN_VEL_X,4383.0,3.5289527720739314e-05,0.010691295045450732,-0.123034,-0.0005269999999999999,1e-06,0.0009235000000000001,0.052582
SLAVE_LEFT_LIN_VEL_Y,4383.0,2.929956650695862e-06,0.005118300056390954,-0.038211,-0.0013645,-1e-06,0.0012455,0.048991
SLAVE_LEFT_LIN_VEL_Z,4383.0,7.257677389915589e-05,0.008539249975534359,-0.069848,-0.0006385,5e-06,0.001145,0.05577
SLAVE_LEFT_ROT_VEL_X,4383.0,-0.015345346566278806,0.6078508710786568,-5.740448,-0.022795000000000003,-2e-06,0.0114135,5.677455
SLAVE_LEFT_ROT_VEL_Y,4383.0,-0.005009123203285416,0.48388459124264155,-3.768495,-0.0190995,-4e-06,0.015182500000000002,3.807906
SLAVE_LEFT_ROT_VEL_Z,4383.0,-0.003119753137120694,0.48017713317461796,-4.415118,-0.025798,7e-06,0.0271995,5.243019
SLAVE_LEFT_GRIPPER_ANGLE,4383.0,-0.44251450011407717,0.49070898600790414,-0.878301,-0.8045755,-0.757793,0.1136075,0.523059
SLAVE_RIGHT_POS_X,4383.0,0.07995363404061145,0.016571943998083864,0.049704,0.0680965,0.073512,0.098045,0.119707
SLAVE_RIGHT_POS_Y,4383.0,0.04195393588866074,0.004773898691078895,0.032253,0.038089,0.042497,0.045589500000000005,0.055665
SLAVE_RIGHT_POS_Z,4383.0,-0.052299360027378505,0.01219800710945176,-0.076686,-0.0643825,-0.050692,-0.042791499999999996,-0.033125
SLAVE_RIGHT_ROT_R11,4383.0,-0.2012167962582706,0.32469634559419625,-0.819951,-0.457967,-0.248627,0.064303,0.620917
SLAVE_RIGHT_ROT_R12,4383.0,0.009933292950034228,0.3907959705608468,-0.641374,-0.3428555,-0.039731,0.2580925,0.904305
SLAVE_RIGHT_ROT_R13,4383.0,-0.8242679623545517,0.1480150542431716,-0.999911,-0.928426,-0.876764,-0.7737585,-0.21625
SLAVE_RIGHT_ROT_R21,4383.0,-0.16131181086014146,0.40091071028509623,-0.906116,-0.413607,-0.310792,0.133453,0.926804
SLAVE_RIGHT_ROT_R22,4383.0,-0.8226015149441023,0.1674807130995678,-0.999856,-0.9245639999999999,-0.887431,-0.769516,-0.096148
SLAVE_RIGHT_ROT_R23,4383.0,0.09936072940908057,0.31419355763980306,-0.71114,-0.083481,0.18049,0.320627,0.660864
SLAVE_RIGHT_ROT_R31,4383.0,-0.787426350673055,0.21763019109929374,-0.999447,-0.9387574999999999,-0.836289,-0.730478,0.148161
SLAVE_RIGHT_ROT_R32,4383.0,0.10103853045859001,0.3637553109205003,-0.883934,-0.1176935,0.216801,0.393489,0.642244
SLAVE_RIGHT_ROT_R33,4383.0,0.23136775975359342,0.36960734293191455,-0.531617,-0.02307,0.26396,0.4676945,0.92446
SLAVE_RIGHT_LIN_VEL_X,4383.0,-3.061031257129827e-05,0.008026698312063506,-0.057581,-0.000642,-1e-06,0.000478,0.054517
SLAVE_RIGHT_LIN_VEL_Y,4383.0,3.8066849190052496e-05,0.0051764985124798735,-0.039576,-0.001367,-2e-06,0.001422,0.039355
SLAVE_RIGHT_LIN_VEL_Z,4383.0,-8.10098106319872e-05,0.006506316358821097,-0.046203,-0.001086,-1e-06,0.0010075,0.036303
SLAVE_RIGHT_ROT_VEL_X,4383.0,-0.0009277780059320094,0.7974088098139626,-8.009565,-0.010409000000000002,-2e-06,0.0127325,5.741908
SLAVE_RIGHT_ROT_VEL_Y,4383.0,0.00786808373260324,0.4553267802140292,-3.055387,-0.015509,9e-06,0.0310145,3.538747
SLAVE_RIGHT_ROT_VEL_Z,4383.0,-2.2954369153544644e-05,0.5212159963639492,-4.821251,-0.0296195,0.0,0.0260545,4.788395
SLAVE_RIGHT_GRIPPER_ANGLE,4383.0,-0.16971825667351131,0.6016200411128078,-0.917875,-0.8065925,0.128654,0.412616,0.522511
