Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3653.0,0.08289764987681357,0.035720909610855965,0.028444,0.053794,0.074394,0.111892,0.161031
MASTER_LEFT_POS_Y,3653.0,0.033188481795784285,0.01263988825600631,0.003292,0.026255,0.034503,0.042485,0.062374
MASTER_LEFT_POS_Z,3653.0,0.38639644319737204,0.02111702649350907,0.337905,0.375156,0.391336,0.400554,0.421612
MASTER_LEFT_ROT_R11,3653.0,-0.4283371231864221,0.3163360337808645,-0.999971,-0.715911,-0.418435,-0.114524,0.366401
MASTER_LEFT_ROT_R12,3653.0,0.45475769668765403,0.43381335208052774,-0.590995,0.17421,0.497808,0.87944,0.987052
MASTER_LEFT_ROT_R13,3653.0,-0.48738095428415,0.2899435324744693,-0.983913,-0.755757,-0.491623,-0.24747,0.267162
MASTER_LEFT_ROT_R21,3653.0,-0.5133563892690939,0.514879217769426,-0.998536,-0.919197,-0.652849,-0.279006,0.941584
MASTER_LEFT_ROT_R22,3653.0,-0.583270556802628,0.3138651094046544,-0.999238,-0.888937,-0.605517,-0.313781,-0.00396
MASTER_LEFT_ROT_R23,3653.0,0.024799575417465098,0.17920343326256322,-0.523582,-0.079671,0.036018,0.152162,0.441187
MASTER_LEFT_ROT_R31,3653.0,-0.32475158390364084,0.2866099376954793,-0.88381,-0.564725,-0.344404,-0.077891,0.316371
MASTER_LEFT_ROT_R32,3653.0,0.18369542841500136,0.3635982056723235,-0.945038,0.111819,0.243148,0.422791,0.824805
MASTER_LEFT_ROT_R33,3653.0,0.7759424790583082,0.21084266076914412,0.130549,0.634186,0.848466,0.941969,0.999816
MASTER_LEFT_LIN_VEL_X,3653.0,-0.00014243553243909103,0.014686004831702069,-0.126851,-0.002319,0.0,0.001545,0.073555
MASTER_LEFT_LIN_VEL_Y,3653.0,4.563920065699424e-05,0.012920154345168461,-0.072409,-0.003791,0.0,0.00353,0.078193
MASTER_LEFT_LIN_VEL_Z,3653.0,-1.7000821242814062e-05,0.016130754934099496,-0.094393,-0.002864,0.0,0.003073,0.081369
MASTER_LEFT_ROT_VEL_X,3653.0,0.019327218450588563,0.6766624405949886,-5.920922,-0.024176,0.0,0.026312,5.030275
MASTER_LEFT_ROT_VEL_Y,3653.0,0.0024520741856008743,0.4687249528004504,-3.407098,-0.026499,0.0,0.020668,3.513038
MASTER_LEFT_ROT_VEL_Z,3653.0,0.0020514254037777135,0.920743588361822,-5.544203,-0.029553,0.0,0.037179,5.658113
MASTER_LEFT_GRIPPER_ANGLE,3653.0,-0.6294886665754174,0.9435626022320628,-1.920266,-1.624927,-0.226889,0.249467,0.523317
MASTER_RIGHT_POS_X,3653.0,-0.09920327648508077,0.04527005906981745,-0.209764,-0.12198,-0.100112,-0.055661,-0.036628
MASTER_RIGHT_POS_Y,3653.0,0.07001870681631536,0.0126907563841615,0.038308,0.066554,0.07241,0.077952,0.091479
