Variable,count,mean,std,min,25%,50%,75%,max
MASTER_LEFT_POS_X,3443.0,0.12463910078419983,0.037886571342603786,0.070366,0.092775,0.118561,0.156218,0.210671
MASTER_LEFT_POS_Y,3443.0,0.030965545164101077,0.010530235609399329,0.007974,0.023179,0.030549,0.0351515,0.074503
MASTER_LEFT_POS_Z,3443.0,0.38352190589602086,0.022037428302045213,0.328434,0.36268100000000003,0.387288,0.400486,0.421884
MASTER_LEFT_ROT_R11,3443.0,-0.402076155968632,0.3229170599321091,-0.812369,-0.62452,-0.514634,-0.30762449999999997,0.621781
MASTER_LEFT_ROT_R12,3443.0,-0.23147075544583215,0.3255885991182642,-0.875897,-0.45508550000000003,-0.245401,0.05663,0.385545
MASTER_LEFT_ROT_R13,3443.0,-0.7345038268951495,0.1873322510624386,-0.979062,-0.8260215,-0.774854,-0.712515,0.025902
MASTER_LEFT_ROT_R21,3443.0,-0.3128677176880627,0.34491011307968544,-0.926876,-0.5496909999999999,-0.402161,-0.117337,0.633095
MASTER_LEFT_ROT_R22,3443.0,-0.6554509976764449,0.233212485727359,-0.980955,-0.8340375,-0.717116,-0.5567305,-0.005633
MASTER_LEFT_ROT_R23,3443.0,0.4856638649433634,0.25163047553982654,-0.337125,0.2668775,0.515178,0.6440565,0.991903
MASTER_LEFT_ROT_R31,3443.0,-0.6808546575660761,0.23060370815568557,-1.000006,-0.8454745,-0.676219,-0.5977295,0.050068
MASTER_LEFT_ROT_R32,3443.0,0.4606035803078711,0.3802068951508141,-0.699634,0.350086,0.543389,0.7158804999999999,0.987487
MASTER_LEFT_ROT_R33,3443.0,0.22078311094975311,0.27911974697971725,-0.590854,0.05068,0.272554,0.398656,0.754924
MASTER_LEFT_LIN_VEL_X,3443.0,6.635492303223935e-05,0.018323908328038988,-0.173421,-0.0018419999999999999,-2e-06,0.002005,0.091328
MASTER_LEFT_LIN_VEL_Y,3443.0,-0.00022850421144350862,0.014499276387429177,-0.088587,-0.0043155,-1.2e-05,0.004991,0.078726
MASTER_LEFT_LIN_VEL_Z,3443.0,0.00012374266627940752,0.016127143264344175,-0.069663,-0.003565,-1.1e-05,0.003787,0.118006
