Feature,Trial_ID,Trial_Name,Task,Subject,Self_Proclaimed_Skill,GRS_Total,Feature_Value,Lower_Bound,Upper_Bound
Left_Mean_Speed,6,Knot_Tying_C002,Knot Tying,C,I,22,0.0428242839561368,0.00525578636426495,0.04103530478734575
Left_Mean_Speed,73,Suturing_C004,Suturing,C,I,30,0.0431974438355846,0.00525578636426495,0.04103530478734575
Left_Mean_Speed,89,Suturing_F005,Suturing,F,I,29,0.0416313742068645,0.00525578636426495,0.04103530478734575
Left_Median_Speed,3,Knot_Tying_B003,Knot Tying,B,N,11,0.0064303256501808,0.010037735611843523,0.018723424341623728
Left_Median_Speed,5,Knot_Tying_C001,Knot Tying,C,I,20,0.0239099081344952,0.010037735611843523,0.018723424341623728
Left_Median_Speed,6,Knot_Tying_C002,Knot Tying,C,I,22,0.0219252457345443,0.010037735611843523,0.018723424341623728
Left_Median_Speed,7,Knot_Tying_C003,Knot Tying,C,I,18,0.0205386381486212,0.010037735611843523,0.018723424341623728
Left_Median_Speed,9,Knot_Tying_C005,Knot Tying,C,I,20,0.0188484720145884,0.010037735611843523,0.018723424341623728
Left_Median_Speed,10,Knot_Tying_D001,Knot Tying,D,E,14,0.0083691984681927,0.010037735611843523,0.018723424341623728
Left_Median_Speed,25,Knot_Tying_G001,Knot Tying,G,N,9,0.018966155488132,0.010037735611843523,0.018723424341623728
Left_Median_Speed,34,Knot_Tying_I002,Knot Tying,I,N,8,0.0251430807560111,0.010037735611843523,0.018723424341623728
Left_Median_Speed,39,Needle_Passing_B003,Needle Passing,B,N,14,0.0033318310874126,0.010037735611843523,0.018723424341623728
Left_Median_Speed,40,Needle_Passing_B004,Needle Passing,B,N,19,0.0079979384268525,0.010037735611843523,0.018723424341623728
Left_Median_Speed,47,Needle_Passing_D002,Needle Passing,D,E,11,0.0049650967764989,0.010037735611843523,0.018723424341623728
Left_Median_Speed,53,Needle_Passing_E004,Needle Passing,E,E,14,0.0047421912023783,0.010037735611843523,0.018723424341623728
Left_Median_Speed,54,Needle_Passing_E005,Needle Passing,E,E,17,0.0051728021741241,0.010037735611843523,0.018723424341623728
Left_Median_Speed,82,Suturing_E003,Suturing,E,E,19,0.008636457491356,0.010037735611843523,0.018723424341623728
Left_Median_Speed,92,Suturing_G003,Suturing,G,N,13,0.0085285436036875,0.010037735611843523,0.018723424341623728
Left_Max_Speed,70,Suturing_C001,Suturing,C,I,26,0.4770355692754996,0.02645122629824545,0.376787712947992
Left_Max_Speed,71,Suturing_C002,Suturing,C,I,20,0.4222172076112009,0.02645122629824545,0.376787712947992
Left_Max_Speed,72,Suturing_C003,Suturing,C,I,26,0.5139933197046437,0.02645122629824545,0.376787712947992
Left_Max_Speed,73,Suturing_C004,Suturing,C,I,30,0.4988516130895037,0.02645122629824545,0.376787712947992
Left_Max_Speed,74,Suturing_C005,Suturing,C,I,17,0.4457533675543013,0.02645122629824545,0.376787712947992
Left_Speed_Std,70,Suturing_C001,Suturing,C,I,26,0.0597491301416362,0.007313486603026973,0.05263851912051437
Left_Speed_Std,72,Suturing_C003,Suturing,C,I,26,0.0568239889604908,0.007313486603026973,0.05263851912051437
Left_Speed_Std,73,Suturing_C004,Suturing,C,I,30,0.0702586669853522,0.007313486603026973,0.05263851912051437
Left_Speed_Std,74,Suturing_C005,Suturing,C,I,17,0.0634721550653397,0.007313486603026973,0.05263851912051437
Left_Speed_Std,89,Suturing_F005,Suturing,F,I,29,0.0562359719408506,0.007313486603026973,0.05263851912051437
Right_Mean_Speed,6,Knot_Tying_C002,Knot Tying,C,I,22,0.0392028966553138,0.004878174670154851,0.038018355734583245
Right_Mean_Speed,7,Knot_Tying_C003,Knot Tying,C,I,18,0.0435564693015305,0.004878174670154851,0.038018355734583245
Right_Mean_Speed,8,Knot_Tying_C004,Knot Tying,C,I,20,0.0395015033582581,0.004878174670154851,0.038018355734583245
Right_Mean_Speed,21,Knot_Tying_F002,Knot Tying,F,I,20,0.0388881571406468,0.004878174670154851,0.038018355734583245
Right_Median_Speed,5,Knot_Tying_C001,Knot Tying,C,I,20,0.0204285126477675,0.009355787985079179,0.019953639692851372
Right_Median_Speed,6,Knot_Tying_C002,Knot Tying,C,I,22,0.0252950135358937,0.009355787985079179,0.019953639692851372
Right_Median_Speed,7,Knot_Tying_C003,Knot Tying,C,I,18,0.0315667670343353,0.009355787985079179,0.019953639692851372
Right_Median_Speed,8,Knot_Tying_C004,Knot Tying,C,I,20,0.0267503311942114,0.009355787985079179,0.019953639692851372
Right_Median_Speed,9,Knot_Tying_C005,Knot Tying,C,I,20,0.0229374179093892,0.009355787985079179,0.019953639692851372
Right_Median_Speed,10,Knot_Tying_D001,Knot Tying,D,E,14,0.0289215884245661,0.009355787985079179,0.019953639692851372
Right_Median_Speed,11,Knot_Tying_D002,Knot Tying,D,E,16,0.0278676826090724,0.009355787985079179,0.019953639692851372
Right_Median_Speed,12,Knot_Tying_D003,Knot Tying,D,E,12,0.0210612525154701,0.009355787985079179,0.019953639692851372
Right_Median_Speed,13,Knot_Tying_D004,Knot Tying,D,E,19,0.0245643763609011,0.009355787985079179,0.019953639692851372
Right_Median_Speed,14,Knot_Tying_D005,Knot Tying,D,E,18,0.0219672243612223,0.009355787985079179,0.019953639692851372
Right_Median_Speed,15,Knot_Tying_E001,Knot Tying,E,E,18,0.0216746569280419,0.009355787985079179,0.019953639692851372
Right_Median_Speed,16,Knot_Tying_E002,Knot Tying,E,E,19,0.0214361584244938,0.009355787985079179,0.019953639692851372
Right_Median_Speed,20,Knot_Tying_F001,Knot Tying,F,I,16,0.0237901869997981,0.009355787985079179,0.019953639692851372
Right_Median_Speed,21,Knot_Tying_F002,Knot Tying,F,I,20,0.0268117523149216,0.009355787985079179,0.019953639692851372
Right_Median_Speed,31,Knot_Tying_H004,Knot Tying,H,N,22,0.0025675422099743,0.009355787985079179,0.019953639692851372
Right_Median_Speed,40,Needle_Passing_B004,Needle Passing,B,N,19,0.0084816837002767,0.009355787985079179,0.019953639692851372
Right_Median_Speed,77,Suturing_D003,Suturing,D,E,14,0.0201942547027613,0.009355787985079179,0.019953639692851372
Right_Median_Speed,78,Suturing_D004,Suturing,D,E,8,0.0200998882994063,0.009355787985079179,0.019953639692851372
Right_Median_Speed,79,Suturing_D005,Suturing,D,E,15,0.0205488353441259,0.009355787985079179,0.019953639692851372
Right_Median_Speed,80,Suturing_E001,Suturing,E,E,17,0.007647044265597,0.009355787985079179,0.019953639692851372
Right_Median_Speed,84,Suturing_E005,Suturing,E,E,19,0.0090999212084501,0.009355787985079179,0.019953639692851372
Right_Max_Speed,6,Knot_Tying_C002,Knot Tying,C,I,22,0.3555538015968891,0.018346712572328686,0.32230528054852325
Right_Max_Speed,42,Needle_Passing_C002,Needle Passing,C,I,9,0.3568906773355112,0.018346712572328686,0.32230528054852325
Right_Speed_Std,6,Knot_Tying_C002,Knot Tying,C,I,22,0.0451127195330193,0.004471726517961631,0.045107271930019815
Left_Idle_Time,90,Suturing_G001,Suturing,G,N,13,106.33333333333331,-12.966666666666667,55.03333333333333
Left_Idle_Time,92,Suturing_G003,Suturing,G,N,13,57.766666666666666,-12.966666666666667,55.03333333333333
Right_Idle_Ratio,31,Knot_Tying_H004,Knot Tying,H,N,22,0.3882718791648156,0.005030709084997101,0.29178829196678174
Right_Idle_Time,90,Suturing_G001,Suturing,G,N,13,55.53333333333333,-9.225000000000009,38.44166666666668
Left_Mean_Acceleration,6,Knot_Tying_C002,Knot Tying,C,I,22,0.2600402036721428,0.08617424532568982,0.2380454985123047
Left_Mean_Acceleration,7,Knot_Tying_C003,Knot Tying,C,I,18,0.2518494418417843,0.08617424532568982,0.2380454985123047
Left_Mean_Acceleration,73,Suturing_C004,Suturing,C,I,30,0.2424329644811793,0.08617424532568982,0.2380454985123047
Left_Median_Acceleration,6,Knot_Tying_C002,Knot Tying,C,I,22,0.1876391177967959,-0.029172370694656655,0.16752836790853975
Left_Median_Acceleration,7,Knot_Tying_C003,Knot Tying,C,I,18,0.1922120773997876,-0.029172370694656655,0.16752836790853975
Left_Max_Acceleration,48,Needle_Passing_D003,Needle Passing,D,E,10,3.3260865985384234,-0.02877242384457057,2.968494993300778
Left_Max_Acceleration,85,Suturing_F001,Suturing,F,I,24,3.1631594183541125,-0.02877242384457057,2.968494993300778
Left_Max_Acceleration,89,Suturing_F005,Suturing,F,I,29,3.881656180237942,-0.02877242384457057,2.968494993300778
Left_Acceleration_Std,6,Knot_Tying_C002,Knot Tying,C,I,22,0.2677161343600764,0.11815059018239227,0.2622578123824235
Left_Acceleration_Std,7,Knot_Tying_C003,Knot Tying,C,I,18,0.2810724844708772,0.11815059018239227,0.2622578123824235
Left_Acceleration_Std,8,Knot_Tying_C004,Knot Tying,C,I,20,0.2713104018760239,0.11815059018239227,0.2622578123824235
Left_Acceleration_Std,70,Suturing_C001,Suturing,C,I,26,0.2764240706225274,0.11815059018239227,0.2622578123824235
Left_Acceleration_Std,73,Suturing_C004,Suturing,C,I,30,0.2941756861498592,0.11815059018239227,0.2622578123824235
Left_Acceleration_Std,74,Suturing_C005,Suturing,C,I,17,0.2631541805721885,0.11815059018239227,0.2622578123824235
Right_Mean_Acceleration,5,Knot_Tying_C001,Knot Tying,C,I,20,0.2455400068296574,0.10486441951153899,0.21880727358268212
Right_Mean_Acceleration,6,Knot_Tying_C002,Knot Tying,C,I,22,0.253626420131844,0.10486441951153899,0.21880727358268212
Right_Mean_Acceleration,7,Knot_Tying_C003,Knot Tying,C,I,18,0.2713646741711635,0.10486441951153899,0.21880727358268212
Right_Mean_Acceleration,8,Knot_Tying_C004,Knot Tying,C,I,20,0.2670470692081652,0.10486441951153899,0.21880727358268212
Right_Mean_Acceleration,9,Knot_Tying_C005,Knot Tying,C,I,20,0.2527090910603658,0.10486441951153899,0.21880727358268212
Right_Mean_Acceleration,70,Suturing_C001,Suturing,C,I,26,0.2236398566661077,0.10486441951153899,0.21880727358268212
Right_Median_Acceleration,5,Knot_Tying_C001,Knot Tying,C,I,20,0.1843196209781288,0.007759916071384071,0.16687044781825203
Right_Median_Acceleration,6,Knot_Tying_C002,Knot Tying,C,I,22,0.1885065528729464,0.007759916071384071,0.16687044781825203
Right_Median_Acceleration,7,Knot_Tying_C003,Knot Tying,C,I,18,0.2167135662536267,0.007759916071384071,0.16687044781825203
Right_Median_Acceleration,8,Knot_Tying_C004,Knot Tying,C,I,20,0.1931735741159808,0.007759916071384071,0.16687044781825203
Right_Median_Acceleration,9,Knot_Tying_C005,Knot Tying,C,I,20,0.1749179833369092,0.007759916071384071,0.16687044781825203
Right_Median_Acceleration,70,Suturing_C001,Suturing,C,I,26,0.1687311474410014,0.007759916071384071,0.16687044781825203
Right_Max_Acceleration,8,Knot_Tying_C004,Knot Tying,C,I,20,2.7898123865526676,0.16598531876237288,2.589201450923907
Right_Max_Acceleration,42,Needle_Passing_C002,Needle Passing,C,I,9,3.6912548607950937,0.16598531876237288,2.589201450923907
Right_Max_Acceleration,71,Suturing_C002,Suturing,C,I,20,2.8274939553294702,0.16598531876237288,2.589201450923907
Right_Max_Acceleration,85,Suturing_F001,Suturing,F,I,24,2.9028351093734988,0.16598531876237288,2.589201450923907
Right_Acceleration_Std,5,Knot_Tying_C001,Knot Tying,C,I,20,0.2425592552175242,0.11665564057341857,0.2390432148944502
Right_Acceleration_Std,6,Knot_Tying_C002,Knot Tying,C,I,22,0.2612581759838748,0.11665564057341857,0.2390432148944502
Right_Acceleration_Std,7,Knot_Tying_C003,Knot Tying,C,I,18,0.2803358841137293,0.11665564057341857,0.2390432148944502
Right_Acceleration_Std,8,Knot_Tying_C004,Knot Tying,C,I,20,0.2872423511300073,0.11665564057341857,0.2390432148944502
Right_Acceleration_Std,9,Knot_Tying_C005,Knot Tying,C,I,20,0.2855820243526362,0.11665564057341857,0.2390432148944502
Left_Mean_Jerk,5,Knot_Tying_C001,Knot Tying,C,I,20,10.661945302640982,4.994304091281487,10.377734945306395
Left_Mean_Jerk,6,Knot_Tying_C002,Knot Tying,C,I,22,11.154494018621923,4.994304091281487,10.377734945306395
Left_Mean_Jerk,7,Knot_Tying_C003,Knot Tying,C,I,18,10.882070391250783,4.994304091281487,10.377734945306395
Left_Mean_Jerk,43,Needle_Passing_C003,Needle Passing,C,I,7,10.545973954481402,4.994304091281487,10.377734945306395
Left_Max_Jerk,4,Knot_Tying_B004,Knot Tying,B,N,8,86.71768563237899,18.014658179890688,80.03298747293397
Left_Max_Jerk,5,Knot_Tying_C001,Knot Tying,C,I,20,82.89107418899904,18.014658179890688,80.03298747293397
Left_Max_Jerk,8,Knot_Tying_C004,Knot Tying,C,I,20,88.28107469890467,18.014658179890688,80.03298747293397
Left_Max_Jerk,11,Knot_Tying_D002,Knot Tying,D,E,16,83.653346188939,18.014658179890688,80.03298747293397
Left_Max_Jerk,48,Needle_Passing_D003,Needle Passing,D,E,10,141.63863323644478,18.014658179890688,80.03298747293397
Left_Max_Jerk,70,Suturing_C001,Suturing,C,I,26,81.80534482191811,18.014658179890688,80.03298747293397
Left_Max_Jerk,73,Suturing_C004,Suturing,C,I,30,84.92106123870396,18.014658179890688,80.03298747293397
Left_Max_Jerk,74,Suturing_C005,Suturing,C,I,17,103.43326499580502,18.014658179890688,80.03298747293397
Left_Max_Jerk,89,Suturing_F005,Suturing,F,I,29,101.69958193247248,18.014658179890688,80.03298747293397
Left_Jerk_Std,5,Knot_Tying_C001,Knot Tying,C,I,20,9.528750471719713,6.534798458303103,9.013091978880293
Left_Jerk_Std,6,Knot_Tying_C002,Knot Tying,C,I,22,9.547466900595172,6.534798458303103,9.013091978880293
Left_Jerk_Std,7,Knot_Tying_C003,Knot Tying,C,I,18,9.569361024494247,6.534798458303103,9.013091978880293
Left_Jerk_Std,8,Knot_Tying_C004,Knot Tying,C,I,20,10.102910412151846,6.534798458303103,9.013091978880293
Left_Jerk_Std,45,Needle_Passing_C005,Needle Passing,C,I,12,9.247435527558132,6.534798458303103,9.013091978880293
Left_Jerk_Std,70,Suturing_C001,Suturing,C,I,26,10.106196793227417,6.534798458303103,9.013091978880293
Left_Jerk_Std,71,Suturing_C002,Suturing,C,I,20,9.019001599869163,6.534798458303103,9.013091978880293
Left_Jerk_Std,72,Suturing_C003,Suturing,C,I,26,9.164118467991036,6.534798458303103,9.013091978880293
Left_Jerk_Std,73,Suturing_C004,Suturing,C,I,30,9.877752258108424,6.534798458303103,9.013091978880293
Left_Jerk_Std,74,Suturing_C005,Suturing,C,I,17,10.156282184434067,6.534798458303103,9.013091978880293
Right_Mean_Jerk,5,Knot_Tying_C001,Knot Tying,C,I,20,11.136463400833268,5.968157496865116,9.54961623568378
Right_Mean_Jerk,6,Knot_Tying_C002,Knot Tying,C,I,22,10.457265054783756,5.968157496865116,9.54961623568378
Right_Mean_Jerk,7,Knot_Tying_C003,Knot Tying,C,I,18,10.788962669441592,5.968157496865116,9.54961623568378
Right_Mean_Jerk,8,Knot_Tying_C004,Knot Tying,C,I,20,11.216007211614889,5.968157496865116,9.54961623568378
Right_Mean_Jerk,9,Knot_Tying_C005,Knot Tying,C,I,20,10.356902341085258,5.968157496865116,9.54961623568378
Right_Mean_Jerk,31,Knot_Tying_H004,Knot Tying,H,N,22,5.528494432694202,5.968157496865116,9.54961623568378
Right_Mean_Jerk,42,Needle_Passing_C002,Needle Passing,C,I,9,9.63678210367219,5.968157496865116,9.54961623568378
Right_Mean_Jerk,70,Suturing_C001,Suturing,C,I,26,10.236131952617686,5.968157496865116,9.54961623568378
Right_Mean_Jerk,71,Suturing_C002,Suturing,C,I,20,9.86083145364486,5.968157496865116,9.54961623568378
Right_Mean_Jerk,73,Suturing_C004,Suturing,C,I,30,9.780757601276472,5.968157496865116,9.54961623568378
Right_Mean_Jerk,74,Suturing_C005,Suturing,C,I,17,9.865558692523944,5.968157496865116,9.54961623568378
Right_Median_Jerk,5,Knot_Tying_C001,Knot Tying,C,I,20,9.359177633480286,3.1204409497088568,8.890114824505687
Right_Median_Jerk,6,Knot_Tying_C002,Knot Tying,C,I,22,8.926698004014856,3.1204409497088568,8.890114824505687
Right_Median_Jerk,7,Knot_Tying_C003,Knot Tying,C,I,18,9.009385793106295,3.1204409497088568,8.890114824505687
Right_Median_Jerk,8,Knot_Tying_C004,Knot Tying,C,I,20,9.044939585667214,3.1204409497088568,8.890114824505687
Right_Median_Jerk,31,Knot_Tying_H004,Knot Tying,H,N,22,2.0028481474603277,3.1204409497088568,8.890114824505687
Right_Median_Jerk,94,Suturing_G005,Suturing,G,N,23,2.814247879386479,3.1204409497088568,8.890114824505687
Right_Max_Jerk,5,Knot_Tying_C001,Knot Tying,C,I,20,91.33288715806324,14.559288542130883,81.16594869284621
Right_Max_Jerk,8,Knot_Tying_C004,Knot Tying,C,I,20,81.19136025039961,14.559288542130883,81.16594869284621
Right_Max_Jerk,41,Needle_Passing_C001,Needle Passing,C,I,11,85.9797904523615,14.559288542130883,81.16594869284621
Right_Max_Jerk,42,Needle_Passing_C002,Needle Passing,C,I,9,126.17746331016176,14.559288542130883,81.16594869284621
Right_Max_Jerk,44,Needle_Passing_C004,Needle Passing,C,I,12,110.6258889569372,14.559288542130883,81.16594869284621
Right_Max_Jerk,71,Suturing_C002,Suturing,C,I,20,84.65719290780919,14.559288542130883,81.16594869284621
Right_Max_Jerk,96,Suturing_H003,Suturing,H,N,25,84.40024449433005,14.559288542130883,81.16594869284621
Right_Max_Jerk,100,Suturing_I002,Suturing,I,N,23,88.24842950411309,14.559288542130883,81.16594869284621
Right_Jerk_Std,5,Knot_Tying_C001,Knot Tying,C,I,20,9.958654832834284,5.995188601154767,8.762138716478361
Right_Jerk_Std,7,Knot_Tying_C003,Knot Tying,C,I,18,9.444516044936998,5.995188601154767,8.762138716478361
Right_Jerk_Std,8,Knot_Tying_C004,Knot Tying,C,I,20,10.438684853378048,5.995188601154767,8.762138716478361
Right_Jerk_Std,9,Knot_Tying_C005,Knot Tying,C,I,20,9.826309434091188,5.995188601154767,8.762138716478361
