Feature,Skewness,Absolute_Skewness,Interpretation
Left_Max_Jerk,2.3376199798990123,2.3376199798990123,Highly skewed
Left_Idle_Time,2.157783763513453,2.157783763513453,Highly skewed
Right_Max_Jerk,2.0819448840212313,2.0819448840212313,Highly skewed
Right_Jerk_Std,1.8518898955736167,1.8518898955736167,Highly skewed
Right_Acceleration_Std,1.8471396657189687,1.8471396657189687,Highly skewed
Right_Max_Acceleration,1.5331091381914266,1.5331091381914266,Highly skewed
Left_Jerk_Std,1.479031067615269,1.479031067615269,Highly skewed
Left_Max_Speed,1.4464503107855748,1.4464503107855748,Highly skewed
Left_Max_Acceleration,1.396499922006001,1.396499922006001,Highly skewed
Right_Mean_Acceleration,1.3359699749528489,1.3359699749528489,Highly skewed
Left_Acceleration_Std,1.3203542373792783,1.3203542373792783,Highly skewed
Left_Speed_Std,1.2207832523554645,1.2207832523554645,Highly skewed
Right_Median_Speed,1.1898091790024226,1.1898091790024226,Highly skewed
Left_Median_Acceleration,1.1892861918564532,1.1892861918564532,Highly skewed
Right_Mean_Jerk,1.1700323014465814,1.1700323014465814,Highly skewed
Right_Idle_Time,1.1356576079436953,1.1356576079436953,Highly skewed
Left_Mean_Acceleration,0.9780656871655926,0.9780656871655926,Moderately skewed
Right_Median_Acceleration,0.9462930334008234,0.9462930334008234,Moderately skewed
Right_Mean_Speed,0.9121163499835981,0.9121163499835981,Moderately skewed
Right_Max_Speed,0.8920201457706977,0.8920201457706977,Moderately skewed
Left_Mean_Speed,0.8157387827921454,0.8157387827921454,Moderately skewed
Left_Mean_Jerk,0.7978348030125699,0.7978348030125699,Moderately skewed
Right_Idle_Ratio,0.7936941004335052,0.7936941004335052,Moderately skewed
Right_Speed_Std,0.6751287798293512,0.6751287798293512,Moderately skewed
Left_Median_Speed,-0.3112577669816815,0.3112577669816815,Approximately symmetric
Right_Median_Jerk,0.226782345478607,0.226782345478607,Approximately symmetric
Left_Median_Jerk,0.1586886940260597,0.1586886940260597,Approximately symmetric
Left_Idle_Ratio,-0.10689743534522711,0.10689743534522711,Approximately symmetric
