Feature,Outlier_Count
Right_Median_Speed,21
Left_Median_Speed,15
Right_Mean_Jerk,11
Left_Jerk_Std,10
Left_Max_Jerk,9
Right_Max_Jerk,8
Left_Acceleration_Std,6
Right_Mean_Acceleration,6
Right_Median_Acceleration,6
Right_Median_Jerk,6
Left_Max_Speed,5
Left_Speed_Std,5
Right_Acceleration_Std,5
Right_Mean_Speed,4
Right_Max_Acceleration,4
Left_Mean_Jerk,4
Right_Jerk_Std,4
Left_Mean_Speed,3
Left_Mean_Acceleration,3
Left_Max_Acceleration,3
Right_Max_Speed,2
Left_Idle_Time,2
Left_Median_Acceleration,2
Right_Speed_Std,1
Right_Idle_Ratio,1
Right_Idle_Time,1
