Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.07600860252808989,0.0729705,0.019315173755290717,1.3474922445608641,0.043333,0.149473
MASTER_LEFT_POS_Y,0.03113544698033708,0.025543,0.03137746659567604,1.9770004504945062,-0.005823,0.161425
MASTER_LEFT_POS_Z,0.4180328079353932,0.427237,0.048802812829684274,-1.7404278392034707,0.217915,0.490304
MASTER_LEFT_ROT_R11,-0.47390860744382024,-0.4596865,0.20547294849780556,0.4045513119552164,-0.927646,0.237592
MASTER_LEFT_ROT_R12,0.36061242837078644,0.419523,0.42114341370374625,-0.6364728306045286,-0.625504,0.999992
MASTER_LEFT_ROT_R13,-0.5801461018258427,-0.71295,0.29895250418860525,1.2361089809265817,-0.95208,0.389095
MASTER_LEFT_ROT_R21,-0.4643559375,-0.5612870000000001,0.34695750237546574,1.1817412516412795,-0.943512,0.685579
MASTER_LEFT_ROT_R22,-0.6882792015449438,-0.7525930000000001,0.24956950195368005,0.9931368543255233,-0.999681,0.081459
MASTER_LEFT_ROT_R23,0.1650616113061798,0.1628775,0.31750095468211265,0.49380350914912846,-0.398217,0.931892
MASTER_LEFT_ROT_R31,-0.41316005828651686,-0.5879265,0.4755598103658089,1.189558527624523,-0.964581,0.808173
MASTER_LEFT_ROT_R32,0.31325984796348316,0.367077,0.24119097710530257,-1.106021568035645,-0.477509,0.777085
MASTER_LEFT_ROT_R33,0.6481773999297752,0.6413635,0.1638264981690364,0.08812301326869339,0.228342,0.997462
MASTER_LEFT_LIN_VEL_X,-0.00010659374999999993,0.0,0.02095220137802989,-0.547211554934093,-0.131512,0.092056
MASTER_LEFT_LIN_VEL_Y,-8.274227528089896e-05,0.0,0.03144862660017401,-0.9330163017815274,-0.166506,0.132332
MASTER_LEFT_LIN_VEL_Z,0.00012122787921348351,0.0,0.03841801791252444,0.6645672002948292,-0.129872,0.185706
MASTER_LEFT_ROT_VEL_X,0.01454613553370786,0.0,0.7624934805816166,1.3566747861223756,-4.76298,5.202002
MASTER_LEFT_ROT_VEL_Y,-0.012135756671348315,0.0,0.6408066811590141,-0.23615376687651585,-4.204327,3.908699
MASTER_LEFT_ROT_VEL_Z,0.02990570540730337,0.0,0.8938074211676977,0.8921710348315962,-5.033126,5.215451
MASTER_LEFT_GRIPPER_ANGLE,-0.5945036123595505,-0.062639,0.9426384100941704,-0.5238477927540481,-1.917794,0.523038
MASTER_RIGHT_POS_X,-0.09133360393258427,-0.085699,0.01977296818337866,-0.6067793312327708,-0.137488,-0.05733
MASTER_RIGHT_POS_Y,0.0009738409410112376,0.0022915,0.018352291315260276,-0.110365355122882,-0.039843,0.040262
MASTER_RIGHT_POS_Z,0.4133770410814607,0.41165050000000003,0.02345995375885196,0.008306867154469414,0.361647,0.465302
MASTER_RIGHT_ROT_R11,0.07352942942415729,0.106454,0.3934044356966153,-0.3645191412980676,-0.980869,0.954223
