Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.1590251082654249,0.150737,0.03193395861822627,2.340973940887993,0.113073,0.307911
MASTER_LEFT_POS_Y,0.00732975746992627,-0.012156,0.0675319053663332,2.213669050050352,-0.053838,0.234352
MASTER_LEFT_POS_Z,0.349307986806364,0.353046,0.02795389178444685,-0.6992886544466302,0.254785,0.389138
MASTER_LEFT_ROT_R11,-0.447904714008537,-0.510439,0.22709461839599296,1.0358960594204014,-0.784722,0.435826
MASTER_LEFT_ROT_R12,0.06796606558013196,0.241069,0.4670495520399277,-0.5924774091885171,-0.957406,0.997491
MASTER_LEFT_ROT_R13,-0.693573740007761,-0.738107,0.21018404190979012,1.8257187416777079,-0.991547,0.311441
MASTER_LEFT_ROT_R21,-0.438240266589057,-0.554986,0.37465395519232136,1.446362375333576,-0.990277,0.848445
MASTER_LEFT_ROT_R22,-0.6906520706247575,-0.712594,0.21290647749295952,1.7585605021710655,-0.978249,0.452994
MASTER_LEFT_ROT_R23,0.2742190675203725,0.229714,0.2648121024148789,0.640016918063094,-0.398357,0.975987
MASTER_LEFT_ROT_R31,-0.6017145968180054,-0.63129,0.22987445392224704,0.1486244563484965,-0.9989,0.215626
MASTER_LEFT_ROT_R32,0.42045564610011643,0.470722,0.2793849020681118,-1.7657431829628147,-0.76471,0.848437
MASTER_LEFT_ROT_R33,0.5081884994179279,0.58917,0.2685305482614223,-0.9308840306264605,-0.27411,0.987424
MASTER_LEFT_LIN_VEL_X,-3.355452076057631e-06,-1e-06,0.030341815804276175,-2.51273899622629,-0.236822,0.100996
MASTER_LEFT_LIN_VEL_Y,7.631936360108686e-05,0.0,0.060692226783555174,-2.1430006437333,-0.435149,0.275983
MASTER_LEFT_LIN_VEL_Z,-2.1367093519596547e-05,-0.000229,0.029997349911591375,1.299729595895116,-0.123891,0.183382
MASTER_LEFT_ROT_VEL_X,0.00962346682188591,0.0,0.7935460075667145,-0.34256831064086923,-5.625221,4.924312
MASTER_LEFT_ROT_VEL_Y,-0.012817105937136208,0.0,0.7863698853275162,-0.9322182068145316,-6.589776,4.866847
MASTER_LEFT_ROT_VEL_Z,-0.002877817229336434,0.0,0.9083431802538914,-0.5659594548785424,-7.971042,5.580496
MASTER_LEFT_GRIPPER_ANGLE,-0.5130781831587117,-0.06123,0.9247691403091075,-0.58865081319205,-1.918256,0.522241
MASTER_RIGHT_POS_X,-0.18197653046177728,-0.181041,0.01872362191957561,0.873516525919182,-0.217503,-0.11695
MASTER_RIGHT_POS_Y,-0.0027119022118742716,-0.001545,0.018064475313526583,-0.1763754417056348,-0.041243,0.034879
