Variable,mean,median,std,skewness,min,max
MASTER_LEFT_POS_X,0.15642657642857144,0.1542175,0.01863782678971037,0.31532810385928783,0.118835,0.209573
MASTER_LEFT_POS_Y,-0.028043032142857142,-0.026989,0.0168114356417572,0.29656312278653857,-0.056155,0.031293
MASTER_LEFT_POS_Z,0.3243360057142857,0.3214125,0.02458679096621602,0.4634130200423817,0.284475,0.381599
MASTER_LEFT_ROT_R11,-0.6525116875,-0.7097375,0.2471204732305475,1.0452151806780146,-0.985892,0.072025
MASTER_LEFT_ROT_R12,0.4426316142857143,0.474626,0.26342915294605934,-0.17893089971849274,-0.508608,0.973094
MASTER_LEFT_ROT_R13,-0.4102895410714286,-0.33993249999999997,0.28217909862437907,-0.5588492919240224,-0.985936,0.216014
MASTER_LEFT_ROT_R21,-0.5045585075,-0.5598920000000001,0.2301065940307093,0.5781828253432212,-0.97397,0.222166
MASTER_LEFT_ROT_R22,-0.753608827142857,-0.7597305,0.17094096593238206,0.9105749575504266,-0.999766,-0.207062
MASTER_LEFT_ROT_R23,0.20628865000000002,0.254937,0.22975975498342288,-0.45592614182646785,-0.341543,0.665088
MASTER_LEFT_ROT_R31,-0.23558296999999997,-0.2259735,0.3872967217139823,-0.26887990078784496,-0.986838,0.52525
MASTER_LEFT_ROT_R32,0.3431957892857143,0.351751,0.13923313340373855,-0.9378400951719927,-0.203895,0.637718
MASTER_LEFT_ROT_R33,0.7763460539285715,0.8606674999999999,0.23393708933864119,-1.9779537361616741,0.042017,0.999955
MASTER_LEFT_LIN_VEL_X,0.00024356357142857137,0.0,0.01932346769965237,0.16368301786826803,-0.123089,0.104493
MASTER_LEFT_LIN_VEL_Y,3.631964285714297e-05,-1.2e-05,0.014188864810949756,-0.38082514711717824,-0.123091,0.086812
MASTER_LEFT_LIN_VEL_Z,-2.1167142857142893e-05,-1e-06,0.01797679160751715,0.3138975940020764,-0.08099,0.086678
MASTER_LEFT_ROT_VEL_X,0.0028286146428571426,0.0,0.41712602225429635,0.8295809704386646,-5.428504,5.480507
MASTER_LEFT_ROT_VEL_Y,0.0084333175,0.0,0.5018397234407337,0.4074420464456466,-4.225689,4.24429
MASTER_LEFT_ROT_VEL_Z,0.009481486428571427,0.0,0.6880734789433899,0.4499995581405178,-6.19861,6.339735
MASTER_LEFT_GRIPPER_ANGLE,-0.7209266825,-0.5364264999999999,0.9007725579911241,0.04897659178495422,-1.920254,0.52169
MASTER_RIGHT_POS_X,-0.17450192035714285,-0.17285899999999998,0.020151643558611796,-0.49344261607629275,-0.233905,-0.135126
MASTER_RIGHT_POS_Y,-0.02281648178571428,-0.0268755,0.01684189261015692,0.31269938183359,-0.051679,0.020042
MASTER_RIGHT_POS_Z,0.31987946964285713,0.321882,0.018153592472517445,-0.47531934099705575,0.257409,0.350267
MASTER_RIGHT_ROT_R11,-0.6282172878571428,-0.7802290000000001,0.3591944080298001,1.305311439716581,-0.999985,0.545637
MASTER_RIGHT_ROT_R12,0.1753955042857143,0.3000935,0.5928103656623865,-0.15488531341633027,-0.801133,0.998122
MASTER_RIGHT_ROT_R13,0.2091968982142857,0.209558,0.22483831522021955,0.00013433447254386334,-0.372658,0.727336
MASTER_RIGHT_ROT_R21,-0.03487965499999998,-0.0806605,0.42842126548990084,0.29583871202198975,-0.774315,0.841493
MASTER_RIGHT_ROT_R22,-0.48702035250000003,-0.4669825,0.18008024475568857,-0.2957250295043475,-0.920325,0.013741
MASTER_RIGHT_ROT_R23,0.7203355646428572,0.767727,0.16357895900213767,-0.9970369613710737,0.323688,0.961485
MASTER_RIGHT_ROT_R31,0.2579736075,0.2526235,0.47465946653615265,-0.27873158724240443,-0.634584,0.940912
MASTER_RIGHT_ROT_R32,0.44000536749999997,0.596166,0.3935198970571141,-1.3404072531373594,-0.864129,0.950268
MASTER_RIGHT_ROT_R33,0.5813391964285715,0.5886235,0.14743374392838623,0.1778498268504175,0.191831,0.940767
MASTER_RIGHT_LIN_VEL_X,-0.00048154749999999993,0.0,0.026846156247502893,1.1354859081679978,-0.102883,0.185976
MASTER_RIGHT_LIN_VEL_Y,0.00015684285714285718,0.0,0.016267790331193865,-0.41068035276006704,-0.107484,0.084627
MASTER_RIGHT_LIN_VEL_Z,-6.314428571428558e-05,0.0,0.021176701385175183,-0.4587130392695819,-0.113891,0.088102
MASTER_RIGHT_ROT_VEL_X,0.0024774610714285725,0.0,0.45827817818740074,0.18364366890033465,-4.037945,3.584291
MASTER_RIGHT_ROT_VEL_Y,0.005628862142857149,0.0,1.1197232914834105,0.4234221186253679,-6.205397,7.285381
MASTER_RIGHT_ROT_VEL_Z,0.030341517142857145,0.0,0.8314156827042342,0.36655259843769905,-5.051214,5.016952
MASTER_RIGHT_GRIPPER_ANGLE,-0.8833849803571427,-1.402444,0.7519069872971633,0.8834564098939974,-1.406635,0.535379
SLAVE_LEFT_POS_X,0.040879393214285714,0.0416935,0.010067625545462096,-0.4921882049407623,0.011173,0.060565
SLAVE_LEFT_POS_Y,0.03211726821428571,0.0300885,0.008425386595344964,0.3114821569951667,0.017684,0.053559
SLAVE_LEFT_POS_Z,-0.009936327142857143,-0.0089505,0.00908022436166316,-0.4784550635149121,-0.041189,0.005247
SLAVE_LEFT_ROT_R11,0.6251710953571429,0.7852,0.3636532830699501,-1.2983348373754962,-0.557168,0.999967
SLAVE_LEFT_ROT_R12,-0.18284850964285715,-0.31072599999999995,0.5906742266927729,0.16251146557170268,-0.998065,0.794113
SLAVE_LEFT_ROT_R13,0.212016245,0.214729,0.2232155219170626,-0.014182792149222072,-0.369846,0.724215
SLAVE_LEFT_ROT_R21,0.036753555,0.0819015,0.42738364746825325,-0.2966996305310511,-0.839633,0.772909
